2020-03-28 17:55:25.611+0000 INFO  Assigned admin role to user 'neo4j'.
2020-03-28 17:55:30.041+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:30.850+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:42.486+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:44.573+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:44.597+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:44.620+0000 INFO  [neo4j]: logged in
2020-03-28 17:55:44.624+0000 INFO  [neo4j]: logged in
2020-03-28 18:32:12.072+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:07.796+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:08.635+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:24.135+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:26.071+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:26.086+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:26.107+0000 INFO  [neo4j]: logged in
2020-03-29 02:33:26.125+0000 INFO  [neo4j]: logged in
2020-03-29 03:33:26.093+0000 INFO  [neo4j]: logged in
2020-03-29 03:42:34.414+0000 INFO  [neo4j]: logged in
2020-03-29 03:50:03.505+0000 INFO  [neo4j]: logged in
2020-03-29 11:22:52.397+0000 INFO  [neo4j]: logged in
2020-03-29 11:22:55.787+0000 INFO  [neo4j]: logged in
2020-03-29 11:23:01.557+0000 INFO  [neo4j]: logged in
2020-03-29 11:23:03.637+0000 INFO  [neo4j]: logged in
2020-03-29 11:23:03.642+0000 INFO  [neo4j]: logged in
2020-03-29 11:23:03.672+0000 INFO  [neo4j]: logged in
2020-03-29 11:23:03.681+0000 INFO  [neo4j]: logged in
2020-03-29 11:25:44.692+0000 INFO  [neo4j]: logged in
