t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,1223,203.865165,0.000000,0.000000,0.000000,events/second
1585418134,1301,145.274081,0.000000,0.000000,0.000000,events/second
1585418137,1301,108.782683,0.000000,0.000000,0.000000,events/second
1585418140,1301,87.026654,0.000000,0.000000,0.000000,events/second
1585418143,1805,100.498172,0.000000,0.000000,0.000000,events/second
1585418146,3497,166.899142,0.000000,0.000000,0.000000,events/second
1585418149,4033,168.164823,0.000000,0.000000,0.000000,events/second
1585418152,4033,149.527575,0.000000,0.000000,0.000000,events/second
1585418155,4033,134.559983,0.000000,0.000000,0.000000,events/second
1585418158,4033,122.373404,0.000000,0.000000,0.000000,events/second
1585418161,4033,112.150916,0.000000,0.000000,0.000000,events/second
1585418164,4154,106.643762,0.000000,0.000000,0.000000,events/second
1585418167,4154,98.957253,0.000000,0.000000,0.000000,events/second
1585418170,4154,92.357768,0.000000,0.000000,0.000000,events/second
1585418173,4154,86.550980,0.000000,0.000000,0.000000,events/second
1585418176,4396,86.238192,0.000000,0.000000,0.000000,events/second
1585418179,4447,82.393612,0.000000,0.000000,0.000000,events/second
1585418182,4475,78.543164,0.000000,0.000000,0.000000,events/second
1585418185,4599,76.685277,0.000000,0.000000,0.000000,events/second
1585418188,4626,73.454878,0.000000,0.000000,0.000000,events/second
1585418191,4655,70.557100,0.000000,0.000000,0.000000,events/second
1585418194,4682,67.879293,0.000000,0.000000,0.000000,events/second
1585418197,4712,65.472248,0.000000,0.000000,0.000000,events/second
1585418200,4722,62.997998,0.000000,0.000000,0.000000,events/second
1585418203,5886,75.419818,0.000000,0.000000,0.000000,events/second
1585418206,5892,72.736101,0.000000,0.000000,0.000000,events/second
1585418209,5892,70.163153,0.000000,0.000000,0.000000,events/second
1585418212,5910,67.953504,0.000000,0.000000,0.000000,events/second
1585418215,5910,65.679358,0.000000,0.000000,0.000000,events/second
1585418218,5910,63.574957,0.000000,0.000000,0.000000,events/second
1585418221,5910,61.578524,0.000000,0.000000,0.000000,events/second
1585418224,6023,60.866952,0.000000,0.000000,0.000000,events/second
1585418227,6023,59.067302,0.000000,0.000000,0.000000,events/second
1585418230,6023,57.384187,0.000000,0.000000,0.000000,events/second
1585418233,6023,55.740169,0.000000,0.000000,0.000000,events/second
1585418236,6023,54.239259,0.000000,0.000000,0.000000,events/second
1585418239,6023,52.688082,0.000000,0.000000,0.000000,events/second
1585418242,6023,51.496559,0.000000,0.000000,0.000000,events/second
1585418245,6132,51.082268,0.000000,0.000000,0.000000,events/second
1585418248,6132,49.864696,0.000000,0.000000,0.000000,events/second
1585418251,6132,48.677276,0.000000,0.000000,0.000000,events/second
1585418254,6132,47.543591,0.000000,0.000000,0.000000,events/second
1585418257,6132,46.464696,0.000000,0.000000,0.000000,events/second
1585418260,6132,45.427412,0.000000,0.000000,0.000000,events/second
1585418263,6197,44.915597,0.000000,0.000000,0.000000,events/second
1585418266,6228,44.179598,0.000000,0.000000,0.000000,events/second
1585418269,6228,43.258500,0.000000,0.000000,0.000000,events/second
1585418272,6228,42.375020,0.000000,0.000000,0.000000,events/second
1585418275,6228,41.528480,0.000000,0.000000,0.000000,events/second
1585418278,6228,40.710155,0.000000,0.000000,0.000000,events/second
1585418281,6228,39.936592,0.000000,0.000000,0.000000,events/second
1585418284,6321,39.756917,0.000000,0.000000,0.000000,events/second
1585418287,6321,39.024089,0.000000,0.000000,0.000000,events/second
1585418290,6321,38.316701,0.000000,0.000000,0.000000,events/second
1585418293,6321,37.631743,0.000000,0.000000,0.000000,events/second
1585418296,6321,36.968202,0.000000,0.000000,0.000000,events/second
1585418299,6321,36.333164,0.000000,0.000000,0.000000,events/second
1585418302,6321,35.717541,0.000000,0.000000,0.000000,events/second
1585418305,6410,35.616854,0.000000,0.000000,0.000000,events/second
1585418308,6410,35.033292,0.000000,0.000000,0.000000,events/second
1585418311,6410,34.468221,0.000000,0.000000,0.000000,events/second
1585418314,6410,33.916770,0.000000,0.000000,0.000000,events/second
1585418317,6410,33.389951,0.000000,0.000000,0.000000,events/second
1585418320,6410,32.875787,0.000000,0.000000,0.000000,events/second
1585418323,6468,32.675511,0.000000,0.000000,0.000000,events/second
1585418326,6496,32.323485,0.000000,0.000000,0.000000,events/second
