t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,1126,187.671598,0.000000,0.000000,0.000000,events/second
1585418134,1195,133.427277,0.000000,0.000000,0.000000,events/second
1585418137,1195,99.909328,0.000000,0.000000,0.000000,events/second
1585418140,1195,79.932833,0.000000,0.000000,0.000000,events/second
1585418143,1693,94.258127,0.000000,0.000000,0.000000,events/second
1585418146,3018,144.032820,0.000000,0.000000,0.000000,events/second
1585418149,3517,146.622162,0.000000,0.000000,0.000000,events/second
1585418152,3517,130.392383,0.000000,0.000000,0.000000,events/second
1585418155,3517,117.340740,0.000000,0.000000,0.000000,events/second
1585418158,3517,106.714112,0.000000,0.000000,0.000000,events/second
1585418161,3517,97.800219,0.000000,0.000000,0.000000,events/second
1585418164,3563,91.470020,0.000000,0.000000,0.000000,events/second
1585418167,3563,84.876534,0.000000,0.000000,0.000000,events/second
1585418170,3563,79.216269,0.000000,0.000000,0.000000,events/second
1585418173,3563,74.235887,0.000000,0.000000,0.000000,events/second
1585418176,3737,73.309070,0.000000,0.000000,0.000000,events/second
1585418179,3787,70.164190,0.000000,0.000000,0.000000,events/second
1585418182,3815,66.958137,0.000000,0.000000,0.000000,events/second
1585418185,3858,64.328767,0.000000,0.000000,0.000000,events/second
1585418188,3887,61.719705,0.000000,0.000000,0.000000,events/second
1585418191,3918,59.385552,0.000000,0.000000,0.000000,events/second
1585418194,3947,57.222599,0.000000,0.000000,0.000000,events/second
1585418197,3980,55.300669,0.000000,0.000000,0.000000,events/second
1585418200,3989,53.218361,0.000000,0.000000,0.000000,events/second
1585418203,5025,64.386810,0.000000,0.000000,0.000000,events/second
1585418206,5031,62.106696,0.000000,0.000000,0.000000,events/second
1585418209,5031,59.909582,0.000000,0.000000,0.000000,events/second
1585418212,5044,57.995683,0.000000,0.000000,0.000000,events/second
1585418215,5044,56.054887,0.000000,0.000000,0.000000,events/second
1585418218,5044,54.258785,0.000000,0.000000,0.000000,events/second
1585418221,5044,52.554880,0.000000,0.000000,0.000000,events/second
1585418224,5070,51.235875,0.000000,0.000000,0.000000,events/second
1585418227,5070,49.720932,0.000000,0.000000,0.000000,events/second
1585418230,5070,48.304226,0.000000,0.000000,0.000000,events/second
1585418233,5070,46.920287,0.000000,0.000000,0.000000,events/second
1585418236,5070,45.656809,0.000000,0.000000,0.000000,events/second
1585418239,5070,44.350807,0.000000,0.000000,0.000000,events/second
1585418242,5070,43.348190,0.000000,0.000000,0.000000,events/second
1585418245,5098,42.468407,0.000000,0.000000,0.000000,events/second
1585418248,5098,41.456051,0.000000,0.000000,0.000000,events/second
1585418251,5098,40.468856,0.000000,0.000000,0.000000,events/second
1585418254,5098,39.526331,0.000000,0.000000,0.000000,events/second
1585418257,5098,38.629406,0.000000,0.000000,0.000000,events/second
1585418260,5098,37.767082,0.000000,0.000000,0.000000,events/second
1585418263,5111,37.044112,0.000000,0.000000,0.000000,events/second
1585418266,5132,36.404699,0.000000,0.000000,0.000000,events/second
1585418269,5132,35.645686,0.000000,0.000000,0.000000,events/second
1585418272,5132,34.917634,0.000000,0.000000,0.000000,events/second
1585418275,5132,34.220143,0.000000,0.000000,0.000000,events/second
1585418278,5132,33.545871,0.000000,0.000000,0.000000,events/second
1585418281,5132,32.908466,0.000000,0.000000,0.000000,events/second
1585418284,5164,32.479525,0.000000,0.000000,0.000000,events/second
1585418287,5164,31.880929,0.000000,0.000000,0.000000,events/second
1585418290,5164,31.303057,0.000000,0.000000,0.000000,events/second
1585418293,5164,30.743465,0.000000,0.000000,0.000000,events/second
1585418296,5164,30.201411,0.000000,0.000000,0.000000,events/second
1585418299,5164,29.682576,0.000000,0.000000,0.000000,events/second
1585418302,5164,29.179643,0.000000,0.000000,0.000000,events/second
1585418305,5198,28.882284,0.000000,0.000000,0.000000,events/second
1585418308,5198,28.409097,0.000000,0.000000,0.000000,events/second
1585418311,5198,27.950874,0.000000,0.000000,0.000000,events/second
1585418314,5198,27.503685,0.000000,0.000000,0.000000,events/second
1585418317,5198,27.076477,0.000000,0.000000,0.000000,events/second
1585418320,5198,26.659535,0.000000,0.000000,0.000000,events/second
1585418323,5207,26.305032,0.000000,0.000000,0.000000,events/second
1585418326,5230,26.023892,0.000000,0.000000,0.000000,events/second
1585418329,5230,25.641246,0.000000,0.000000,0.000000,events/second
1585418332,5230,25.269365,0.000000,0.000000,0.000000,events/second
1585418335,5230,24.908236,0.000000,0.000000,0.000000,events/second
1585418338,5230,24.557294,0.000000,0.000000,0.000000,events/second
1585418341,5230,24.214711,0.000000,0.000000,0.000000,events/second
1585418344,5255,24.001101,0.000000,0.000000,0.000000,events/second
1585418347,5255,23.674402,0.000000,0.000000,0.000000,events/second
1585418350,5753,25.571246,0.000000,0.000000,0.000000,events/second
1585418353,5753,25.235812,0.000000,0.000000,0.000000,events/second
1585418356,5753,24.907749,0.000000,0.000000,0.000000,events/second
1585418359,5753,24.588676,0.000000,0.000000,0.000000,events/second
1585418362,5753,24.277026,0.000000,0.000000,0.000000,events/second
1585418365,5779,24.081886,0.000000,0.000000,0.000000,events/second
1585418368,5779,23.784800,0.000000,0.000000,0.000000,events/second
1585418371,5779,23.494462,0.000000,0.000000,0.000000,events/second
1585418374,5779,23.207414,0.000000,0.000000,0.000000,events/second
1585418377,5779,22.934062,0.000000,0.000000,0.000000,events/second
1585418380,5779,22.665406,0.000000,0.000000,0.000000,events/second
1585418383,5794,22.461772,0.000000,0.000000,0.000000,events/second
1585418386,5861,22.458333,0.000000,0.000000,0.000000,events/second
1585418389,6037,22.868734,0.000000,0.000000,0.000000,events/second
1585418392,6114,22.901409,0.000000,0.000000,0.000000,events/second
1585418395,6135,22.724572,0.000000,0.000000,0.000000,events/second
1585418398,6294,23.056205,0.000000,0.000000,0.000000,events/second
1585418401,6327,22.924171,0.000000,0.000000,0.000000,events/second
1585418404,6516,23.358871,0.000000,0.000000,0.000000,events/second
1585418407,6516,23.108908,0.000000,0.000000,0.000000,events/second
1585418410,6516,22.864997,0.000000,0.000000,0.000000,events/second
1585418413,6516,22.627421,0.000000,0.000000,0.000000,events/second
1585418416,6516,22.394052,0.000000,0.000000,0.000000,events/second
1585418419,6516,22.164828,0.000000,0.000000,0.000000,events/second
1585418422,6516,21.941653,0.000000,0.000000,0.000000,events/second
1585418425,6546,21.822219,0.000000,0.000000,0.000000,events/second
1585418428,6546,21.606064,0.000000,0.000000,0.000000,events/second
