t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,1,0.166599,0.000000,0.000000,0.000000,events/second
1585418134,2,0.223247,0.000000,0.000000,0.000000,events/second
1585418137,2,0.167174,0.000000,0.000000,0.000000,events/second
1585418140,2,0.133757,0.000000,0.000000,0.000000,events/second
1585418143,4,0.222669,0.000000,0.000000,0.000000,events/second
1585418146,8,0.381750,0.000000,0.000000,0.000000,events/second
1585418149,10,0.416845,0.000000,0.000000,0.000000,events/second
1585418152,10,0.370711,0.000000,0.000000,0.000000,events/second
1585418155,10,0.333610,0.000000,0.000000,0.000000,events/second
1585418158,10,0.303400,0.000000,0.000000,0.000000,events/second
1585418161,10,0.278060,0.000000,0.000000,0.000000,events/second
1585418164,12,0.308048,0.000000,0.000000,0.000000,events/second
1585418167,12,0.285841,0.000000,0.000000,0.000000,events/second
1585418170,12,0.266780,0.000000,0.000000,0.000000,events/second
1585418173,12,0.250009,0.000000,0.000000,0.000000,events/second
1585418176,12,0.235393,0.000000,0.000000,0.000000,events/second
1585418179,12,0.222321,0.000000,0.000000,0.000000,events/second
1585418182,12,0.210606,0.000000,0.000000,0.000000,events/second
1585418185,14,0.233428,0.000000,0.000000,0.000000,events/second
1585418188,14,0.222290,0.000000,0.000000,0.000000,events/second
1585418191,14,0.212191,0.000000,0.000000,0.000000,events/second
1585418194,14,0.202961,0.000000,0.000000,0.000000,events/second
1585418197,14,0.194518,0.000000,0.000000,0.000000,events/second
1585418200,14,0.186772,0.000000,0.000000,0.000000,events/second
1585418203,15,0.192193,0.000000,0.000000,0.000000,events/second
1585418206,16,0.197511,0.000000,0.000000,0.000000,events/second
1585418209,16,0.190523,0.000000,0.000000,0.000000,events/second
1585418212,16,0.183962,0.000000,0.000000,0.000000,events/second
1585418215,16,0.177806,0.000000,0.000000,0.000000,events/second
1585418218,16,0.172109,0.000000,0.000000,0.000000,events/second
1585418221,16,0.166704,0.000000,0.000000,0.000000,events/second
1585418224,18,0.181898,0.000000,0.000000,0.000000,events/second
1585418227,18,0.176520,0.000000,0.000000,0.000000,events/second
1585418230,18,0.171490,0.000000,0.000000,0.000000,events/second
1585418233,18,0.166577,0.000000,0.000000,0.000000,events/second
1585418236,18,0.162091,0.000000,0.000000,0.000000,events/second
1585418239,18,0.157454,0.000000,0.000000,0.000000,events/second
1585418242,18,0.153896,0.000000,0.000000,0.000000,events/second
1585418245,20,0.166605,0.000000,0.000000,0.000000,events/second
1585418248,20,0.162633,0.000000,0.000000,0.000000,events/second
1585418251,20,0.158760,0.000000,0.000000,0.000000,events/second
1585418254,20,0.155063,0.000000,0.000000,0.000000,events/second
1585418257,20,0.151544,0.000000,0.000000,0.000000,events/second
1585418260,20,0.148162,0.000000,0.000000,0.000000,events/second
1585418263,20,0.144956,0.000000,0.000000,0.000000,events/second
1585418266,22,0.156058,0.000000,0.000000,0.000000,events/second
1585418269,22,0.152804,0.000000,0.000000,0.000000,events/second
1585418272,22,0.149683,0.000000,0.000000,0.000000,events/second
1585418275,22,0.146693,0.000000,0.000000,0.000000,events/second
1585418278,22,0.143803,0.000000,0.000000,0.000000,events/second
1585418281,22,0.141071,0.000000,0.000000,0.000000,events/second
1585418284,24,0.150948,0.000000,0.000000,0.000000,events/second
1585418287,24,0.148166,0.000000,0.000000,0.000000,events/second
1585418290,24,0.145481,0.000000,0.000000,0.000000,events/second
1585418293,24,0.142880,0.000000,0.000000,0.000000,events/second
1585418296,24,0.140361,0.000000,0.000000,0.000000,events/second
1585418299,24,0.137949,0.000000,0.000000,0.000000,events/second
1585418302,24,0.135612,0.000000,0.000000,0.000000,events/second
1585418305,26,0.144465,0.000000,0.000000,0.000000,events/second
1585418308,26,0.142098,0.000000,0.000000,0.000000,events/second
1585418311,26,0.139806,0.000000,0.000000,0.000000,events/second
1585418314,26,0.137569,0.000000,0.000000,0.000000,events/second
1585418317,26,0.135433,0.000000,0.000000,0.000000,events/second
1585418320,26,0.133347,0.000000,0.000000,0.000000,events/second
1585418323,26,0.131347,0.000000,0.000000,0.000000,events/second
1585418326,28,0.139323,0.000000,0.000000,0.000000,events/second
1585418329,28,0.137275,0.000000,0.000000,0.000000,events/second
1585418332,28,0.135284,0.000000,0.000000,0.000000,events/second
1585418335,28,0.133350,0.000000,0.000000,0.000000,events/second
1585418338,28,0.131471,0.000000,0.000000,0.000000,events/second
1585418341,28,0.129638,0.000000,0.000000,0.000000,events/second
1585418344,30,0.137017,0.000000,0.000000,0.000000,events/second
1585418347,30,0.135152,0.000000,0.000000,0.000000,events/second
1585418350,30,0.133344,0.000000,0.000000,0.000000,events/second
1585418353,30,0.131595,0.000000,0.000000,0.000000,events/second
1585418356,30,0.129884,0.000000,0.000000,0.000000,events/second
1585418359,30,0.128220,0.000000,0.000000,0.000000,events/second
1585418362,30,0.126595,0.000000,0.000000,0.000000,events/second
1585418365,32,0.133347,0.000000,0.000000,0.000000,events/second
1585418368,32,0.131702,0.000000,0.000000,0.000000,events/second
1585418371,32,0.130094,0.000000,0.000000,0.000000,events/second
1585418374,32,0.128505,0.000000,0.000000,0.000000,events/second
1585418377,32,0.126991,0.000000,0.000000,0.000000,events/second
1585418380,32,0.125504,0.000000,0.000000,0.000000,events/second
1585418383,32,0.124054,0.000000,0.000000,0.000000,events/second
1585418386,34,0.130281,0.000000,0.000000,0.000000,events/second
1585418389,34,0.128794,0.000000,0.000000,0.000000,events/second
1585418392,34,0.127354,0.000000,0.000000,0.000000,events/second
1585418395,34,0.125938,0.000000,0.000000,0.000000,events/second
1585418398,34,0.124548,0.000000,0.000000,0.000000,events/second
1585418401,34,0.123189,0.000000,0.000000,0.000000,events/second
1585418404,36,0.129053,0.000000,0.000000,0.000000,events/second
1585418407,36,0.127672,0.000000,0.000000,0.000000,events/second
1585418410,36,0.126325,0.000000,0.000000,0.000000,events/second
1585418413,36,0.125012,0.000000,0.000000,0.000000,events/second
1585418416,36,0.123723,0.000000,0.000000,0.000000,events/second
1585418419,36,0.122456,0.000000,0.000000,0.000000,events/second
1585418422,36,0.121224,0.000000,0.000000,0.000000,events/second
1585418425,38,0.126678,0.000000,0.000000,0.000000,events/second
1585418428,38,0.125424,0.000000,0.000000,0.000000,events/second
1585418431,38,0.124193,0.000000,0.000000,0.000000,events/second
1585418434,38,0.122987,0.000000,0.000000,0.000000,events/second
1585418437,38,0.121804,0.000000,0.000000,0.000000,events/second
1585418440,38,0.120645,0.000000,0.000000,0.000000,events/second
1585418443,38,0.119515,0.000000,0.000000,0.000000,events/second
1585418446,40,0.124621,0.000000,0.000000,0.000000,events/second
1585418449,40,0.123466,0.000000,0.000000,0.000000,events/second
1585418452,40,0.122333,0.000000,0.000000,0.000000,events/second
1585418455,40,0.121221,0.000000,0.000000,0.000000,events/second
1585418458,40,0.120130,0.000000,0.000000,0.000000,events/second
1585418461,40,0.119058,0.000000,0.000000,0.000000,events/second
1585418464,42,0.123907,0.000000,0.000000,0.000000,events/second
1585418467,42,0.122811,0.000000,0.000000,0.000000,events/second
1585418470,42,0.121748,0.000000,0.000000,0.000000,events/second
1585418473,42,0.120698,0.000000,0.000000,0.000000,events/second
1585418476,42,0.119668,0.000000,0.000000,0.000000,events/second
1585418479,42,0.118653,0.000000,0.000000,0.000000,events/second
1585418482,42,0.117657,0.000000,0.000000,0.000000,events/second
1585418485,44,0.122231,0.000000,0.000000,0.000000,events/second
1585418488,44,0.121220,0.000000,0.000000,0.000000,events/second
1585418491,44,0.120228,0.000000,0.000000,0.000000,events/second
1585418494,44,0.119250,0.000000,0.000000,0.000000,events/second
1585418497,44,0.118288,0.000000,0.000000,0.000000,events/second
1585418500,44,0.117343,0.000000,0.000000,0.000000,events/second
1585418503,44,0.116415,0.000000,0.000000,0.000000,events/second
1585418506,46,0.120743,0.000000,0.000000,0.000000,events/second
1585418509,46,0.119805,0.000000,0.000000,0.000000,events/second
1585418512,46,0.118877,0.000000,0.000000,0.000000,events/second
1585418515,46,0.117956,0.000000,0.000000,0.000000,events/second
1585418518,46,0.117057,0.000000,0.000000,0.000000,events/second
1585418521,46,0.116170,0.000000,0.000000,0.000000,events/second
1585418524,48,0.120314,0.000000,0.000000,0.000000,events/second
1585418527,48,0.119411,0.000000,0.000000,0.000000,events/second
1585418530,48,0.118526,0.000000,0.000000,0.000000,events/second
1585418533,48,0.117655,0.000000,0.000000,0.000000,events/second
1585418536,48,0.116796,0.000000,0.000000,0.000000,events/second
