t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,2,0.333158,0.000000,0.000000,0.000000,events/second
1585418134,2,0.223230,0.000000,0.000000,0.000000,events/second
1585418137,2,0.167163,0.000000,0.000000,0.000000,events/second
1585418140,2,0.133753,0.000000,0.000000,0.000000,events/second
1585418143,5,0.278325,0.000000,0.000000,0.000000,events/second
1585418146,13,0.620324,0.000000,0.000000,0.000000,events/second
1585418149,15,0.625241,0.000000,0.000000,0.000000,events/second
1585418152,15,0.556050,0.000000,0.000000,0.000000,events/second
1585418155,15,0.500403,0.000000,0.000000,0.000000,events/second
1585418158,15,0.455078,0.000000,0.000000,0.000000,events/second
1585418161,15,0.417084,0.000000,0.000000,0.000000,events/second
1585418164,17,0.436395,0.000000,0.000000,0.000000,events/second
1585418167,17,0.404934,0.000000,0.000000,0.000000,events/second
1585418170,17,0.377932,0.000000,0.000000,0.000000,events/second
1585418173,17,0.354174,0.000000,0.000000,0.000000,events/second
1585418176,17,0.333468,0.000000,0.000000,0.000000,events/second
1585418179,17,0.314951,0.000000,0.000000,0.000000,events/second
1585418182,17,0.298353,0.000000,0.000000,0.000000,events/second
1585418185,19,0.316791,0.000000,0.000000,0.000000,events/second
1585418188,19,0.301675,0.000000,0.000000,0.000000,events/second
1585418191,19,0.287971,0.000000,0.000000,0.000000,events/second
1585418194,19,0.275443,0.000000,0.000000,0.000000,events/second
1585418197,19,0.263986,0.000000,0.000000,0.000000,events/second
1585418200,19,0.253474,0.000000,0.000000,0.000000,events/second
1585418203,20,0.256255,0.000000,0.000000,0.000000,events/second
1585418206,21,0.259232,0.000000,0.000000,0.000000,events/second
1585418209,21,0.250058,0.000000,0.000000,0.000000,events/second
1585418212,21,0.241448,0.000000,0.000000,0.000000,events/second
1585418215,21,0.233369,0.000000,0.000000,0.000000,events/second
1585418218,21,0.225891,0.000000,0.000000,0.000000,events/second
1585418221,21,0.218797,0.000000,0.000000,0.000000,events/second
1585418224,23,0.232424,0.000000,0.000000,0.000000,events/second
1585418227,23,0.225551,0.000000,0.000000,0.000000,events/second
1585418230,23,0.219126,0.000000,0.000000,0.000000,events/second
1585418233,23,0.212847,0.000000,0.000000,0.000000,events/second
1585418236,23,0.207115,0.000000,0.000000,0.000000,events/second
1585418239,23,0.201189,0.000000,0.000000,0.000000,events/second
1585418242,23,0.196644,0.000000,0.000000,0.000000,events/second
1585418245,25,0.208255,0.000000,0.000000,0.000000,events/second
1585418248,25,0.203290,0.000000,0.000000,0.000000,events/second
1585418251,25,0.198449,0.000000,0.000000,0.000000,events/second
1585418254,25,0.193827,0.000000,0.000000,0.000000,events/second
1585418257,25,0.189429,0.000000,0.000000,0.000000,events/second
1585418260,25,0.185201,0.000000,0.000000,0.000000,events/second
1585418263,25,0.181194,0.000000,0.000000,0.000000,events/second
1585418266,27,0.191525,0.000000,0.000000,0.000000,events/second
1585418269,27,0.187531,0.000000,0.000000,0.000000,events/second
1585418272,27,0.183701,0.000000,0.000000,0.000000,events/second
1585418275,27,0.180032,0.000000,0.000000,0.000000,events/second
1585418278,27,0.176485,0.000000,0.000000,0.000000,events/second
1585418281,27,0.173132,0.000000,0.000000,0.000000,events/second
1585418284,29,0.182258,0.000000,0.000000,0.000000,events/second
1585418287,29,0.179033,0.000000,0.000000,0.000000,events/second
1585418290,29,0.175788,0.000000,0.000000,0.000000,events/second
1585418293,29,0.172646,0.000000,0.000000,0.000000,events/second
1585418296,29,0.169602,0.000000,0.000000,0.000000,events/second
1585418299,29,0.166688,0.000000,0.000000,0.000000,events/second
1585418302,29,0.163864,0.000000,0.000000,0.000000,events/second
1585418305,31,0.172246,0.000000,0.000000,0.000000,events/second
1585418308,31,0.169424,0.000000,0.000000,0.000000,events/second
1585418311,31,0.166691,0.000000,0.000000,0.000000,events/second
1585418314,31,0.164024,0.000000,0.000000,0.000000,events/second
1585418317,31,0.161477,0.000000,0.000000,0.000000,events/second
1585418320,31,0.158990,0.000000,0.000000,0.000000,events/second
1585418323,31,0.156605,0.000000,0.000000,0.000000,events/second
1585418326,33,0.164202,0.000000,0.000000,0.000000,events/second
1585418329,33,0.161787,0.000000,0.000000,0.000000,events/second
1585418332,33,0.159441,0.000000,0.000000,0.000000,events/second
1585418335,33,0.157162,0.000000,0.000000,0.000000,events/second
1585418338,33,0.154948,0.000000,0.000000,0.000000,events/second
1585418341,33,0.152787,0.000000,0.000000,0.000000,events/second
1585418344,35,0.159853,0.000000,0.000000,0.000000,events/second
1585418347,35,0.157677,0.000000,0.000000,0.000000,events/second
1585418350,35,0.155567,0.000000,0.000000,0.000000,events/second
1585418353,35,0.153527,0.000000,0.000000,0.000000,events/second
1585418356,35,0.151531,0.000000,0.000000,0.000000,events/second
1585418359,35,0.149590,0.000000,0.000000,0.000000,events/second
1585418362,35,0.147694,0.000000,0.000000,0.000000,events/second
1585418365,37,0.154182,0.000000,0.000000,0.000000,events/second
1585418368,37,0.152280,0.000000,0.000000,0.000000,events/second
1585418371,37,0.150421,0.000000,0.000000,0.000000,events/second
1585418374,37,0.148583,0.000000,0.000000,0.000000,events/second
1585418377,37,0.146832,0.000000,0.000000,0.000000,events/second
1585418380,37,0.145113,0.000000,0.000000,0.000000,events/second
1585418383,37,0.143437,0.000000,0.000000,0.000000,events/second
1585418386,39,0.149439,0.000000,0.000000,0.000000,events/second
1585418389,39,0.147734,0.000000,0.000000,0.000000,events/second
1585418392,39,0.146082,0.000000,0.000000,0.000000,events/second
1585418395,39,0.144458,0.000000,0.000000,0.000000,events/second
1585418398,39,0.142863,0.000000,0.000000,0.000000,events/second
1585418401,39,0.141304,0.000000,0.000000,0.000000,events/second
1585418404,41,0.146977,0.000000,0.000000,0.000000,events/second
1585418407,41,0.145404,0.000000,0.000000,0.000000,events/second
1585418410,41,0.143869,0.000000,0.000000,0.000000,events/second
1585418413,41,0.142375,0.000000,0.000000,0.000000,events/second
1585418416,41,0.140906,0.000000,0.000000,0.000000,events/second
1585418419,41,0.139464,0.000000,0.000000,0.000000,events/second
1585418422,41,0.138060,0.000000,0.000000,0.000000,events/second
1585418425,43,0.143346,0.000000,0.000000,0.000000,events/second
1585418428,43,0.141926,0.000000,0.000000,0.000000,events/second
1585418431,43,0.140534,0.000000,0.000000,0.000000,events/second
1585418434,43,0.139169,0.000000,0.000000,0.000000,events/second
1585418437,43,0.137831,0.000000,0.000000,0.000000,events/second
1585418440,43,0.136519,0.000000,0.000000,0.000000,events/second
1585418443,43,0.135241,0.000000,0.000000,0.000000,events/second
1585418446,45,0.140198,0.000000,0.000000,0.000000,events/second
1585418449,45,0.138899,0.000000,0.000000,0.000000,events/second
1585418452,45,0.137625,0.000000,0.000000,0.000000,events/second
1585418455,45,0.136373,0.000000,0.000000,0.000000,events/second
1585418458,45,0.135146,0.000000,0.000000,0.000000,events/second
1585418461,45,0.133940,0.000000,0.000000,0.000000,events/second
1585418464,47,0.138658,0.000000,0.000000,0.000000,events/second
1585418467,47,0.137431,0.000000,0.000000,0.000000,events/second
1585418470,47,0.136241,0.000000,0.000000,0.000000,events/second
1585418473,47,0.135067,0.000000,0.000000,0.000000,events/second
1585418476,47,0.133913,0.000000,0.000000,0.000000,events/second
1585418479,47,0.132778,0.000000,0.000000,0.000000,events/second
1585418482,47,0.131664,0.000000,0.000000,0.000000,events/second
1585418485,49,0.136120,0.000000,0.000000,0.000000,events/second
1585418488,49,0.134995,0.000000,0.000000,0.000000,events/second
1585418491,49,0.133890,0.000000,0.000000,0.000000,events/second
1585418494,49,0.132801,0.000000,0.000000,0.000000,events/second
1585418497,49,0.131730,0.000000,0.000000,0.000000,events/second
1585418500,49,0.130677,0.000000,0.000000,0.000000,events/second
1585418503,49,0.129644,0.000000,0.000000,0.000000,events/second
1585418506,51,0.133867,0.000000,0.000000,0.000000,events/second
1585418509,51,0.132828,0.000000,0.000000,0.000000,events/second
1585418512,51,0.131799,0.000000,0.000000,0.000000,events/second
1585418515,51,0.130778,0.000000,0.000000,0.000000,events/second
1585418518,51,0.129780,0.000000,0.000000,0.000000,events/second
1585418521,51,0.128797,0.000000,0.000000,0.000000,events/second
1585418524,53,0.132847,0.000000,0.000000,0.000000,events/second
1585418527,53,0.131850,0.000000,0.000000,0.000000,events/second
1585418530,53,0.130872,0.000000,0.000000,0.000000,events/second
1585418533,53,0.129911,0.000000,0.000000,0.000000,events/second
1585418536,53,0.128962,0.000000,0.000000,0.000000,events/second
1585418539,53,0.128035,0.000000,0.000000,0.000000,events/second
1585418542,53,0.127107,0.000000,0.000000,0.000000,events/second
1585418545,55,0.130961,0.000000,0.000000,0.000000,events/second
1585418548,55,0.130032,0.000000,0.000000,0.000000,events/second
1585418551,55,0.129116,0.000000,0.000000,0.000000,events/second
1585418554,55,0.128214,0.000000,0.000000,0.000000,events/second
1585418557,55,0.127321,0.000000,0.000000,0.000000,events/second
1585418560,55,0.126444,0.000000,0.000000,0.000000,events/second
1585418563,55,0.125585,0.000000,0.000000,0.000000,events/second
1585418566,57,0.129259,0.000000,0.000000,0.000000,events/second
1585418569,57,0.128387,0.000000,0.000000,0.000000,events/second
1585418572,57,0.127524,0.000000,0.000000,0.000000,events/second
1585418575,57,0.126678,0.000000,0.000000,0.000000,events/second
1585418578,57,0.125835,0.000000,0.000000,0.000000,events/second
1585418581,57,0.125007,0.000000,0.000000,0.000000,events/second
1585418584,59,0.128538,0.000000,0.000000,0.000000,events/second
1585418587,59,0.127712,0.000000,0.000000,0.000000,events/second
1585418590,59,0.126893,0.000000,0.000000,0.000000,events/second
1585418593,59,0.126075,0.000000,0.000000,0.000000,events/second
1585418596,59,0.125272,0.000000,0.000000,0.000000,events/second
1585418599,59,0.124478,0.000000,0.000000,0.000000,events/second
1585418602,59,0.123696,0.000000,0.000000,0.000000,events/second
1585418605,61,0.127094,0.000000,0.000000,0.000000,events/second
1585418608,61,0.126301,0.000000,0.000000,0.000000,events/second
1585418611,61,0.125525,0.000000,0.000000,0.000000,events/second
1585418614,61,0.124755,0.000000,0.000000,0.000000,events/second
1585418617,61,0.123990,0.000000,0.000000,0.000000,events/second
1585418620,61,0.123240,0.000000,0.000000,0.000000,events/second
1585418623,61,0.122495,0.000000,0.000000,0.000000,events/second
1585418626,63,0.125761,0.000000,0.000000,0.000000,events/second
1585418629,63,0.125009,0.000000,0.000000,0.000000,events/second
1585418632,63,0.124266,0.000000,0.000000,0.000000,events/second
1585418635,63,0.123534,0.000000,0.000000,0.000000,events/second
1585418638,63,0.122815,0.000000,0.000000,0.000000,events/second
1585418641,63,0.122104,0.000000,0.000000,0.000000,events/second
1585418644,65,0.125248,0.000000,0.000000,0.000000,events/second
1585418647,65,0.124527,0.000000,0.000000,0.000000,events/second
1585418650,65,0.123819,0.000000,0.000000,0.000000,events/second
1585418653,65,0.123111,0.000000,0.000000,0.000000,events/second
1585418656,65,0.122417,0.000000,0.000000,0.000000,events/second
1585418659,65,0.121728,0.000000,0.000000,0.000000,events/second
1585418662,65,0.121052,0.000000,0.000000,0.000000,events/second
1585418665,67,0.124080,0.000000,0.000000,0.000000,events/second
1585418668,67,0.123395,0.000000,0.000000,0.000000,events/second
1585418671,67,0.122716,0.000000,0.000000,0.000000,events/second
1585418674,67,0.122037,0.000000,0.000000,0.000000,events/second
1585418677,67,0.121382,0.000000,0.000000,0.000000,events/second
1585418680,67,0.120731,0.000000,0.000000,0.000000,events/second
1585418683,67,0.120081,0.000000,0.000000,0.000000,events/second
1585418686,69,0.123001,0.000000,0.000000,0.000000,events/second
1585418689,69,0.122346,0.000000,0.000000,0.000000,events/second
1585418692,69,0.121696,0.000000,0.000000,0.000000,events/second
1585418695,69,0.121062,0.000000,0.000000,0.000000,events/second
1585418698,69,0.120429,0.000000,0.000000,0.000000,events/second
1585418701,69,0.119801,0.000000,0.000000,0.000000,events/second
1585418704,71,0.122635,0.000000,0.000000,0.000000,events/second
1585418707,71,0.121999,0.000000,0.000000,0.000000,events/second
1585418710,71,0.121373,0.000000,0.000000,0.000000,events/second
1585418713,71,0.120753,0.000000,0.000000,0.000000,events/second
1585418716,71,0.120142,0.000000,0.000000,0.000000,events/second
1585418719,71,0.119536,0.000000,0.000000,0.000000,events/second
1585418722,71,0.118938,0.000000,0.000000,0.000000,events/second
1585418725,73,0.121672,0.000000,0.000000,0.000000,events/second
1585418728,73,0.121067,0.000000,0.000000,0.000000,events/second
1585418731,73,0.120457,0.000000,0.000000,0.000000,events/second
1585418734,73,0.119874,0.000000,0.000000,0.000000,events/second
1585418737,73,0.119286,0.000000,0.000000,0.000000,events/second
1585418740,73,0.118704,0.000000,0.000000,0.000000,events/second
1585418743,73,0.118128,0.000000,0.000000,0.000000,events/second
1585418746,75,0.120781,0.000000,0.000000,0.000000,events/second
1585418749,75,0.120198,0.000000,0.000000,0.000000,events/second
1585418752,75,0.119622,0.000000,0.000000,0.000000,events/second
1585418755,75,0.119053,0.000000,0.000000,0.000000,events/second
1585418758,75,0.118488,0.000000,0.000000,0.000000,events/second
1585418761,75,0.117930,0.000000,0.000000,0.000000,events/second
1585418764,77,0.120506,0.000000,0.000000,0.000000,events/second
1585418767,77,0.119947,0.000000,0.000000,0.000000,events/second
1585418770,77,0.119384,0.000000,0.000000,0.000000,events/second
1585418773,77,0.118831,0.000000,0.000000,0.000000,events/second
1585418776,77,0.118285,0.000000,0.000000,0.000000,events/second
1585418779,77,0.117741,0.000000,0.000000,0.000000,events/second
1585418782,77,0.117204,0.000000,0.000000,0.000000,events/second
1585418785,79,0.119702,0.000000,0.000000,0.000000,events/second
1585418788,79,0.119160,0.000000,0.000000,0.000000,events/second
1585418791,79,0.118626,0.000000,0.000000,0.000000,events/second
1585418794,79,0.118094,0.000000,0.000000,0.000000,events/second
1585418797,79,0.117560,0.000000,0.000000,0.000000,events/second
1585418800,79,0.117041,0.000000,0.000000,0.000000,events/second
1585418803,79,0.116518,0.000000,0.000000,0.000000,events/second
1585418806,81,0.118948,0.000000,0.000000,0.000000,events/second
1585418809,81,0.118424,0.000000,0.000000,0.000000,events/second
1585418812,81,0.117908,0.000000,0.000000,0.000000,events/second
1585418815,81,0.117395,0.000000,0.000000,0.000000,events/second
1585418818,81,0.116887,0.000000,0.000000,0.000000,events/second
1585418821,81,0.116383,0.000000,0.000000,0.000000,events/second
1585418824,83,0.118745,0.000000,0.000000,0.000000,events/second
1585418827,83,0.118238,0.000000,0.000000,0.000000,events/second
1585418830,83,0.117738,0.000000,0.000000,0.000000,events/second
1585418833,83,0.117236,0.000000,0.000000,0.000000,events/second
1585418836,83,0.116742,0.000000,0.000000,0.000000,events/second
1585418839,83,0.116251,0.000000,0.000000,0.000000,events/second
1585418842,83,0.115765,0.000000,0.000000,0.000000,events/second
1585418845,85,0.118064,0.000000,0.000000,0.000000,events/second
1585418848,85,0.117568,0.000000,0.000000,0.000000,events/second
1585418851,85,0.117084,0.000000,0.000000,0.000000,events/second
1585418854,85,0.116602,0.000000,0.000000,0.000000,events/second
1585418857,85,0.116127,0.000000,0.000000,0.000000,events/second
1585418860,85,0.115650,0.000000,0.000000,0.000000,events/second
1585418863,85,0.115184,0.000000,0.000000,0.000000,events/second
1585418866,87,0.117415,0.000000,0.000000,0.000000,events/second
1585418869,87,0.116942,0.000000,0.000000,0.000000,events/second
1585418872,87,0.116470,0.000000,0.000000,0.000000,events/second
1585418875,87,0.116004,0.000000,0.000000,0.000000,events/second
1585418878,87,0.115542,0.000000,0.000000,0.000000,events/second
1585418881,87,0.115084,0.000000,0.000000,0.000000,events/second
1585418884,89,0.117263,0.000000,0.000000,0.000000,events/second
1585418887,89,0.116801,0.000000,0.000000,0.000000,events/second
1585418890,89,0.116344,0.000000,0.000000,0.000000,events/second
1585418893,89,0.115888,0.000000,0.000000,0.000000,events/second
1585418896,89,0.115436,0.000000,0.000000,0.000000,events/second
1585418899,89,0.114994,0.000000,0.000000,0.000000,events/second
1585418902,89,0.114547,0.000000,0.000000,0.000000,events/second
1585418905,91,0.116670,0.000000,0.000000,0.000000,events/second
1585418908,91,0.116223,0.000000,0.000000,0.000000,events/second
1585418911,91,0.115780,0.000000,0.000000,0.000000,events/second
1585418914,91,0.115339,0.000000,0.000000,0.000000,events/second
1585418917,91,0.114902,0.000000,0.000000,0.000000,events/second
1585418920,91,0.114469,0.000000,0.000000,0.000000,events/second
1585418923,91,0.114041,0.000000,0.000000,0.000000,events/second
1585418926,93,0.116109,0.000000,0.000000,0.000000,events/second
1585418929,93,0.115678,0.000000,0.000000,0.000000,events/second
1585418932,93,0.115248,0.000000,0.000000,0.000000,events/second
1585418935,93,0.114820,0.000000,0.000000,0.000000,events/second
1585418938,93,0.114395,0.000000,0.000000,0.000000,events/second
1585418941,93,0.113974,0.000000,0.000000,0.000000,events/second
1585418944,95,0.115999,0.000000,0.000000,0.000000,events/second
1585418947,95,0.115579,0.000000,0.000000,0.000000,events/second
1585418950,95,0.115156,0.000000,0.000000,0.000000,events/second
1585418953,95,0.114741,0.000000,0.000000,0.000000,events/second
1585418956,95,0.114324,0.000000,0.000000,0.000000,events/second
1585418959,95,0.113907,0.000000,0.000000,0.000000,events/second
1585418962,95,0.113504,0.000000,0.000000,0.000000,events/second
1585418965,97,0.115480,0.000000,0.000000,0.000000,events/second
1585418968,97,0.115069,0.000000,0.000000,0.000000,events/second
1585418971,97,0.114661,0.000000,0.000000,0.000000,events/second
1585418974,97,0.114256,0.000000,0.000000,0.000000,events/second
1585418977,97,0.113853,0.000000,0.000000,0.000000,events/second
1585418980,97,0.113454,0.000000,0.000000,0.000000,events/second
1585418983,97,0.113060,0.000000,0.000000,0.000000,events/second
1585418986,99,0.114986,0.000000,0.000000,0.000000,events/second
1585418989,99,0.114589,0.000000,0.000000,0.000000,events/second
1585418992,99,0.114190,0.000000,0.000000,0.000000,events/second
1585418995,99,0.113797,0.000000,0.000000,0.000000,events/second
1585418998,99,0.113405,0.000000,0.000000,0.000000,events/second
1585419001,99,0.113007,0.000000,0.000000,0.000000,events/second
1585419004,101,0.114906,0.000000,0.000000,0.000000,events/second
1585419007,101,0.114515,0.000000,0.000000,0.000000,events/second
1585419010,101,0.114127,0.000000,0.000000,0.000000,events/second
1585419013,101,0.113742,0.000000,0.000000,0.000000,events/second
1585419016,101,0.113359,0.000000,0.000000,0.000000,events/second
1585419019,101,0.112979,0.000000,0.000000,0.000000,events/second
1585419022,101,0.112601,0.000000,0.000000,0.000000,events/second
1585419025,103,0.114446,0.000000,0.000000,0.000000,events/second
1585419028,103,0.114068,0.000000,0.000000,0.000000,events/second
1585419031,103,0.113690,0.000000,0.000000,0.000000,events/second
1585419034,103,0.113314,0.000000,0.000000,0.000000,events/second
1585419037,103,0.112942,0.000000,0.000000,0.000000,events/second
1585419040,103,0.112572,0.000000,0.000000,0.000000,events/second
1585419043,103,0.112206,0.000000,0.000000,0.000000,events/second
1585419046,105,0.114010,0.000000,0.000000,0.000000,events/second
1585419049,105,0.113642,0.000000,0.000000,0.000000,events/second
1585419052,105,0.113272,0.000000,0.000000,0.000000,events/second
1585419055,105,0.112906,0.000000,0.000000,0.000000,events/second
1585419058,105,0.112543,0.000000,0.000000,0.000000,events/second
1585419061,105,0.112181,0.000000,0.000000,0.000000,events/second
1585419064,107,0.113954,0.000000,0.000000,0.000000,events/second
1585419067,107,0.113591,0.000000,0.000000,0.000000,events/second
1585419070,107,0.113231,0.000000,0.000000,0.000000,events/second
1585419073,107,0.112872,0.000000,0.000000,0.000000,events/second
1585419076,107,0.112516,0.000000,0.000000,0.000000,events/second
1585419079,107,0.112165,0.000000,0.000000,0.000000,events/second
1585419082,107,0.111811,0.000000,0.000000,0.000000,events/second
1585419085,109,0.113545,0.000000,0.000000,0.000000,events/second
1585419088,109,0.113191,0.000000,0.000000,0.000000,events/second
1585419091,109,0.112835,0.000000,0.000000,0.000000,events/second
1585419094,109,0.112491,0.000000,0.000000,0.000000,events/second
1585419097,109,0.112142,0.000000,0.000000,0.000000,events/second
1585419100,109,0.111798,0.000000,0.000000,0.000000,events/second
1585419103,109,0.111456,0.000000,0.000000,0.000000,events/second
1585419106,111,0.113153,0.000000,0.000000,0.000000,events/second
1585419109,111,0.112808,0.000000,0.000000,0.000000,events/second
1585419112,111,0.112464,0.000000,0.000000,0.000000,events/second
1585419115,111,0.112124,0.000000,0.000000,0.000000,events/second
1585419118,111,0.111785,0.000000,0.000000,0.000000,events/second
1585419121,111,0.111448,0.000000,0.000000,0.000000,events/second
1585419124,113,0.113118,0.000000,0.000000,0.000000,events/second
1585419127,113,0.112778,0.000000,0.000000,0.000000,events/second
1585419130,113,0.112441,0.000000,0.000000,0.000000,events/second
1585419133,113,0.112106,0.000000,0.000000,0.000000,events/second
1585419136,113,0.111774,0.000000,0.000000,0.000000,events/second
1585419139,113,0.111443,0.000000,0.000000,0.000000,events/second
1585419142,113,0.111114,0.000000,0.000000,0.000000,events/second
1585419145,115,0.112748,0.000000,0.000000,0.000000,events/second
1585419148,115,0.112417,0.000000,0.000000,0.000000,events/second
