t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,14,2.332300,0.000000,0.000000,0.000000,events/second
1585418134,17,1.897731,0.000000,0.000000,0.000000,events/second
1585418137,17,1.421022,0.000000,0.000000,0.000000,events/second
1585418140,17,1.137003,0.000000,0.000000,0.000000,events/second
1585418143,23,1.280385,0.000000,0.000000,0.000000,events/second
1585418146,77,3.674437,0.000000,0.000000,0.000000,events/second
1585418149,87,3.626556,0.000000,0.000000,0.000000,events/second
1585418152,87,3.225221,0.000000,0.000000,0.000000,events/second
1585418155,87,2.902451,0.000000,0.000000,0.000000,events/second
1585418158,87,2.639550,0.000000,0.000000,0.000000,events/second
1585418161,87,2.419179,0.000000,0.000000,0.000000,events/second
1585418164,112,2.875180,0.000000,0.000000,0.000000,events/second
1585418167,112,2.667870,0.000000,0.000000,0.000000,events/second
1585418170,112,2.489968,0.000000,0.000000,0.000000,events/second
1585418173,112,2.333440,0.000000,0.000000,0.000000,events/second
1585418176,117,2.295094,0.000000,0.000000,0.000000,events/second
1585418179,122,2.260283,0.000000,0.000000,0.000000,events/second
1585418182,132,2.316672,0.000000,0.000000,0.000000,events/second
1585418185,162,2.701112,0.000000,0.000000,0.000000,events/second
1585418188,172,2.731008,0.000000,0.000000,0.000000,events/second
1585418191,182,2.758512,0.000000,0.000000,0.000000,events/second
1585418194,192,2.783470,0.000000,0.000000,0.000000,events/second
1585418197,202,2.806642,0.000000,0.000000,0.000000,events/second
1585418200,207,2.761588,0.000000,0.000000,0.000000,events/second
1585418203,232,2.972604,0.000000,0.000000,0.000000,events/second
1585418206,237,2.925667,0.000000,0.000000,0.000000,events/second
1585418209,237,2.822120,0.000000,0.000000,0.000000,events/second
1585418212,242,2.782438,0.000000,0.000000,0.000000,events/second
1585418215,242,2.689349,0.000000,0.000000,0.000000,events/second
1585418218,242,2.603165,0.000000,0.000000,0.000000,events/second
1585418221,242,2.521401,0.000000,0.000000,0.000000,events/second
1585418224,267,2.698177,0.000000,0.000000,0.000000,events/second
1585418227,267,2.618391,0.000000,0.000000,0.000000,events/second
1585418230,267,2.543799,0.000000,0.000000,0.000000,events/second
1585418233,267,2.470906,0.000000,0.000000,0.000000,events/second
1585418236,267,2.404362,0.000000,0.000000,0.000000,events/second
1585418239,267,2.335557,0.000000,0.000000,0.000000,events/second
1585418242,267,2.282801,0.000000,0.000000,0.000000,events/second
1585418245,292,2.432451,0.000000,0.000000,0.000000,events/second
1585418248,292,2.374449,0.000000,0.000000,0.000000,events/second
