t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,15,2.498108,0.000000,0.000000,0.000000,events/second
1585418134,19,2.120618,0.000000,0.000000,0.000000,events/second
1585418137,19,1.587973,0.000000,0.000000,0.000000,events/second
1585418140,19,1.270655,0.000000,0.000000,0.000000,events/second
1585418143,27,1.502921,0.000000,0.000000,0.000000,events/second
1585418146,85,4.055846,0.000000,0.000000,0.000000,events/second
1585418149,97,4.043113,0.000000,0.000000,0.000000,events/second
1585418152,97,3.595615,0.000000,0.000000,0.000000,events/second
1585418155,97,3.235880,0.000000,0.000000,0.000000,events/second
1585418158,97,2.942805,0.000000,0.000000,0.000000,events/second
1585418161,97,2.697144,0.000000,0.000000,0.000000,events/second
1585418164,124,3.183131,0.000000,0.000000,0.000000,events/second
1585418167,124,2.953578,0.000000,0.000000,0.000000,events/second
1585418170,124,2.756629,0.000000,0.000000,0.000000,events/second
1585418173,124,2.583356,0.000000,0.000000,0.000000,events/second
1585418176,129,2.530395,0.000000,0.000000,0.000000,events/second
1585418179,134,2.482521,0.000000,0.000000,0.000000,events/second
1585418182,144,2.527196,0.000000,0.000000,0.000000,events/second
1585418185,176,2.934453,0.000000,0.000000,0.000000,events/second
1585418188,186,2.953219,0.000000,0.000000,0.000000,events/second
1585418191,196,2.970630,0.000000,0.000000,0.000000,events/second
1585418194,206,2.986335,0.000000,0.000000,0.000000,events/second
1585418197,216,3.001095,0.000000,0.000000,0.000000,events/second
1585418200,221,2.948309,0.000000,0.000000,0.000000,events/second
1585418203,247,3.164728,0.000000,0.000000,0.000000,events/second
1585418206,253,3.123131,0.000000,0.000000,0.000000,events/second
1585418209,253,3.012565,0.000000,0.000000,0.000000,events/second
1585418212,258,2.966342,0.000000,0.000000,0.000000,events/second
1585418215,258,2.867117,0.000000,0.000000,0.000000,events/second
1585418218,258,2.775228,0.000000,0.000000,0.000000,events/second
1585418221,258,2.688052,0.000000,0.000000,0.000000,events/second
1585418224,285,2.880033,0.000000,0.000000,0.000000,events/second
1585418227,285,2.794868,0.000000,0.000000,0.000000,events/second
1585418230,285,2.715258,0.000000,0.000000,0.000000,events/second
1585418233,285,2.637446,0.000000,0.000000,0.000000,events/second
1585418236,285,2.566411,0.000000,0.000000,0.000000,events/second
1585418239,285,2.492950,0.000000,0.000000,0.000000,events/second
1585418242,285,2.436667,0.000000,0.000000,0.000000,events/second
1585418245,312,2.599029,0.000000,0.000000,0.000000,events/second
1585418248,312,2.537044,0.000000,0.000000,0.000000,events/second
1585418251,312,2.476630,0.000000,0.000000,0.000000,events/second
1585418254,312,2.418944,0.000000,0.000000,0.000000,events/second
1585418257,312,2.364063,0.000000,0.000000,0.000000,events/second
1585418260,312,2.311310,0.000000,0.000000,0.000000,events/second
1585418263,327,2.370005,0.000000,0.000000,0.000000,events/second
1585418266,339,2.404689,0.000000,0.000000,0.000000,events/second
1585418269,339,2.354554,0.000000,0.000000,0.000000,events/second
1585418272,339,2.306440,0.000000,0.000000,0.000000,events/second
1585418275,339,2.260393,0.000000,0.000000,0.000000,events/second
1585418278,339,2.215866,0.000000,0.000000,0.000000,events/second
1585418281,339,2.173770,0.000000,0.000000,0.000000,events/second
1585418284,366,2.300183,0.000000,0.000000,0.000000,events/second
1585418287,366,2.259513,0.000000,0.000000,0.000000,events/second
1585418290,366,2.218566,0.000000,0.000000,0.000000,events/second
1585418293,366,2.178904,0.000000,0.000000,0.000000,events/second
1585418296,366,2.140496,0.000000,0.000000,0.000000,events/second
1585418299,366,2.103712,0.000000,0.000000,0.000000,events/second
1585418302,366,2.068067,0.000000,0.000000,0.000000,events/second
1585418305,393,2.183623,0.000000,0.000000,0.000000,events/second
1585418308,393,2.147854,0.000000,0.000000,0.000000,events/second
1585418311,393,2.113211,0.000000,0.000000,0.000000,events/second
1585418314,393,2.079400,0.000000,0.000000,0.000000,events/second
1585418317,393,2.047099,0.000000,0.000000,0.000000,events/second
1585418320,393,2.015578,0.000000,0.000000,0.000000,events/second
1585418323,408,2.061132,0.000000,0.000000,0.000000,events/second
1585418326,420,2.089834,0.000000,0.000000,0.000000,events/second
1585418329,420,2.059111,0.000000,0.000000,0.000000,events/second
1585418332,420,2.029243,0.000000,0.000000,0.000000,events/second
1585418335,420,2.000246,0.000000,0.000000,0.000000,events/second
1585418338,420,1.972057,0.000000,0.000000,0.000000,events/second
1585418341,420,1.944556,0.000000,0.000000,0.000000,events/second
1585418344,447,2.041553,0.000000,0.000000,0.000000,events/second
1585418347,447,2.013754,0.000000,0.000000,0.000000,events/second
1585418350,452,2.009036,0.000000,0.000000,0.000000,events/second
1585418353,452,1.982687,0.000000,0.000000,0.000000,events/second
1585418356,452,1.956910,0.000000,0.000000,0.000000,events/second
1585418359,452,1.931845,0.000000,0.000000,0.000000,events/second
1585418362,452,1.907357,0.000000,0.000000,0.000000,events/second
1585418365,479,1.996025,0.000000,0.000000,0.000000,events/second
1585418368,479,1.971404,0.000000,0.000000,0.000000,events/second
1585418371,479,1.947337,0.000000,0.000000,0.000000,events/second
1585418374,479,1.923552,0.000000,0.000000,0.000000,events/second
1585418377,479,1.900880,0.000000,0.000000,0.000000,events/second
1585418380,479,1.878624,0.000000,0.000000,0.000000,events/second
1585418383,494,1.915079,0.000000,0.000000,0.000000,events/second
1585418386,511,1.958032,0.000000,0.000000,0.000000,events/second
1585418389,521,1.973575,0.000000,0.000000,0.000000,events/second
1585418392,531,1.988956,0.000000,0.000000,0.000000,events/second
1585418395,546,2.022404,0.000000,0.000000,0.000000,events/second
1585418398,561,2.055033,0.000000,0.000000,0.000000,events/second
1585418401,566,2.050723,0.000000,0.000000,0.000000,events/second
1585418404,593,2.125792,0.000000,0.000000,0.000000,events/second
1585418407,593,2.103039,0.000000,0.000000,0.000000,events/second
1585418410,593,2.080839,0.000000,0.000000,0.000000,events/second
1585418413,593,2.059221,0.000000,0.000000,0.000000,events/second
1585418416,593,2.037984,0.000000,0.000000,0.000000,events/second
1585418419,593,2.017116,0.000000,0.000000,0.000000,events/second
1585418422,593,1.996813,0.000000,0.000000,0.000000,events/second
1585418425,620,2.066851,0.000000,0.000000,0.000000,events/second
1585418428,620,2.046378,0.000000,0.000000,0.000000,events/second
1585418431,620,2.026294,0.000000,0.000000,0.000000,events/second
1585418434,620,2.006617,0.000000,0.000000,0.000000,events/second
1585418437,620,1.987326,0.000000,0.000000,0.000000,events/second
1585418440,620,1.968404,0.000000,0.000000,0.000000,events/second
1585418443,635,1.997163,0.000000,0.000000,0.000000,events/second
1585418446,647,2.015736,0.000000,0.000000,0.000000,events/second
1585418449,647,1.997051,0.000000,0.000000,0.000000,events/second
1585418452,647,1.978731,0.000000,0.000000,0.000000,events/second
1585418455,647,1.960736,0.000000,0.000000,0.000000,events/second
1585418458,647,1.943099,0.000000,0.000000,0.000000,events/second
1585418461,647,1.925750,0.000000,0.000000,0.000000,events/second
1585418464,674,1.988414,0.000000,0.000000,0.000000,events/second
1585418467,674,1.970818,0.000000,0.000000,0.000000,events/second
1585418470,674,1.953751,0.000000,0.000000,0.000000,events/second
1585418473,674,1.936908,0.000000,0.000000,0.000000,events/second
1585418476,674,1.920373,0.000000,0.000000,0.000000,events/second
1585418479,674,1.904094,0.000000,0.000000,0.000000,events/second
1585418482,674,1.888111,0.000000,0.000000,0.000000,events/second
1585418485,701,1.947348,0.000000,0.000000,0.000000,events/second
1585418488,701,1.931254,0.000000,0.000000,0.000000,events/second
1585418491,701,1.915442,0.000000,0.000000,0.000000,events/second
1585418494,701,1.899867,0.000000,0.000000,0.000000,events/second
1585418497,701,1.884544,0.000000,0.000000,0.000000,events/second
1585418500,701,1.869478,0.000000,0.000000,0.000000,events/second
1585418503,711,1.881159,0.000000,0.000000,0.000000,events/second
1585418506,728,1.910878,0.000000,0.000000,0.000000,events/second
1585418509,728,1.896047,0.000000,0.000000,0.000000,events/second
1585418512,728,1.881362,0.000000,0.000000,0.000000,events/second
1585418515,728,1.866782,0.000000,0.000000,0.000000,events/second
1585418518,728,1.852545,0.000000,0.000000,0.000000,events/second
1585418521,728,1.838510,0.000000,0.000000,0.000000,events/second
1585418524,755,1.892437,0.000000,0.000000,0.000000,events/second
1585418527,755,1.878236,0.000000,0.000000,0.000000,events/second
1585418530,755,1.864308,0.000000,0.000000,0.000000,events/second
1585418533,755,1.850613,0.000000,0.000000,0.000000,events/second
1585418536,755,1.837103,0.000000,0.000000,0.000000,events/second
1585418539,755,1.823896,0.000000,0.000000,0.000000,events/second
1585418542,755,1.810669,0.000000,0.000000,0.000000,events/second
1585418545,782,1.862025,0.000000,0.000000,0.000000,events/second
1585418548,782,1.848820,0.000000,0.000000,0.000000,events/second
1585418551,782,1.835793,0.000000,0.000000,0.000000,events/second
1585418554,782,1.822967,0.000000,0.000000,0.000000,events/second
1585418557,782,1.810270,0.000000,0.000000,0.000000,events/second
1585418560,792,1.820796,0.000000,0.000000,0.000000,events/second
1585418563,812,1.854093,0.000000,0.000000,0.000000,events/second
1585418566,834,1.891260,0.000000,0.000000,0.000000,events/second
1585418569,839,1.889764,0.000000,0.000000,0.000000,events/second
1585418572,839,1.877069,0.000000,0.000000,0.000000,events/second
1585418575,849,1.886840,0.000000,0.000000,0.000000,events/second
1585418578,864,1.907397,0.000000,0.000000,0.000000,events/second
1585418581,869,1.905810,0.000000,0.000000,0.000000,events/second
1585418584,901,1.962932,0.000000,0.000000,0.000000,events/second
1585418587,901,1.950318,0.000000,0.000000,0.000000,events/second
1585418590,901,1.937806,0.000000,0.000000,0.000000,events/second
1585418593,901,1.925320,0.000000,0.000000,0.000000,events/second
1585418596,901,1.913049,0.000000,0.000000,0.000000,events/second
1585418599,901,1.900918,0.000000,0.000000,0.000000,events/second
1585418602,901,1.888981,0.000000,0.000000,0.000000,events/second
1585418605,928,1.933490,0.000000,0.000000,0.000000,events/second
1585418608,928,1.921433,0.000000,0.000000,0.000000,events/second
1585418611,928,1.909622,0.000000,0.000000,0.000000,events/second
1585418614,928,1.897920,0.000000,0.000000,0.000000,events/second
1585418617,928,1.886268,0.000000,0.000000,0.000000,events/second
1585418620,928,1.874860,0.000000,0.000000,0.000000,events/second
1585418623,943,1.893649,0.000000,0.000000,0.000000,events/second
1585418626,955,1.906379,0.000000,0.000000,0.000000,events/second
1585418629,955,1.894984,0.000000,0.000000,0.000000,events/second
1585418632,955,1.883711,0.000000,0.000000,0.000000,events/second
1585418635,955,1.872615,0.000000,0.000000,0.000000,events/second
1585418638,955,1.861717,0.000000,0.000000,0.000000,events/second
1585418641,955,1.850942,0.000000,0.000000,0.000000,events/second
1585418644,982,1.892214,0.000000,0.000000,0.000000,events/second
1585418647,982,1.881316,0.000000,0.000000,0.000000,events/second
1585418650,982,1.870617,0.000000,0.000000,0.000000,events/second
1585418653,982,1.859920,0.000000,0.000000,0.000000,events/second
1585418656,982,1.849435,0.000000,0.000000,0.000000,events/second
1585418659,982,1.839024,0.000000,0.000000,0.000000,events/second
1585418662,982,1.828813,0.000000,0.000000,0.000000,events/second
1585418665,1009,1.868606,0.000000,0.000000,0.000000,events/second
1585418668,1009,1.858285,0.000000,0.000000,0.000000,events/second
1585418671,1009,1.848064,0.000000,0.000000,0.000000,events/second
1585418674,1009,1.837841,0.000000,0.000000,0.000000,events/second
1585418677,1009,1.827977,0.000000,0.000000,0.000000,events/second
