t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,14,2.331460,0.000000,0.000000,0.000000,events/second
1585418134,17,1.897349,0.000000,0.000000,0.000000,events/second
1585418137,17,1.420687,0.000000,0.000000,0.000000,events/second
1585418140,17,1.136900,0.000000,0.000000,0.000000,events/second
1585418143,23,1.280252,0.000000,0.000000,0.000000,events/second
1585418146,77,3.674087,0.000000,0.000000,0.000000,events/second
1585418149,87,3.626245,0.000000,0.000000,0.000000,events/second
1585418152,87,3.224890,0.000000,0.000000,0.000000,events/second
1585418155,87,2.902262,0.000000,0.000000,0.000000,events/second
1585418158,87,2.639409,0.000000,0.000000,0.000000,events/second
1585418161,87,2.419086,0.000000,0.000000,0.000000,events/second
1585418164,112,2.875088,0.000000,0.000000,0.000000,events/second
1585418167,112,2.667727,0.000000,0.000000,0.000000,events/second
1585418170,112,2.489840,0.000000,0.000000,0.000000,events/second
1585418173,112,2.333343,0.000000,0.000000,0.000000,events/second
1585418176,117,2.294995,0.000000,0.000000,0.000000,events/second
1585418179,122,2.260196,0.000000,0.000000,0.000000,events/second
1585418182,132,2.316584,0.000000,0.000000,0.000000,events/second
1585418185,162,2.701021,0.000000,0.000000,0.000000,events/second
1585418188,172,2.730925,0.000000,0.000000,0.000000,events/second
1585418191,182,2.758428,0.000000,0.000000,0.000000,events/second
1585418194,192,2.783357,0.000000,0.000000,0.000000,events/second
1585418197,202,2.806573,0.000000,0.000000,0.000000,events/second
1585418200,207,2.761537,0.000000,0.000000,0.000000,events/second
1585418203,232,2.972529,0.000000,0.000000,0.000000,events/second
1585418206,237,2.925621,0.000000,0.000000,0.000000,events/second
1585418209,237,2.822035,0.000000,0.000000,0.000000,events/second
1585418212,242,2.782377,0.000000,0.000000,0.000000,events/second
1585418215,242,2.689312,0.000000,0.000000,0.000000,events/second
1585418218,242,2.603115,0.000000,0.000000,0.000000,events/second
1585418221,242,2.521343,0.000000,0.000000,0.000000,events/second
1585418224,267,2.698134,0.000000,0.000000,0.000000,events/second
1585418227,267,2.618345,0.000000,0.000000,0.000000,events/second
1585418230,267,2.543769,0.000000,0.000000,0.000000,events/second
1585418233,267,2.470867,0.000000,0.000000,0.000000,events/second
1585418236,267,2.404316,0.000000,0.000000,0.000000,events/second
