t,value
1585418128,0
1585418131,0
1585418134,0
1585418137,0
1585418140,0
1585418143,0
1585418146,0
1585418149,0
1585418152,0
1585418155,0
1585418158,0
1585418161,0
1585418164,0
1585418167,0
1585418170,0
1585418173,0
1585418176,0
1585418179,0
1585418182,0
1585418185,0
1585418188,0
1585418191,0
1585418194,0
1585418197,0
1585418200,0
1585418203,16
1585418206,16
1585418209,16
1585418212,16
1585418215,16
1585418218,16
1585418221,16
1585418224,16
1585418227,16
1585418230,16
1585418233,16
1585418236,16
1585418239,16
1585418242,16
1585418245,16
1585418248,16
1585418251,16
1585418254,16
1585418257,16
1585418260,16
1585418263,16
1585418266,16
1585418269,16
1585418272,16
1585418275,16
1585418278,16
1585418281,16
1585418284,16
1585418287,16
1585418290,16
1585418293,16
1585418296,16
1585418299,16
1585418302,16
1585418305,16
1585418308,16
1585418311,16
1585418314,16
1585418317,16
1585418320,16
1585418323,16
1585418326,16
1585418329,16
1585418332,16
1585418335,16
1585418338,16
1585418341,16
1585418344,16
1585418347,16
1585418350,16
1585418353,16
1585418356,16
1585418359,16
1585418362,16
1585418365,16
1585418368,16
1585418371,16
1585418374,16
1585418377,16
1585418380,16
1585418383,16
1585418386,16
1585418389,16
1585418392,16
1585418395,16
1585418398,16
1585418401,16
1585418404,16
1585418407,16
1585418410,16
1585418413,16
1585418416,16
1585418419,16
1585418422,16
1585418425,16
1585418428,16
1585418431,16
1585418434,16
1585418437,16
1585418440,16
1585418443,16
1585418446,16
1585418449,16
1585418452,16
1585418455,16
1585418458,16
1585418461,16
1585418464,16
1585418467,16
1585418470,16
1585418473,16
1585418476,16
1585418479,16
1585418482,16
1585418485,16
1585418488,16
1585418491,16
1585418494,16
1585418497,16
1585418500,16
1585418503,16
1585418506,16
1585418509,16
1585418512,16
1585418515,16
1585418518,16
1585418521,16
1585418524,16
1585418527,16
1585418530,16
1585418533,16
1585418536,16
1585418539,16
1585418542,16
1585418545,16
1585418548,16
1585418551,16
1585418554,16
1585418557,16
1585418560,16
1585418563,16
1585418566,16
1585418569,16
1585418572,16
1585418575,16
1585418578,16
1585418581,16
1585418584,16
1585418587,16
1585418590,16
1585418593,16
1585418596,16
1585418599,16
1585418602,16
1585418605,16
1585418608,16
1585418611,16
1585418614,16
1585418617,16
1585418620,16
1585418623,16
1585418626,16
1585418629,16
1585418632,16
1585418635,16
1585418638,16
1585418641,16
1585418644,16
1585418647,16
1585418650,16
1585418653,16
1585418656,16
1585418659,16
1585418662,16
1585418665,16
1585418668,16
1585418671,16
1585418674,16
1585418677,16
1585418680,16
1585418683,16
1585418686,16
1585418689,16
1585418692,16
1585418695,16
1585418698,16
1585418701,16
1585418704,16
1585418707,16
1585418710,16
1585418713,16
1585418716,16
1585418719,16
1585418722,16
1585418725,16
1585418728,16
1585418731,16
1585418734,16
1585418737,16
1585418740,16
1585418743,16
1585418746,16
1585418749,16
1585418752,16
1585418755,16
1585418758,16
1585418761,16
1585418764,16
1585418767,16
1585418770,16
1585418773,16
1585418776,16
1585418779,16
1585418782,16
1585418785,16
1585418788,16
1585418791,16
1585418794,16
1585418797,16
1585418800,16
1585418803,16
1585418806,16
1585418809,16
1585418812,16
1585418815,16
1585418818,16
1585418821,16
1585418824,16
1585418827,16
1585418830,16
1585418833,16
1585418836,16
1585418839,16
1585418842,16
1585418845,16
1585418848,16
1585418851,16
1585418854,16
1585418857,16
1585418860,16
1585418863,16
1585418866,16
1585418869,16
1585418872,16
1585418875,16
1585418878,16
1585418881,16
1585418884,16
1585418887,16
1585418890,16
1585418893,16
1585418896,16
1585418899,16
1585418902,16
1585418905,16
1585418908,16
1585418911,16
1585418914,16
1585418917,16
1585418920,16
1585418923,16
1585418926,16
1585418929,16
1585418932,16
1585418935,16
1585418938,16
1585418941,16
1585418944,16
1585418947,16
1585418950,16
1585418953,16
1585418956,16
1585418959,16
1585418962,16
1585418965,16
1585418968,16
1585418971,16
1585418974,16
1585418977,16
1585418980,16
1585418983,16
1585418986,16
1585418989,16
1585418992,16
1585418995,16
1585418998,16
1585419001,16
1585419004,16
1585419007,16
1585419010,16
1585419013,16
1585419016,16
1585419019,16
1585419022,16
1585419025,16
1585419028,16
1585419031,16
1585419034,16
1585419037,16
1585419040,16
1585419043,16
1585419046,16
1585419049,16
1585419052,16
1585419055,16
1585419058,16
1585419061,16
1585419064,16
1585419067,16
1585419070,16
1585419073,16
1585419076,16
1585419079,16
1585419082,16
1585419085,16
1585419088,16
1585419091,16
1585419094,16
1585419097,16
1585419100,16
1585419103,16
1585419106,16
1585419109,16
1585419112,16
1585419115,16
1585419118,16
1585419121,16
1585419124,16
1585419127,16
1585419130,16
1585419133,16
1585419136,16
1585419139,16
1585419142,16
1585419145,16
1585419148,16
1585419151,16
1585419154,16
1585419157,16
1585419160,16
1585419163,16
1585419166,16
1585419169,16
1585419172,16
1585419175,16
1585419178,16
1585419181,16
1585419184,16
1585419187,16
1585419190,16
1585419193,16
1585419196,16
1585419199,16
1585419202,16
1585419205,16
1585419208,16
1585419211,16
1585419214,16
1585419217,16
1585419220,16
1585419223,16
1585419226,16
1585419229,16
1585419232,16
1585419235,16
1585419238,16
1585419241,16
1585419244,16
1585419247,16
1585419250,16
1585419253,16
1585419256,16
1585419259,16
1585419262,16
1585419265,16
1585419268,16
1585419271,16
1585419274,16
1585419277,16
1585419280,16
1585419283,16
1585419286,16
1585419289,16
1585419292,16
1585419295,16
1585419298,16
1585419301,16
1585419304,16
1585419307,16
1585419310,16
1585419313,16
1585419316,16
1585419319,16
1585419322,16
1585419325,16
1585419328,16
1585419331,16
1585419334,16
1585419337,16
1585419340,16
1585419343,16
1585419346,16
1585419349,22022
1585419352,22022
1585419355,22022
1585419358,22022
1585419361,22022
1585419364,22022
1585419367,22022
1585419370,22022
1585419373,22022
1585419376,22022
1585419379,22022
1585419382,22022
1585419385,22022
1585419388,22022
1585419391,22022
1585419394,22022
1585419397,22022
1585419400,22022
1585419403,22022
1585419406,22022
1585419409,22022
1585419412,22022
1585419415,22022
1585419418,22022
1585419421,22022
1585419424,22022
1585419427,22022
1585419430,22022
1585419433,22022
1585419436,22022
1585419439,22022
1585419442,22022
1585419445,22022
1585419448,22022
1585419451,22022
1585419454,22022
1585419457,22022
1585419460,22022
1585419463,22022
1585419466,22022
1585419469,22022
1585419472,22022
1585419475,22022
1585419478,22022
1585419481,22022
1585419484,22022
1585419487,22022
1585419490,22022
1585419493,22022
1585419496,22022
1585419499,22022
1585419502,22022
1585419505,22022
1585419508,22022
1585419511,22022
1585419514,22022
1585419517,22022
1585419520,22022
1585419523,22022
1585419526,22022
1585419529,22022
1585419532,22022
1585419535,22022
1585419538,22022
1585419541,22022
1585419544,22022
1585419547,22022
1585419550,22022
1585419553,22022
1585419556,22022
1585419559,22022
1585419562,22022
1585419565,22022
1585419568,22022
1585419571,22022
1585419574,22022
1585419577,22022
1585419580,22022
1585419583,22022
1585419586,22022
1585419589,22022
1585419592,22022
1585419595,22022
1585419598,22022
1585419601,22022
1585419604,22022
1585419607,22022
1585419610,22022
1585419613,22022
1585419616,22022
1585419619,22022
1585419622,22022
1585419625,22022
1585419628,22022
1585419631,22022
1585419634,22022
1585419637,22022
1585419640,22022
1585419643,22022
1585419646,22022
1585419649,22022
1585419652,22022
1585419655,22022
1585419658,22022
1585419661,22022
