t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,64,6.130050,0.000000,0.000000,0.000000,events/second
1585418131,64,4.803585,0.000000,0.000000,0.000000,events/second
1585418134,64,3.932338,0.000000,0.000000,0.000000,events/second
1585418137,64,3.319153,0.000000,0.000000,0.000000,events/second
1585418140,64,2.874175,0.000000,0.000000,0.000000,events/second
1585418143,64,2.530860,0.000000,0.000000,0.000000,events/second
1585418146,64,2.263692,0.000000,0.000000,0.000000,events/second
1585418149,64,2.044173,0.000000,0.000000,0.000000,events/second
1585418152,64,1.866199,0.000000,0.000000,0.000000,events/second
1585418155,64,1.716178,0.000000,0.000000,0.000000,events/second
1585418158,64,1.588958,0.000000,0.000000,0.000000,events/second
1585418161,64,1.478795,0.000000,0.000000,0.000000,events/second
1585418164,64,1.383202,0.000000,0.000000,0.000000,events/second
1585418167,64,1.298207,0.000000,0.000000,0.000000,events/second
1585418170,64,1.223755,0.000000,0.000000,0.000000,events/second
1585418173,64,1.157003,0.000000,0.000000,0.000000,events/second
1585418176,64,1.097840,0.000000,0.000000,0.000000,events/second
1585418179,64,1.044163,0.000000,0.000000,0.000000,events/second
1585418182,64,0.995392,0.000000,0.000000,0.000000,events/second
1585418185,64,0.951067,0.000000,0.000000,0.000000,events/second
1585418188,64,0.910423,0.000000,0.000000,0.000000,events/second
1585418191,64,0.873186,0.000000,0.000000,0.000000,events/second
1585418194,64,0.838825,0.000000,0.000000,0.000000,events/second
1585418197,64,0.807173,0.000000,0.000000,0.000000,events/second
1585418200,64,0.777902,0.000000,0.000000,0.000000,events/second
1585418203,8134,95.286618,0.000000,0.000000,0.000000,events/second
1585418206,8134,92.093961,0.000000,0.000000,0.000000,events/second
1585418209,8134,89.093682,0.000000,0.000000,0.000000,events/second
1585418212,8134,86.264407,0.000000,0.000000,0.000000,events/second
1585418215,8134,83.597197,0.000000,0.000000,0.000000,events/second
1585418218,8134,81.112437,0.000000,0.000000,0.000000,events/second
1585418221,8134,78.744428,0.000000,0.000000,0.000000,events/second
1585418224,8134,76.539410,0.000000,0.000000,0.000000,events/second
1585418227,8134,74.427267,0.000000,0.000000,0.000000,events/second
1585418230,8134,72.446174,0.000000,0.000000,0.000000,events/second
1585418233,8134,70.498865,0.000000,0.000000,0.000000,events/second
1585418236,8134,68.718772,0.000000,0.000000,0.000000,events/second
1585418239,8134,66.868395,0.000000,0.000000,0.000000,events/second
1585418242,8134,65.450176,0.000000,0.000000,0.000000,events/second
1585418245,8134,63.866690,0.000000,0.000000,0.000000,events/second
1585418248,8134,62.428064,0.000000,0.000000,0.000000,events/second
1585418251,8134,61.023033,0.000000,0.000000,0.000000,events/second
1585418254,8134,59.678170,0.000000,0.000000,0.000000,events/second
1585418257,8134,58.394931,0.000000,0.000000,0.000000,events/second
1585418260,8134,57.159718,0.000000,0.000000,0.000000,events/second
1585418263,8134,55.984554,0.000000,0.000000,0.000000,events/second
1585418266,8134,54.851908,0.000000,0.000000,0.000000,events/second
1585418269,8134,53.763575,0.000000,0.000000,0.000000,events/second
1585418272,8134,52.716589,0.000000,0.000000,0.000000,events/second
1585418275,8134,51.713498,0.000000,0.000000,0.000000,events/second
1585418278,8134,50.741656,0.000000,0.000000,0.000000,events/second
1585418281,8134,49.821029,0.000000,0.000000,0.000000,events/second
1585418284,8134,48.870882,0.000000,0.000000,0.000000,events/second
1585418287,8134,48.045696,0.000000,0.000000,0.000000,events/second
1585418290,8134,47.212023,0.000000,0.000000,0.000000,events/second
1585418293,8134,46.403103,0.000000,0.000000,0.000000,events/second
1585418296,8134,45.618963,0.000000,0.000000,0.000000,events/second
1585418299,8134,44.866244,0.000000,0.000000,0.000000,events/second
1585418302,8134,44.136255,0.000000,0.000000,0.000000,events/second
1585418305,8134,43.429455,0.000000,0.000000,0.000000,events/second
1585418308,8134,42.745528,0.000000,0.000000,0.000000,events/second
1585418311,8134,42.082105,0.000000,0.000000,0.000000,events/second
1585418314,8134,41.433928,0.000000,0.000000,0.000000,events/second
1585418317,8134,40.813772,0.000000,0.000000,0.000000,events/second
1585418320,8134,40.208246,0.000000,0.000000,0.000000,events/second
1585418323,8134,39.627111,0.000000,0.000000,0.000000,events/second
1585418326,8134,39.051602,0.000000,0.000000,0.000000,events/second
1585418329,8134,38.497520,0.000000,0.000000,0.000000,events/second
1585418332,8134,37.958028,0.000000,0.000000,0.000000,events/second
1585418335,8134,37.433958,0.000000,0.000000,0.000000,events/second
1585418338,8134,36.923714,0.000000,0.000000,0.000000,events/second
1585418341,8134,36.425921,0.000000,0.000000,0.000000,events/second
1585418344,8134,35.949008,0.000000,0.000000,0.000000,events/second
1585418347,8134,35.474868,0.000000,0.000000,0.000000,events/second
1585418350,8134,35.015324,0.000000,0.000000,0.000000,events/second
1585418353,8134,34.570248,0.000000,0.000000,0.000000,events/second
1585418356,8134,34.134486,0.000000,0.000000,0.000000,events/second
1585418359,8134,33.710627,0.000000,0.000000,0.000000,events/second
1585418362,8134,33.296039,0.000000,0.000000,0.000000,events/second
1585418365,8134,32.892125,0.000000,0.000000,0.000000,events/second
1585418368,8134,32.498322,0.000000,0.000000,0.000000,events/second
1585418371,8134,32.112991,0.000000,0.000000,0.000000,events/second
1585418374,8134,31.732110,0.000000,0.000000,0.000000,events/second
1585418377,8134,31.367973,0.000000,0.000000,0.000000,events/second
1585418380,8134,31.011541,0.000000,0.000000,0.000000,events/second
1585418383,8134,30.663434,0.000000,0.000000,0.000000,events/second
1585418386,8134,30.317673,0.000000,0.000000,0.000000,events/second
1585418389,8134,29.981294,0.000000,0.000000,0.000000,events/second
1585418392,8134,29.654748,0.000000,0.000000,0.000000,events/second
1585418395,8134,29.333797,0.000000,0.000000,0.000000,events/second
1585418398,8134,29.018583,0.000000,0.000000,0.000000,events/second
1585418401,8134,28.710140,0.000000,0.000000,0.000000,events/second
1585418404,8134,28.413800,0.000000,0.000000,0.000000,events/second
1585418407,8134,28.117253,0.000000,0.000000,0.000000,events/second
1585418410,8134,27.827854,0.000000,0.000000,0.000000,events/second
1585418413,8134,27.545940,0.000000,0.000000,0.000000,events/second
1585418416,8134,27.268819,0.000000,0.000000,0.000000,events/second
1585418419,8134,26.996435,0.000000,0.000000,0.000000,events/second
1585418422,8134,26.731173,0.000000,0.000000,0.000000,events/second
1585418425,8134,26.470209,0.000000,0.000000,0.000000,events/second
1585418428,8134,26.214189,0.000000,0.000000,0.000000,events/second
1585418431,8134,25.962855,0.000000,0.000000,0.000000,events/second
1585418434,8134,25.716592,0.000000,0.000000,0.000000,events/second
1585418437,8134,25.475020,0.000000,0.000000,0.000000,events/second
