t,value
1585418128,810923
1585418131,810923
1585418134,810923
1585418137,810923
1585418140,810923
1585418143,810923
1585418146,810923
1585418149,810923
1585418152,810923
1585418155,810923
1585418158,810923
1585418161,810923
1585418164,810923
1585418167,810923
1585418170,810923
1585418173,810923
1585418176,810923
1585418179,810923
1585418182,810923
1585418185,810923
1585418188,810923
1585418191,810923
1585418194,810923
1585418197,810923
1585418200,810923
1585418203,810923
1585418206,810923
1585418209,810923
1585418212,810923
1585418215,810923
1585418218,810923
1585418221,810923
1585418224,810923
1585418227,810923
1585418230,810923
1585418233,810923
1585418236,810923
1585418239,810923
1585418242,810923
1585418245,810923
1585418248,810923
1585418251,810923
1585418254,810923
1585418257,810923
1585418260,810923
1585418263,810923
1585418266,810923
1585418269,810923
1585418272,810923
1585418275,810923
1585418278,810923
1585418281,810923
1585418284,810923
1585418287,810923
1585418290,810923
1585418293,810923
1585418296,810923
1585418299,810923
1585418302,810923
1585418305,810923
1585418308,810923
1585418311,810923
1585418314,810923
1585418317,810923
1585418320,810923
1585418323,810923
1585418326,810923
1585418329,810923
1585418332,810923
1585418335,810923
1585418338,810923
1585418341,810923
1585418344,810923
1585418347,810923
1585418350,810923
1585418353,810923
1585418356,810923
1585418359,810923
1585418362,810923
1585418365,810923
1585418368,810923
1585418371,810923
1585418374,810923
1585418377,810923
1585418380,810923
1585418383,810923
1585418386,810923
1585418389,810923
1585418392,810923
1585418395,810923
1585418398,810923
1585418401,810923
1585418404,810923
1585418407,810923
1585418410,810923
1585418413,810923
1585418416,810923
1585418419,810923
1585418422,810923
1585418425,810923
1585418428,810923
1585418431,810923
1585418434,810923
1585418437,810923
1585418440,810923
1585418443,810923
1585418446,810923
1585418449,810923
1585418452,810923
1585418455,810923
1585418458,810923
1585418461,810923
1585418464,810923
1585418467,810923
1585418470,810923
1585418473,810923
1585418476,810923
1585418479,810923
1585418482,810923
1585418485,810923
1585418488,810923
1585418491,810923
1585418494,810923
1585418497,810923
1585418500,810923
1585418503,810923
1585418506,810923
1585418509,810923
1585418512,810923
1585418515,810923
1585418518,810923
1585418521,810923
1585418524,810923
1585418527,810923
1585418530,810923
1585418533,810923
1585418536,810923
1585418539,810923
1585418542,810923
1585418545,810923
1585418548,810923
1585418551,810923
1585418554,810923
1585418557,810923
1585418560,810923
1585418563,810923
1585418566,810923
1585418569,810923
1585418572,810923
1585418575,810923
1585418578,810923
1585418581,810923
1585418584,810923
1585418587,810923
1585418590,810923
1585418593,810923
1585418596,810923
1585418599,810923
1585418602,810923
1585418605,810923
1585418608,810923
1585418611,810923
1585418614,810923
1585418617,810923
1585418620,810923
1585418623,810923
1585418626,810923
1585418629,810923
1585418632,810923
1585418635,810923
1585418638,810923
1585418641,810923
1585418644,810923
1585418647,810923
1585418650,810923
1585418653,810923
1585418656,810923
1585418659,810923
1585418662,810923
1585418665,810923
1585418668,810923
1585418671,810923
1585418674,810923
1585418677,810923
1585418680,810923
1585418683,810923
1585418686,810923
1585418689,810923
1585418692,810923
