t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1,0.095720,0.000000,0.000000,0.000000,events/second
1585418131,5,0.374950,0.000000,0.000000,0.000000,events/second
1585418134,6,0.368558,0.000000,0.000000,0.000000,events/second
1585418137,6,0.311135,0.000000,0.000000,0.000000,events/second
1585418140,6,0.269438,0.000000,0.000000,0.000000,events/second
1585418143,6,0.237253,0.000000,0.000000,0.000000,events/second
1585418146,10,0.353687,0.000000,0.000000,0.000000,events/second
1585418149,10,0.319378,0.000000,0.000000,0.000000,events/second
1585418152,10,0.291577,0.000000,0.000000,0.000000,events/second
1585418155,10,0.268140,0.000000,0.000000,0.000000,events/second
1585418158,10,0.248265,0.000000,0.000000,0.000000,events/second
1585418161,10,0.231056,0.000000,0.000000,0.000000,events/second
1585418164,12,0.259344,0.000000,0.000000,0.000000,events/second
1585418167,12,0.243408,0.000000,0.000000,0.000000,events/second
1585418170,12,0.229448,0.000000,0.000000,0.000000,events/second
1585418173,12,0.216931,0.000000,0.000000,0.000000,events/second
1585418176,13,0.222994,0.000000,0.000000,0.000000,events/second
1585418179,13,0.212090,0.000000,0.000000,0.000000,events/second
1585418182,13,0.202186,0.000000,0.000000,0.000000,events/second
1585418185,15,0.222901,0.000000,0.000000,0.000000,events/second
1585418188,15,0.213377,0.000000,0.000000,0.000000,events/second
1585418191,15,0.204649,0.000000,0.000000,0.000000,events/second
1585418194,15,0.196596,0.000000,0.000000,0.000000,events/second
1585418197,15,0.189178,0.000000,0.000000,0.000000,events/second
1585418200,16,0.194473,0.000000,0.000000,0.000000,events/second
1585418203,25,0.292859,0.000000,0.000000,0.000000,events/second
1585418206,25,0.283048,0.000000,0.000000,0.000000,events/second
1585418209,25,0.273828,0.000000,0.000000,0.000000,events/second
1585418212,26,0.275735,0.000000,0.000000,0.000000,events/second
1585418215,26,0.267212,0.000000,0.000000,0.000000,events/second
1585418218,26,0.259269,0.000000,0.000000,0.000000,events/second
1585418221,26,0.251701,0.000000,0.000000,0.000000,events/second
1585418224,28,0.263471,0.000000,0.000000,0.000000,events/second
1585418227,28,0.256200,0.000000,0.000000,0.000000,events/second
1585418230,28,0.249382,0.000000,0.000000,0.000000,events/second
1585418233,28,0.242676,0.000000,0.000000,0.000000,events/second
