t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1,0.095701,0.000000,0.000000,0.000000,events/second
1585418131,5,0.374930,0.000000,0.000000,0.000000,events/second
1585418134,6,0.368544,0.000000,0.000000,0.000000,events/second
1585418137,6,0.311127,0.000000,0.000000,0.000000,events/second
1585418140,6,0.269433,0.000000,0.000000,0.000000,events/second
1585418143,6,0.237249,0.000000,0.000000,0.000000,events/second
1585418146,10,0.353683,0.000000,0.000000,0.000000,events/second
1585418149,10,0.318856,0.000000,0.000000,0.000000,events/second
1585418152,10,0.291574,0.000000,0.000000,0.000000,events/second
1585418155,10,0.268137,0.000000,0.000000,0.000000,events/second
1585418158,10,0.248261,0.000000,0.000000,0.000000,events/second
1585418161,10,0.231054,0.000000,0.000000,0.000000,events/second
1585418164,12,0.259342,0.000000,0.000000,0.000000,events/second
1585418167,12,0.243406,0.000000,0.000000,0.000000,events/second
1585418170,12,0.229446,0.000000,0.000000,0.000000,events/second
1585418173,12,0.216929,0.000000,0.000000,0.000000,events/second
1585418176,13,0.222993,0.000000,0.000000,0.000000,events/second
1585418179,13,0.212088,0.000000,0.000000,0.000000,events/second
1585418182,13,0.202185,0.000000,0.000000,0.000000,events/second
1585418185,15,0.222899,0.000000,0.000000,0.000000,events/second
1585418188,15,0.213376,0.000000,0.000000,0.000000,events/second
1585418191,15,0.204648,0.000000,0.000000,0.000000,events/second
1585418194,15,0.196595,0.000000,0.000000,0.000000,events/second
1585418197,15,0.189176,0.000000,0.000000,0.000000,events/second
1585418200,16,0.194472,0.000000,0.000000,0.000000,events/second
1585418203,18,0.210857,0.000000,0.000000,0.000000,events/second
1585418206,18,0.203793,0.000000,0.000000,0.000000,events/second
1585418209,18,0.197155,0.000000,0.000000,0.000000,events/second
1585418212,19,0.201498,0.000000,0.000000,0.000000,events/second
1585418215,19,0.195270,0.000000,0.000000,0.000000,events/second
1585418218,19,0.189465,0.000000,0.000000,0.000000,events/second
1585418221,19,0.183935,0.000000,0.000000,0.000000,events/second
