t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418134,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418137,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418140,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418143,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418146,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418149,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418152,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418155,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418158,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418161,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418164,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418167,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418170,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418173,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418176,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418179,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418182,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418185,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418188,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418191,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418194,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418197,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418200,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418203,7,0.082000,0.000000,0.000000,0.000000,events/second
1585418206,7,0.079252,0.000000,0.000000,0.000000,events/second
1585418209,7,0.076671,0.000000,0.000000,0.000000,events/second
1585418212,7,0.074236,0.000000,0.000000,0.000000,events/second
1585418215,7,0.071941,0.000000,0.000000,0.000000,events/second
1585418218,7,0.069803,0.000000,0.000000,0.000000,events/second
1585418221,7,0.067765,0.000000,0.000000,0.000000,events/second
1585418224,7,0.065867,0.000000,0.000000,0.000000,events/second
1585418227,7,0.064050,0.000000,0.000000,0.000000,events/second
1585418230,7,0.062345,0.000000,0.000000,0.000000,events/second
1585418233,7,0.060668,0.000000,0.000000,0.000000,events/second
1585418236,7,0.059137,0.000000,0.000000,0.000000,events/second
1585418239,7,0.057543,0.000000,0.000000,0.000000,events/second
1585418242,7,0.056325,0.000000,0.000000,0.000000,events/second
1585418245,7,0.054962,0.000000,0.000000,0.000000,events/second
1585418248,7,0.053723,0.000000,0.000000,0.000000,events/second
1585418251,7,0.052514,0.000000,0.000000,0.000000,events/second
1585418254,7,0.051357,0.000000,0.000000,0.000000,events/second
1585418257,7,0.050253,0.000000,0.000000,0.000000,events/second
1585418260,7,0.049190,0.000000,0.000000,0.000000,events/second
1585418263,7,0.048179,0.000000,0.000000,0.000000,events/second
1585418266,7,0.047204,0.000000,0.000000,0.000000,events/second
1585418269,7,0.046267,0.000000,0.000000,0.000000,events/second
1585418272,7,0.045366,0.000000,0.000000,0.000000,events/second
1585418275,7,0.044503,0.000000,0.000000,0.000000,events/second
1585418278,7,0.043667,0.000000,0.000000,0.000000,events/second
1585418281,7,0.042875,0.000000,0.000000,0.000000,events/second
1585418284,7,0.042056,0.000000,0.000000,0.000000,events/second
1585418287,7,0.041347,0.000000,0.000000,0.000000,events/second
1585418290,7,0.040629,0.000000,0.000000,0.000000,events/second
1585418293,7,0.039933,0.000000,0.000000,0.000000,events/second
1585418296,7,0.039259,0.000000,0.000000,0.000000,events/second
1585418299,7,0.038611,0.000000,0.000000,0.000000,events/second
1585418302,7,0.037982,0.000000,0.000000,0.000000,events/second
1585418305,7,0.037374,0.000000,0.000000,0.000000,events/second
1585418308,7,0.036786,0.000000,0.000000,0.000000,events/second
1585418311,7,0.036215,0.000000,0.000000,0.000000,events/second
1585418314,7,0.035657,0.000000,0.000000,0.000000,events/second
1585418317,7,0.035123,0.000000,0.000000,0.000000,events/second
1585418320,7,0.034602,0.000000,0.000000,0.000000,events/second
1585418323,7,0.034102,0.000000,0.000000,0.000000,events/second
1585418326,7,0.033607,0.000000,0.000000,0.000000,events/second
1585418329,7,0.033130,0.000000,0.000000,0.000000,events/second
1585418332,7,0.032666,0.000000,0.000000,0.000000,events/second
1585418335,7,0.032215,0.000000,0.000000,0.000000,events/second
