t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1,0.095643,0.000000,0.000000,0.000000,events/second
1585418131,1,0.074959,0.000000,0.000000,0.000000,events/second
1585418134,1,0.061415,0.000000,0.000000,0.000000,events/second
1585418137,1,0.051851,0.000000,0.000000,0.000000,events/second
1585418140,1,0.044903,0.000000,0.000000,0.000000,events/second
1585418143,1,0.039539,0.000000,0.000000,0.000000,events/second
1585418146,1,0.035366,0.000000,0.000000,0.000000,events/second
1585418149,1,0.031879,0.000000,0.000000,0.000000,events/second
1585418152,1,0.029157,0.000000,0.000000,0.000000,events/second
1585418155,1,0.026812,0.000000,0.000000,0.000000,events/second
1585418158,1,0.024825,0.000000,0.000000,0.000000,events/second
1585418161,1,0.023105,0.000000,0.000000,0.000000,events/second
1585418164,1,0.021611,0.000000,0.000000,0.000000,events/second
1585418167,1,0.020283,0.000000,0.000000,0.000000,events/second
1585418170,1,0.019120,0.000000,0.000000,0.000000,events/second
1585418173,1,0.018077,0.000000,0.000000,0.000000,events/second
1585418176,1,0.017153,0.000000,0.000000,0.000000,events/second
1585418179,1,0.016314,0.000000,0.000000,0.000000,events/second
1585418182,1,0.015552,0.000000,0.000000,0.000000,events/second
1585418185,1,0.014860,0.000000,0.000000,0.000000,events/second
1585418188,1,0.014225,0.000000,0.000000,0.000000,events/second
1585418191,1,0.013643,0.000000,0.000000,0.000000,events/second
1585418194,1,0.013106,0.000000,0.000000,0.000000,events/second
1585418197,1,0.012612,0.000000,0.000000,0.000000,events/second
1585418200,1,0.012154,0.000000,0.000000,0.000000,events/second
1585418203,8,0.093712,0.000000,0.000000,0.000000,events/second
1585418206,8,0.090570,0.000000,0.000000,0.000000,events/second
1585418209,8,0.087624,0.000000,0.000000,0.000000,events/second
1585418212,8,0.084840,0.000000,0.000000,0.000000,events/second
1585418215,8,0.082218,0.000000,0.000000,0.000000,events/second
1585418218,8,0.079774,0.000000,0.000000,0.000000,events/second
1585418221,8,0.077446,0.000000,0.000000,0.000000,events/second
1585418224,8,0.075277,0.000000,0.000000,0.000000,events/second
1585418227,8,0.073199,0.000000,0.000000,0.000000,events/second
1585418230,8,0.071251,0.000000,0.000000,0.000000,events/second
1585418233,8,0.069335,0.000000,0.000000,0.000000,events/second
1585418236,8,0.067584,0.000000,0.000000,0.000000,events/second
1585418239,8,0.065763,0.000000,0.000000,0.000000,events/second
1585418242,8,0.064371,0.000000,0.000000,0.000000,events/second
1585418245,8,0.062814,0.000000,0.000000,0.000000,events/second
1585418248,8,0.061398,0.000000,0.000000,0.000000,events/second
1585418251,8,0.060016,0.000000,0.000000,0.000000,events/second
1585418254,8,0.058694,0.000000,0.000000,0.000000,events/second
1585418257,8,0.057431,0.000000,0.000000,0.000000,events/second
1585418260,8,0.056217,0.000000,0.000000,0.000000,events/second
1585418263,8,0.055061,0.000000,0.000000,0.000000,events/second
1585418266,8,0.053947,0.000000,0.000000,0.000000,events/second
1585418269,8,0.052876,0.000000,0.000000,0.000000,events/second
1585418272,8,0.051847,0.000000,0.000000,0.000000,events/second
1585418275,8,0.050860,0.000000,0.000000,0.000000,events/second
1585418278,8,0.049905,0.000000,0.000000,0.000000,events/second
1585418281,8,0.049000,0.000000,0.000000,0.000000,events/second
1585418284,8,0.048064,0.000000,0.000000,0.000000,events/second
1585418287,8,0.047254,0.000000,0.000000,0.000000,events/second
1585418290,8,0.046433,0.000000,0.000000,0.000000,events/second
1585418293,8,0.045638,0.000000,0.000000,0.000000,events/second
1585418296,8,0.044867,0.000000,0.000000,0.000000,events/second
1585418299,8,0.044126,0.000000,0.000000,0.000000,events/second
1585418302,8,0.043408,0.000000,0.000000,0.000000,events/second
1585418305,8,0.042713,0.000000,0.000000,0.000000,events/second
1585418308,8,0.042040,0.000000,0.000000,0.000000,events/second
1585418311,8,0.041388,0.000000,0.000000,0.000000,events/second
1585418314,8,0.040751,0.000000,0.000000,0.000000,events/second
1585418317,8,0.040141,0.000000,0.000000,0.000000,events/second
1585418320,8,0.039545,0.000000,0.000000,0.000000,events/second
1585418323,8,0.038974,0.000000,0.000000,0.000000,events/second
1585418326,8,0.038407,0.000000,0.000000,0.000000,events/second
1585418329,8,0.037863,0.000000,0.000000,0.000000,events/second
1585418332,8,0.037332,0.000000,0.000000,0.000000,events/second
1585418335,8,0.036817,0.000000,0.000000,0.000000,events/second
1585418338,8,0.036315,0.000000,0.000000,0.000000,events/second
1585418341,8,0.035825,0.000000,0.000000,0.000000,events/second
1585418344,8,0.035356,0.000000,0.000000,0.000000,events/second
1585418347,8,0.034890,0.000000,0.000000,0.000000,events/second
1585418350,8,0.034438,0.000000,0.000000,0.000000,events/second
1585418353,8,0.034000,0.000000,0.000000,0.000000,events/second
1585418356,8,0.033572,0.000000,0.000000,0.000000,events/second
1585418359,8,0.033155,0.000000,0.000000,0.000000,events/second
1585418362,8,0.032747,0.000000,0.000000,0.000000,events/second
1585418365,8,0.032350,0.000000,0.000000,0.000000,events/second
1585418368,8,0.031962,0.000000,0.000000,0.000000,events/second
1585418371,8,0.031583,0.000000,0.000000,0.000000,events/second
1585418374,8,0.031209,0.000000,0.000000,0.000000,events/second
1585418377,8,0.030850,0.000000,0.000000,0.000000,events/second
1585418380,8,0.030500,0.000000,0.000000,0.000000,events/second
1585418383,8,0.030158,0.000000,0.000000,0.000000,events/second
1585418386,8,0.029818,0.000000,0.000000,0.000000,events/second
1585418389,8,0.029487,0.000000,0.000000,0.000000,events/second
1585418392,8,0.029166,0.000000,0.000000,0.000000,events/second
1585418395,8,0.028850,0.000000,0.000000,0.000000,events/second
1585418398,8,0.028540,0.000000,0.000000,0.000000,events/second
1585418401,8,0.028237,0.000000,0.000000,0.000000,events/second
1585418404,8,0.027945,0.000000,0.000000,0.000000,events/second
1585418407,8,0.027654,0.000000,0.000000,0.000000,events/second
1585418410,8,0.027369,0.000000,0.000000,0.000000,events/second
1585418413,8,0.027092,0.000000,0.000000,0.000000,events/second
1585418416,8,0.026819,0.000000,0.000000,0.000000,events/second
1585418419,8,0.026551,0.000000,0.000000,0.000000,events/second
1585418422,8,0.026290,0.000000,0.000000,0.000000,events/second
1585418425,8,0.026034,0.000000,0.000000,0.000000,events/second
1585418428,8,0.025782,0.000000,0.000000,0.000000,events/second
1585418431,8,0.025535,0.000000,0.000000,0.000000,events/second
1585418434,8,0.025293,0.000000,0.000000,0.000000,events/second
1585418437,8,0.025055,0.000000,0.000000,0.000000,events/second
1585418440,8,0.024822,0.000000,0.000000,0.000000,events/second
1585418443,8,0.024595,0.000000,0.000000,0.000000,events/second
1585418446,8,0.024368,0.000000,0.000000,0.000000,events/second
1585418449,8,0.024148,0.000000,0.000000,0.000000,events/second
1585418452,8,0.023931,0.000000,0.000000,0.000000,events/second
1585418455,8,0.023718,0.000000,0.000000,0.000000,events/second
1585418458,8,0.023509,0.000000,0.000000,0.000000,events/second
1585418461,8,0.023304,0.000000,0.000000,0.000000,events/second
1585418464,8,0.023103,0.000000,0.000000,0.000000,events/second
1585418467,8,0.022902,0.000000,0.000000,0.000000,events/second
1585418470,8,0.022708,0.000000,0.000000,0.000000,events/second
1585418473,8,0.022516,0.000000,0.000000,0.000000,events/second
1585418476,8,0.022328,0.000000,0.000000,0.000000,events/second
1585418479,8,0.022143,0.000000,0.000000,0.000000,events/second
1585418482,8,0.021961,0.000000,0.000000,0.000000,events/second
1585418485,8,0.021781,0.000000,0.000000,0.000000,events/second
1585418488,8,0.021604,0.000000,0.000000,0.000000,events/second
1585418491,8,0.021431,0.000000,0.000000,0.000000,events/second
1585418494,8,0.021260,0.000000,0.000000,0.000000,events/second
1585418497,8,0.021092,0.000000,0.000000,0.000000,events/second
1585418500,8,0.020927,0.000000,0.000000,0.000000,events/second
1585418503,8,0.020764,0.000000,0.000000,0.000000,events/second
1585418506,8,0.020603,0.000000,0.000000,0.000000,events/second
1585418509,8,0.020446,0.000000,0.000000,0.000000,events/second
1585418512,8,0.020271,0.000000,0.000000,0.000000,events/second
1585418515,8,0.020136,0.000000,0.000000,0.000000,events/second
1585418518,8,0.019985,0.000000,0.000000,0.000000,events/second
1585418521,8,0.019837,0.000000,0.000000,0.000000,events/second
1585418524,8,0.019691,0.000000,0.000000,0.000000,events/second
1585418527,8,0.019546,0.000000,0.000000,0.000000,events/second
1585418530,8,0.019404,0.000000,0.000000,0.000000,events/second
1585418533,8,0.019264,0.000000,0.000000,0.000000,events/second
1585418536,8,0.019125,0.000000,0.000000,0.000000,events/second
1585418539,8,0.018990,0.000000,0.000000,0.000000,events/second
1585418542,8,0.018855,0.000000,0.000000,0.000000,events/second
1585418545,8,0.018723,0.000000,0.000000,0.000000,events/second
1585418548,8,0.018592,0.000000,0.000000,0.000000,events/second
1585418551,8,0.018463,0.000000,0.000000,0.000000,events/second
1585418554,8,0.018336,0.000000,0.000000,0.000000,events/second
