t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1,0.095620,0.000000,0.000000,0.000000,events/second
1585418131,1,0.074949,0.000000,0.000000,0.000000,events/second
1585418134,1,0.061413,0.000000,0.000000,0.000000,events/second
1585418137,1,0.051849,0.000000,0.000000,0.000000,events/second
1585418140,1,0.044902,0.000000,0.000000,0.000000,events/second
1585418143,1,0.039538,0.000000,0.000000,0.000000,events/second
1585418146,3,0.106097,0.000000,0.000000,0.000000,events/second
1585418149,3,0.095631,0.000000,0.000000,0.000000,events/second
1585418152,3,0.087469,0.000000,0.000000,0.000000,events/second
1585418155,3,0.080437,0.000000,0.000000,0.000000,events/second
1585418158,3,0.074473,0.000000,0.000000,0.000000,events/second
1585418161,3,0.069314,0.000000,0.000000,0.000000,events/second
1585418164,3,0.064834,0.000000,0.000000,0.000000,events/second
1585418167,3,0.060849,0.000000,0.000000,0.000000,events/second
1585418170,3,0.057360,0.000000,0.000000,0.000000,events/second
1585418173,3,0.054229,0.000000,0.000000,0.000000,events/second
1585418176,3,0.051459,0.000000,0.000000,0.000000,events/second
1585418179,3,0.048942,0.000000,0.000000,0.000000,events/second
1585418182,3,0.046657,0.000000,0.000000,0.000000,events/second
1585418185,3,0.044579,0.000000,0.000000,0.000000,events/second
1585418188,3,0.042675,0.000000,0.000000,0.000000,events/second
1585418191,3,0.040929,0.000000,0.000000,0.000000,events/second
1585418194,3,0.039318,0.000000,0.000000,0.000000,events/second
1585418197,3,0.037834,0.000000,0.000000,0.000000,events/second
1585418200,3,0.036463,0.000000,0.000000,0.000000,events/second
1585418203,3,0.035142,0.000000,0.000000,0.000000,events/second
1585418206,3,0.033963,0.000000,0.000000,0.000000,events/second
1585418209,3,0.032859,0.000000,0.000000,0.000000,events/second
1585418212,3,0.031815,0.000000,0.000000,0.000000,events/second
1585418215,3,0.030832,0.000000,0.000000,0.000000,events/second
1585418218,3,0.029915,0.000000,0.000000,0.000000,events/second
1585418221,3,0.029042,0.000000,0.000000,0.000000,events/second
1585418224,3,0.028229,0.000000,0.000000,0.000000,events/second
