t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418131,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418134,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418137,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418140,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418143,0,0.000000,0.000000,0.000000,0.000000,events/second
1585418146,1,0.035365,0.000000,0.000000,0.000000,events/second
1585418149,1,0.031873,0.000000,0.000000,0.000000,events/second
1585418152,1,0.029156,0.000000,0.000000,0.000000,events/second
1585418155,1,0.026812,0.000000,0.000000,0.000000,events/second
1585418158,1,0.024823,0.000000,0.000000,0.000000,events/second
1585418161,1,0.023104,0.000000,0.000000,0.000000,events/second
1585418164,2,0.043222,0.000000,0.000000,0.000000,events/second
1585418167,2,0.040566,0.000000,0.000000,0.000000,events/second
1585418170,2,0.038239,0.000000,0.000000,0.000000,events/second
1585418173,2,0.036152,0.000000,0.000000,0.000000,events/second
1585418176,2,0.034305,0.000000,0.000000,0.000000,events/second
1585418179,3,0.048942,0.000000,0.000000,0.000000,events/second
1585418182,5,0.077761,0.000000,0.000000,0.000000,events/second
1585418185,7,0.104016,0.000000,0.000000,0.000000,events/second
1585418188,9,0.128023,0.000000,0.000000,0.000000,events/second
1585418191,11,0.150071,0.000000,0.000000,0.000000,events/second
1585418194,13,0.170377,0.000000,0.000000,0.000000,events/second
1585418197,15,0.189169,0.000000,0.000000,0.000000,events/second
1585418200,15,0.182312,0.000000,0.000000,0.000000,events/second
1585418203,16,0.187419,0.000000,0.000000,0.000000,events/second
1585418206,16,0.181136,0.000000,0.000000,0.000000,events/second
1585418209,16,0.175245,0.000000,0.000000,0.000000,events/second
1585418212,16,0.169677,0.000000,0.000000,0.000000,events/second
1585418215,16,0.164435,0.000000,0.000000,0.000000,events/second
1585418218,16,0.159546,0.000000,0.000000,0.000000,events/second
1585418221,16,0.154890,0.000000,0.000000,0.000000,events/second
1585418224,17,0.159961,0.000000,0.000000,0.000000,events/second
1585418227,17,0.155545,0.000000,0.000000,0.000000,events/second
1585418230,17,0.151408,0.000000,0.000000,0.000000,events/second
1585418233,17,0.147335,0.000000,0.000000,0.000000,events/second
1585418236,17,0.143614,0.000000,0.000000,0.000000,events/second
1585418239,17,0.139741,0.000000,0.000000,0.000000,events/second
1585418242,17,0.136786,0.000000,0.000000,0.000000,events/second
1585418245,18,0.141329,0.000000,0.000000,0.000000,events/second
1585418248,18,0.138144,0.000000,0.000000,0.000000,events/second
1585418251,18,0.135035,0.000000,0.000000,0.000000,events/second
1585418254,18,0.132060,0.000000,0.000000,0.000000,events/second
1585418257,18,0.129220,0.000000,0.000000,0.000000,events/second
1585418260,18,0.126487,0.000000,0.000000,0.000000,events/second
1585418263,19,0.130768,0.000000,0.000000,0.000000,events/second
1585418266,19,0.128122,0.000000,0.000000,0.000000,events/second
1585418269,19,0.125581,0.000000,0.000000,0.000000,events/second
1585418272,19,0.123136,0.000000,0.000000,0.000000,events/second
1585418275,19,0.120792,0.000000,0.000000,0.000000,events/second
1585418278,19,0.118523,0.000000,0.000000,0.000000,events/second
1585418281,19,0.116374,0.000000,0.000000,0.000000,events/second
1585418284,20,0.120157,0.000000,0.000000,0.000000,events/second
1585418287,20,0.118133,0.000000,0.000000,0.000000,events/second
1585418290,20,0.116082,0.000000,0.000000,0.000000,events/second
1585418293,20,0.114093,0.000000,0.000000,0.000000,events/second
1585418296,20,0.112166,0.000000,0.000000,0.000000,events/second
1585418299,20,0.110315,0.000000,0.000000,0.000000,events/second
1585418302,20,0.108520,0.000000,0.000000,0.000000,events/second
1585418305,21,0.112121,0.000000,0.000000,0.000000,events/second
1585418308,21,0.110355,0.000000,0.000000,0.000000,events/second
1585418311,21,0.108643,0.000000,0.000000,0.000000,events/second
1585418314,21,0.106969,0.000000,0.000000,0.000000,events/second
1585418317,21,0.105369,0.000000,0.000000,0.000000,events/second
1585418320,21,0.103806,0.000000,0.000000,0.000000,events/second
1585418323,22,0.107178,0.000000,0.000000,0.000000,events/second
1585418326,22,0.105620,0.000000,0.000000,0.000000,events/second
1585418329,22,0.104122,0.000000,0.000000,0.000000,events/second
1585418332,22,0.102662,0.000000,0.000000,0.000000,events/second
1585418335,22,0.101245,0.000000,0.000000,0.000000,events/second
