t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1,0.095533,0.000000,0.000000,0.000000,events/second
1585418131,6,0.449544,0.000000,0.000000,0.000000,events/second
1585418134,6,0.368415,0.000000,0.000000,0.000000,events/second
1585418137,6,0.311058,0.000000,0.000000,0.000000,events/second
1585418140,6,0.269371,0.000000,0.000000,0.000000,events/second
1585418143,6,0.237210,0.000000,0.000000,0.000000,events/second
1585418146,11,0.388999,0.000000,0.000000,0.000000,events/second
1585418149,11,0.350556,0.000000,0.000000,0.000000,events/second
1585418152,11,0.320706,0.000000,0.000000,0.000000,events/second
1585418155,11,0.294925,0.000000,0.000000,0.000000,events/second
1585418158,11,0.273049,0.000000,0.000000,0.000000,events/second
1585418161,11,0.254142,0.000000,0.000000,0.000000,events/second
1585418164,14,0.302549,0.000000,0.000000,0.000000,events/second
1585418167,14,0.283955,0.000000,0.000000,0.000000,events/second
1585418170,14,0.267672,0.000000,0.000000,0.000000,events/second
1585418173,14,0.253059,0.000000,0.000000,0.000000,events/second
1585418176,15,0.257287,0.000000,0.000000,0.000000,events/second
1585418179,16,0.261019,0.000000,0.000000,0.000000,events/second
1585418182,18,0.279938,0.000000,0.000000,0.000000,events/second
1585418185,22,0.326904,0.000000,0.000000,0.000000,events/second
1585418188,24,0.341390,0.000000,0.000000,0.000000,events/second
1585418191,26,0.354710,0.000000,0.000000,0.000000,events/second
1585418194,28,0.366963,0.000000,0.000000,0.000000,events/second
1585418197,30,0.378334,0.000000,0.000000,0.000000,events/second
1585418200,31,0.376775,0.000000,0.000000,0.000000,events/second
1585418203,41,0.480255,0.000000,0.000000,0.000000,events/second
1585418206,41,0.464155,0.000000,0.000000,0.000000,events/second
1585418209,41,0.448858,0.000000,0.000000,0.000000,events/second
1585418212,42,0.445398,0.000000,0.000000,0.000000,events/second
1585418215,42,0.431638,0.000000,0.000000,0.000000,events/second
1585418218,42,0.418804,0.000000,0.000000,0.000000,events/second
1585418221,42,0.406583,0.000000,0.000000,0.000000,events/second
1585418224,45,0.423424,0.000000,0.000000,0.000000,events/second
1585418227,45,0.411734,0.000000,0.000000,0.000000,events/second
1585418230,45,0.400783,0.000000,0.000000,0.000000,events/second
1585418233,45,0.390001,0.000000,0.000000,0.000000,events/second
1585418236,45,0.380151,0.000000,0.000000,0.000000,events/second
1585418239,45,0.369897,0.000000,0.000000,0.000000,events/second
1585418242,45,0.362079,0.000000,0.000000,0.000000,events/second
1585418245,48,0.376876,0.000000,0.000000,0.000000,events/second
1585418248,48,0.368381,0.000000,0.000000,0.000000,events/second
1585418251,48,0.360092,0.000000,0.000000,0.000000,events/second
1585418254,48,0.352158,0.000000,0.000000,0.000000,events/second
1585418257,48,0.344584,0.000000,0.000000,0.000000,events/second
1585418260,48,0.337297,0.000000,0.000000,0.000000,events/second
1585418263,51,0.351007,0.000000,0.000000,0.000000,events/second
1585418266,51,0.343906,0.000000,0.000000,0.000000,events/second
1585418269,51,0.337084,0.000000,0.000000,0.000000,events/second
1585418272,51,0.330521,0.000000,0.000000,0.000000,events/second
1585418275,51,0.324230,0.000000,0.000000,0.000000,events/second
1585418278,51,0.318139,0.000000,0.000000,0.000000,events/second
1585418281,51,0.312370,0.000000,0.000000,0.000000,events/second
1585418284,54,0.324422,0.000000,0.000000,0.000000,events/second
1585418287,54,0.318959,0.000000,0.000000,0.000000,events/second
1585418290,54,0.313421,0.000000,0.000000,0.000000,events/second
1585418293,54,0.308050,0.000000,0.000000,0.000000,events/second
1585418296,54,0.302847,0.000000,0.000000,0.000000,events/second
1585418299,54,0.297851,0.000000,0.000000,0.000000,events/second
1585418302,54,0.293004,0.000000,0.000000,0.000000,events/second
1585418305,57,0.304328,0.000000,0.000000,0.000000,events/second
1585418308,57,0.299534,0.000000,0.000000,0.000000,events/second
1585418311,57,0.294886,0.000000,0.000000,0.000000,events/second
1585418314,57,0.290344,0.000000,0.000000,0.000000,events/second
1585418317,57,0.286001,0.000000,0.000000,0.000000,events/second
1585418320,57,0.281759,0.000000,0.000000,0.000000,events/second
1585418323,60,0.292302,0.000000,0.000000,0.000000,events/second
1585418326,60,0.288052,0.000000,0.000000,0.000000,events/second
1585418329,60,0.283968,0.000000,0.000000,0.000000,events/second
1585418332,60,0.279987,0.000000,0.000000,0.000000,events/second
1585418335,60,0.276122,0.000000,0.000000,0.000000,events/second
1585418338,60,0.272359,0.000000,0.000000,0.000000,events/second
1585418341,60,0.268688,0.000000,0.000000,0.000000,events/second
1585418344,63,0.278430,0.000000,0.000000,0.000000,events/second
1585418347,63,0.274754,0.000000,0.000000,0.000000,events/second
1585418350,64,0.275504,0.000000,0.000000,0.000000,events/second
1585418353,64,0.271999,0.000000,0.000000,0.000000,events/second
1585418356,64,0.268571,0.000000,0.000000,0.000000,events/second
1585418359,64,0.265235,0.000000,0.000000,0.000000,events/second
1585418362,64,0.261975,0.000000,0.000000,0.000000,events/second
1585418365,67,0.270928,0.000000,0.000000,0.000000,events/second
1585418368,67,0.267683,0.000000,0.000000,0.000000,events/second
1585418371,67,0.264510,0.000000,0.000000,0.000000,events/second
1585418374,67,0.261373,0.000000,0.000000,0.000000,events/second
1585418377,67,0.258364,0.000000,0.000000,0.000000,events/second
1585418380,67,0.255436,0.000000,0.000000,0.000000,events/second
1585418383,70,0.263881,0.000000,0.000000,0.000000,events/second
1585418386,71,0.264631,0.000000,0.000000,0.000000,events/second
1585418389,73,0.269068,0.000000,0.000000,0.000000,events/second
1585418392,75,0.273427,0.000000,0.000000,0.000000,events/second
1585418395,78,0.281287,0.000000,0.000000,0.000000,events/second
1585418398,81,0.288968,0.000000,0.000000,0.000000,events/second
1585418401,82,0.289425,0.000000,0.000000,0.000000,events/second
1585418404,85,0.296918,0.000000,0.000000,0.000000,events/second
1585418407,85,0.293818,0.000000,0.000000,0.000000,events/second
1585418410,85,0.290796,0.000000,0.000000,0.000000,events/second
1585418413,85,0.287848,0.000000,0.000000,0.000000,events/second
1585418416,85,0.284952,0.000000,0.000000,0.000000,events/second
1585418419,85,0.282107,0.000000,0.000000,0.000000,events/second
1585418422,85,0.279333,0.000000,0.000000,0.000000,events/second
1585418425,88,0.286370,0.000000,0.000000,0.000000,events/second
1585418428,88,0.283600,0.000000,0.000000,0.000000,events/second
1585418431,88,0.280882,0.000000,0.000000,0.000000,events/second
1585418434,88,0.278218,0.000000,0.000000,0.000000,events/second
