t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,243,76.435563,0.000000,0.000000,0.000000,events/second
1585418131,243,40.153405,0.000000,0.000000,0.000000,events/second
1585418134,243,27.029710,0.000000,0.000000,0.000000,events/second
1585418137,243,20.263280,0.000000,0.000000,0.000000,events/second
1585418140,243,16.225563,0.000000,0.000000,0.000000,events/second
1585418143,243,13.501812,0.000000,0.000000,0.000000,events/second
1585418146,243,11.582566,0.000000,0.000000,0.000000,events/second
1585418149,243,10.087834,0.000000,0.000000,0.000000,events/second
1585418152,243,8.999520,0.000000,0.000000,0.000000,events/second
1585418155,243,8.100258,0.000000,0.000000,0.000000,events/second
1585418158,243,7.366300,0.000000,0.000000,0.000000,events/second
1585418161,243,6.752894,0.000000,0.000000,0.000000,events/second
1585418164,243,6.234780,0.000000,0.000000,0.000000,events/second
1585418167,243,5.784865,0.000000,0.000000,0.000000,events/second
1585418170,243,5.399427,0.000000,0.000000,0.000000,events/second
1585418173,243,5.059781,0.000000,0.000000,0.000000,events/second
1585418176,243,4.764495,0.000000,0.000000,0.000000,events/second
1585418179,243,4.500026,0.000000,0.000000,0.000000,events/second
1585418182,243,4.263051,0.000000,0.000000,0.000000,events/second
1585418185,243,4.050020,0.000000,0.000000,0.000000,events/second
1585418188,243,3.857002,0.000000,0.000000,0.000000,events/second
1585418191,243,3.681775,0.000000,0.000000,0.000000,events/second
1585418194,243,3.521546,0.000000,0.000000,0.000000,events/second
1585418197,243,3.375143,0.000000,0.000000,0.000000,events/second
1585418200,243,3.240907,0.000000,0.000000,0.000000,events/second
1585418203,250,3.202038,0.000000,0.000000,0.000000,events/second
1585418206,250,3.085100,0.000000,0.000000,0.000000,events/second
1585418209,250,2.974605,0.000000,0.000000,0.000000,events/second
1585418212,250,2.873583,0.000000,0.000000,0.000000,events/second
1585418215,250,2.777617,0.000000,0.000000,0.000000,events/second
1585418218,250,2.688531,0.000000,0.000000,0.000000,events/second
1585418221,250,2.604132,0.000000,0.000000,0.000000,events/second
1585418224,250,2.525807,0.000000,0.000000,0.000000,events/second
1585418227,250,2.451075,0.000000,0.000000,0.000000,events/second
1585418230,250,2.381371,0.000000,0.000000,0.000000,events/second
1585418233,250,2.312953,0.000000,0.000000,0.000000,events/second
1585418236,250,2.250684,0.000000,0.000000,0.000000,events/second
1585418239,250,2.186109,0.000000,0.000000,0.000000,events/second
1585418242,250,2.137036,0.000000,0.000000,0.000000,events/second
