t,value
1585418128,0.0
1585418131,1.0
1585418134,1.0
1585418137,1.0
1585418140,1.0
1585418143,1.0
1585418146,1.0
1585418149,1.0
1585418152,1.0
1585418155,1.0
1585418158,1.0
1585418161,1.0
1585418164,1.0
1585418167,1.0
1585418170,1.0
1585418173,1.0
1585418176,1.0
1585418179,1.0
1585418182,1.0
1585418185,1.0
1585418188,1.0
1585418191,1.0
1585418194,1.0
1585418197,1.0
1585418200,1.0
1585418203,0.9924812030075187
1585418206,0.9924050632911392
1585418209,0.9924050632911392
1585418212,0.9924050632911392
1585418215,0.9924050632911392
1585418218,0.9924050632911392
1585418221,0.9886363636363636
1585418224,0.9924050632911392
1585418227,0.9924050632911392
1585418230,0.9924050632911392
1585418233,0.9924050632911392
1585418236,0.9898305084745763
1585418239,0.9925187032418953
1585418242,0.9925187032418953
1585418245,0.9924812030075187
1585418248,0.9924812030075187
1585418251,0.9924812030075187
1585418254,0.9924812030075187
1585418257,0.9924812030075187
1585418260,1.0
1585418263,1.0
1585418266,1.0
1585418269,1.0
1585418272,1.0
1585418275,1.0
1585418278,1.0
1585418281,1.0
1585418284,1.0
1585418287,1.0
1585418290,1.0
1585418293,1.0
1585418296,1.0
1585418299,1.0
1585418302,1.0
1585418305,1.0
1585418308,1.0
1585418311,1.0
1585418314,1.0
1585418317,1.0
1585418320,1.0
1585418323,1.0
1585418326,1.0
1585418329,1.0
1585418332,1.0
1585418335,1.0
1585418338,1.0
1585418341,1.0
1585418344,1.0
1585418347,1.0
1585418350,1.0
1585418353,1.0
1585418356,1.0
1585418359,1.0
1585418362,1.0
1585418365,1.0
1585418368,1.0
1585418371,1.0
1585418374,1.0
1585418377,1.0
1585418380,1.0
1585418383,1.0
1585418386,1.0
1585418389,1.0
1585418392,1.0
1585418395,1.0
1585418398,1.0
1585418401,1.0
1585418404,1.0
1585418407,1.0
1585418410,1.0
1585418413,1.0
1585418416,1.0
1585418419,1.0
1585418422,1.0
1585418425,1.0
1585418428,1.0
1585418431,1.0
1585418434,1.0
1585418437,1.0
1585418440,1.0
1585418443,1.0
1585418446,1.0
1585418449,1.0
1585418452,1.0
1585418455,1.0
1585418458,1.0
1585418461,1.0
1585418464,1.0
1585418467,1.0
1585418470,1.0
1585418473,1.0
1585418476,1.0
1585418479,1.0
1585418482,1.0
1585418485,1.0
1585418488,1.0
