t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1730,543.758849,0.000000,0.000000,0.000000,events/second
1585418131,1790,295.736268,0.000000,0.000000,0.000000,events/second
1585418134,1791,199.200347,0.000000,0.000000,0.000000,events/second
1585418137,1791,149.338320,0.000000,0.000000,0.000000,events/second
1585418140,1791,119.583585,0.000000,0.000000,0.000000,events/second
1585418143,1791,99.508844,0.000000,0.000000,0.000000,events/second
1585418146,1798,85.698737,0.000000,0.000000,0.000000,events/second
1585418149,1802,74.803374,0.000000,0.000000,0.000000,events/second
1585418152,1802,66.735754,0.000000,0.000000,0.000000,events/second
1585418155,1802,60.067490,0.000000,0.000000,0.000000,events/second
1585418158,1802,54.624797,0.000000,0.000000,0.000000,events/second
1585418161,1802,50.076187,0.000000,0.000000,0.000000,events/second
1585418164,1933,49.595320,0.000000,0.000000,0.000000,events/second
1585418167,1933,46.016344,0.000000,0.000000,0.000000,events/second
1585418170,1933,42.950329,0.000000,0.000000,0.000000,events/second
1585418173,1933,40.248748,0.000000,0.000000,0.000000,events/second
1585418176,1933,37.899839,0.000000,0.000000,0.000000,events/second
1585418179,2033,37.647990,0.000000,0.000000,0.000000,events/second
1585418182,2033,35.665418,0.000000,0.000000,0.000000,events/second
1585418185,2041,34.016487,0.000000,0.000000,0.000000,events/second
1585418188,2041,32.395349,0.000000,0.000000,0.000000,events/second
1585418191,2041,30.923625,0.000000,0.000000,0.000000,events/second
1585418194,2041,29.577837,0.000000,0.000000,0.000000,events/second
1585418197,2041,28.348208,0.000000,0.000000,0.000000,events/second
1585418200,2041,27.220734,0.000000,0.000000,0.000000,events/second
1585418203,2194,28.100734,0.000000,0.000000,0.000000,events/second
1585418206,2194,27.074632,0.000000,0.000000,0.000000,events/second
1585418209,2194,26.104957,0.000000,0.000000,0.000000,events/second
1585418212,2194,25.218405,0.000000,0.000000,0.000000,events/second
1585418215,2194,24.376220,0.000000,0.000000,0.000000,events/second
1585418218,2194,23.594390,0.000000,0.000000,0.000000,events/second
1585418221,2194,22.853734,0.000000,0.000000,0.000000,events/second
1585418224,2325,23.489855,0.000000,0.000000,0.000000,events/second
1585418227,2325,22.794879,0.000000,0.000000,0.000000,events/second
1585418230,2325,22.146639,0.000000,0.000000,0.000000,events/second
1585418233,2325,21.510328,0.000000,0.000000,0.000000,events/second
1585418236,2325,20.931199,0.000000,0.000000,0.000000,events/second
1585418239,2431,21.257603,0.000000,0.000000,0.000000,events/second
1585418242,2431,20.780436,0.000000,0.000000,0.000000,events/second
1585418245,2437,20.297405,0.000000,0.000000,0.000000,events/second
1585418248,2437,19.812628,0.000000,0.000000,0.000000,events/second
1585418251,2437,19.341041,0.000000,0.000000,0.000000,events/second
1585418254,2437,18.890711,0.000000,0.000000,0.000000,events/second
1585418257,2437,18.462040,0.000000,0.000000,0.000000,events/second
1585418260,2437,18.050477,0.000000,0.000000,0.000000,events/second
1585418263,2439,17.674132,0.000000,0.000000,0.000000,events/second
1585418266,2443,17.326415,0.000000,0.000000,0.000000,events/second
1585418269,2443,16.965285,0.000000,0.000000,0.000000,events/second
1585418272,2443,16.618523,0.000000,0.000000,0.000000,events/second
1585418275,2443,16.286897,0.000000,0.000000,0.000000,events/second
1585418278,2443,15.966316,0.000000,0.000000,0.000000,events/second
1585418281,2443,15.663284,0.000000,0.000000,0.000000,events/second
1585418284,2574,16.172979,0.000000,0.000000,0.000000,events/second
1585418287,2574,15.888616,0.000000,0.000000,0.000000,events/second
1585418290,2574,15.600433,0.000000,0.000000,0.000000,events/second
1585418293,2574,15.321564,0.000000,0.000000,0.000000,events/second
1585418296,2574,15.051710,0.000000,0.000000,0.000000,events/second
1585418299,2680,15.402227,0.000000,0.000000,0.000000,events/second
1585418302,2680,15.141240,0.000000,0.000000,0.000000,events/second
1585418305,2686,14.922232,0.000000,0.000000,0.000000,events/second
1585418308,2686,14.677786,0.000000,0.000000,0.000000,events/second
1585418311,2686,14.441057,0.000000,0.000000,0.000000,events/second
1585418314,2686,14.209931,0.000000,0.000000,0.000000,events/second
1585418317,2686,13.989449,0.000000,0.000000,0.000000,events/second
1585418320,2686,13.774192,0.000000,0.000000,0.000000,events/second
1585418323,2688,13.577877,0.000000,0.000000,0.000000,events/second
1585418326,2692,13.393156,0.000000,0.000000,0.000000,events/second
1585418329,2692,13.196449,0.000000,0.000000,0.000000,events/second
1585418332,2692,13.004975,0.000000,0.000000,0.000000,events/second
1585418335,2692,12.819196,0.000000,0.000000,0.000000,events/second
1585418338,2692,12.638541,0.000000,0.000000,0.000000,events/second
1585418341,2692,12.462361,0.000000,0.000000,0.000000,events/second
1585418344,2823,12.892156,0.000000,0.000000,0.000000,events/second
1585418347,2823,12.716321,0.000000,0.000000,0.000000,events/second
1585418350,2824,12.550899,0.000000,0.000000,0.000000,events/second
1585418353,2824,12.386099,0.000000,0.000000,0.000000,events/second
1585418356,2824,12.225118,0.000000,0.000000,0.000000,events/second
1585418359,2930,12.521502,0.000000,0.000000,0.000000,events/second
1585418362,2930,12.362860,0.000000,0.000000,0.000000,events/second
1585418365,2936,12.233311,0.000000,0.000000,0.000000,events/second
1585418368,2936,12.082396,0.000000,0.000000,0.000000,events/second
1585418371,2936,11.934947,0.000000,0.000000,0.000000,events/second
1585418374,2936,11.789207,0.000000,0.000000,0.000000,events/second
1585418377,2936,11.649483,0.000000,0.000000,0.000000,events/second
1585418380,2936,11.513800,0.000000,0.000000,0.000000,events/second
1585418383,2938,11.388801,0.000000,0.000000,0.000000,events/second
1585418386,2942,11.272039,0.000000,0.000000,0.000000,events/second
1585418389,2944,11.151107,0.000000,0.000000,0.000000,events/second
1585418392,2945,11.030027,0.000000,0.000000,0.000000,events/second
1585418395,2945,10.907463,0.000000,0.000000,0.000000,events/second
1585418398,2946,10.790773,0.000000,0.000000,0.000000,events/second
1585418401,2946,10.673055,0.000000,0.000000,0.000000,events/second
1585418404,3077,11.029597,0.000000,0.000000,0.000000,events/second
1585418407,3077,10.911439,0.000000,0.000000,0.000000,events/second
1585418410,3077,10.796356,0.000000,0.000000,0.000000,events/second
1585418413,3077,10.684133,0.000000,0.000000,0.000000,events/second
1585418416,3077,10.573969,0.000000,0.000000,0.000000,events/second
1585418419,3183,10.826307,0.000000,0.000000,0.000000,events/second
1585418422,3183,10.717229,0.000000,0.000000,0.000000,events/second
1585418425,3189,10.630088,0.000000,0.000000,0.000000,events/second
1585418428,3189,10.524819,0.000000,0.000000,0.000000,events/second
1585418431,3189,10.421549,0.000000,0.000000,0.000000,events/second
1585418434,3189,10.320374,0.000000,0.000000,0.000000,events/second
1585418437,3189,10.221151,0.000000,0.000000,0.000000,events/second
1585418440,3189,10.123821,0.000000,0.000000,0.000000,events/second
1585418443,3191,10.035518,0.000000,0.000000,0.000000,events/second
1585418446,3195,9.953324,0.000000,0.000000,0.000000,events/second
1585418449,3195,9.861096,0.000000,0.000000,0.000000,events/second
1585418452,3195,9.770631,0.000000,0.000000,0.000000,events/second
1585418455,3195,9.681768,0.000000,0.000000,0.000000,events/second
1585418458,3195,9.594663,0.000000,0.000000,0.000000,events/second
