t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,216,67.818654,0.000000,0.000000,0.000000,events/second
1585418131,216,35.672875,0.000000,0.000000,0.000000,events/second
1585418134,216,24.018381,0.000000,0.000000,0.000000,events/second
1585418137,216,18.007353,0.000000,0.000000,0.000000,events/second
1585418140,216,14.420225,0.000000,0.000000,0.000000,events/second
1585418143,216,11.999620,0.000000,0.000000,0.000000,events/second
1585418146,216,10.294276,0.000000,0.000000,0.000000,events/second
1585418149,216,8.965331,0.000000,0.000000,0.000000,events/second
1585418152,216,7.998821,0.000000,0.000000,0.000000,events/second
1585418155,216,7.199631,0.000000,0.000000,0.000000,events/second
1585418158,216,6.547297,0.000000,0.000000,0.000000,events/second
1585418161,216,6.002141,0.000000,0.000000,0.000000,events/second
1585418164,216,5.541674,0.000000,0.000000,0.000000,events/second
1585418167,216,5.141772,0.000000,0.000000,0.000000,events/second
1585418170,216,4.799194,0.000000,0.000000,0.000000,events/second
1585418173,216,4.497350,0.000000,0.000000,0.000000,events/second
1585418176,216,4.234892,0.000000,0.000000,0.000000,events/second
1585418179,216,3.999839,0.000000,0.000000,0.000000,events/second
1585418182,216,3.789206,0.000000,0.000000,0.000000,events/second
1585418185,216,3.599861,0.000000,0.000000,0.000000,events/second
1585418188,216,3.428309,0.000000,0.000000,0.000000,events/second
1585418191,216,3.272566,0.000000,0.000000,0.000000,events/second
1585418194,216,3.130146,0.000000,0.000000,0.000000,events/second
1585418197,216,3.000024,0.000000,0.000000,0.000000,events/second
1585418200,216,2.880707,0.000000,0.000000,0.000000,events/second
1585418203,219,2.804864,0.000000,0.000000,0.000000,events/second
1585418206,219,2.702458,0.000000,0.000000,0.000000,events/second
1585418209,219,2.605675,0.000000,0.000000,0.000000,events/second
1585418212,219,2.517187,0.000000,0.000000,0.000000,events/second
1585418215,219,2.433125,0.000000,0.000000,0.000000,events/second
1585418218,219,2.355085,0.000000,0.000000,0.000000,events/second
1585418221,219,2.281161,0.000000,0.000000,0.000000,events/second
1585418224,219,2.212546,0.000000,0.000000,0.000000,events/second
1585418227,219,2.147090,0.000000,0.000000,0.000000,events/second
1585418230,219,2.086032,0.000000,0.000000,0.000000,events/second
1585418233,219,2.026095,0.000000,0.000000,0.000000,events/second
1585418236,219,1.971544,0.000000,0.000000,0.000000,events/second
1585418239,219,1.914986,0.000000,0.000000,0.000000,events/second
1585418242,219,1.872003,0.000000,0.000000,0.000000,events/second
1585418245,219,1.823989,0.000000,0.000000,0.000000,events/second
1585418248,219,1.780424,0.000000,0.000000,0.000000,events/second
1585418251,219,1.738047,0.000000,0.000000,0.000000,events/second
1585418254,219,1.697579,0.000000,0.000000,0.000000,events/second
1585418257,219,1.659059,0.000000,0.000000,0.000000,events/second
1585418260,219,1.622074,0.000000,0.000000,0.000000,events/second
1585418263,219,1.586954,0.000000,0.000000,0.000000,events/second
1585418266,219,1.553186,0.000000,0.000000,0.000000,events/second
1585418269,219,1.520814,0.000000,0.000000,0.000000,events/second
1585418272,219,1.489728,0.000000,0.000000,0.000000,events/second
1585418275,219,1.460002,0.000000,0.000000,0.000000,events/second
1585418278,219,1.431264,0.000000,0.000000,0.000000,events/second
1585418281,219,1.404100,0.000000,0.000000,0.000000,events/second
1585418284,219,1.376004,0.000000,0.000000,0.000000,events/second
1585418287,219,1.351813,0.000000,0.000000,0.000000,events/second
1585418290,219,1.327293,0.000000,0.000000,0.000000,events/second
1585418293,219,1.303568,0.000000,0.000000,0.000000,events/second
1585418296,219,1.280608,0.000000,0.000000,0.000000,events/second
1585418299,219,1.258601,0.000000,0.000000,0.000000,events/second
1585418302,219,1.237274,0.000000,0.000000,0.000000,events/second
1585418305,219,1.216654,0.000000,0.000000,0.000000,events/second
1585418308,219,1.196724,0.000000,0.000000,0.000000,events/second
1585418311,219,1.177423,0.000000,0.000000,0.000000,events/second
1585418314,219,1.158577,0.000000,0.000000,0.000000,events/second
1585418317,219,1.140602,0.000000,0.000000,0.000000,events/second
1585418320,219,1.123052,0.000000,0.000000,0.000000,events/second
1585418323,219,1.106223,0.000000,0.000000,0.000000,events/second
1585418326,219,1.089551,0.000000,0.000000,0.000000,events/second
1585418329,219,1.073549,0.000000,0.000000,0.000000,events/second
1585418332,219,1.057973,0.000000,0.000000,0.000000,events/second
1585418335,219,1.042860,0.000000,0.000000,0.000000,events/second
1585418338,219,1.028163,0.000000,0.000000,0.000000,events/second
1585418341,219,1.013830,0.000000,0.000000,0.000000,events/second
1585418344,219,1.000126,0.000000,0.000000,0.000000,events/second
1585418347,219,0.986486,0.000000,0.000000,0.000000,events/second
1585418350,219,0.973309,0.000000,0.000000,0.000000,events/second
1585418353,219,0.960529,0.000000,0.000000,0.000000,events/second
1585418356,219,0.948045,0.000000,0.000000,0.000000,events/second
1585418359,219,0.935900,0.000000,0.000000,0.000000,events/second
1585418362,219,0.924042,0.000000,0.000000,0.000000,events/second
1585418365,219,0.912491,0.000000,0.000000,0.000000,events/second
1585418368,219,0.901234,0.000000,0.000000,0.000000,events/second
1585418371,219,0.890236,0.000000,0.000000,0.000000,events/second
1585418374,219,0.879365,0.000000,0.000000,0.000000,events/second
1585418377,219,0.868942,0.000000,0.000000,0.000000,events/second
1585418380,219,0.858823,0.000000,0.000000,0.000000,events/second
1585418383,219,0.848920,0.000000,0.000000,0.000000,events/second
1585418386,219,0.839075,0.000000,0.000000,0.000000,events/second
1585418389,219,0.829509,0.000000,0.000000,0.000000,events/second
1585418392,219,0.820223,0.000000,0.000000,0.000000,events/second
1585418395,219,0.811109,0.000000,0.000000,0.000000,events/second
1585418398,219,0.802159,0.000000,0.000000,0.000000,events/second
1585418401,219,0.793409,0.000000,0.000000,0.000000,events/second
1585418404,219,0.785006,0.000000,0.000000,0.000000,events/second
1585418407,219,0.776597,0.000000,0.000000,0.000000,events/second
1585418410,219,0.768406,0.000000,0.000000,0.000000,events/second
1585418413,219,0.760419,0.000000,0.000000,0.000000,events/second
1585418416,219,0.752578,0.000000,0.000000,0.000000,events/second
1585418419,219,0.744878,0.000000,0.000000,0.000000,events/second
1585418422,219,0.737373,0.000000,0.000000,0.000000,events/second
1585418425,219,0.730001,0.000000,0.000000,0.000000,events/second
1585418428,219,0.722772,0.000000,0.000000,0.000000,events/second
1585418431,219,0.715680,0.000000,0.000000,0.000000,events/second
1585418434,219,0.708732,0.000000,0.000000,0.000000,events/second
1585418437,219,0.701919,0.000000,0.000000,0.000000,events/second
1585418440,219,0.695235,0.000000,0.000000,0.000000,events/second
1585418443,219,0.688739,0.000000,0.000000,0.000000,events/second
1585418446,219,0.682242,0.000000,0.000000,0.000000,events/second
1585418449,219,0.675921,0.000000,0.000000,0.000000,events/second
1585418452,219,0.669720,0.000000,0.000000,0.000000,events/second
1585418455,219,0.663629,0.000000,0.000000,0.000000,events/second
1585418458,219,0.657659,0.000000,0.000000,0.000000,events/second
1585418461,219,0.651787,0.000000,0.000000,0.000000,events/second
1585418464,219,0.646043,0.000000,0.000000,0.000000,events/second
1585418467,219,0.640323,0.000000,0.000000,0.000000,events/second
1585418470,219,0.634778,0.000000,0.000000,0.000000,events/second
1585418473,219,0.629306,0.000000,0.000000,0.000000,events/second
1585418476,219,0.623932,0.000000,0.000000,0.000000,events/second
1585418479,219,0.618644,0.000000,0.000000,0.000000,events/second
1585418482,219,0.613451,0.000000,0.000000,0.000000,events/second
1585418485,219,0.608329,0.000000,0.000000,0.000000,events/second
1585418488,219,0.603302,0.000000,0.000000,0.000000,events/second
1585418491,219,0.598362,0.000000,0.000000,0.000000,events/second
1585418494,219,0.593497,0.000000,0.000000,0.000000,events/second
1585418497,219,0.588710,0.000000,0.000000,0.000000,events/second
1585418500,219,0.584005,0.000000,0.000000,0.000000,events/second
1585418503,219,0.579392,0.000000,0.000000,0.000000,events/second
1585418506,219,0.574800,0.000000,0.000000,0.000000,events/second
1585418509,219,0.570340,0.000000,0.000000,0.000000,events/second
1585418512,219,0.565346,0.000000,0.000000,0.000000,events/second
1585418515,219,0.561537,0.000000,0.000000,0.000000,events/second
1585418518,219,0.557253,0.000000,0.000000,0.000000,events/second
1585418521,219,0.553032,0.000000,0.000000,0.000000,events/second
1585418524,219,0.548899,0.000000,0.000000,0.000000,events/second
1585418527,219,0.544777,0.000000,0.000000,0.000000,events/second
1585418530,219,0.540739,0.000000,0.000000,0.000000,events/second
1585418533,219,0.536766,0.000000,0.000000,0.000000,events/second
1585418536,219,0.532847,0.000000,0.000000,0.000000,events/second
1585418539,219,0.529023,0.000000,0.000000,0.000000,events/second
1585418542,219,0.525180,0.000000,0.000000,0.000000,events/second
1585418545,219,0.521430,0.000000,0.000000,0.000000,events/second
1585418548,219,0.517733,0.000000,0.000000,0.000000,events/second
1585418551,219,0.514085,0.000000,0.000000,0.000000,events/second
1585418554,219,0.510493,0.000000,0.000000,0.000000,events/second
1585418557,219,0.506940,0.000000,0.000000,0.000000,events/second
1585418560,219,0.503449,0.000000,0.000000,0.000000,events/second
1585418563,219,0.500033,0.000000,0.000000,0.000000,events/second
1585418566,219,0.496596,0.000000,0.000000,0.000000,events/second
1585418569,219,0.493248,0.000000,0.000000,0.000000,events/second
1585418572,219,0.489933,0.000000,0.000000,0.000000,events/second
1585418575,219,0.486688,0.000000,0.000000,0.000000,events/second
1585418578,219,0.483444,0.000000,0.000000,0.000000,events/second
1585418581,219,0.480263,0.000000,0.000000,0.000000,events/second
1585418584,219,0.477072,0.000000,0.000000,0.000000,events/second
1585418587,219,0.474002,0.000000,0.000000,0.000000,events/second
1585418590,219,0.470984,0.000000,0.000000,0.000000,events/second
1585418593,219,0.467949,0.000000,0.000000,0.000000,events/second
1585418596,219,0.464967,0.000000,0.000000,0.000000,events/second
1585418599,219,0.462019,0.000000,0.000000,0.000000,events/second
1585418602,219,0.459118,0.000000,0.000000,0.000000,events/second
1585418605,219,0.456262,0.000000,0.000000,0.000000,events/second
1585418608,219,0.453417,0.000000,0.000000,0.000000,events/second
1585418611,219,0.450631,0.000000,0.000000,0.000000,events/second
1585418614,219,0.447871,0.000000,0.000000,0.000000,events/second
1585418617,219,0.445120,0.000000,0.000000,0.000000,events/second
1585418620,219,0.442428,0.000000,0.000000,0.000000,events/second
1585418623,219,0.439756,0.000000,0.000000,0.000000,events/second
1585418626,219,0.437151,0.000000,0.000000,0.000000,events/second
1585418629,219,0.434537,0.000000,0.000000,0.000000,events/second
1585418632,219,0.431949,0.000000,0.000000,0.000000,events/second
1585418635,219,0.429408,0.000000,0.000000,0.000000,events/second
1585418638,219,0.426908,0.000000,0.000000,0.000000,events/second
1585418641,219,0.424438,0.000000,0.000000,0.000000,events/second
1585418644,219,0.421953,0.000000,0.000000,0.000000,events/second
1585418647,219,0.419540,0.000000,0.000000,0.000000,events/second
1585418650,219,0.417154,0.000000,0.000000,0.000000,events/second
1585418653,219,0.414769,0.000000,0.000000,0.000000,events/second
1585418656,219,0.412430,0.000000,0.000000,0.000000,events/second
1585418659,219,0.410109,0.000000,0.000000,0.000000,events/second
1585418662,219,0.407832,0.000000,0.000000,0.000000,events/second
1585418665,219,0.405555,0.000000,0.000000,0.000000,events/second
1585418668,219,0.403315,0.000000,0.000000,0.000000,events/second
1585418671,219,0.401098,0.000000,0.000000,0.000000,events/second
1585418674,219,0.398877,0.000000,0.000000,0.000000,events/second
1585418677,219,0.396738,0.000000,0.000000,0.000000,events/second
1585418680,219,0.394611,0.000000,0.000000,0.000000,events/second
1585418683,219,0.392486,0.000000,0.000000,0.000000,events/second
1585418686,219,0.390377,0.000000,0.000000,0.000000,events/second
1585418689,219,0.388298,0.000000,0.000000,0.000000,events/second
1585418692,219,0.386236,0.000000,0.000000,0.000000,events/second
1585418695,219,0.384226,0.000000,0.000000,0.000000,events/second
1585418698,219,0.382215,0.000000,0.000000,0.000000,events/second
1585418701,219,0.380222,0.000000,0.000000,0.000000,events/second
1585418704,219,0.378253,0.000000,0.000000,0.000000,events/second
1585418707,219,0.376289,0.000000,0.000000,0.000000,events/second
1585418710,219,0.374358,0.000000,0.000000,0.000000,events/second
1585418713,219,0.372446,0.000000,0.000000,0.000000,events/second
1585418716,219,0.370562,0.000000,0.000000,0.000000,events/second
1585418719,219,0.368696,0.000000,0.000000,0.000000,events/second
1585418722,219,0.366851,0.000000,0.000000,0.000000,events/second
1585418725,219,0.365000,0.000000,0.000000,0.000000,events/second
1585418728,219,0.363185,0.000000,0.000000,0.000000,events/second
1585418731,219,0.361353,0.000000,0.000000,0.000000,events/second
1585418734,219,0.359606,0.000000,0.000000,0.000000,events/second
1585418737,219,0.357844,0.000000,0.000000,0.000000,events/second
1585418740,219,0.356097,0.000000,0.000000,0.000000,events/second
1585418743,219,0.354368,0.000000,0.000000,0.000000,events/second
1585418746,219,0.352668,0.000000,0.000000,0.000000,events/second
1585418749,219,0.350962,0.000000,0.000000,0.000000,events/second
1585418752,219,0.349281,0.000000,0.000000,0.000000,events/second
1585418755,219,0.347621,0.000000,0.000000,0.000000,events/second
1585418758,219,0.345971,0.000000,0.000000,0.000000,events/second
1585418761,219,0.344340,0.000000,0.000000,0.000000,events/second
1585418764,219,0.342723,0.000000,0.000000,0.000000,events/second
1585418767,219,0.341137,0.000000,0.000000,0.000000,events/second
1585418770,219,0.339532,0.000000,0.000000,0.000000,events/second
1585418773,219,0.337956,0.000000,0.000000,0.000000,events/second
1585418776,219,0.336406,0.000000,0.000000,0.000000,events/second
1585418779,219,0.334860,0.000000,0.000000,0.000000,events/second
1585418782,219,0.333334,0.000000,0.000000,0.000000,events/second
1585418785,219,0.331818,0.000000,0.000000,0.000000,events/second
1585418788,219,0.330316,0.000000,0.000000,0.000000,events/second
1585418791,219,0.328837,0.000000,0.000000,0.000000,events/second
1585418794,219,0.327364,0.000000,0.000000,0.000000,events/second
1585418797,219,0.325882,0.000000,0.000000,0.000000,events/second
1585418800,219,0.324444,0.000000,0.000000,0.000000,events/second
1585418803,219,0.322981,0.000000,0.000000,0.000000,events/second
1585418806,219,0.321586,0.000000,0.000000,0.000000,events/second
1585418809,219,0.320173,0.000000,0.000000,0.000000,events/second
1585418812,219,0.318776,0.000000,0.000000,0.000000,events/second
1585418815,219,0.317389,0.000000,0.000000,0.000000,events/second
1585418818,219,0.316017,0.000000,0.000000,0.000000,events/second
1585418821,219,0.314654,0.000000,0.000000,0.000000,events/second
1585418824,219,0.313304,0.000000,0.000000,0.000000,events/second
1585418827,219,0.311965,0.000000,0.000000,0.000000,events/second
1585418830,219,0.310650,0.000000,0.000000,0.000000,events/second
1585418833,219,0.309322,0.000000,0.000000,0.000000,events/second
1585418836,219,0.308017,0.000000,0.000000,0.000000,events/second
1585418839,219,0.306723,0.000000,0.000000,0.000000,events/second
1585418842,219,0.305440,0.000000,0.000000,0.000000,events/second
1585418845,219,0.304178,0.000000,0.000000,0.000000,events/second
1585418848,219,0.302899,0.000000,0.000000,0.000000,events/second
1585418851,219,0.301652,0.000000,0.000000,0.000000,events/second
1585418854,219,0.300412,0.000000,0.000000,0.000000,events/second
1585418857,219,0.299188,0.000000,0.000000,0.000000,events/second
1585418860,219,0.297959,0.000000,0.000000,0.000000,events/second
1585418863,219,0.296759,0.000000,0.000000,0.000000,events/second
1585418866,219,0.295554,0.000000,0.000000,0.000000,events/second
1585418869,219,0.294362,0.000000,0.000000,0.000000,events/second
1585418872,219,0.293173,0.000000,0.000000,0.000000,events/second
1585418875,219,0.292000,0.000000,0.000000,0.000000,events/second
1585418878,219,0.290836,0.000000,0.000000,0.000000,events/second
1585418881,219,0.289683,0.000000,0.000000,0.000000,events/second
1585418884,219,0.288537,0.000000,0.000000,0.000000,events/second
1585418887,219,0.287399,0.000000,0.000000,0.000000,events/second
1585418890,219,0.286274,0.000000,0.000000,0.000000,events/second
1585418893,219,0.285153,0.000000,0.000000,0.000000,events/second
1585418896,219,0.284038,0.000000,0.000000,0.000000,events/second
1585418899,219,0.282955,0.000000,0.000000,0.000000,events/second
1585418902,219,0.281853,0.000000,0.000000,0.000000,events/second
1585418905,219,0.280769,0.000000,0.000000,0.000000,events/second
1585418908,219,0.279692,0.000000,0.000000,0.000000,events/second
1585418911,219,0.278626,0.000000,0.000000,0.000000,events/second
1585418914,219,0.277566,0.000000,0.000000,0.000000,events/second
1585418917,219,0.276514,0.000000,0.000000,0.000000,events/second
1585418920,219,0.275471,0.000000,0.000000,0.000000,events/second
1585418923,219,0.274443,0.000000,0.000000,0.000000,events/second
1585418926,219,0.273408,0.000000,0.000000,0.000000,events/second
1585418929,219,0.272394,0.000000,0.000000,0.000000,events/second
1585418932,219,0.271381,0.000000,0.000000,0.000000,events/second
1585418935,219,0.270374,0.000000,0.000000,0.000000,events/second
1585418938,219,0.269372,0.000000,0.000000,0.000000,events/second
1585418941,219,0.268383,0.000000,0.000000,0.000000,events/second
1585418944,219,0.267399,0.000000,0.000000,0.000000,events/second
1585418947,219,0.266432,0.000000,0.000000,0.000000,events/second
1585418950,219,0.265456,0.000000,0.000000,0.000000,events/second
1585418953,219,0.264501,0.000000,0.000000,0.000000,events/second
1585418956,219,0.263538,0.000000,0.000000,0.000000,events/second
1585418959,219,0.262577,0.000000,0.000000,0.000000,events/second
1585418962,219,0.261649,0.000000,0.000000,0.000000,events/second
1585418965,219,0.260714,0.000000,0.000000,0.000000,events/second
1585418968,219,0.259786,0.000000,0.000000,0.000000,events/second
1585418971,219,0.258865,0.000000,0.000000,0.000000,events/second
1585418974,219,0.257952,0.000000,0.000000,0.000000,events/second
1585418977,219,0.257042,0.000000,0.000000,0.000000,events/second
1585418980,219,0.256140,0.000000,0.000000,0.000000,events/second
1585418983,219,0.255252,0.000000,0.000000,0.000000,events/second
1585418986,219,0.254356,0.000000,0.000000,0.000000,events/second
1585418989,219,0.253479,0.000000,0.000000,0.000000,events/second
1585418992,219,0.252595,0.000000,0.000000,0.000000,events/second
1585418995,219,0.251724,0.000000,0.000000,0.000000,events/second
1585418998,219,0.250859,0.000000,0.000000,0.000000,events/second
1585419001,219,0.249977,0.000000,0.000000,0.000000,events/second
1585419004,219,0.249145,0.000000,0.000000,0.000000,events/second
1585419007,219,0.248298,0.000000,0.000000,0.000000,events/second
1585419010,219,0.247457,0.000000,0.000000,0.000000,events/second
1585419013,219,0.246622,0.000000,0.000000,0.000000,events/second
1585419016,219,0.245791,0.000000,0.000000,0.000000,events/second
1585419019,219,0.244966,0.000000,0.000000,0.000000,events/second
1585419022,219,0.244147,0.000000,0.000000,0.000000,events/second
1585419025,219,0.243331,0.000000,0.000000,0.000000,events/second
