t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1946,610.816719,0.000000,0.000000,0.000000,events/second
1585418131,2006,331.295673,0.000000,0.000000,0.000000,events/second
1585418134,2007,223.178602,0.000000,0.000000,0.000000,events/second
1585418137,2007,167.322045,0.000000,0.000000,0.000000,events/second
1585418140,2007,133.991871,0.000000,0.000000,0.000000,events/second
1585418143,2007,111.498159,0.000000,0.000000,0.000000,events/second
1585418146,2014,95.986513,0.000000,0.000000,0.000000,events/second
1585418149,2018,83.758095,0.000000,0.000000,0.000000,events/second
1585418152,2018,74.731171,0.000000,0.000000,0.000000,events/second
1585418155,2018,67.264404,0.000000,0.000000,0.000000,events/second
1585418158,2018,61.169570,0.000000,0.000000,0.000000,events/second
1585418161,2018,56.076309,0.000000,0.000000,0.000000,events/second
1585418164,2149,55.135267,0.000000,0.000000,0.000000,events/second
1585418167,2149,51.156349,0.000000,0.000000,0.000000,events/second
1585418170,2149,47.747962,0.000000,0.000000,0.000000,events/second
1585418173,2149,44.744961,0.000000,0.000000,0.000000,events/second
1585418176,2149,42.133650,0.000000,0.000000,0.000000,events/second
1585418179,2249,41.646880,0.000000,0.000000,0.000000,events/second
1585418182,2249,39.453666,0.000000,0.000000,0.000000,events/second
1585418185,2257,37.615344,0.000000,0.000000,0.000000,events/second
1585418188,2257,35.822949,0.000000,0.000000,0.000000,events/second
1585418191,2257,34.195556,0.000000,0.000000,0.000000,events/second
1585418194,2257,32.707360,0.000000,0.000000,0.000000,events/second
1585418197,2257,31.347699,0.000000,0.000000,0.000000,events/second
1585418200,2257,30.100913,0.000000,0.000000,0.000000,events/second
1585418203,2413,30.904789,0.000000,0.000000,0.000000,events/second
1585418206,2413,29.776487,0.000000,0.000000,0.000000,events/second
1585418209,2413,28.710193,0.000000,0.000000,0.000000,events/second
1585418212,2413,27.735190,0.000000,0.000000,0.000000,events/second
1585418215,2413,26.808954,0.000000,0.000000,0.000000,events/second
1585418218,2413,25.949072,0.000000,0.000000,0.000000,events/second
1585418221,2413,25.134572,0.000000,0.000000,0.000000,events/second
1585418224,2544,25.702012,0.000000,0.000000,0.000000,events/second
1585418227,2544,24.941667,0.000000,0.000000,0.000000,events/second
1585418230,2544,24.232386,0.000000,0.000000,0.000000,events/second
1585418233,2544,23.536108,0.000000,0.000000,0.000000,events/second
1585418236,2544,22.902365,0.000000,0.000000,0.000000,events/second
1585418239,2652,23.189776,0.000000,0.000000,0.000000,events/second
1585418242,2652,22.669277,0.000000,0.000000,0.000000,events/second
1585418245,2658,22.137824,0.000000,0.000000,0.000000,events/second
1585418248,2658,21.609058,0.000000,0.000000,0.000000,events/second
1585418251,2658,21.094732,0.000000,0.000000,0.000000,events/second
1585418254,2658,20.603575,0.000000,0.000000,0.000000,events/second
1585418257,2658,20.136060,0.000000,0.000000,0.000000,events/second
1585418260,2658,19.687159,0.000000,0.000000,0.000000,events/second
1585418263,2660,19.275405,0.000000,0.000000,0.000000,events/second
1585418266,2664,18.893619,0.000000,0.000000,0.000000,events/second
1585418269,2664,18.499829,0.000000,0.000000,0.000000,events/second
1585418272,2664,18.121674,0.000000,0.000000,0.000000,events/second
1585418275,2664,17.760086,0.000000,0.000000,0.000000,events/second
1585418278,2664,17.410490,0.000000,0.000000,0.000000,events/second
1585418281,2664,17.080073,0.000000,0.000000,0.000000,events/second
1585418284,2795,17.561364,0.000000,0.000000,0.000000,events/second
1585418287,2795,17.252639,0.000000,0.000000,0.000000,events/second
1585418290,2795,16.939687,0.000000,0.000000,0.000000,events/second
1585418293,2795,16.636910,0.000000,0.000000,0.000000,events/second
1585418296,2795,16.343877,0.000000,0.000000,0.000000,events/second
1585418299,2903,16.683697,0.000000,0.000000,0.000000,events/second
1585418302,2903,16.400998,0.000000,0.000000,0.000000,events/second
1585418305,2909,16.160992,0.000000,0.000000,0.000000,events/second
1585418308,2909,15.896259,0.000000,0.000000,0.000000,events/second
1585418311,2909,15.639878,0.000000,0.000000,0.000000,events/second
1585418314,2909,15.389531,0.000000,0.000000,0.000000,events/second
1585418317,2909,15.150778,0.000000,0.000000,0.000000,events/second
1585418320,2909,14.917662,0.000000,0.000000,0.000000,events/second
1585418323,2911,14.704212,0.000000,0.000000,0.000000,events/second
1585418326,2915,14.502511,0.000000,0.000000,0.000000,events/second
1585418329,2915,14.289501,0.000000,0.000000,0.000000,events/second
1585418332,2915,14.082187,0.000000,0.000000,0.000000,events/second
1585418335,2915,13.881021,0.000000,0.000000,0.000000,events/second
1585418338,2915,13.685404,0.000000,0.000000,0.000000,events/second
1585418341,2915,13.494616,0.000000,0.000000,0.000000,events/second
1585418344,3046,13.910469,0.000000,0.000000,0.000000,events/second
1585418347,3046,13.720745,0.000000,0.000000,0.000000,events/second
1585418350,3047,13.541910,0.000000,0.000000,0.000000,events/second
1585418353,3047,13.364098,0.000000,0.000000,0.000000,events/second
1585418356,3047,13.190407,0.000000,0.000000,0.000000,events/second
1585418359,3155,13.482970,0.000000,0.000000,0.000000,events/second
1585418362,3155,13.312148,0.000000,0.000000,0.000000,events/second
1585418365,3161,13.170733,0.000000,0.000000,0.000000,events/second
1585418368,3161,13.008255,0.000000,0.000000,0.000000,events/second
1585418371,3161,12.849507,0.000000,0.000000,0.000000,events/second
1585418374,3161,12.692588,0.000000,0.000000,0.000000,events/second
1585418377,3161,12.542131,0.000000,0.000000,0.000000,events/second
1585418380,3161,12.396091,0.000000,0.000000,0.000000,events/second
1585418383,3163,12.260917,0.000000,0.000000,0.000000,events/second
1585418386,3167,12.134043,0.000000,0.000000,0.000000,events/second
1585418389,3169,12.003277,0.000000,0.000000,0.000000,events/second
1585418392,3170,11.872663,0.000000,0.000000,0.000000,events/second
1585418395,3170,11.740740,0.000000,0.000000,0.000000,events/second
1585418398,3171,11.614847,0.000000,0.000000,0.000000,events/second
1585418401,3171,11.488145,0.000000,0.000000,0.000000,events/second
1585418404,3302,11.836049,0.000000,0.000000,0.000000,events/second
1585418407,3302,11.709260,0.000000,0.000000,0.000000,events/second
1585418410,3302,11.585759,0.000000,0.000000,0.000000,events/second
1585418413,3302,11.465335,0.000000,0.000000,0.000000,events/second
1585418416,3302,11.347118,0.000000,0.000000,0.000000,events/second
1585418419,3410,11.598341,0.000000,0.000000,0.000000,events/second
1585418422,3410,11.481484,0.000000,0.000000,0.000000,events/second
1585418425,3416,11.386708,0.000000,0.000000,0.000000,events/second
1585418428,3416,11.273947,0.000000,0.000000,0.000000,events/second
1585418431,3416,11.163327,0.000000,0.000000,0.000000,events/second
1585418434,3416,11.054951,0.000000,0.000000,0.000000,events/second
1585418437,3416,10.948666,0.000000,0.000000,0.000000,events/second
1585418440,3416,10.844409,0.000000,0.000000,0.000000,events/second
1585418443,3418,10.749374,0.000000,0.000000,0.000000,events/second
1585418446,3422,10.660446,0.000000,0.000000,0.000000,events/second
1585418449,3422,10.561667,0.000000,0.000000,0.000000,events/second
1585418452,3422,10.464775,0.000000,0.000000,0.000000,events/second
1585418455,3422,10.369596,0.000000,0.000000,0.000000,events/second
1585418458,3422,10.276307,0.000000,0.000000,0.000000,events/second
1585418461,3422,10.184558,0.000000,0.000000,0.000000,events/second
1585418464,3553,10.481249,0.000000,0.000000,0.000000,events/second
1585418467,3553,10.388449,0.000000,0.000000,0.000000,events/second
1585418470,3553,10.298494,0.000000,0.000000,0.000000,events/second
1585418473,3553,10.209716,0.000000,0.000000,0.000000,events/second
1585418476,3553,10.122532,0.000000,0.000000,0.000000,events/second
1585418479,3661,10.341827,0.000000,0.000000,0.000000,events/second
1585418482,3661,10.255009,0.000000,0.000000,0.000000,events/second
1585418485,3667,10.186057,0.000000,0.000000,0.000000,events/second
1585418488,3667,10.101888,0.000000,0.000000,0.000000,events/second
1585418491,3667,10.019155,0.000000,0.000000,0.000000,events/second
1585418494,3667,9.937695,0.000000,0.000000,0.000000,events/second
1585418497,3667,9.857545,0.000000,0.000000,0.000000,events/second
1585418500,3667,9.778754,0.000000,0.000000,0.000000,events/second
1585418503,3669,9.706817,0.000000,0.000000,0.000000,events/second
1585418506,3673,9.640379,0.000000,0.000000,0.000000,events/second
1585418509,3673,9.565576,0.000000,0.000000,0.000000,events/second
1585418512,3673,9.481812,0.000000,0.000000,0.000000,events/second
1585418515,3673,9.417930,0.000000,0.000000,0.000000,events/second
1585418518,3673,9.346089,0.000000,0.000000,0.000000,events/second
1585418521,3673,9.275281,0.000000,0.000000,0.000000,events/second
1585418524,3804,9.534306,0.000000,0.000000,0.000000,events/second
1585418527,3804,9.462722,0.000000,0.000000,0.000000,events/second
1585418530,3804,9.392574,0.000000,0.000000,0.000000,events/second
1585418533,3804,9.323562,0.000000,0.000000,0.000000,events/second
1585418536,3804,9.255495,0.000000,0.000000,0.000000,events/second
1585418539,3912,9.449964,0.000000,0.000000,0.000000,events/second
1585418542,3912,9.381317,0.000000,0.000000,0.000000,events/second
1585418545,3918,9.328604,0.000000,0.000000,0.000000,events/second
1585418548,3918,9.262463,0.000000,0.000000,0.000000,events/second
1585418551,3918,9.197200,0.000000,0.000000,0.000000,events/second
1585418554,3918,9.132939,0.000000,0.000000,0.000000,events/second
1585418557,3918,9.069370,0.000000,0.000000,0.000000,events/second
1585418560,3920,9.011524,0.000000,0.000000,0.000000,events/second
1585418563,3923,8.957216,0.000000,0.000000,0.000000,events/second
1585418566,3928,8.906997,0.000000,0.000000,0.000000,events/second
1585418569,3929,8.849192,0.000000,0.000000,0.000000,events/second
1585418572,3929,8.789725,0.000000,0.000000,0.000000,events/second
1585418575,3931,8.735952,0.000000,0.000000,0.000000,events/second
1585418578,3934,8.684344,0.000000,0.000000,0.000000,events/second
1585418581,3935,8.629395,0.000000,0.000000,0.000000,events/second
1585418584,4067,8.859602,0.000000,0.000000,0.000000,events/second
1585418587,4067,8.802598,0.000000,0.000000,0.000000,events/second
1585418590,4067,8.746555,0.000000,0.000000,0.000000,events/second
1585418593,4067,8.690181,0.000000,0.000000,0.000000,events/second
1585418596,4067,8.634803,0.000000,0.000000,0.000000,events/second
1585418599,4175,8.807910,0.000000,0.000000,0.000000,events/second
1585418602,4175,8.752596,0.000000,0.000000,0.000000,events/second
1585418605,4181,8.710657,0.000000,0.000000,0.000000,events/second
1585418608,4181,8.656340,0.000000,0.000000,0.000000,events/second
1585418611,4181,8.603155,0.000000,0.000000,0.000000,events/second
1585418614,4181,8.550460,0.000000,0.000000,0.000000,events/second
1585418617,4181,8.497943,0.000000,0.000000,0.000000,events/second
