t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,1810,567.823049,0.000000,0.000000,0.000000,events/second
1585418131,1870,308.819100,0.000000,0.000000,0.000000,events/second
1585418134,1871,208.052453,0.000000,0.000000,0.000000,events/second
1585418137,1871,155.980696,0.000000,0.000000,0.000000,events/second
1585418140,1871,124.912316,0.000000,0.000000,0.000000,events/second
1585418143,1871,103.941382,0.000000,0.000000,0.000000,events/second
1585418146,1878,89.504668,0.000000,0.000000,0.000000,events/second
1585418149,1882,78.110721,0.000000,0.000000,0.000000,events/second
1585418152,1882,69.694793,0.000000,0.000000,0.000000,events/second
1585418155,1882,62.731366,0.000000,0.000000,0.000000,events/second
1585418158,1882,57.047084,0.000000,0.000000,0.000000,events/second
1585418161,1882,52.297156,0.000000,0.000000,0.000000,events/second
1585418164,2013,51.646109,0.000000,0.000000,0.000000,events/second
1585418167,2013,47.918836,0.000000,0.000000,0.000000,events/second
1585418170,2013,44.726164,0.000000,0.000000,0.000000,events/second
1585418173,2013,41.913327,0.000000,0.000000,0.000000,events/second
1585418176,2013,39.467227,0.000000,0.000000,0.000000,events/second
1585418179,2113,39.128489,0.000000,0.000000,0.000000,events/second
1585418182,2113,37.067844,0.000000,0.000000,0.000000,events/second
1585418185,2121,35.348758,0.000000,0.000000,0.000000,events/second
1585418188,2121,33.664401,0.000000,0.000000,0.000000,events/second
1585418191,2121,32.135068,0.000000,0.000000,0.000000,events/second
1585418194,2121,30.736521,0.000000,0.000000,0.000000,events/second
1585418197,2121,29.458811,0.000000,0.000000,0.000000,events/second
1585418200,2121,28.287130,0.000000,0.000000,0.000000,events/second
1585418203,2277,29.162797,0.000000,0.000000,0.000000,events/second
1585418206,2277,28.098211,0.000000,0.000000,0.000000,events/second
1585418209,2277,27.092061,0.000000,0.000000,0.000000,events/second
1585418212,2277,26.171987,0.000000,0.000000,0.000000,events/second
1585418215,2277,25.297967,0.000000,0.000000,0.000000,events/second
1585418218,2277,24.486515,0.000000,0.000000,0.000000,events/second
1585418221,2277,23.717970,0.000000,0.000000,0.000000,events/second
1585418224,2408,24.327990,0.000000,0.000000,0.000000,events/second
1585418227,2408,23.608324,0.000000,0.000000,0.000000,events/second
1585418230,2408,22.936960,0.000000,0.000000,0.000000,events/second
1585418233,2408,22.277886,0.000000,0.000000,0.000000,events/second
1585418236,2408,21.677979,0.000000,0.000000,0.000000,events/second
1585418239,2514,21.983056,0.000000,0.000000,0.000000,events/second
1585418242,2514,21.489659,0.000000,0.000000,0.000000,events/second
1585418245,2520,20.988462,0.000000,0.000000,0.000000,events/second
1585418248,2520,20.487139,0.000000,0.000000,0.000000,events/second
1585418251,2520,19.999524,0.000000,0.000000,0.000000,events/second
1585418254,2520,19.533866,0.000000,0.000000,0.000000,events/second
1585418257,2520,19.090632,0.000000,0.000000,0.000000,events/second
1585418260,2520,18.665025,0.000000,0.000000,0.000000,events/second
1585418263,2522,18.275413,0.000000,0.000000,0.000000,events/second
1585418266,2526,17.914906,0.000000,0.000000,0.000000,events/second
1585418269,2526,17.541512,0.000000,0.000000,0.000000,events/second
1585418272,2526,17.182931,0.000000,0.000000,0.000000,events/second
1585418275,2526,16.840090,0.000000,0.000000,0.000000,events/second
1585418278,2526,16.508594,0.000000,0.000000,0.000000,events/second
1585418281,2526,16.195303,0.000000,0.000000,0.000000,events/second
1585418284,2657,16.694275,0.000000,0.000000,0.000000,events/second
1585418287,2657,16.400818,0.000000,0.000000,0.000000,events/second
1585418290,2657,16.103309,0.000000,0.000000,0.000000,events/second
1585418293,2657,15.815489,0.000000,0.000000,0.000000,events/second
1585418296,2657,15.536915,0.000000,0.000000,0.000000,events/second
1585418299,2763,15.879117,0.000000,0.000000,0.000000,events/second
1585418302,2763,15.610050,0.000000,0.000000,0.000000,events/second
1585418305,2769,15.383224,0.000000,0.000000,0.000000,events/second
1585418308,2769,15.131234,0.000000,0.000000,0.000000,events/second
1585418311,2769,14.887192,0.000000,0.000000,0.000000,events/second
1585418314,2769,14.648875,0.000000,0.000000,0.000000,events/second
1585418317,2769,14.421630,0.000000,0.000000,0.000000,events/second
1585418320,2769,14.199733,0.000000,0.000000,0.000000,events/second
1585418323,2771,13.997042,0.000000,0.000000,0.000000,events/second
1585418326,2775,13.805994,0.000000,0.000000,0.000000,events/second
1585418329,2775,13.603208,0.000000,0.000000,0.000000,events/second
1585418332,2775,13.405861,0.000000,0.000000,0.000000,events/second
1585418335,2775,13.214356,0.000000,0.000000,0.000000,events/second
1585418338,2775,13.028134,0.000000,0.000000,0.000000,events/second
1585418341,2775,12.846501,0.000000,0.000000,0.000000,events/second
1585418344,2906,13.271122,0.000000,0.000000,0.000000,events/second
1585418347,2906,13.090118,0.000000,0.000000,0.000000,events/second
1585418350,2907,12.919706,0.000000,0.000000,0.000000,events/second
1585418353,2907,12.750064,0.000000,0.000000,0.000000,events/second
1585418356,2907,12.584354,0.000000,0.000000,0.000000,events/second
1585418359,3013,12.876134,0.000000,0.000000,0.000000,events/second
1585418362,3013,12.713000,0.000000,0.000000,0.000000,events/second
1585418365,3019,12.579075,0.000000,0.000000,0.000000,events/second
1585418368,3019,12.423896,0.000000,0.000000,0.000000,events/second
1585418371,3019,12.272279,0.000000,0.000000,0.000000,events/second
1585418374,3019,12.122403,0.000000,0.000000,0.000000,events/second
1585418377,3019,11.978702,0.000000,0.000000,0.000000,events/second
1585418380,3019,11.839232,0.000000,0.000000,0.000000,events/second
1585418383,3021,11.710475,0.000000,0.000000,0.000000,events/second
1585418386,3025,11.589987,0.000000,0.000000,0.000000,events/second
1585418389,3027,11.465420,0.000000,0.000000,0.000000,events/second
1585418392,3028,11.340829,0.000000,0.000000,0.000000,events/second
1585418395,3028,11.214816,0.000000,0.000000,0.000000,events/second
1585418398,3029,11.094722,0.000000,0.000000,0.000000,events/second
1585418401,3029,10.973698,0.000000,0.000000,0.000000,events/second
1585418404,3160,11.327047,0.000000,0.000000,0.000000,events/second
1585418407,3160,11.205715,0.000000,0.000000,0.000000,events/second
1585418410,3160,11.087522,0.000000,0.000000,0.000000,events/second
1585418413,3160,10.972279,0.000000,0.000000,0.000000,events/second
1585418416,3160,10.859146,0.000000,0.000000,0.000000,events/second
1585418419,3266,11.108558,0.000000,0.000000,0.000000,events/second
1585418422,3266,10.996637,0.000000,0.000000,0.000000,events/second
1585418425,3272,10.906710,0.000000,0.000000,0.000000,events/second
1585418428,3272,10.798701,0.000000,0.000000,0.000000,events/second
1585418431,3272,10.692745,0.000000,0.000000,0.000000,events/second
1585418434,3272,10.588937,0.000000,0.000000,0.000000,events/second
1585418437,3272,10.487132,0.000000,0.000000,0.000000,events/second
1585418440,3272,10.387270,0.000000,0.000000,0.000000,events/second
1585418443,3274,10.296507,0.000000,0.000000,0.000000,events/second
1585418446,3278,10.211850,0.000000,0.000000,0.000000,events/second
1585418449,3278,10.117228,0.000000,0.000000,0.000000,events/second
1585418452,3278,10.024413,0.000000,0.000000,0.000000,events/second
1585418455,3278,9.933237,0.000000,0.000000,0.000000,events/second
1585418458,3278,9.843876,0.000000,0.000000,0.000000,events/second
1585418461,3278,9.755988,0.000000,0.000000,0.000000,events/second
