t,value
1585418128,8
1585418131,8
1585418134,8
1585418137,8
1585418140,8
1585418143,8
1585418146,8
1585418149,8
1585418152,8
1585418155,8
1585418158,8
1585418161,8
1585418164,8
1585418167,8
1585418170,8
1585418173,8
1585418176,8
1585418179,8
1585418182,8
1585418185,8
1585418188,8
1585418191,8
1585418194,8
1585418197,8
1585418200,8
1585418203,8
1585418206,8
1585418209,8
1585418212,8
1585418215,8
1585418218,8
1585418221,8
1585418224,8
1585418227,8
1585418230,8
1585418233,8
1585418236,8
1585418239,8
1585418242,8
1585418245,8
1585418248,8
1585418251,8
1585418254,8
1585418257,8
1585418260,8
1585418263,8
1585418266,8
1585418269,8
1585418272,8
1585418275,8
1585418278,8
1585418281,8
1585418284,8
1585418287,8
1585418290,8
1585418293,8
1585418296,8
1585418299,8
1585418302,8
1585418305,8
1585418308,8
1585418311,8
1585418314,8
1585418317,8
1585418320,8
1585418323,8
1585418326,8
1585418329,8
1585418332,8
1585418335,8
1585418338,8
1585418341,8
1585418344,8
1585418347,8
1585418350,8
1585418353,8
1585418356,8
1585418359,8
1585418362,8
1585418365,8
1585418368,8
1585418371,8
1585418374,8
1585418377,8
1585418380,8
1585418383,8
1585418386,8
1585418389,8
1585418392,8
1585418395,8
1585418398,8
1585418401,8
1585418404,8
1585418407,8
1585418410,8
1585418413,8
1585418416,8
1585418419,8
1585418422,8
1585418425,8
1585418428,8
1585418431,8
1585418434,8
1585418437,8
1585418440,8
1585418443,8
1585418446,8
1585418449,8
1585418452,8
1585418455,8
1585418458,8
1585418461,8
1585418464,8
1585418467,8
1585418470,8
1585418473,8
1585418476,8
1585418479,8
1585418482,8
1585418485,8
1585418488,8
1585418491,8
1585418494,8
1585418497,8
1585418500,8
1585418503,8
1585418506,8
1585418509,8
1585418512,8
1585418515,8
1585418518,8
1585418521,8
1585418524,8
1585418527,8
1585418530,8
1585418533,8
1585418536,8
1585418539,8
1585418542,8
1585418545,8
1585418548,8
1585418551,8
1585418554,8
1585418557,8
1585418560,8
1585418563,8
1585418566,8
1585418569,8
1585418572,8
1585418575,8
1585418578,8
1585418581,8
1585418584,8
1585418587,8
1585418590,8
1585418593,8
1585418596,8
1585418599,8
1585418602,8
1585418605,8
1585418608,8
1585418611,8
1585418614,8
1585418617,8
1585418620,8
1585418623,8
1585418626,8
1585418629,8
1585418632,8
1585418635,8
1585418638,8
1585418641,8
1585418644,8
1585418647,8
1585418650,8
1585418653,8
1585418656,8
1585418659,8
1585418662,8
1585418665,8
1585418668,8
1585418671,8
1585418674,8
1585418677,8
1585418680,8
1585418683,8
1585418686,8
1585418689,8
1585418692,8
1585418695,8
1585418698,8
1585418701,8
1585418704,8
1585418707,8
1585418710,8
1585418713,8
1585418716,8
1585418719,8
1585418722,8
1585418725,8
1585418728,8
1585418731,8
1585418734,8
1585418737,8
1585418740,8
1585418743,8
1585418746,8
1585418749,8
1585418752,8
1585418755,8
1585418758,8
1585418761,8
1585418764,8
1585418767,8
1585418770,8
1585418773,8
1585418776,8
1585418779,8
1585418782,8
1585418785,8
1585418788,8
1585418791,8
1585418794,8
1585418797,8
1585418800,8
1585418803,8
1585418806,8
1585418809,8
1585418812,8
1585418815,8
1585418818,8
1585418821,8
1585418824,8
1585418827,8
1585418830,8
1585418833,8
1585418836,8
1585418839,8
1585418842,8
1585418845,8
1585418848,8
1585418851,8
1585418854,8
1585418857,8
1585418860,8
1585418863,8
1585418866,8
1585418869,8
1585418872,8
1585418875,8
1585418878,8
1585418881,8
1585418884,8
1585418887,8
1585418890,8
1585418893,8
1585418896,8
1585418899,8
1585418902,8
1585418905,8
1585418908,8
1585418911,8
1585418914,8
1585418917,8
1585418920,8
1585418923,8
1585418926,8
1585418929,8
1585418932,8
1585418935,8
1585418938,8
1585418941,8
1585418944,8
1585418947,8
1585418950,8
1585418953,8
1585418956,8
1585418959,8
1585418962,8
1585418965,8
1585418968,8
1585418971,8
1585418974,8
1585418977,8
1585418980,8
1585418983,8
1585418986,8
1585418989,8
1585418992,8
1585418995,8
