t,value
1585418128,78
1585418131,78
1585418134,78
1585418137,78
1585418140,78
1585418143,78
1585418146,78
1585418149,78
1585418152,78
1585418155,78
1585418158,78
1585418161,78
1585418164,78
1585418167,78
1585418170,78
1585418173,78
1585418176,78
1585418179,78
1585418182,78
1585418185,78
1585418188,78
1585418191,78
1585418194,78
1585418197,78
1585418200,78
1585418203,78
1585418206,78
1585418209,78
1585418212,78
1585418215,78
1585418218,78
1585418221,78
1585418224,78
1585418227,78
1585418230,78
1585418233,78
1585418236,78
1585418239,78
1585418242,78
1585418245,78
1585418248,78
1585418251,78
1585418254,78
1585418257,78
1585418260,78
1585418263,78
1585418266,78
1585418269,78
1585418272,78
1585418275,78
1585418278,78
1585418281,78
1585418284,78
1585418287,78
1585418290,78
1585418293,78
1585418296,78
1585418299,78
1585418302,78
1585418305,78
1585418308,78
1585418311,78
1585418314,78
1585418317,78
1585418320,78
1585418323,78
1585418326,78
1585418329,78
1585418332,78
1585418335,78
1585418338,78
1585418341,78
1585418344,78
1585418347,78
1585418350,78
1585418353,78
1585418356,78
1585418359,78
1585418362,78
1585418365,78
1585418368,78
1585418371,78
1585418374,78
1585418377,78
1585418380,78
1585418383,78
1585418386,78
1585418389,78
1585418392,78
1585418395,78
1585418398,78
1585418401,78
1585418404,78
1585418407,78
1585418410,78
1585418413,78
1585418416,78
1585418419,78
1585418422,78
1585418425,78
1585418428,78
1585418431,78
1585418434,78
1585418437,78
1585418440,78
1585418443,78
1585418446,78
1585418449,78
1585418452,78
1585418455,78
1585418458,78
1585418461,78
1585418464,78
1585418467,78
1585418470,78
1585418473,78
1585418476,78
1585418479,78
1585418482,78
1585418485,78
1585418488,78
1585418491,78
1585418494,78
1585418497,78
1585418500,78
1585418503,78
1585418506,78
1585418509,78
1585418512,78
1585418515,78
1585418518,78
1585418521,78
1585418524,78
1585418527,78
1585418530,78
1585418533,78
1585418536,78
1585418539,78
1585418542,78
1585418545,78
1585418548,78
1585418551,78
1585418554,78
1585418557,78
1585418560,78
1585418563,78
1585418566,78
1585418569,78
1585418572,78
1585418575,78
1585418578,78
1585418581,78
1585418584,78
1585418587,78
1585418590,78
1585418593,78
1585418596,78
1585418599,78
1585418602,78
1585418605,78
1585418608,78
1585418611,78
1585418614,78
1585418617,78
1585418620,78
1585418623,78
1585418626,78
1585418629,78
1585418632,78
1585418635,78
1585418638,78
1585418641,78
1585418644,78
1585418647,78
1585418650,78
1585418653,78
1585418656,78
1585418659,78
1585418662,78
1585418665,78
1585418668,78
1585418671,78
1585418674,78
1585418677,78
1585418680,78
1585418683,78
1585418686,78
1585418689,78
1585418692,78
1585418695,78
1585418698,78
1585418701,78
1585418704,78
1585418707,78
1585418710,78
1585418713,78
1585418716,78
1585418719,78
1585418722,78
1585418725,78
1585418728,78
1585418731,78
1585418734,78
1585418737,78
1585418740,78
1585418743,78
1585418746,78
1585418749,78
1585418752,78
1585418755,78
1585418758,78
1585418761,78
1585418764,78
1585418767,78
1585418770,78
1585418773,78
1585418776,78
1585418779,78
1585418782,78
1585418785,78
1585418788,78
1585418791,78
1585418794,78
1585418797,78
1585418800,78
1585418803,78
1585418806,78
1585418809,78
1585418812,78
1585418815,78
1585418818,78
1585418821,78
1585418824,78
1585418827,78
1585418830,78
1585418833,78
1585418836,78
1585418839,78
1585418842,78
1585418845,78
1585418848,78
1585418851,78
1585418854,78
1585418857,78
1585418860,78
1585418863,78
1585418866,78
1585418869,78
1585418872,78
1585418875,78
1585418878,78
1585418881,78
1585418884,78
1585418887,78
1585418890,78
1585418893,78
1585418896,78
1585418899,78
1585418902,78
1585418905,78
1585418908,78
1585418911,78
1585418914,78
1585418917,78
1585418920,78
1585418923,78
1585418926,78
1585418929,78
1585418932,78
1585418935,78
1585418938,78
1585418941,78
1585418944,78
1585418947,78
1585418950,78
1585418953,78
1585418956,78
1585418959,78
1585418962,78
1585418965,78
1585418968,78
1585418971,78
1585418974,78
1585418977,78
1585418980,78
1585418983,78
1585418986,78
1585418989,78
1585418992,78
1585418995,78
1585418998,78
1585419001,78
1585419004,78
1585419007,78
1585419010,78
1585419013,78
1585419016,78
1585419019,78
1585419022,78
1585419025,78
1585419028,78
1585419031,78
1585419034,78
1585419037,78
1585419040,78
1585419043,78
1585419046,78
1585419049,78
1585419052,78
1585419055,78
1585419058,78
1585419061,78
1585419064,78
1585419067,78
1585419070,78
1585419073,78
1585419076,78
1585419079,78
1585419082,78
1585419085,78
1585419088,78
1585419091,78
1585419094,78
1585419097,78
1585419100,78
1585419103,78
1585419106,78
1585419109,78
1585419112,78
1585419115,78
1585419118,78
1585419121,78
1585419124,78
1585419127,78
1585419130,78
1585419133,78
1585419136,78
1585419139,78
1585419142,78
1585419145,78
1585419148,78
1585419151,78
1585419154,78
1585419157,78
1585419160,78
1585419163,78
1585419166,78
1585419169,78
1585419172,78
1585419175,78
1585419178,78
1585419181,78
1585419184,78
1585419187,78
1585419190,78
1585419193,78
1585419196,78
1585419199,78
1585419202,78
1585419205,78
1585419208,78
1585419211,78
1585419214,78
1585419217,78
1585419220,78
1585419223,78
1585419226,78
1585419229,78
1585419232,78
1585419235,78
1585419238,78
1585419241,78
1585419244,78
1585419247,78
1585419250,78
1585419253,78
1585419256,78
1585419259,78
1585419262,78
1585419265,78
1585419268,78
1585419271,78
1585419274,78
1585419277,78
1585419280,78
1585419283,78
1585419286,78
1585419289,78
1585419292,78
1585419295,78
1585419298,78
1585419301,78
1585419304,78
1585419307,78
1585419310,78
1585419313,78
1585419316,78
1585419319,78
1585419322,78
1585419325,78
1585419328,78
1585419331,78
1585419334,78
1585419337,78
1585419340,78
1585419343,78
1585419346,78
1585419349,78
1585419352,78
1585419355,78
1585419358,78
1585419361,78
1585419364,78
1585419367,78
1585419370,78
1585419373,78
1585419376,78
1585419379,78
1585419382,78
1585419385,78
1585419388,78
1585419391,78
1585419394,78
1585419397,78
1585419400,78
1585419403,78
1585419406,78
1585419409,78
1585419412,78
1585419415,78
1585419418,78
1585419421,78
1585419424,78
1585419427,78
1585419430,78
1585419433,78
1585419436,78
1585419439,78
1585419442,78
1585419445,78
1585419448,78
1585419451,78
1585419454,78
1585419457,78
1585419460,78
1585419463,78
1585419466,78
1585419469,78
1585419472,78
1585419475,78
1585419478,78
1585419481,78
1585419484,78
1585419487,78
1585419490,78
1585419493,78
1585419496,78
1585419499,78
1585419502,78
1585419505,78
1585419508,78
1585419511,78
1585419514,78
1585419517,78
1585419520,78
1585419523,78
1585419526,78
1585419529,78
1585419532,78
1585419535,78
1585419538,78
1585419541,78
1585419544,78
1585419547,78
1585419550,78
1585419553,78
1585419556,78
1585419559,78
1585419562,78
1585419565,78
1585419568,78
1585419571,78
1585419574,78
1585419577,78
1585419580,78
1585419583,78
1585419586,78
1585419589,78
1585419592,78
1585419595,78
1585419598,78
1585419601,78
1585419604,78
1585419607,78
1585419610,78
1585419613,78
1585419616,78
1585419619,78
1585419622,78
1585419625,78
1585419628,78
1585419631,78
1585419634,78
1585419637,78
1585419640,78
1585419643,78
1585419646,78
1585419649,78
1585419652,78
1585419655,78
1585419658,78
1585419661,78
1585419664,78
1585419667,78
1585419670,78
1585419673,78
1585419676,78
1585419679,78
1585419682,78
1585419685,78
1585419688,78
1585419691,78
1585419694,78
1585419697,78
1585419700,78
1585419703,78
1585419706,78
1585419709,78
1585419712,78
1585419715,78
1585419718,78
1585419721,78
1585419724,78
1585419727,78
1585419730,78
1585419733,78
1585419736,78
1585419739,78
1585419742,78
1585419745,78
1585419748,78
1585419751,78
1585419754,78
1585419757,78
1585419760,78
1585419763,78
1585419766,78
1585419769,78
1585419772,78
1585419775,78
1585419778,78
1585419781,78
1585419784,78
1585419787,78
1585419790,78
1585419793,78
1585419796,78
1585419799,78
1585419802,78
1585419805,78
1585419808,78
1585419811,78
1585419814,78
1585419817,78
1585419820,78
1585419823,78
1585419826,78
1585419829,78
1585419832,78
1585419835,78
1585419838,78
1585419841,78
1585419844,78
1585419847,78
1585419850,78
1585419853,78
1585419856,78
1585419859,78
1585419862,78
1585419865,78
1585419868,78
1585419871,78
1585419874,78
1585419877,78
1585419880,78
1585419883,78
1585419886,78
1585419889,78
1585419892,78
1585419895,78
1585419898,78
1585419901,78
1585419904,78
1585419907,78
1585419910,78
1585419913,78
1585419916,78
1585419919,78
1585419922,78
1585419925,78
1585419928,78
1585419931,78
1585419934,78
1585419937,78
1585419940,78
1585419943,78
1585419946,78
1585419949,78
1585419952,78
1585419955,78
1585419958,78
1585419961,78
1585419964,78
1585419967,78
1585419970,78
1585419973,78
1585419976,78
1585419979,78
1585419982,78
1585419985,78
1585419988,78
1585419991,78
1585419994,78
1585419997,78
1585420000,78
1585420003,78
1585420006,78
1585420009,78
1585420012,78
1585420015,78
1585420018,78
1585420021,78
1585420024,78
1585420027,78
1585420030,78
1585420033,78
1585420036,78
1585420039,78
1585420042,78
1585420045,78
1585420048,78
1585420051,78
1585420054,78
1585420057,78
1585420060,78
1585420063,78
1585420066,78
1585420069,78
1585420072,78
1585420075,78
1585420078,78
1585420081,78
1585420084,78
1585420087,78
1585420090,78
1585420093,78
1585420096,78
1585420099,78
1585420102,78
1585420105,78
1585420108,78
1585420111,78
1585420114,78
1585420117,78
1585420120,78
1585420123,78
1585420126,78
1585420129,78
1585420132,78
1585420135,78
1585420138,78
1585420141,78
1585420144,78
1585420147,78
1585420150,78
1585420153,78
1585420156,78
1585420159,78
1585420162,78
1585420165,78
1585420168,78
1585420171,78
1585420174,78
1585420177,78
1585420180,78
1585420183,78
1585420186,78
1585420189,78
1585420192,78
1585420195,78
1585420198,78
1585420201,78
1585420204,78
1585420207,78
1585420210,78
1585420213,78
1585420216,78
1585420219,78
1585420222,78
1585420225,78
1585420228,78
1585420231,78
1585420234,78
1585420237,78
1585420240,78
1585420243,78
1585420246,78
1585420249,78
1585420252,78
1585420255,78
1585420258,78
1585420261,78
1585420264,78
1585420267,78
1585420270,78
1585420273,78
1585420276,78
1585420279,78
1585420282,78
1585420285,78
1585420288,78
1585420291,78
1585420294,78
1585420297,78
1585420300,78
1585420303,78
1585420306,78
1585420309,78
1585420312,78
1585420315,78
1585420318,78
1585420321,78
1585420324,78
1585420327,78
1585420330,78
1585420333,78
t,value
1585449185,78
1585449188,78
1585449191,78
1585449194,78
1585449197,78
1585449200,78
1585449203,78
1585449206,78
1585449209,78
1585449212,78
1585449215,78
1585449218,78
1585449221,78
1585449224,78
1585449227,78
1585449230,78
1585449233,78
1585449236,78
1585449239,78
1585449242,78
1585449245,78
1585449248,78
1585449251,78
1585449254,78
1585449257,78
1585449260,78
1585449263,78
1585449266,78
1585449269,78
1585449272,78
1585449275,78
1585449278,78
1585449281,78
1585449284,78
1585449287,78
1585449290,78
1585449293,78
1585449296,78
1585449299,78
1585449302,78
1585449305,78
1585449308,78
1585449311,78
1585449314,78
1585449317,78
1585449320,78
1585449323,78
1585449326,78
1585449329,78
1585449332,78
1585449335,78
1585449338,78
1585449341,78
1585449344,78
1585449347,78
1585449350,78
1585449353,78
1585449356,78
1585449359,78
1585449362,78
1585449365,78
1585449368,78
1585449371,78
1585449374,78
1585449377,78
1585449380,78
1585449383,78
1585449386,78
1585449389,78
1585449392,78
1585449395,78
1585449398,78
1585449401,78
1585449404,78
1585449407,78
1585449410,78
1585449413,78
1585449416,78
1585449419,78
1585449422,78
1585449425,78
1585449428,78
1585449431,78
1585449434,78
1585449437,78
1585449440,78
1585449443,78
1585449446,78
1585449449,78
1585449452,78
1585449455,78
1585449458,78
1585449461,78
1585449464,78
1585449467,78
1585449470,78
1585449473,78
1585449476,78
1585449479,78
1585449482,78
1585449485,78
1585449488,78
1585449491,78
1585449494,78
1585449497,78
1585449500,78
1585449503,78
1585449506,78
1585449509,78
1585449512,78
1585449515,78
1585449518,78
1585449521,78
1585449524,78
1585449527,78
1585449530,78
1585449533,78
1585449536,78
1585449539,78
1585449542,78
1585449545,78
1585449548,78
1585449551,78
1585449554,78
1585449557,78
1585449560,78
1585449563,78
1585449566,78
1585449569,78
1585449572,78
1585449575,78
1585449578,78
1585449581,78
1585449584,78
1585449587,78
1585449590,78
1585449593,78
1585449596,78
1585449599,78
1585449602,78
1585449605,78
1585449608,78
1585449611,78
1585449614,78
1585449617,78
1585449620,78
1585449623,78
1585449626,78
1585449629,78
1585449632,78
1585449635,78
1585449638,78
1585449641,78
1585449644,78
1585449647,78
1585449650,78
1585449653,78
1585449656,78
1585449659,78
1585449662,78
1585449665,78
1585449668,78
1585449671,78
1585449674,78
1585449677,78
1585449680,78
1585449683,78
1585449686,78
1585449689,78
1585449692,78
1585449695,78
1585449698,78
1585449701,78
1585449704,78
1585449707,78
1585449710,78
1585449713,78
1585449716,78
1585449719,78
1585449722,78
1585449725,78
1585449728,78
1585449731,78
1585449734,78
1585449737,78
1585449740,78
1585449743,78
1585449746,78
1585449749,78
1585449752,78
1585449755,78
1585449758,78
1585449761,78
1585449764,78
1585449767,78
1585449770,78
1585449773,78
1585449776,78
1585449779,78
1585449782,78
1585449785,78
1585449788,78
1585449791,78
1585449794,78
1585449797,78
1585449800,78
1585449803,78
1585449806,78
1585449809,78
1585449812,78
1585449815,78
1585449818,78
1585449821,78
1585449824,78
1585449827,78
1585449830,78
1585449833,78
1585449836,78
1585449839,78
1585449842,78
1585449845,78
1585449848,78
1585449851,78
1585449854,78
1585449857,78
1585449860,78
1585449863,78
1585449866,78
1585449869,78
1585449872,78
1585449875,78
1585449878,78
1585449881,78
1585449884,78
1585449887,78
1585449890,78
1585449893,78
1585449896,78
1585449899,78
1585449902,78
1585449905,78
1585449908,78
1585449911,78
1585449914,78
1585449917,78
1585449920,78
1585449923,78
1585449926,78
1585449929,78
1585449932,78
1585449935,78
1585449938,78
1585449941,78
1585449944,78
1585449947,78
1585449950,78
1585449953,78
1585449956,78
1585449959,78
1585449962,78
1585449965,78
1585449968,78
1585449971,78
1585449974,78
1585449977,78
1585449980,78
1585449983,78
1585449986,78
1585449989,78
1585449992,78
1585449995,78
1585449998,78
1585450001,78
1585450004,78
1585450007,78
1585450010,78
1585450013,78
1585450016,78
1585450019,78
1585450022,78
1585450025,78
1585450028,78
1585450031,78
1585450034,78
1585450037,78
1585450040,78
1585450043,78
1585450046,78
1585450049,78
1585450052,78
1585450055,78
1585450058,78
1585450061,78
1585450064,78
1585450067,78
1585450070,78
1585450073,78
1585450076,78
1585450079,78
1585450082,78
1585450085,78
1585450088,78
1585450091,78
1585450094,78
