t,value
1585418128,6
1585418131,6
1585418134,6
1585418137,6
1585418140,6
1585418143,6
1585418146,6
1585418149,6
1585418152,6
1585418155,6
1585418158,6
1585418161,6
1585418164,6
1585418167,6
1585418170,6
1585418173,6
1585418176,6
1585418179,6
1585418182,6
1585418185,6
1585418188,6
1585418191,6
1585418194,6
1585418197,6
1585418200,6
1585418203,6
1585418206,6
1585418209,6
1585418212,6
1585418215,6
1585418218,6
1585418221,6
1585418224,6
1585418227,6
1585418230,6
1585418233,6
1585418236,6
1585418239,6
1585418242,6
1585418245,6
1585418248,6
1585418251,6
1585418254,6
1585418257,6
1585418260,6
1585418263,6
1585418266,6
1585418269,6
1585418272,6
1585418275,6
1585418278,6
1585418281,6
1585418284,6
1585418287,6
1585418290,6
1585418293,6
1585418296,6
1585418299,6
1585418302,6
1585418305,6
1585418308,6
1585418311,6
1585418314,6
1585418317,6
1585418320,6
1585418323,6
1585418326,6
1585418329,6
1585418332,6
1585418335,6
1585418338,6
1585418341,6
1585418344,6
1585418347,6
1585418350,6
1585418353,6
1585418356,6
1585418359,6
1585418362,6
1585418365,6
1585418368,6
1585418371,6
1585418374,6
1585418377,6
1585418380,6
1585418383,6
1585418386,6
1585418389,6
1585418392,6
1585418395,6
1585418398,6
1585418401,6
1585418404,6
1585418407,6
1585418410,6
1585418413,6
1585418416,6
1585418419,6
1585418422,6
1585418425,6
1585418428,6
1585418431,6
1585418434,6
1585418437,6
1585418440,6
1585418443,6
1585418446,6
1585418449,6
1585418452,6
1585418455,6
1585418458,6
1585418461,6
1585418464,6
1585418467,6
1585418470,6
1585418473,6
1585418476,6
1585418479,6
1585418482,6
1585418485,6
1585418488,6
1585418491,6
1585418494,6
1585418497,6
1585418500,6
1585418503,6
1585418506,6
1585418509,6
1585418512,6
1585418515,6
1585418518,6
1585418521,6
1585418524,6
1585418527,6
1585418530,6
1585418533,6
1585418536,6
1585418539,6
1585418542,6
1585418545,6
1585418548,6
1585418551,6
1585418554,6
1585418557,6
1585418560,6
1585418563,6
1585418566,6
1585418569,6
1585418572,6
1585418575,6
1585418578,6
1585418581,6
1585418584,6
1585418587,6
1585418590,6
1585418593,6
1585418596,6
1585418599,6
1585418602,6
1585418605,6
1585418608,6
1585418611,6
1585418614,6
1585418617,6
1585418620,6
1585418623,6
1585418626,6
1585418629,6
1585418632,6
1585418635,6
1585418638,6
1585418641,6
1585418644,6
1585418647,6
1585418650,6
1585418653,6
1585418656,6
1585418659,6
1585418662,6
1585418665,6
1585418668,6
1585418671,6
1585418674,6
1585418677,6
1585418680,6
1585418683,6
1585418686,6
1585418689,6
1585418692,6
1585418695,6
1585418698,6
1585418701,6
1585418704,6
1585418707,6
1585418710,6
1585418713,6
1585418716,6
1585418719,6
1585418722,6
1585418725,6
1585418728,6
1585418731,6
1585418734,6
1585418737,6
1585418740,6
1585418743,6
1585418746,6
1585418749,6
1585418752,6
1585418755,6
1585418758,6
1585418761,6
1585418764,6
1585418767,6
1585418770,6
1585418773,6
1585418776,6
1585418779,6
1585418782,6
1585418785,6
1585418788,6
1585418791,6
1585418794,6
1585418797,6
1585418800,6
1585418803,6
1585418806,6
1585418809,6
1585418812,6
1585418815,6
1585418818,6
1585418821,6
1585418824,6
1585418827,6
1585418830,6
1585418833,6
1585418836,6
1585418839,6
1585418842,6
1585418845,6
1585418848,6
1585418851,6
1585418854,6
1585418857,6
1585418860,6
1585418863,6
1585418866,6
1585418869,6
1585418872,6
1585418875,6
1585418878,6
1585418881,6
1585418884,6
1585418887,6
1585418890,6
1585418893,6
1585418896,6
1585418899,6
1585418902,6
1585418905,6
1585418908,6
1585418911,6
1585418914,6
1585418917,6
1585418920,6
1585418923,6
1585418926,6
1585418929,6
1585418932,6
1585418935,6
1585418938,6
1585418941,6
1585418944,6
1585418947,6
1585418950,6
1585418953,6
1585418956,6
1585418959,6
1585418962,6
1585418965,6
1585418968,6
1585418971,6
1585418974,6
1585418977,6
1585418980,6
1585418983,6
1585418986,6
1585418989,6
1585418992,6
1585418995,6
1585418998,6
1585419001,6
1585419004,6
1585419007,6
1585419010,6
1585419013,6
1585419016,6
1585419019,6
1585419022,6
1585419025,6
1585419028,6
1585419031,6
1585419034,6
1585419037,6
1585419040,6
1585419043,6
1585419046,6
1585419049,6
1585419052,6
1585419055,6
1585419058,6
1585419061,6
1585419064,6
1585419067,6
1585419070,6
1585419073,6
1585419076,6
1585419079,6
1585419082,6
1585419085,6
1585419088,6
1585419091,6
1585419094,6
1585419097,6
1585419100,6
1585419103,6
1585419106,6
1585419109,6
1585419112,6
1585419115,6
1585419118,6
1585419121,6
1585419124,6
1585419127,6
1585419130,6
1585419133,6
1585419136,6
1585419139,6
1585419142,6
1585419145,6
1585419148,6
1585419151,6
1585419154,6
1585419157,6
1585419160,6
1585419163,6
1585419166,6
1585419169,6
1585419172,6
1585419175,6
1585419178,6
1585419181,6
1585419184,6
1585419187,6
1585419190,6
1585419193,6
1585419196,6
1585419199,6
1585419202,6
1585419205,6
1585419208,6
1585419211,6
1585419214,6
1585419217,6
1585419220,6
1585419223,6
1585419226,6
1585419229,6
1585419232,6
1585419235,6
1585419238,6
1585419241,6
1585419244,6
1585419247,6
1585419250,6
1585419253,6
1585419256,6
1585419259,6
1585419262,6
1585419265,6
1585419268,6
1585419271,6
1585419274,6
1585419277,6
1585419280,6
1585419283,6
1585419286,6
1585419289,6
1585419292,6
1585419295,6
1585419298,6
1585419301,6
1585419304,6
1585419307,6
1585419310,6
1585419313,6
1585419316,6
1585419319,6
1585419322,6
1585419325,6
1585419328,6
1585419331,6
1585419334,6
1585419337,6
1585419340,6
1585419343,6
1585419346,6
1585419349,6
1585419352,6
1585419355,6
1585419358,6
1585419361,6
1585419364,6
1585419367,6
1585419370,6
1585419373,6
1585419376,6
1585419379,6
1585419382,6
1585419385,6
1585419388,6
1585419391,6
1585419394,6
1585419397,6
1585419400,6
1585419403,6
1585419406,6
1585419409,6
1585419412,6
1585419415,6
1585419418,6
1585419421,6
1585419424,6
1585419427,6
1585419430,6
1585419433,6
1585419436,6
1585419439,6
1585419442,6
1585419445,6
1585419448,6
1585419451,6
1585419454,6
1585419457,6
1585419460,6
