t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,31652,1195.912811,0.000000,0.000000,0.000000,events/second
1585418131,31652,1079.066300,0.000000,0.000000,0.000000,events/second
1585418134,31652,981.032487,0.000000,0.000000,0.000000,events/second
1585418137,31652,897.500865,0.000000,0.000000,0.000000,events/second
1585418140,31652,827.538003,0.000000,0.000000,0.000000,events/second
1585418143,31652,766.922596,0.000000,0.000000,0.000000,events/second
1585418146,31652,715.253301,0.000000,0.000000,0.000000,events/second
1585418149,31652,668.204744,0.000000,0.000000,0.000000,events/second
1585418152,31652,629.596796,0.000000,0.000000,0.000000,events/second
1585418155,31652,594.173391,0.000000,0.000000,0.000000,events/second
1585418158,31652,562.593281,0.000000,0.000000,0.000000,events/second
1585418161,31652,534.150354,0.000000,0.000000,0.000000,events/second
1585418164,31652,508.489481,0.000000,0.000000,0.000000,events/second
1585418167,31652,484.875120,0.000000,0.000000,0.000000,events/second
1585418170,31652,463.578176,0.000000,0.000000,0.000000,events/second
1585418173,31652,443.943193,0.000000,0.000000,0.000000,events/second
1585418176,31652,426.150107,0.000000,0.000000,0.000000,events/second
1585418179,31652,409.621818,0.000000,0.000000,0.000000,events/second
1585418182,31652,394.302864,0.000000,0.000000,0.000000,events/second
1585418185,31652,380.103115,0.000000,0.000000,0.000000,events/second
1585418188,31652,366.877852,0.000000,0.000000,0.000000,events/second
1585418191,31652,354.555434,0.000000,0.000000,0.000000,events/second
1585418194,31652,343.015160,0.000000,0.000000,0.000000,events/second
1585418197,31652,332.239875,0.000000,0.000000,0.000000,events/second
1585418200,31652,322.154414,0.000000,0.000000,0.000000,events/second
1585418203,31652,312.292238,0.000000,0.000000,0.000000,events/second
1585418206,31652,303.446672,0.000000,0.000000,0.000000,events/second
1585418209,31652,294.940397,0.000000,0.000000,0.000000,events/second
1585418212,31652,287.036408,0.000000,0.000000,0.000000,events/second
1585418215,31652,279.420459,0.000000,0.000000,0.000000,events/second
1585418218,31652,272.249665,0.000000,0.000000,0.000000,events/second
1585418221,31652,265.374614,0.000000,0.000000,0.000000,events/second
1585418224,31652,258.910318,0.000000,0.000000,0.000000,events/second
1585418227,31652,252.675049,0.000000,0.000000,0.000000,events/second
1585418230,31652,246.793313,0.000000,0.000000,0.000000,events/second
1585418233,31652,240.954204,0.000000,0.000000,0.000000,events/second
1585418236,31652,235.590448,0.000000,0.000000,0.000000,events/second
1585418239,31652,229.977018,0.000000,0.000000,0.000000,events/second
1585418242,31652,225.671437,0.000000,0.000000,0.000000,events/second
1585418245,31652,220.824008,0.000000,0.000000,0.000000,events/second
1585418248,31652,216.388110,0.000000,0.000000,0.000000,events/second
1585418251,31652,212.041112,0.000000,0.000000,0.000000,events/second
1585418254,31652,207.858525,0.000000,0.000000,0.000000,events/second
1585418257,31652,203.849282,0.000000,0.000000,0.000000,events/second
1585418260,31652,199.972202,0.000000,0.000000,0.000000,events/second
1585418263,31652,196.268018,0.000000,0.000000,0.000000,events/second
1585418266,31652,192.683295,0.000000,0.000000,0.000000,events/second
1585418269,31652,189.225948,0.000000,0.000000,0.000000,events/second
1585418272,31652,185.885821,0.000000,0.000000,0.000000,events/second
1585418275,31652,182.675637,0.000000,0.000000,0.000000,events/second
1585418278,31652,179.553922,0.000000,0.000000,0.000000,events/second
1585418281,31652,176.589266,0.000000,0.000000,0.000000,events/second
1585418284,31652,173.504853,0.000000,0.000000,0.000000,events/second
1585418287,31652,170.839084,0.000000,0.000000,0.000000,events/second
1585418290,31652,168.123124,0.000000,0.000000,0.000000,events/second
1585418293,31652,165.483767,0.000000,0.000000,0.000000,events/second
1585418296,31652,162.917658,0.000000,0.000000,0.000000,events/second
1585418299,31652,160.448692,0.000000,0.000000,0.000000,events/second
1585418302,31652,158.045859,0.000000,0.000000,0.000000,events/second
1585418305,31652,155.713331,0.000000,0.000000,0.000000,events/second
1585418308,31652,153.450409,0.000000,0.000000,0.000000,events/second
1585418311,31652,151.250694,0.000000,0.000000,0.000000,events/second
1585418314,31652,149.094273,0.000000,0.000000,0.000000,events/second
1585418317,31652,147.031682,0.000000,0.000000,0.000000,events/second
1585418320,31652,145.010856,0.000000,0.000000,0.000000,events/second
1585418323,31652,143.066322,0.000000,0.000000,0.000000,events/second
1585418326,31652,141.133731,0.000000,0.000000,0.000000,events/second
1585418329,31652,139.273137,0.000000,0.000000,0.000000,events/second
1585418332,31652,137.456828,0.000000,0.000000,0.000000,events/second
1585418335,31652,135.689078,0.000000,0.000000,0.000000,events/second
1585418338,31652,133.965264,0.000000,0.000000,0.000000,events/second
1585418341,31652,132.278837,0.000000,0.000000,0.000000,events/second
1585418344,31652,130.662840,0.000000,0.000000,0.000000,events/second
1585418347,31652,129.049822,0.000000,0.000000,0.000000,events/second
1585418350,31652,127.487796,0.000000,0.000000,0.000000,events/second
1585418353,31652,125.968837,0.000000,0.000000,0.000000,events/second
1585418356,31652,124.481394,0.000000,0.000000,0.000000,events/second
1585418359,31652,123.031016,0.000000,0.000000,0.000000,events/second
1585418362,31652,121.611638,0.000000,0.000000,0.000000,events/second
1585418365,31652,120.225741,0.000000,0.000000,0.000000,events/second
1585418368,31652,118.872220,0.000000,0.000000,0.000000,events/second
1585418371,31652,117.546910,0.000000,0.000000,0.000000,events/second
1585418374,31652,116.233746,0.000000,0.000000,0.000000,events/second
1585418377,31652,114.972149,0.000000,0.000000,0.000000,events/second
1585418380,31652,113.745919,0.000000,0.000000,0.000000,events/second
1585418383,31652,112.542872,0.000000,0.000000,0.000000,events/second
1585418386,31652,111.344523,0.000000,0.000000,0.000000,events/second
1585418389,31652,110.177709,0.000000,0.000000,0.000000,events/second
1585418392,31652,109.043396,0.000000,0.000000,0.000000,events/second
1585418395,31652,107.927891,0.000000,0.000000,0.000000,events/second
1585418398,31652,106.830309,0.000000,0.000000,0.000000,events/second
1585418401,31652,105.755731,0.000000,0.000000,0.000000,events/second
1585418404,31652,104.721816,0.000000,0.000000,0.000000,events/second
1585418407,31652,103.685735,0.000000,0.000000,0.000000,events/second
1585418410,31652,102.674624,0.000000,0.000000,0.000000,events/second
1585418413,31652,101.687246,0.000000,0.000000,0.000000,events/second
