t,value
1585418128,28
1585418131,28
1585418134,28
1585418137,28
1585418140,28
1585418143,28
1585418146,28
1585418149,28
1585418152,28
1585418155,28
1585418158,28
1585418161,28
1585418164,28
1585418167,28
1585418170,28
1585418173,28
1585418176,28
1585418179,28
1585418182,28
1585418185,28
1585418188,28
1585418191,28
1585418194,28
1585418197,28
1585418200,28
1585418203,28
1585418206,28
1585418209,28
1585418212,28
1585418215,28
1585418218,28
1585418221,28
1585418224,28
1585418227,28
1585418230,28
1585418233,28
1585418236,28
1585418239,28
1585418242,28
1585418245,28
1585418248,28
1585418251,28
1585418254,28
1585418257,28
1585418260,28
1585418263,28
1585418266,28
1585418269,28
1585418272,28
1585418275,28
1585418278,28
1585418281,28
1585418284,28
1585418287,28
1585418290,28
1585418293,28
1585418296,28
1585418299,28
1585418302,28
1585418305,28
1585418308,28
1585418311,28
1585418314,28
1585418317,28
1585418320,28
1585418323,28
1585418326,28
1585418329,28
1585418332,28
1585418335,28
1585418338,28
1585418341,28
1585418344,28
1585418347,28
1585418350,28
1585418353,28
1585418356,28
1585418359,28
1585418362,28
1585418365,28
1585418368,28
1585418371,28
1585418374,28
1585418377,28
1585418380,28
1585418383,28
1585418386,28
1585418389,28
1585418392,28
1585418395,28
1585418398,28
1585418401,28
1585418404,28
1585418407,28
1585418410,28
1585418413,28
1585418416,28
1585418419,28
1585418422,28
1585418425,28
1585418428,28
1585418431,28
1585418434,28
1585418437,28
1585418440,28
1585418443,28
1585418446,28
1585418449,28
1585418452,28
1585418455,28
1585418458,28
1585418461,28
1585418464,28
1585418467,28
1585418470,28
1585418473,28
1585418476,28
1585418479,28
1585418482,28
1585418485,28
1585418488,28
1585418491,28
1585418494,28
1585418497,28
1585418500,28
1585418503,28
1585418506,28
1585418509,28
1585418512,28
1585418515,28
1585418518,28
1585418521,28
1585418524,28
1585418527,28
1585418530,28
1585418533,28
1585418536,28
1585418539,28
1585418542,28
1585418545,28
1585418548,28
1585418551,28
1585418554,28
1585418557,28
1585418560,28
1585418563,28
1585418566,28
1585418569,28
1585418572,28
1585418575,28
1585418578,28
1585418581,28
1585418584,28
1585418587,28
1585418590,28
1585418593,28
1585418596,28
1585418599,28
1585418602,28
1585418605,28
1585418608,28
1585418611,28
1585418614,28
1585418617,28
1585418620,28
1585418623,28
1585418626,28
1585418629,28
1585418632,28
1585418635,28
1585418638,28
1585418641,28
1585418644,28
1585418647,28
1585418650,28
1585418653,28
1585418656,28
1585418659,28
1585418662,28
1585418665,28
1585418668,28
1585418671,28
1585418674,28
1585418677,28
1585418680,28
1585418683,28
1585418686,28
1585418689,28
1585418692,28
1585418695,28
1585418698,28
1585418701,28
1585418704,28
1585418707,28
1585418710,28
1585418713,28
1585418716,28
1585418719,28
1585418722,28
1585418725,28
1585418728,28
1585418731,28
1585418734,28
1585418737,28
1585418740,28
1585418743,28
1585418746,28
1585418749,28
1585418752,28
1585418755,28
1585418758,28
1585418761,28
1585418764,28
1585418767,28
1585418770,28
1585418773,28
1585418776,28
1585418779,28
1585418782,28
1585418785,28
1585418788,28
1585418791,28
1585418794,28
1585418797,28
1585418800,28
1585418803,28
1585418806,28
1585418809,28
1585418812,28
1585418815,28
1585418818,28
1585418821,28
1585418824,28
1585418827,28
1585418830,28
1585418833,28
1585418836,28
1585418839,28
1585418842,28
1585418845,28
1585418848,28
1585418851,28
1585418854,28
1585418857,28
