t,value
1585418128,66
1585418131,66
1585418134,66
1585418137,66
1585418140,66
1585418143,66
1585418146,66
1585418149,66
1585418152,66
1585418155,66
1585418158,66
1585418161,66
1585418164,66
1585418167,66
1585418170,66
1585418173,66
1585418176,66
1585418179,66
1585418182,66
1585418185,66
1585418188,66
1585418191,66
1585418194,66
1585418197,66
1585418200,66
1585418203,66
1585418206,66
1585418209,66
1585418212,66
1585418215,66
1585418218,66
1585418221,66
1585418224,66
1585418227,66
1585418230,66
1585418233,66
1585418236,66
1585418239,66
1585418242,66
1585418245,66
1585418248,66
1585418251,66
1585418254,66
1585418257,66
1585418260,66
1585418263,66
1585418266,66
1585418269,66
1585418272,66
1585418275,66
1585418278,66
1585418281,66
1585418284,66
1585418287,66
1585418290,66
1585418293,66
1585418296,66
1585418299,66
1585418302,66
1585418305,66
1585418308,66
1585418311,66
1585418314,66
1585418317,66
1585418320,66
1585418323,66
1585418326,66
1585418329,66
1585418332,66
1585418335,66
1585418338,66
1585418341,66
1585418344,66
1585418347,66
1585418350,66
1585418353,66
1585418356,66
1585418359,66
1585418362,66
1585418365,66
1585418368,66
1585418371,66
1585418374,66
1585418377,66
1585418380,66
1585418383,66
1585418386,66
1585418389,66
1585418392,66
1585418395,66
1585418398,66
1585418401,66
1585418404,66
1585418407,66
1585418410,66
1585418413,66
1585418416,66
1585418419,66
1585418422,66
1585418425,66
1585418428,66
1585418431,66
1585418434,66
1585418437,66
1585418440,66
1585418443,66
1585418446,66
1585418449,66
1585418452,66
1585418455,66
1585418458,66
1585418461,66
1585418464,66
1585418467,66
1585418470,66
1585418473,66
1585418476,66
1585418479,66
1585418482,66
1585418485,66
1585418488,66
1585418491,66
1585418494,66
1585418497,66
1585418500,66
1585418503,66
1585418506,66
1585418509,66
1585418512,66
1585418515,66
1585418518,66
1585418521,66
1585418524,66
1585418527,66
1585418530,66
1585418533,66
1585418536,66
1585418539,66
1585418542,66
1585418545,66
1585418548,66
1585418551,66
1585418554,66
1585418557,66
1585418560,66
1585418563,66
1585418566,66
1585418569,66
1585418572,66
1585418575,66
1585418578,66
1585418581,66
1585418584,66
1585418587,66
1585418590,66
1585418593,66
1585418596,66
1585418599,66
1585418602,66
1585418605,66
1585418608,66
1585418611,66
1585418614,66
1585418617,66
1585418620,66
1585418623,66
1585418626,66
1585418629,66
1585418632,66
1585418635,66
1585418638,66
1585418641,66
1585418644,66
1585418647,66
1585418650,66
1585418653,66
1585418656,66
1585418659,66
1585418662,66
1585418665,66
1585418668,66
1585418671,66
1585418674,66
1585418677,66
1585418680,66
1585418683,66
1585418686,66
1585418689,66
1585418692,66
1585418695,66
1585418698,66
1585418701,66
1585418704,66
1585418707,66
1585418710,66
1585418713,66
1585418716,66
1585418719,66
1585418722,66
1585418725,66
1585418728,66
1585418731,66
1585418734,66
1585418737,66
1585418740,66
1585418743,66
1585418746,66
1585418749,66
1585418752,66
1585418755,66
1585418758,66
1585418761,66
1585418764,66
1585418767,66
1585418770,66
1585418773,66
1585418776,66
1585418779,66
1585418782,66
1585418785,66
1585418788,66
1585418791,66
1585418794,66
1585418797,66
1585418800,66
1585418803,66
1585418806,66
1585418809,66
1585418812,66
1585418815,66
1585418818,66
1585418821,66
1585418824,66
1585418827,66
1585418830,66
1585418833,66
1585418836,66
1585418839,66
1585418842,66
1585418845,66
1585418848,66
1585418851,66
1585418854,66
1585418857,66
1585418860,66
1585418863,66
1585418866,66
1585418869,66
1585418872,66
1585418875,66
1585418878,66
1585418881,66
1585418884,66
1585418887,66
1585418890,66
1585418893,66
1585418896,66
1585418899,66
1585418902,66
1585418905,66
1585418908,66
1585418911,66
1585418914,66
1585418917,66
1585418920,66
1585418923,66
1585418926,66
1585418929,66
1585418932,66
1585418935,66
1585418938,66
1585418941,66
1585418944,66
1585418947,66
1585418950,66
1585418953,66
1585418956,66
1585418959,66
1585418962,66
1585418965,66
1585418968,66
1585418971,66
1585418974,66
1585418977,66
1585418980,66
1585418983,66
1585418986,66
1585418989,66
1585418992,66
1585418995,66
1585418998,66
1585419001,66
1585419004,66
1585419007,66
1585419010,66
1585419013,66
1585419016,66
1585419019,66
1585419022,66
1585419025,66
1585419028,66
1585419031,66
1585419034,66
1585419037,66
1585419040,66
1585419043,66
1585419046,66
1585419049,66
1585419052,66
1585419055,66
1585419058,66
1585419061,66
1585419064,66
1585419067,66
1585419070,66
1585419073,66
1585419076,66
1585419079,66
1585419082,66
1585419085,66
1585419088,66
1585419091,66
1585419094,66
1585419097,66
1585419100,66
1585419103,66
1585419106,66
1585419109,66
1585419112,66
1585419115,66
1585419118,66
1585419121,66
1585419124,66
1585419127,66
1585419130,66
1585419133,66
1585419136,66
1585419139,66
1585419142,66
1585419145,66
1585419148,66
1585419151,66
1585419154,66
1585419157,66
1585419160,66
1585419163,66
1585419166,66
1585419169,66
1585419172,66
1585419175,66
1585419178,66
1585419181,66
1585419184,66
1585419187,66
1585419190,66
1585419193,66
1585419196,66
1585419199,66
1585419202,66
1585419205,66
1585419208,66
1585419211,66
1585419214,66
1585419217,66
1585419220,66
1585419223,66
1585419226,66
1585419229,66
1585419232,66
1585419235,66
1585419238,66
1585419241,66
1585419244,66
1585419247,66
1585419250,66
1585419253,66
1585419256,66
1585419259,66
1585419262,66
1585419265,66
1585419268,66
1585419271,66
1585419274,66
1585419277,66
1585419280,66
1585419283,66
1585419286,66
1585419289,66
1585419292,66
1585419295,66
1585419298,66
1585419301,66
1585419304,66
1585419307,66
1585419310,66
1585419313,66
1585419316,66
1585419319,66
1585419322,66
1585419325,66
1585419328,66
1585419331,66
1585419334,66
1585419337,66
1585419340,66
1585419343,66
1585419346,66
1585419349,66
1585419352,66
1585419355,66
1585419358,66
1585419361,66
1585419364,66
1585419367,66
1585419370,66
1585419373,66
1585419376,66
1585419379,66
1585419382,66
1585419385,66
1585419388,66
1585419391,66
1585419394,66
1585419397,66
1585419400,66
1585419403,66
1585419406,66
1585419409,66
1585419412,66
1585419415,66
1585419418,66
1585419421,66
1585419424,66
1585419427,66
1585419430,66
1585419433,66
1585419436,66
1585419439,66
1585419442,66
1585419445,66
1585419448,66
1585419451,66
1585419454,66
1585419457,66
1585419460,66
1585419463,66
1585419466,66
1585419469,66
1585419472,66
1585419475,66
1585419478,66
1585419481,66
1585419484,66
1585419487,66
1585419490,66
1585419493,66
1585419496,66
1585419499,66
1585419502,66
1585419505,66
1585419508,66
1585419511,66
1585419514,66
1585419517,66
1585419520,66
1585419523,66
1585419526,66
1585419529,66
1585419532,66
1585419535,66
1585419538,66
1585419541,66
1585419544,66
1585419547,66
1585419550,66
1585419553,66
1585419556,66
1585419559,66
1585419562,66
1585419565,66
1585419568,66
1585419571,66
1585419574,66
1585419577,66
1585419580,66
1585419583,66
1585419586,66
1585419589,66
1585419592,66
1585419595,66
1585419598,66
1585419601,66
1585419604,66
1585419607,66
1585419610,66
1585419613,66
1585419616,66
1585419619,66
1585419622,66
1585419625,66
1585419628,66
1585419631,66
1585419634,66
1585419637,66
1585419640,66
1585419643,66
1585419646,66
1585419649,66
1585419652,66
1585419655,66
1585419658,66
1585419661,66
1585419664,66
1585419667,66
1585419670,66
1585419673,66
1585419676,66
1585419679,66
1585419682,66
1585419685,66
1585419688,66
1585419691,66
1585419694,66
1585419697,66
1585419700,66
1585419703,66
1585419706,66
1585419709,66
1585419712,66
1585419715,66
1585419718,66
1585419721,66
1585419724,66
1585419727,66
1585419730,66
1585419733,66
1585419736,66
1585419739,66
1585419742,66
1585419745,66
1585419748,66
1585419751,66
1585419754,66
1585419757,66
1585419760,66
1585419763,66
1585419766,66
1585419769,66
1585419772,66
1585419775,66
1585419778,66
1585419781,66
1585419784,66
1585419787,66
1585419790,66
1585419793,66
1585419796,66
1585419799,66
1585419802,66
1585419805,66
1585419808,66
1585419811,66
1585419814,66
1585419817,66
1585419820,66
1585419823,66
1585419826,66
1585419829,66
1585419832,66
1585419835,66
1585419838,66
1585419841,66
1585419844,66
1585419847,66
1585419850,66
1585419853,66
1585419856,66
1585419859,66
1585419862,66
1585419865,66
1585419868,66
1585419871,66
1585419874,66
1585419877,66
1585419880,66
1585419883,66
1585419886,66
1585419889,66
1585419892,66
1585419895,66
1585419898,66
1585419901,66
1585419904,66
1585419907,66
1585419910,66
1585419913,66
1585419916,66
1585419919,66
1585419922,66
1585419925,66
1585419928,66
1585419931,66
1585419934,66
1585419937,66
1585419940,66
1585419943,66
1585419946,66
1585419949,66
1585419952,66
1585419955,66
1585419958,66
1585419961,66
1585419964,66
1585419967,66
1585419970,66
1585419973,66
1585419976,66
1585419979,66
1585419982,66
1585419985,66
1585419988,66
1585419991,66
1585419994,66
1585419997,66
1585420000,66
1585420003,66
1585420006,66
1585420009,66
1585420012,66
1585420015,66
1585420018,66
1585420021,66
1585420024,66
1585420027,66
1585420030,66
1585420033,66
1585420036,66
1585420039,66
1585420042,66
1585420045,66
1585420048,66
1585420051,66
1585420054,66
1585420057,66
1585420060,66
1585420063,66
1585420066,66
1585420069,66
1585420072,66
1585420075,66
1585420078,66
1585420081,66
1585420084,66
1585420087,66
1585420090,66
1585420093,66
1585420096,66
1585420099,66
1585420102,66
1585420105,66
1585420108,66
1585420111,66
1585420114,66
1585420117,66
1585420120,66
1585420123,66
1585420126,66
1585420129,66
1585420132,66
1585420135,66
1585420138,66
1585420141,66
1585420144,66
1585420147,66
1585420150,66
1585420153,66
1585420156,66
1585420159,66
1585420162,66
1585420165,66
1585420168,66
1585420171,66
1585420174,66
1585420177,66
1585420180,66
1585420183,66
1585420186,66
1585420189,66
1585420192,66
1585420195,66
1585420198,66
1585420201,66
1585420204,66
1585420207,66
1585420210,66
1585420213,66
1585420216,66
1585420219,66
1585420222,66
1585420225,66
1585420228,66
1585420231,66
1585420234,66
1585420237,66
1585420240,66
1585420243,66
1585420246,66
1585420249,66
1585420252,66
1585420255,66
1585420258,66
1585420261,66
1585420264,66
1585420267,66
1585420270,66
1585420273,66
1585420276,66
1585420279,66
1585420282,66
1585420285,66
1585420288,66
1585420291,66
1585420294,66
1585420297,66
1585420300,66
1585420303,66
1585420306,66
1585420309,66
1585420312,66
1585420315,66
1585420318,66
1585420321,66
1585420324,66
1585420327,66
1585420330,66
1585420333,66
t,value
1585449185,66
1585449188,66
1585449191,66
1585449194,66
1585449197,66
1585449200,66
1585449203,66
1585449206,66
1585449209,66
1585449212,66
1585449215,66
1585449218,66
1585449221,66
1585449224,66
1585449227,66
1585449230,66
1585449233,66
1585449236,66
1585449239,66
1585449242,66
1585449245,66
1585449248,66
1585449251,66
1585449254,66
1585449257,66
1585449260,66
1585449263,66
1585449266,66
1585449269,66
1585449272,66
1585449275,66
1585449278,66
1585449281,66
1585449284,66
1585449287,66
1585449290,66
1585449293,66
1585449296,66
1585449299,66
1585449302,66
1585449305,66
1585449308,66
1585449311,66
1585449314,66
1585449317,66
1585449320,66
1585449323,66
1585449326,66
1585449329,66
1585449332,66
1585449335,66
1585449338,66
1585449341,66
1585449344,66
1585449347,66
1585449350,66
1585449353,66
1585449356,66
1585449359,66
1585449362,66
1585449365,66
1585449368,66
1585449371,66
1585449374,66
1585449377,66
1585449380,66
1585449383,66
1585449386,66
1585449389,66
1585449392,66
1585449395,66
1585449398,66
1585449401,66
1585449404,66
1585449407,66
1585449410,66
1585449413,66
1585449416,66
1585449419,66
1585449422,66
1585449425,66
1585449428,66
1585449431,66
1585449434,66
1585449437,66
1585449440,66
1585449443,66
1585449446,66
1585449449,66
1585449452,66
1585449455,66
1585449458,66
1585449461,66
1585449464,66
1585449467,66
1585449470,66
1585449473,66
1585449476,66
1585449479,66
1585449482,66
1585449485,66
1585449488,66
1585449491,66
1585449494,66
1585449497,66
1585449500,66
1585449503,66
1585449506,66
1585449509,66
1585449512,66
1585449515,66
1585449518,66
1585449521,66
1585449524,66
1585449527,66
1585449530,66
1585449533,66
1585449536,66
1585449539,66
1585449542,66
1585449545,66
1585449548,66
1585449551,66
1585449554,66
1585449557,66
1585449560,66
1585449563,66
1585449566,66
1585449569,66
1585449572,66
1585449575,66
1585449578,66
1585449581,66
1585449584,66
1585449587,66
1585449590,66
1585449593,66
1585449596,66
1585449599,66
1585449602,66
1585449605,66
1585449608,66
1585449611,66
1585449614,66
1585449617,66
1585449620,66
1585449623,66
1585449626,66
1585449629,66
1585449632,66
1585449635,66
1585449638,66
1585449641,66
1585449644,66
1585449647,66
1585449650,66
1585449653,66
1585449656,66
1585449659,66
1585449662,66
1585449665,66
1585449668,66
1585449671,66
1585449674,66
1585449677,66
1585449680,66
1585449683,66
1585449686,66
1585449689,66
1585449692,66
1585449695,66
1585449698,66
1585449701,66
1585449704,66
1585449707,66
1585449710,66
1585449713,66
1585449716,66
1585449719,66
1585449722,66
1585449725,66
1585449728,66
1585449731,66
1585449734,66
1585449737,66
1585449740,66
1585449743,66
1585449746,66
1585449749,66
1585449752,66
1585449755,66
1585449758,66
1585449761,66
1585449764,66
1585449767,66
1585449770,66
1585449773,66
1585449776,66
1585449779,66
1585449782,66
1585449785,66
1585449788,66
1585449791,66
1585449794,66
1585449797,66
1585449800,66
1585449803,66
1585449806,66
1585449809,66
1585449812,66
1585449815,66
1585449818,66
1585449821,66
1585449824,66
1585449827,66
1585449830,66
1585449833,66
1585449836,66
1585449839,66
1585449842,66
1585449845,66
1585449848,66
1585449851,66
1585449854,66
1585449857,66
1585449860,66
1585449863,66
1585449866,66
1585449869,66
1585449872,66
1585449875,66
1585449878,66
1585449881,66
1585449884,66
1585449887,66
1585449890,66
1585449893,66
1585449896,66
1585449899,66
1585449902,66
1585449905,66
1585449908,66
1585449911,66
1585449914,66
1585449917,66
1585449920,66
1585449923,66
1585449926,66
1585449929,66
1585449932,66
1585449935,66
1585449938,66
1585449941,66
1585449944,66
1585449947,66
1585449950,66
1585449953,66
1585449956,66
1585449959,66
1585449962,66
1585449965,66
1585449968,66
1585449971,66
1585449974,66
1585449977,66
1585449980,66
1585449983,66
1585449986,66
1585449989,66
1585449992,66
1585449995,66
1585449998,66
1585450001,66
1585450004,66
1585450007,66
1585450010,66
1585450013,66
1585450016,66
1585450019,66
1585450022,66
1585450025,66
1585450028,66
1585450031,66
1585450034,66
1585450037,66
1585450040,66
1585450043,66
1585450046,66
1585450049,66
1585450052,66
1585450055,66
1585450058,66
1585450061,66
1585450064,66
1585450067,66
1585450070,66
1585450073,66
1585450076,66
1585450079,66
1585450082,66
1585450085,66
1585450088,66
1585450091,66
1585450094,66
1585450097,66
1585450100,66
1585450103,66
1585450106,66
1585450109,66
1585450112,66
1585450115,66
1585450118,66
1585450121,66
1585450124,66
1585450127,66
1585450130,66
1585450133,66
1585450136,66
1585450139,66
1585450142,66
1585450145,66
1585450148,66
1585450151,66
1585450154,66
1585450157,66
1585450160,66
1585450163,66
1585450166,66
1585450169,66
1585450172,66
1585450175,66
1585450178,66
1585450181,66
1585450184,66
1585450187,66
1585450190,66
1585450193,66
1585450196,66
1585450199,66
1585450202,66
1585450205,66
1585450208,66
1585450211,66
1585450214,66
1585450217,66
1585450220,66
1585450223,66
1585450226,66
1585450229,66
1585450232,66
1585450235,66
1585450238,66
1585450241,66
1585450244,66
1585450247,66
1585450250,66
1585450253,66
1585450256,66
1585450259,66
1585450262,66
1585450265,66
1585450268,66
1585450271,66
1585450274,66
1585450277,66
1585450280,66
1585450283,66
1585450286,66
1585450289,66
1585450292,66
1585450295,66
1585450298,66
1585450301,66
1585450304,66
1585450307,66
1585450310,66
1585450313,66
1585450316,66
1585450319,66
1585450322,66
1585450325,66
1585450328,66
1585450331,66
1585450334,66
1585450337,66
1585450340,66
1585450343,66
1585450346,66
1585450349,66
1585450352,66
1585450355,66
1585450358,66
1585450361,66
1585450364,66
1585450367,66
1585450370,66
1585450373,66
1585450376,66
1585450379,66
1585450382,66
1585450385,66
1585450388,66
1585450391,66
1585450394,66
1585450397,66
1585450400,66
1585450403,66
1585450406,66
1585450409,66
1585450412,66
1585450415,66
1585450418,66
1585450421,66
1585450424,66
1585450427,66
1585450430,66
1585450433,66
1585450436,66
1585450439,66
1585450442,66
1585450445,66
1585450448,66
1585450451,66
1585450454,66
1585450457,66
1585450460,66
1585450463,66
1585450466,66
1585450469,66
1585450472,66
1585450475,66
1585450478,66
1585450481,66
1585450484,66
1585450487,66
1585450490,66
1585450493,66
1585450496,66
1585450499,66
1585450502,66
1585450505,66
1585450508,66
1585450511,66
1585450514,66
1585450517,66
1585450520,66
1585450523,66
1585450526,66
1585450529,66
1585450532,66
1585450535,66
1585450538,66
1585450541,66
1585450544,66
1585450547,66
1585450550,66
1585450553,66
1585450556,66
1585450559,66
1585450562,66
1585450565,66
1585450568,66
1585450571,66
1585450574,66
1585450577,66
1585450580,66
1585450583,66
1585450586,66
1585450589,66
1585450592,66
1585450595,66
1585450598,66
1585450601,66
1585450604,66
1585450607,66
1585450610,66
1585450613,66
1585450616,66
1585450619,66
1585450622,66
1585450625,66
1585450628,66
1585450631,66
1585450634,66
1585450637,66
1585450640,66
1585450643,66
1585450646,66
1585450649,66
1585450652,66
1585450655,66
1585450658,66
1585450661,66
1585450664,66
1585450667,66
1585450670,66
1585450673,66
1585450676,66
1585450679,66
1585450682,66
1585450685,66
1585450688,66
1585450691,66
1585450694,66
1585450697,66
1585450700,66
1585450703,66
1585450706,66
1585450709,66
1585450712,66
1585450715,66
1585450718,66
1585450721,66
1585450724,66
1585450727,66
1585450730,66
1585450733,66
1585450736,66
1585450739,66
1585450742,66
1585450745,66
1585450748,66
1585450751,66
1585450754,66
1585450757,66
1585450760,66
1585450763,66
1585450766,66
1585450769,66
1585450772,66
1585450775,66
1585450778,66
1585450781,66
1585450784,66
1585450787,66
1585450790,66
1585450793,66
1585450796,66
1585450799,66
1585450802,66
1585450805,66
1585450808,66
1585450811,66
1585450814,66
1585450817,66
1585450820,66
1585450823,66
1585450826,66
1585450829,66
1585450832,66
1585450835,66
1585450838,66
1585450841,66
1585450844,66
1585450847,66
1585450850,66
1585450853,66
1585450856,66
1585450859,66
1585450862,66
1585450865,66
1585450868,66
1585450871,66
1585450874,66
1585450877,66
1585450880,66
1585450883,66
1585450886,66
1585450889,66
1585450892,66
1585450895,66
1585450898,66
1585450901,66
1585450904,66
1585450907,66
1585450910,66
1585450913,66
1585450916,66
1585450919,66
1585450922,66
1585450925,66
1585450928,66
1585450931,66
1585450934,66
1585450937,66
1585450940,66
1585450943,66
1585450946,66
1585450949,66
1585450952,66
1585450955,66
1585450958,66
1585450961,66
1585450964,66
1585450967,66
1585450970,66
1585450973,66
1585450976,66
1585450979,66
1585450982,66
1585450985,66
1585450988,66
1585450991,66
1585450994,66
1585450997,66
1585451000,66
1585451003,66
1585451006,66
1585451009,66
1585451012,66
1585451015,66
1585451018,66
1585451021,66
1585451024,66
1585451027,66
1585451030,66
1585451033,66
1585451036,66
1585451039,66
1585451042,66
1585451045,66
1585451048,66
1585451051,66
1585451054,66
1585451057,66
1585451060,66
1585451063,66
1585451066,66
1585451069,66
1585451072,66
1585451075,66
1585451078,66
1585451081,66
1585451084,66
1585451087,66
1585451090,66
1585451093,66
1585451096,66
1585451099,66
1585451102,66
1585451105,66
1585451108,66
1585451111,66
1585451114,66
1585451117,66
1585451120,66
1585451123,66
1585451126,66
1585451129,66
1585451132,66
1585451135,66
1585451138,66
1585451141,66
1585451144,66
1585451147,66
1585451150,66
1585451153,66
1585451156,66
1585451159,66
1585451162,66
1585451165,66
1585451168,66
1585451171,66
1585451174,66
1585451177,66
1585451180,66
1585451183,66
1585451186,66
1585451189,66
1585451192,66
1585451195,66
1585451198,66
1585451201,66
1585451204,66
1585451207,66
1585451210,66
1585451213,66
1585451216,66
1585451219,66
1585451222,66
1585451225,66
1585451228,66
1585451231,66
1585451234,66
1585451237,66
1585451240,66
1585451243,66
1585451246,66
1585451249,66
1585451252,66
1585451255,66
1585451258,66
1585451261,66
1585451264,66
1585451267,66
1585451270,66
1585451273,66
1585451276,66
1585451279,66
1585451282,66
1585451285,66
1585451288,66
1585451291,66
1585451294,66
1585451297,66
1585451300,66
1585451303,66
1585451306,66
1585451309,66
1585451312,66
1585451315,66
1585451318,66
1585451321,66
1585451324,66
1585451327,66
1585451330,66
1585451333,66
1585451336,66
1585451339,66
1585451342,66
1585451345,66
1585451348,66
1585451351,66
1585451354,66
1585451357,66
1585451360,66
1585451363,66
1585451366,66
1585451369,66
1585451372,66
1585451375,66
1585451378,66
1585451381,66
1585451384,66
1585451387,66
1585451390,66
1585451393,66
1585451396,66
1585451399,66
1585451402,66
1585451405,66
1585451408,66
1585451411,66
1585451414,66
1585451417,66
1585451420,66
1585451423,66
1585451426,66
1585451429,66
1585451432,66
1585451435,66
1585451438,66
1585451441,66
1585451444,66
1585451447,66
1585451450,66
1585451453,66
1585451456,66
1585451459,66
1585451462,66
1585451465,66
1585451468,66
1585451471,66
1585451474,66
1585451477,66
1585451480,66
1585451483,66
1585451486,66
1585451489,66
1585451492,66
1585451495,66
1585451498,66
1585451501,66
1585451504,66
1585451507,66
1585451510,66
1585451513,66
1585451516,66
1585451519,66
1585451522,66
1585451525,66
1585451528,66
1585451531,66
1585451534,66
1585451537,66
1585451540,66
1585451543,66
1585451546,66
1585451549,66
1585451552,66
1585451555,66
1585451558,66
1585451561,66
1585451564,66
1585451567,66
1585451570,66
1585451573,66
1585451576,66
1585451579,66
1585451582,66
1585451585,66
1585451588,66
1585451591,66
1585451594,66
1585451597,66
1585451600,66
1585451603,66
1585451606,66
1585451609,66
1585451612,66
1585451615,66
1585451618,66
1585451621,66
1585451624,66
1585451627,66
1585451630,66
1585451633,66
1585451636,66
1585451639,66
1585451642,66
1585451645,66
1585451648,66
1585451651,66
1585451654,66
1585451657,66
1585451660,66
1585451663,66
1585451666,66
1585451669,66
1585451672,66
1585451675,66
1585451678,66
1585451681,66
1585451684,66
1585451687,66
1585451690,66
1585451693,66
1585451696,66
1585451699,66
1585451702,66
1585451705,66
1585451708,66
1585451711,66
1585451714,66
1585451717,66
1585451720,66
1585451723,66
1585451726,66
1585451729,66
1585451732,66
1585451735,66
1585451738,66
1585451741,66
1585451744,66
1585451747,66
1585451750,66
1585451753,66
1585451756,66
1585451759,66
1585451762,66
1585451765,66
1585451768,66
1585451771,66
1585451774,66
1585451777,66
1585451780,66
1585451783,66
1585451786,66
1585451789,66
1585451792,66
1585451795,66
1585451798,66
1585451801,66
1585451804,66
1585451807,66
1585451810,66
1585451813,66
1585451816,66
1585451819,66
1585451822,66
1585451825,66
1585451828,66
1585451831,66
1585451834,66
1585451837,66
1585451840,66
1585451843,66
1585451846,66
1585451849,66
1585451852,66
1585451855,66
1585451858,66
1585451861,66
1585451864,66
1585451867,66
1585451870,66
1585451873,66
1585451876,66
1585451879,66
1585451882,66
1585451885,66
1585451888,66
1585451891,66
1585451894,66
1585451897,66
1585451900,66
1585451903,66
1585451906,66
1585451909,66
1585451912,66
1585451915,66
1585451918,66
1585451921,66
1585451924,66
1585451927,66
1585451930,66
1585451933,66
1585451936,66
1585451939,66
1585451942,66
1585451945,66
1585451948,66
1585451951,66
1585451954,66
1585451957,66
1585451960,66
1585451963,66
1585451966,66
1585451969,66
1585451972,66
1585451975,66
1585451978,66
1585451981,66
1585451984,66
1585451987,66
1585451990,66
1585451993,66
1585451996,66
1585451999,66
1585452002,66
1585452005,66
1585452008,66
1585452011,66
1585452014,66
1585452017,66
1585452020,66
1585452023,66
1585452026,66
1585452029,66
1585452032,66
1585452035,66
1585452038,66
1585452041,66
1585452044,66
1585452047,66
1585452050,66
1585452053,66
1585452056,66
1585452059,66
1585452062,66
1585452065,66
1585452068,66
1585452071,66
1585452074,66
1585452077,66
1585452080,66
1585452083,66
1585452086,66
1585452089,66
1585452092,66
1585452095,66
1585452098,66
1585452101,66
1585452104,66
1585452107,66
1585452110,66
1585452113,66
1585452116,66
1585452119,66
1585452122,66
1585452125,66
1585452128,66
1585452131,66
1585452134,66
1585452137,66
1585452140,66
1585452143,66
1585452146,66
1585452149,66
1585452152,66
1585452155,66
1585452158,66
1585452161,66
1585452164,66
1585452167,66
1585452170,66
1585452173,66
1585452176,66
1585452179,66
1585452182,66
1585452185,66
1585452188,66
1585452191,66
1585452194,66
1585452197,66
1585452200,66
1585452203,66
1585452206,66
1585452209,66
1585452212,66
1585452215,66
1585452218,66
1585452221,66
1585452224,66
1585452227,66
1585452230,66
1585452233,66
1585452236,66
1585452239,66
1585452242,66
1585452245,66
1585452248,66
1585452251,66
1585452254,66
1585452257,66
1585452260,66
1585452263,66
1585452266,66
1585452269,66
1585452272,66
1585452275,66
1585452278,66
1585452281,66
1585452284,66
1585452287,66
1585452290,66
1585452293,66
1585452296,66
1585452299,66
1585452302,66
1585452305,66
1585452308,66
1585452311,66
1585452314,66
1585452317,66
1585452320,66
1585452323,66
1585452326,66
1585452329,66
1585452332,66
1585452335,66
1585452338,66
1585452341,66
1585452344,66
1585452347,66
1585452350,66
1585452353,66
1585452356,66
1585452359,66
1585452362,66
1585452365,66
1585452368,66
1585452371,66
1585452374,66
1585452377,66
1585452380,66
1585452383,66
1585452386,66
1585452389,66
1585452392,66
1585452395,66
1585452398,66
1585452401,66
1585452404,66
1585452407,66
1585452410,66
1585452413,66
1585452416,66
1585452419,66
1585452422,66
1585452425,66
1585452428,66
1585452431,66
1585452434,66
1585452437,66
1585452440,66
1585452443,66
1585452446,66
1585452449,66
1585452452,66
1585452455,66
1585452458,66
1585452461,66
1585452464,66
1585452467,66
1585452470,66
1585452473,66
1585452476,66
1585452479,66
1585452482,66
1585452485,66
1585452488,66
1585452491,66
1585452494,66
1585452497,66
1585452500,66
1585452503,66
1585452506,66
