t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,124,4.682173,0.000000,0.000000,0.000000,events/second
1585418131,127,4.327505,0.000000,0.000000,0.000000,events/second
1585418134,127,3.934815,0.000000,0.000000,0.000000,events/second
1585418137,127,3.599723,0.000000,0.000000,0.000000,events/second
1585418140,127,3.319377,0.000000,0.000000,0.000000,events/second
1585418143,128,3.100512,0.000000,0.000000,0.000000,events/second
1585418146,133,3.004593,0.000000,0.000000,0.000000,events/second
1585418149,135,2.849132,0.000000,0.000000,0.000000,events/second
1585418152,135,2.684678,0.000000,0.000000,0.000000,events/second
1585418155,135,2.533679,0.000000,0.000000,0.000000,events/second
1585418158,135,2.399022,0.000000,0.000000,0.000000,events/second
1585418161,135,2.277772,0.000000,0.000000,0.000000,events/second
1585418164,137,2.200490,0.000000,0.000000,0.000000,events/second
1585418167,137,2.098308,0.000000,0.000000,0.000000,events/second
1585418170,137,2.006164,0.000000,0.000000,0.000000,events/second
1585418173,137,1.921217,0.000000,0.000000,0.000000,events/second
1585418176,137,1.844224,0.000000,0.000000,0.000000,events/second
1585418179,137,1.772710,0.000000,0.000000,0.000000,events/second
1585418182,137,1.706423,0.000000,0.000000,0.000000,events/second
1585418185,140,1.680998,0.000000,0.000000,0.000000,events/second
1585418188,140,1.622518,0.000000,0.000000,0.000000,events/second
1585418191,140,1.568031,0.000000,0.000000,0.000000,events/second
1585418194,140,1.516999,0.000000,0.000000,0.000000,events/second
1585418197,140,1.469353,0.000000,0.000000,0.000000,events/second
1585418200,140,1.424752,0.000000,0.000000,0.000000,events/second
1585418203,141,1.390992,0.000000,0.000000,0.000000,events/second
1585418206,142,1.361190,0.000000,0.000000,0.000000,events/second
1585418209,142,1.323045,0.000000,0.000000,0.000000,events/second
1585418212,142,1.287592,0.000000,0.000000,0.000000,events/second
1585418215,142,1.253431,0.000000,0.000000,0.000000,events/second
1585418218,142,1.221250,0.000000,0.000000,0.000000,events/second
1585418221,142,1.190432,0.000000,0.000000,0.000000,events/second
1585418224,144,1.177793,0.000000,0.000000,0.000000,events/second
1585418227,144,1.149433,0.000000,0.000000,0.000000,events/second
1585418230,144,1.122679,0.000000,0.000000,0.000000,events/second
1585418233,144,1.096112,0.000000,0.000000,0.000000,events/second
1585418236,144,1.071713,0.000000,0.000000,0.000000,events/second
