t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,85,3.209397,0.000000,0.000000,0.000000,events/second
1585418131,88,2.998549,0.000000,0.000000,0.000000,events/second
1585418134,88,2.726505,0.000000,0.000000,0.000000,events/second
1585418137,88,2.494276,0.000000,0.000000,0.000000,events/second
1585418140,88,2.300058,0.000000,0.000000,0.000000,events/second
1585418143,89,2.155834,0.000000,0.000000,0.000000,events/second
1585418146,94,2.123545,0.000000,0.000000,0.000000,events/second
1585418149,96,2.026033,0.000000,0.000000,0.000000,events/second
1585418152,96,1.909118,0.000000,0.000000,0.000000,events/second
1585418155,96,1.801740,0.000000,0.000000,0.000000,events/second
1585418158,96,1.705980,0.000000,0.000000,0.000000,events/second
1585418161,96,1.619758,0.000000,0.000000,0.000000,events/second
1585418164,98,1.574081,0.000000,0.000000,0.000000,events/second
1585418167,98,1.500985,0.000000,0.000000,0.000000,events/second
1585418170,98,1.435068,0.000000,0.000000,0.000000,events/second
1585418173,98,1.374308,0.000000,0.000000,0.000000,events/second
1585418176,98,1.319231,0.000000,0.000000,0.000000,events/second
1585418179,98,1.268076,0.000000,0.000000,0.000000,events/second
1585418182,98,1.220659,0.000000,0.000000,0.000000,events/second
1585418185,101,1.212723,0.000000,0.000000,0.000000,events/second
1585418188,101,1.170536,0.000000,0.000000,0.000000,events/second
1585418191,101,1.131227,0.000000,0.000000,0.000000,events/second
1585418194,101,1.094410,0.000000,0.000000,0.000000,events/second
1585418197,101,1.060037,0.000000,0.000000,0.000000,events/second
1585418200,101,1.027860,0.000000,0.000000,0.000000,events/second
1585418203,102,1.006251,0.000000,0.000000,0.000000,events/second
1585418206,103,0.987341,0.000000,0.000000,0.000000,events/second
1585418209,103,0.959676,0.000000,0.000000,0.000000,events/second
1585418212,103,0.933961,0.000000,0.000000,0.000000,events/second
1585418215,103,0.909182,0.000000,0.000000,0.000000,events/second
1585418218,103,0.885822,0.000000,0.000000,0.000000,events/second
1585418221,103,0.863485,0.000000,0.000000,0.000000,events/second
1585418224,105,0.858809,0.000000,0.000000,0.000000,events/second
1585418227,105,0.838131,0.000000,0.000000,0.000000,events/second
1585418230,105,0.818623,0.000000,0.000000,0.000000,events/second
1585418233,105,0.799250,0.000000,0.000000,0.000000,events/second
1585418236,105,0.781458,0.000000,0.000000,0.000000,events/second
1585418239,105,0.762844,0.000000,0.000000,0.000000,events/second
1585418242,105,0.748564,0.000000,0.000000,0.000000,events/second
1585418245,108,0.753414,0.000000,0.000000,0.000000,events/second
1585418248,108,0.738281,0.000000,0.000000,0.000000,events/second
1585418251,108,0.723452,0.000000,0.000000,0.000000,events/second
1585418254,108,0.709181,0.000000,0.000000,0.000000,events/second
1585418257,108,0.695506,0.000000,0.000000,0.000000,events/second
1585418260,108,0.682277,0.000000,0.000000,0.000000,events/second
1585418263,108,0.669641,0.000000,0.000000,0.000000,events/second
1585418266,110,0.669586,0.000000,0.000000,0.000000,events/second
1585418269,110,0.657572,0.000000,0.000000,0.000000,events/second
1585418272,110,0.645964,0.000000,0.000000,0.000000,events/second
1585418275,110,0.634810,0.000000,0.000000,0.000000,events/second
1585418278,110,0.623962,0.000000,0.000000,0.000000,events/second
1585418281,110,0.613662,0.000000,0.000000,0.000000,events/second
1585418284,112,0.613902,0.000000,0.000000,0.000000,events/second
1585418287,112,0.604475,0.000000,0.000000,0.000000,events/second
1585418290,112,0.594865,0.000000,0.000000,0.000000,events/second
1585418293,112,0.585527,0.000000,0.000000,0.000000,events/second
1585418296,112,0.576447,0.000000,0.000000,0.000000,events/second
1585418299,112,0.567712,0.000000,0.000000,0.000000,events/second
1585418302,112,0.559211,0.000000,0.000000,0.000000,events/second
1585418305,115,0.565716,0.000000,0.000000,0.000000,events/second
1585418308,115,0.557495,0.000000,0.000000,0.000000,events/second
1585418311,115,0.549504,0.000000,0.000000,0.000000,events/second
1585418314,115,0.541670,0.000000,0.000000,0.000000,events/second
1585418317,115,0.534176,0.000000,0.000000,0.000000,events/second
1585418320,115,0.526836,0.000000,0.000000,0.000000,events/second
1585418323,115,0.519771,0.000000,0.000000,0.000000,events/second
1585418326,117,0.521667,0.000000,0.000000,0.000000,events/second
1585418329,117,0.514791,0.000000,0.000000,0.000000,events/second
1585418332,117,0.508078,0.000000,0.000000,0.000000,events/second
1585418335,117,0.501544,0.000000,0.000000,0.000000,events/second
1585418338,117,0.495172,0.000000,0.000000,0.000000,events/second
1585418341,117,0.488938,0.000000,0.000000,0.000000,events/second
1585418344,119,0.491221,0.000000,0.000000,0.000000,events/second
1585418347,119,0.485158,0.000000,0.000000,0.000000,events/second
1585418350,119,0.479286,0.000000,0.000000,0.000000,events/second
1585418353,119,0.473576,0.000000,0.000000,0.000000,events/second
1585418356,119,0.467984,0.000000,0.000000,0.000000,events/second
1585418359,119,0.462532,0.000000,0.000000,0.000000,events/second
1585418362,119,0.457196,0.000000,0.000000,0.000000,events/second
1585418365,122,0.463381,0.000000,0.000000,0.000000,events/second
1585418368,122,0.458164,0.000000,0.000000,0.000000,events/second
1585418371,122,0.453056,0.000000,0.000000,0.000000,events/second
1585418374,122,0.447994,0.000000,0.000000,0.000000,events/second
1585418377,122,0.443131,0.000000,0.000000,0.000000,events/second
1585418380,122,0.438407,0.000000,0.000000,0.000000,events/second
1585418383,122,0.433770,0.000000,0.000000,0.000000,events/second
1585418386,124,0.436187,0.000000,0.000000,0.000000,events/second
1585418389,124,0.431615,0.000000,0.000000,0.000000,events/second
1585418392,124,0.427172,0.000000,0.000000,0.000000,events/second
1585418395,124,0.422802,0.000000,0.000000,0.000000,events/second
1585418398,124,0.418502,0.000000,0.000000,0.000000,events/second
1585418401,124,0.414293,0.000000,0.000000,0.000000,events/second
1585418404,126,0.416860,0.000000,0.000000,0.000000,events/second
1585418407,126,0.412736,0.000000,0.000000,0.000000,events/second
1585418410,126,0.408711,0.000000,0.000000,0.000000,events/second
1585418413,126,0.404781,0.000000,0.000000,0.000000,events/second
1585418416,126,0.400917,0.000000,0.000000,0.000000,events/second
1585418419,126,0.397114,0.000000,0.000000,0.000000,events/second
1585418422,126,0.393404,0.000000,0.000000,0.000000,events/second
1585418425,129,0.399035,0.000000,0.000000,0.000000,events/second
1585418428,129,0.395366,0.000000,0.000000,0.000000,events/second
1585418431,129,0.391761,0.000000,0.000000,0.000000,events/second
1585418434,129,0.388224,0.000000,0.000000,0.000000,events/second
1585418437,129,0.384751,0.000000,0.000000,0.000000,events/second
1585418440,129,0.381339,0.000000,0.000000,0.000000,events/second
1585418443,129,0.378019,0.000000,0.000000,0.000000,events/second
1585418446,131,0.380504,0.000000,0.000000,0.000000,events/second
1585418449,131,0.377214,0.000000,0.000000,0.000000,events/second
1585418452,131,0.373984,0.000000,0.000000,0.000000,events/second
1585418455,131,0.370806,0.000000,0.000000,0.000000,events/second
1585418458,131,0.367689,0.000000,0.000000,0.000000,events/second
1585418461,131,0.364619,0.000000,0.000000,0.000000,events/second
1585418464,133,0.367132,0.000000,0.000000,0.000000,events/second
1585418467,133,0.364088,0.000000,0.000000,0.000000,events/second
1585418470,133,0.361136,0.000000,0.000000,0.000000,events/second
1585418473,133,0.358218,0.000000,0.000000,0.000000,events/second
