t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,39,1.471988,0.000000,0.000000,0.000000,events/second
1585418131,39,1.328852,0.000000,0.000000,0.000000,events/second
1585418134,39,1.208343,0.000000,0.000000,0.000000,events/second
1585418137,39,1.105404,0.000000,0.000000,0.000000,events/second
1585418140,39,1.019347,0.000000,0.000000,0.000000,events/second
1585418143,39,0.944695,0.000000,0.000000,0.000000,events/second
1585418146,39,0.881049,0.000000,0.000000,0.000000,events/second
1585418149,39,0.823068,0.000000,0.000000,0.000000,events/second
1585418152,39,0.775584,0.000000,0.000000,0.000000,events/second
1585418155,39,0.731962,0.000000,0.000000,0.000000,events/second
1585418158,39,0.693058,0.000000,0.000000,0.000000,events/second
1585418161,39,0.658030,0.000000,0.000000,0.000000,events/second
1585418164,39,0.626423,0.000000,0.000000,0.000000,events/second
1585418167,39,0.597334,0.000000,0.000000,0.000000,events/second
1585418170,39,0.571100,0.000000,0.000000,0.000000,events/second
1585418173,39,0.546921,0.000000,0.000000,0.000000,events/second
1585418176,39,0.525002,0.000000,0.000000,0.000000,events/second
1585418179,39,0.504645,0.000000,0.000000,0.000000,events/second
1585418182,39,0.485774,0.000000,0.000000,0.000000,events/second
1585418185,39,0.468281,0.000000,0.000000,0.000000,events/second
1585418188,39,0.451991,0.000000,0.000000,0.000000,events/second
1585418191,39,0.436812,0.000000,0.000000,0.000000,events/second
1585418194,39,0.422595,0.000000,0.000000,0.000000,events/second
1585418197,39,0.409323,0.000000,0.000000,0.000000,events/second
1585418200,39,0.396898,0.000000,0.000000,0.000000,events/second
1585418203,39,0.384744,0.000000,0.000000,0.000000,events/second
1585418206,39,0.373848,0.000000,0.000000,0.000000,events/second
1585418209,39,0.363374,0.000000,0.000000,0.000000,events/second
1585418212,39,0.353637,0.000000,0.000000,0.000000,events/second
1585418215,39,0.344254,0.000000,0.000000,0.000000,events/second
1585418218,39,0.335398,0.000000,0.000000,0.000000,events/second
1585418221,39,0.326952,0.000000,0.000000,0.000000,events/second
