t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,40,1.509729,0.000000,0.000000,0.000000,events/second
1585418131,40,1.361374,0.000000,0.000000,0.000000,events/second
1585418134,40,1.239465,0.000000,0.000000,0.000000,events/second
1585418137,40,1.133735,0.000000,0.000000,0.000000,events/second
1585418140,40,1.045585,0.000000,0.000000,0.000000,events/second
1585418143,40,0.969002,0.000000,0.000000,0.000000,events/second
1585418146,40,0.903715,0.000000,0.000000,0.000000,events/second
1585418149,40,0.844216,0.000000,0.000000,0.000000,events/second
1585418152,40,0.795533,0.000000,0.000000,0.000000,events/second
1585418155,40,0.750785,0.000000,0.000000,0.000000,events/second
1585418158,40,0.710877,0.000000,0.000000,0.000000,events/second
1585418161,40,0.674946,0.000000,0.000000,0.000000,events/second
1585418164,40,0.642524,0.000000,0.000000,0.000000,events/second
1585418167,40,0.612685,0.000000,0.000000,0.000000,events/second
1585418170,40,0.585775,0.000000,0.000000,0.000000,events/second
1585418173,40,0.560976,0.000000,0.000000,0.000000,events/second
1585418176,40,0.538492,0.000000,0.000000,0.000000,events/second
1585418179,40,0.517611,0.000000,0.000000,0.000000,events/second
1585418182,40,0.498255,0.000000,0.000000,0.000000,events/second
1585418185,40,0.480310,0.000000,0.000000,0.000000,events/second
1585418188,40,0.463601,0.000000,0.000000,0.000000,events/second
1585418191,40,0.448031,0.000000,0.000000,0.000000,events/second
1585418194,40,0.433449,0.000000,0.000000,0.000000,events/second
1585418197,40,0.419836,0.000000,0.000000,0.000000,events/second
1585418200,40,0.407091,0.000000,0.000000,0.000000,events/second
1585418203,40,0.394624,0.000000,0.000000,0.000000,events/second
1585418206,40,0.383446,0.000000,0.000000,0.000000,events/second
1585418209,40,0.372705,0.000000,0.000000,0.000000,events/second
1585418212,40,0.362717,0.000000,0.000000,0.000000,events/second
1585418215,40,0.353093,0.000000,0.000000,0.000000,events/second
1585418218,40,0.344004,0.000000,0.000000,0.000000,events/second
1585418221,40,0.335346,0.000000,0.000000,0.000000,events/second
1585418224,40,0.327177,0.000000,0.000000,0.000000,events/second
1585418227,40,0.319299,0.000000,0.000000,0.000000,events/second
1585418230,40,0.311867,0.000000,0.000000,0.000000,events/second
1585418233,40,0.304474,0.000000,0.000000,0.000000,events/second
1585418236,40,0.297707,0.000000,0.000000,0.000000,events/second
1585418239,40,0.290615,0.000000,0.000000,0.000000,events/second
1585418242,40,0.285176,0.000000,0.000000,0.000000,events/second
1585418245,40,0.279050,0.000000,0.000000,0.000000,events/second
1585418248,40,0.273445,0.000000,0.000000,0.000000,events/second
1585418251,40,0.267953,0.000000,0.000000,0.000000,events/second
1585418254,40,0.262667,0.000000,0.000000,0.000000,events/second
1585418257,40,0.257602,0.000000,0.000000,0.000000,events/second
1585418260,40,0.252702,0.000000,0.000000,0.000000,events/second
1585418263,40,0.248022,0.000000,0.000000,0.000000,events/second
1585418266,40,0.243492,0.000000,0.000000,0.000000,events/second
1585418269,40,0.239123,0.000000,0.000000,0.000000,events/second
1585418272,40,0.234901,0.000000,0.000000,0.000000,events/second
1585418275,40,0.230846,0.000000,0.000000,0.000000,events/second
1585418278,40,0.226900,0.000000,0.000000,0.000000,events/second
1585418281,40,0.223155,0.000000,0.000000,0.000000,events/second
1585418284,40,0.219255,0.000000,0.000000,0.000000,events/second
1585418287,40,0.215889,0.000000,0.000000,0.000000,events/second
1585418290,40,0.212457,0.000000,0.000000,0.000000,events/second
1585418293,40,0.209122,0.000000,0.000000,0.000000,events/second
1585418296,40,0.205878,0.000000,0.000000,0.000000,events/second
1585418299,40,0.202759,0.000000,0.000000,0.000000,events/second
1585418302,40,0.199723,0.000000,0.000000,0.000000,events/second
1585418305,40,0.196775,0.000000,0.000000,0.000000,events/second
1585418308,40,0.193916,0.000000,0.000000,0.000000,events/second
1585418311,40,0.191136,0.000000,0.000000,0.000000,events/second
1585418314,40,0.188411,0.000000,0.000000,0.000000,events/second
1585418317,40,0.185804,0.000000,0.000000,0.000000,events/second
1585418320,40,0.183251,0.000000,0.000000,0.000000,events/second
1585418323,40,0.180794,0.000000,0.000000,0.000000,events/second
1585418326,40,0.178351,0.000000,0.000000,0.000000,events/second
1585418329,40,0.175994,0.000000,0.000000,0.000000,events/second
1585418332,40,0.173705,0.000000,0.000000,0.000000,events/second
1585418335,40,0.171471,0.000000,0.000000,0.000000,events/second
1585418338,40,0.169293,0.000000,0.000000,0.000000,events/second
1585418341,40,0.167161,0.000000,0.000000,0.000000,events/second
1585418344,40,0.165119,0.000000,0.000000,0.000000,events/second
1585418347,40,0.163081,0.000000,0.000000,0.000000,events/second
1585418350,40,0.161107,0.000000,0.000000,0.000000,events/second
1585418353,40,0.159188,0.000000,0.000000,0.000000,events/second
1585418356,40,0.157308,0.000000,0.000000,0.000000,events/second
1585418359,40,0.155475,0.000000,0.000000,0.000000,events/second
1585418362,40,0.153682,0.000000,0.000000,0.000000,events/second
1585418365,40,0.151931,0.000000,0.000000,0.000000,events/second
1585418368,40,0.150220,0.000000,0.000000,0.000000,events/second
1585418371,40,0.148545,0.000000,0.000000,0.000000,events/second
1585418374,40,0.146885,0.000000,0.000000,0.000000,events/second
1585418377,40,0.145291,0.000000,0.000000,0.000000,events/second
1585418380,40,0.143742,0.000000,0.000000,0.000000,events/second
1585418383,40,0.142222,0.000000,0.000000,0.000000,events/second
1585418386,40,0.140708,0.000000,0.000000,0.000000,events/second
1585418389,40,0.139233,0.000000,0.000000,0.000000,events/second
1585418392,40,0.137799,0.000000,0.000000,0.000000,events/second
1585418395,40,0.136390,0.000000,0.000000,0.000000,events/second
1585418398,40,0.135003,0.000000,0.000000,0.000000,events/second
1585418401,40,0.133645,0.000000,0.000000,0.000000,events/second
1585418404,40,0.132338,0.000000,0.000000,0.000000,events/second
1585418407,40,0.131029,0.000000,0.000000,0.000000,events/second
1585418410,40,0.129751,0.000000,0.000000,0.000000,events/second
1585418413,40,0.128504,0.000000,0.000000,0.000000,events/second
1585418416,40,0.127277,0.000000,0.000000,0.000000,events/second
1585418419,40,0.126070,0.000000,0.000000,0.000000,events/second
1585418422,40,0.124892,0.000000,0.000000,0.000000,events/second
1585418425,40,0.123734,0.000000,0.000000,0.000000,events/second
1585418428,40,0.122596,0.000000,0.000000,0.000000,events/second
1585418431,40,0.121478,0.000000,0.000000,0.000000,events/second
1585418434,40,0.120381,0.000000,0.000000,0.000000,events/second
1585418437,40,0.119304,0.000000,0.000000,0.000000,events/second
1585418440,40,0.118246,0.000000,0.000000,0.000000,events/second
1585418443,40,0.117217,0.000000,0.000000,0.000000,events/second
1585418446,40,0.116186,0.000000,0.000000,0.000000,events/second
1585418449,40,0.115181,0.000000,0.000000,0.000000,events/second
1585418452,40,0.114195,0.000000,0.000000,0.000000,events/second
1585418455,40,0.113225,0.000000,0.000000,0.000000,events/second
1585418458,40,0.112273,0.000000,0.000000,0.000000,events/second
1585418461,40,0.111335,0.000000,0.000000,0.000000,events/second
1585418464,40,0.110417,0.000000,0.000000,0.000000,events/second
1585418467,40,0.109501,0.000000,0.000000,0.000000,events/second
1585418470,40,0.108613,0.000000,0.000000,0.000000,events/second
1585418473,40,0.107736,0.000000,0.000000,0.000000,events/second
1585418476,40,0.106873,0.000000,0.000000,0.000000,events/second
1585418479,40,0.106023,0.000000,0.000000,0.000000,events/second
1585418482,40,0.105188,0.000000,0.000000,0.000000,events/second
1585418485,40,0.104363,0.000000,0.000000,0.000000,events/second
1585418488,40,0.103552,0.000000,0.000000,0.000000,events/second
1585418491,40,0.102755,0.000000,0.000000,0.000000,events/second
1585418494,40,0.101969,0.000000,0.000000,0.000000,events/second
1585418497,40,0.101195,0.000000,0.000000,0.000000,events/second
1585418500,40,0.100434,0.000000,0.000000,0.000000,events/second
1585418503,40,0.099686,0.000000,0.000000,0.000000,events/second
1585418506,40,0.098942,0.000000,0.000000,0.000000,events/second
1585418509,40,0.098218,0.000000,0.000000,0.000000,events/second
1585418512,40,0.097406,0.000000,0.000000,0.000000,events/second
1585418515,40,0.096787,0.000000,0.000000,0.000000,events/second
1585418518,40,0.096090,0.000000,0.000000,0.000000,events/second
1585418521,40,0.095403,0.000000,0.000000,0.000000,events/second
1585418524,40,0.094729,0.000000,0.000000,0.000000,events/second
1585418527,40,0.094057,0.000000,0.000000,0.000000,events/second
1585418530,40,0.093397,0.000000,0.000000,0.000000,events/second
1585418533,40,0.092748,0.000000,0.000000,0.000000,events/second
1585418536,40,0.092107,0.000000,0.000000,0.000000,events/second
1585418539,40,0.091482,0.000000,0.000000,0.000000,events/second
1585418542,40,0.090852,0.000000,0.000000,0.000000,events/second
1585418545,40,0.090237,0.000000,0.000000,0.000000,events/second
1585418548,40,0.089631,0.000000,0.000000,0.000000,events/second
1585418551,40,0.089032,0.000000,0.000000,0.000000,events/second
1585418554,40,0.088442,0.000000,0.000000,0.000000,events/second
1585418557,40,0.087858,0.000000,0.000000,0.000000,events/second
1585418560,40,0.087284,0.000000,0.000000,0.000000,events/second
1585418563,40,0.086721,0.000000,0.000000,0.000000,events/second
1585418566,40,0.086155,0.000000,0.000000,0.000000,events/second
1585418569,40,0.085603,0.000000,0.000000,0.000000,events/second
1585418572,40,0.085057,0.000000,0.000000,0.000000,events/second
1585418575,40,0.084521,0.000000,0.000000,0.000000,events/second
1585418578,40,0.083985,0.000000,0.000000,0.000000,events/second
1585418581,40,0.083459,0.000000,0.000000,0.000000,events/second
1585418584,40,0.082930,0.000000,0.000000,0.000000,events/second
1585418587,40,0.082423,0.000000,0.000000,0.000000,events/second
1585418590,40,0.081923,0.000000,0.000000,0.000000,events/second
1585418593,40,0.081421,0.000000,0.000000,0.000000,events/second
1585418596,40,0.080926,0.000000,0.000000,0.000000,events/second
1585418599,40,0.080437,0.000000,0.000000,0.000000,events/second
1585418602,40,0.079956,0.000000,0.000000,0.000000,events/second
1585418605,40,0.079481,0.000000,0.000000,0.000000,events/second
1585418608,40,0.079008,0.000000,0.000000,0.000000,events/second
1585418611,40,0.078545,0.000000,0.000000,0.000000,events/second
1585418614,40,0.078086,0.000000,0.000000,0.000000,events/second
1585418617,40,0.077628,0.000000,0.000000,0.000000,events/second
1585418620,40,0.077179,0.000000,0.000000,0.000000,events/second
1585418623,40,0.076734,0.000000,0.000000,0.000000,events/second
1585418626,40,0.076300,0.000000,0.000000,0.000000,events/second
1585418629,40,0.075864,0.000000,0.000000,0.000000,events/second
1585418632,40,0.075432,0.000000,0.000000,0.000000,events/second
1585418635,40,0.075007,0.000000,0.000000,0.000000,events/second
1585418638,40,0.074590,0.000000,0.000000,0.000000,events/second
1585418641,40,0.074177,0.000000,0.000000,0.000000,events/second
1585418644,40,0.073761,0.000000,0.000000,0.000000,events/second
1585418647,40,0.073357,0.000000,0.000000,0.000000,events/second
1585418650,40,0.072958,0.000000,0.000000,0.000000,events/second
1585418653,40,0.072558,0.000000,0.000000,0.000000,events/second
1585418656,40,0.072166,0.000000,0.000000,0.000000,events/second
1585418659,40,0.071777,0.000000,0.000000,0.000000,events/second
1585418662,40,0.071395,0.000000,0.000000,0.000000,events/second
1585418665,40,0.071013,0.000000,0.000000,0.000000,events/second
1585418668,40,0.070637,0.000000,0.000000,0.000000,events/second
1585418671,40,0.070264,0.000000,0.000000,0.000000,events/second
1585418674,40,0.069891,0.000000,0.000000,0.000000,events/second
1585418677,40,0.069532,0.000000,0.000000,0.000000,events/second
1585418680,40,0.069174,0.000000,0.000000,0.000000,events/second
1585418683,40,0.068816,0.000000,0.000000,0.000000,events/second
1585418686,40,0.068461,0.000000,0.000000,0.000000,events/second
1585418689,40,0.068111,0.000000,0.000000,0.000000,events/second
1585418692,40,0.067764,0.000000,0.000000,0.000000,events/second
1585418695,40,0.067425,0.000000,0.000000,0.000000,events/second
1585418698,40,0.067086,0.000000,0.000000,0.000000,events/second
1585418701,40,0.066749,0.000000,0.000000,0.000000,events/second
1585418704,40,0.066417,0.000000,0.000000,0.000000,events/second
1585418707,40,0.066086,0.000000,0.000000,0.000000,events/second
1585418710,40,0.065760,0.000000,0.000000,0.000000,events/second
1585418713,40,0.065436,0.000000,0.000000,0.000000,events/second
1585418716,40,0.065118,0.000000,0.000000,0.000000,events/second
1585418719,40,0.064802,0.000000,0.000000,0.000000,events/second
1585418722,40,0.064490,0.000000,0.000000,0.000000,events/second
1585418725,40,0.064177,0.000000,0.000000,0.000000,events/second
1585418728,40,0.063870,0.000000,0.000000,0.000000,events/second
1585418731,40,0.063559,0.000000,0.000000,0.000000,events/second
1585418734,40,0.063264,0.000000,0.000000,0.000000,events/second
1585418737,40,0.062965,0.000000,0.000000,0.000000,events/second
1585418740,40,0.062669,0.000000,0.000000,0.000000,events/second
