t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,2,0.075451,0.000000,0.000000,0.000000,events/second
1585418131,2,0.068043,0.000000,0.000000,0.000000,events/second
1585418134,2,0.061952,0.000000,0.000000,0.000000,events/second
1585418137,2,0.056669,0.000000,0.000000,0.000000,events/second
1585418140,2,0.052265,0.000000,0.000000,0.000000,events/second
1585418143,2,0.048437,0.000000,0.000000,0.000000,events/second
1585418146,3,0.067762,0.000000,0.000000,0.000000,events/second
1585418149,3,0.063301,0.000000,0.000000,0.000000,events/second
1585418152,3,0.059652,0.000000,0.000000,0.000000,events/second
1585418155,3,0.056298,0.000000,0.000000,0.000000,events/second
1585418158,3,0.053306,0.000000,0.000000,0.000000,events/second
1585418161,3,0.050612,0.000000,0.000000,0.000000,events/second
1585418164,3,0.048181,0.000000,0.000000,0.000000,events/second
1585418167,3,0.045944,0.000000,0.000000,0.000000,events/second
1585418170,3,0.043926,0.000000,0.000000,0.000000,events/second
1585418173,3,0.042067,0.000000,0.000000,0.000000,events/second
1585418176,3,0.040381,0.000000,0.000000,0.000000,events/second
1585418179,3,0.038815,0.000000,0.000000,0.000000,events/second
1585418182,3,0.037364,0.000000,0.000000,0.000000,events/second
1585418185,3,0.036019,0.000000,0.000000,0.000000,events/second
1585418188,3,0.034766,0.000000,0.000000,0.000000,events/second
1585418191,3,0.033598,0.000000,0.000000,0.000000,events/second
1585418194,3,0.032505,0.000000,0.000000,0.000000,events/second
1585418197,3,0.031484,0.000000,0.000000,0.000000,events/second
1585418200,3,0.030528,0.000000,0.000000,0.000000,events/second
1585418203,3,0.029594,0.000000,0.000000,0.000000,events/second
1585418206,3,0.028755,0.000000,0.000000,0.000000,events/second
1585418209,3,0.027950,0.000000,0.000000,0.000000,events/second
1585418212,3,0.027201,0.000000,0.000000,0.000000,events/second
1585418215,3,0.026479,0.000000,0.000000,0.000000,events/second
1585418218,3,0.025798,0.000000,0.000000,0.000000,events/second
1585418221,3,0.025149,0.000000,0.000000,0.000000,events/second
1585418224,3,0.024536,0.000000,0.000000,0.000000,events/second
1585418227,3,0.023945,0.000000,0.000000,0.000000,events/second
1585418230,3,0.023388,0.000000,0.000000,0.000000,events/second
1585418233,3,0.022834,0.000000,0.000000,0.000000,events/second
1585418236,3,0.022326,0.000000,0.000000,0.000000,events/second
1585418239,3,0.021794,0.000000,0.000000,0.000000,events/second
1585418242,3,0.021387,0.000000,0.000000,0.000000,events/second
1585418245,3,0.020927,0.000000,0.000000,0.000000,events/second
1585418248,3,0.020507,0.000000,0.000000,0.000000,events/second
1585418251,3,0.020095,0.000000,0.000000,0.000000,events/second
1585418254,3,0.019699,0.000000,0.000000,0.000000,events/second
1585418257,3,0.019319,0.000000,0.000000,0.000000,events/second
1585418260,3,0.018951,0.000000,0.000000,0.000000,events/second
1585418263,3,0.018600,0.000000,0.000000,0.000000,events/second
1585418266,3,0.018261,0.000000,0.000000,0.000000,events/second
1585418269,3,0.017933,0.000000,0.000000,0.000000,events/second
1585418272,3,0.017616,0.000000,0.000000,0.000000,events/second
1585418275,3,0.017312,0.000000,0.000000,0.000000,events/second
1585418278,3,0.017016,0.000000,0.000000,0.000000,events/second
1585418281,3,0.016736,0.000000,0.000000,0.000000,events/second
1585418284,3,0.016443,0.000000,0.000000,0.000000,events/second
1585418287,3,0.016191,0.000000,0.000000,0.000000,events/second
1585418290,3,0.015933,0.000000,0.000000,0.000000,events/second
