t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,124,4.676473,0.000000,0.000000,0.000000,events/second
1585418131,127,4.319361,0.000000,0.000000,0.000000,events/second
1585418134,127,3.933636,0.000000,0.000000,0.000000,events/second
1585418137,127,3.598066,0.000000,0.000000,0.000000,events/second
1585418140,127,3.318575,0.000000,0.000000,0.000000,events/second
1585418143,128,3.099771,0.000000,0.000000,0.000000,events/second
1585418146,133,3.003945,0.000000,0.000000,0.000000,events/second
1585418149,135,2.848235,0.000000,0.000000,0.000000,events/second
1585418152,135,2.684230,0.000000,0.000000,0.000000,events/second
1585418155,135,2.533286,0.000000,0.000000,0.000000,events/second
1585418158,135,2.398648,0.000000,0.000000,0.000000,events/second
1585418161,135,2.277435,0.000000,0.000000,0.000000,events/second
1585418164,137,2.200183,0.000000,0.000000,0.000000,events/second
1585418167,137,2.098023,0.000000,0.000000,0.000000,events/second
1585418170,137,2.005880,0.000000,0.000000,0.000000,events/second
1585418173,137,1.920984,0.000000,0.000000,0.000000,events/second
1585418176,137,1.844008,0.000000,0.000000,0.000000,events/second
1585418179,137,1.772521,0.000000,0.000000,0.000000,events/second
1585418182,137,1.706236,0.000000,0.000000,0.000000,events/second
1585418185,140,1.680807,0.000000,0.000000,0.000000,events/second
1585418188,140,1.622360,0.000000,0.000000,0.000000,events/second
1585418191,140,1.567877,0.000000,0.000000,0.000000,events/second
1585418194,140,1.516856,0.000000,0.000000,0.000000,events/second
1585418197,140,1.469226,0.000000,0.000000,0.000000,events/second
1585418200,140,1.424627,0.000000,0.000000,0.000000,events/second
1585418203,142,1.400729,0.000000,0.000000,0.000000,events/second
1585418206,142,1.361002,0.000000,0.000000,0.000000,events/second
1585418209,142,1.322930,0.000000,0.000000,0.000000,events/second
1585418212,142,1.287495,0.000000,0.000000,0.000000,events/second
1585418215,142,1.253335,0.000000,0.000000,0.000000,events/second
1585418218,142,1.221040,0.000000,0.000000,0.000000,events/second
1585418221,142,1.190348,0.000000,0.000000,0.000000,events/second
1585418224,144,1.177709,0.000000,0.000000,0.000000,events/second
1585418227,144,1.149358,0.000000,0.000000,0.000000,events/second
1585418230,144,1.122605,0.000000,0.000000,0.000000,events/second
1585418233,144,1.095990,0.000000,0.000000,0.000000,events/second
1585418236,144,1.071644,0.000000,0.000000,0.000000,events/second
1585418239,144,1.046111,0.000000,0.000000,0.000000,events/second
1585418242,144,1.026535,0.000000,0.000000,0.000000,events/second
1585418245,147,1.025415,0.000000,0.000000,0.000000,events/second
1585418248,147,1.004818,0.000000,0.000000,0.000000,events/second
1585418251,147,0.984639,0.000000,0.000000,0.000000,events/second
1585418254,147,0.965217,0.000000,0.000000,0.000000,events/second
1585418257,147,0.946607,0.000000,0.000000,0.000000,events/second
1585418260,147,0.928600,0.000000,0.000000,0.000000,events/second
1585418263,147,0.911407,0.000000,0.000000,0.000000,events/second
1585418266,149,0.906936,0.000000,0.000000,0.000000,events/second
1585418269,149,0.890665,0.000000,0.000000,0.000000,events/second
1585418272,149,0.874939,0.000000,0.000000,0.000000,events/second
1585418275,149,0.859837,0.000000,0.000000,0.000000,events/second
1585418278,149,0.845140,0.000000,0.000000,0.000000,events/second
1585418281,149,0.831193,0.000000,0.000000,0.000000,events/second
1585418284,151,0.827624,0.000000,0.000000,0.000000,events/second
1585418287,151,0.814923,0.000000,0.000000,0.000000,events/second
1585418290,151,0.801970,0.000000,0.000000,0.000000,events/second
1585418293,151,0.789381,0.000000,0.000000,0.000000,events/second
1585418296,151,0.777137,0.000000,0.000000,0.000000,events/second
1585418299,151,0.765365,0.000000,0.000000,0.000000,events/second
1585418302,151,0.753904,0.000000,0.000000,0.000000,events/second
1585418305,154,0.757536,0.000000,0.000000,0.000000,events/second
1585418308,154,0.746528,0.000000,0.000000,0.000000,events/second
1585418311,154,0.735828,0.000000,0.000000,0.000000,events/second
1585418314,154,0.725337,0.000000,0.000000,0.000000,events/second
1585418317,154,0.715303,0.000000,0.000000,0.000000,events/second
1585418320,154,0.705474,0.000000,0.000000,0.000000,events/second
1585418323,154,0.696015,0.000000,0.000000,0.000000,events/second
1585418326,156,0.695530,0.000000,0.000000,0.000000,events/second
1585418329,156,0.686339,0.000000,0.000000,0.000000,events/second
1585418332,156,0.677412,0.000000,0.000000,0.000000,events/second
1585418335,156,0.668701,0.000000,0.000000,0.000000,events/second
1585418338,156,0.660206,0.000000,0.000000,0.000000,events/second
1585418341,156,0.651892,0.000000,0.000000,0.000000,events/second
1585418344,158,0.652185,0.000000,0.000000,0.000000,events/second
1585418347,158,0.644136,0.000000,0.000000,0.000000,events/second
1585418350,158,0.636341,0.000000,0.000000,0.000000,events/second
1585418353,158,0.628760,0.000000,0.000000,0.000000,events/second
1585418356,158,0.621336,0.000000,0.000000,0.000000,events/second
1585418359,158,0.614097,0.000000,0.000000,0.000000,events/second
1585418362,158,0.607013,0.000000,0.000000,0.000000,events/second
1585418365,161,0.611490,0.000000,0.000000,0.000000,events/second
1585418368,161,0.604607,0.000000,0.000000,0.000000,events/second
1585418371,161,0.597867,0.000000,0.000000,0.000000,events/second
1585418374,161,0.591185,0.000000,0.000000,0.000000,events/second
1585418377,161,0.584767,0.000000,0.000000,0.000000,events/second
1585418380,161,0.578535,0.000000,0.000000,0.000000,events/second
1585418383,161,0.572417,0.000000,0.000000,0.000000,events/second
1585418386,163,0.573357,0.000000,0.000000,0.000000,events/second
1585418389,163,0.567347,0.000000,0.000000,0.000000,events/second
1585418392,163,0.561507,0.000000,0.000000,0.000000,events/second
1585418395,163,0.555763,0.000000,0.000000,0.000000,events/second
1585418398,163,0.550111,0.000000,0.000000,0.000000,events/second
1585418401,163,0.544579,0.000000,0.000000,0.000000,events/second
1585418404,165,0.545871,0.000000,0.000000,0.000000,events/second
1585418407,165,0.540473,0.000000,0.000000,0.000000,events/second
1585418410,165,0.535203,0.000000,0.000000,0.000000,events/second
1585418413,165,0.530056,0.000000,0.000000,0.000000,events/second
1585418416,165,0.524996,0.000000,0.000000,0.000000,events/second
1585418419,165,0.520016,0.000000,0.000000,0.000000,events/second
1585418422,165,0.515158,0.000000,0.000000,0.000000,events/second
1585418425,168,0.519660,0.000000,0.000000,0.000000,events/second
1585418428,168,0.514881,0.000000,0.000000,0.000000,events/second
1585418431,168,0.510187,0.000000,0.000000,0.000000,events/second
1585418434,168,0.505581,0.000000,0.000000,0.000000,events/second
1585418437,168,0.501058,0.000000,0.000000,0.000000,events/second
1585418440,168,0.496615,0.000000,0.000000,0.000000,events/second
1585418443,168,0.492291,0.000000,0.000000,0.000000,events/second
1585418446,170,0.493771,0.000000,0.000000,0.000000,events/second
1585418449,170,0.489503,0.000000,0.000000,0.000000,events/second
1585418452,170,0.485311,0.000000,0.000000,0.000000,events/second
1585418455,170,0.481186,0.000000,0.000000,0.000000,events/second
1585418458,170,0.477142,0.000000,0.000000,0.000000,events/second
1585418461,170,0.473158,0.000000,0.000000,0.000000,events/second
1585418464,172,0.474775,0.000000,0.000000,0.000000,events/second
1585418467,172,0.470838,0.000000,0.000000,0.000000,events/second
1585418470,172,0.467021,0.000000,0.000000,0.000000,events/second
1585418473,172,0.463248,0.000000,0.000000,0.000000,events/second
1585418476,172,0.459539,0.000000,0.000000,0.000000,events/second
1585418479,172,0.455884,0.000000,0.000000,0.000000,events/second
1585418482,172,0.452292,0.000000,0.000000,0.000000,events/second
1585418485,175,0.456572,0.000000,0.000000,0.000000,events/second
1585418488,175,0.453027,0.000000,0.000000,0.000000,events/second
1585418491,175,0.449538,0.000000,0.000000,0.000000,events/second
1585418494,175,0.446101,0.000000,0.000000,0.000000,events/second
1585418497,175,0.442714,0.000000,0.000000,0.000000,events/second
1585418500,175,0.439383,0.000000,0.000000,0.000000,events/second
1585418503,175,0.436112,0.000000,0.000000,0.000000,events/second
1585418506,177,0.437804,0.000000,0.000000,0.000000,events/second
1585418509,177,0.434599,0.000000,0.000000,0.000000,events/second
1585418512,177,0.431009,0.000000,0.000000,0.000000,events/second
1585418515,177,0.428271,0.000000,0.000000,0.000000,events/second
1585418518,177,0.425187,0.000000,0.000000,0.000000,events/second
1585418521,177,0.422144,0.000000,0.000000,0.000000,events/second
1585418524,179,0.423899,0.000000,0.000000,0.000000,events/second
1585418527,179,0.420892,0.000000,0.000000,0.000000,events/second
1585418530,179,0.417941,0.000000,0.000000,0.000000,events/second
1585418533,179,0.415036,0.000000,0.000000,0.000000,events/second
1585418536,179,0.412168,0.000000,0.000000,0.000000,events/second
1585418539,179,0.409368,0.000000,0.000000,0.000000,events/second
1585418542,179,0.406552,0.000000,0.000000,0.000000,events/second
1585418545,182,0.410569,0.000000,0.000000,0.000000,events/second
1585418548,182,0.407809,0.000000,0.000000,0.000000,events/second
1585418551,182,0.405085,0.000000,0.000000,0.000000,events/second
1585418554,182,0.402400,0.000000,0.000000,0.000000,events/second
1585418557,182,0.399743,0.000000,0.000000,0.000000,events/second
1585418560,182,0.397129,0.000000,0.000000,0.000000,events/second
1585418563,182,0.394571,0.000000,0.000000,0.000000,events/second
1585418566,184,0.396303,0.000000,0.000000,0.000000,events/second
1585418569,184,0.393764,0.000000,0.000000,0.000000,events/second
1585418572,184,0.391249,0.000000,0.000000,0.000000,events/second
1585418575,184,0.388785,0.000000,0.000000,0.000000,events/second
1585418578,184,0.386321,0.000000,0.000000,0.000000,events/second
1585418581,184,0.383902,0.000000,0.000000,0.000000,events/second
1585418584,186,0.385615,0.000000,0.000000,0.000000,events/second
1585418587,186,0.383231,0.000000,0.000000,0.000000,events/second
1585418590,186,0.380933,0.000000,0.000000,0.000000,events/second
1585418593,186,0.378596,0.000000,0.000000,0.000000,events/second
1585418596,186,0.376297,0.000000,0.000000,0.000000,events/second
1585418599,186,0.374023,0.000000,0.000000,0.000000,events/second
1585418602,186,0.371784,0.000000,0.000000,0.000000,events/second
1585418605,189,0.375537,0.000000,0.000000,0.000000,events/second
1585418608,189,0.373305,0.000000,0.000000,0.000000,events/second
1585418611,189,0.371116,0.000000,0.000000,0.000000,events/second
1585418614,189,0.368946,0.000000,0.000000,0.000000,events/second
1585418617,189,0.366783,0.000000,0.000000,0.000000,events/second
1585418620,189,0.364662,0.000000,0.000000,0.000000,events/second
1585418623,189,0.362561,0.000000,0.000000,0.000000,events/second
1585418626,191,0.364323,0.000000,0.000000,0.000000,events/second
1585418629,191,0.362240,0.000000,0.000000,0.000000,events/second
1585418632,191,0.360177,0.000000,0.000000,0.000000,events/second
1585418635,191,0.358152,0.000000,0.000000,0.000000,events/second
1585418638,191,0.356157,0.000000,0.000000,0.000000,events/second
1585418641,191,0.354186,0.000000,0.000000,0.000000,events/second
1585418644,193,0.355882,0.000000,0.000000,0.000000,events/second
1585418647,193,0.353941,0.000000,0.000000,0.000000,events/second
