t,value
1585418128,-1
1585418131,-1
1585418134,-1
1585418137,-1
1585418140,-1
1585418143,-1
1585418146,-1
1585418149,-1
1585418152,-1
1585418155,-1
1585418158,-1
1585418161,-1
1585418164,-1
1585418167,-1
1585418170,-1
1585418173,-1
1585418176,-1
1585418179,-1
1585418182,-1
1585418185,-1
1585418188,-1
1585418191,-1
1585418194,-1
1585418197,-1
1585418200,-1
1585418203,-1
1585418206,-1
1585418209,-1
1585418212,-1
1585418215,-1
1585418218,-1
1585418221,-1
1585418224,-1
1585418227,-1
1585418230,-1
1585418233,-1
1585418236,-1
1585418239,-1
1585418242,-1
1585418245,-1
1585418248,-1
1585418251,-1
1585418254,-1
1585418257,-1
1585418260,-1
1585418263,-1
1585418266,-1
1585418269,-1
1585418272,-1
1585418275,-1
1585418278,-1
1585418281,-1
1585418284,-1
1585418287,-1
1585418290,-1
1585418293,-1
1585418296,-1
1585418299,-1
1585418302,-1
1585418305,-1
1585418308,-1
1585418311,-1
1585418314,-1
1585418317,-1
1585418320,-1
1585418323,-1
1585418326,-1
1585418329,-1
1585418332,-1
1585418335,-1
1585418338,-1
1585418341,-1
1585418344,-1
1585418347,-1
1585418350,-1
1585418353,-1
1585418356,-1
1585418359,-1
1585418362,-1
1585418365,-1
1585418368,-1
1585418371,-1
1585418374,-1
1585418377,-1
1585418380,-1
1585418383,-1
1585418386,-1
1585418389,-1
1585418392,-1
1585418395,-1
1585418398,-1
1585418401,-1
1585418404,-1
1585418407,-1
1585418410,-1
1585418413,-1
1585418416,-1
1585418419,-1
1585418422,-1
1585418425,-1
1585418428,-1
1585418431,-1
1585418434,-1
1585418437,-1
1585418440,-1
1585418443,-1
1585418446,-1
1585418449,-1
1585418452,-1
1585418455,-1
1585418458,-1
1585418461,-1
1585418464,-1
1585418467,-1
1585418470,-1
1585418473,-1
1585418476,-1
1585418479,-1
1585418482,-1
1585418485,-1
1585418488,-1
1585418491,-1
1585418494,-1
1585418497,-1
1585418500,-1
1585418503,-1
1585418506,-1
1585418509,-1
1585418512,-1
1585418515,-1
1585418518,-1
1585418521,-1
1585418524,-1
1585418527,-1
1585418530,-1
1585418533,-1
1585418536,-1
1585418539,-1
1585418542,-1
1585418545,-1
1585418548,-1
1585418551,-1
1585418554,-1
1585418557,-1
1585418560,-1
1585418563,-1
1585418566,-1
1585418569,-1
1585418572,-1
1585418575,-1
1585418578,-1
1585418581,-1
1585418584,-1
1585418587,-1
1585418590,-1
1585418593,-1
1585418596,-1
1585418599,-1
1585418602,-1
1585418605,-1
1585418608,-1
1585418611,-1
1585418614,-1
1585418617,-1
1585418620,-1
1585418623,-1
1585418626,-1
1585418629,-1
1585418632,-1
1585418635,-1
1585418638,-1
1585418641,-1
1585418644,-1
1585418647,-1
1585418650,-1
1585418653,-1
1585418656,-1
1585418659,-1
1585418662,-1
1585418665,-1
1585418668,-1
1585418671,-1
1585418674,-1
1585418677,-1
1585418680,-1
1585418683,-1
1585418686,-1
1585418689,-1
1585418692,-1
1585418695,-1
1585418698,-1
1585418701,-1
1585418704,-1
1585418707,-1
1585418710,-1
1585418713,-1
1585418716,-1
1585418719,-1
1585418722,-1
1585418725,-1
1585418728,-1
1585418731,-1
1585418734,-1
1585418737,-1
1585418740,-1
1585418743,-1
1585418746,-1
1585418749,-1
1585418752,-1
1585418755,-1
1585418758,-1
1585418761,-1
1585418764,-1
1585418767,-1
1585418770,-1
1585418773,-1
1585418776,-1
1585418779,-1
1585418782,-1
1585418785,-1
1585418788,-1
1585418791,-1
1585418794,-1
