t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,13,4.015746,0.000000,0.000000,0.000000,events/second
1585418131,13,2.125410,0.000000,0.000000,0.000000,events/second
1585418134,13,1.444710,0.000000,0.000000,0.000000,events/second
1585418137,13,1.081555,0.000000,0.000000,0.000000,events/second
1585418140,13,0.867738,0.000000,0.000000,0.000000,events/second
1585418143,13,0.721981,0.000000,0.000000,0.000000,events/second
1585418146,14,0.667072,0.000000,0.000000,0.000000,events/second
1585418149,14,0.580601,0.000000,0.000000,0.000000,events/second
1585418152,14,0.518413,0.000000,0.000000,0.000000,events/second
1585418155,14,0.466627,0.000000,0.000000,0.000000,events/second
1585418158,14,0.424323,0.000000,0.000000,0.000000,events/second
1585418161,14,0.389006,0.000000,0.000000,0.000000,events/second
1585418164,14,0.359165,0.000000,0.000000,0.000000,events/second
1585418167,14,0.333242,0.000000,0.000000,0.000000,events/second
1585418170,14,0.311031,0.000000,0.000000,0.000000,events/second
1585418173,14,0.291487,0.000000,0.000000,0.000000,events/second
1585418176,14,0.274474,0.000000,0.000000,0.000000,events/second
1585418179,14,0.259246,0.000000,0.000000,0.000000,events/second
1585418182,14,0.245590,0.000000,0.000000,0.000000,events/second
1585418185,14,0.233311,0.000000,0.000000,0.000000,events/second
1585418188,14,0.222200,0.000000,0.000000,0.000000,events/second
1585418191,14,0.212107,0.000000,0.000000,0.000000,events/second
1585418194,14,0.202874,0.000000,0.000000,0.000000,events/second
1585418197,14,0.194444,0.000000,0.000000,0.000000,events/second
1585418200,14,0.186708,0.000000,0.000000,0.000000,events/second
1585418203,14,0.179271,0.000000,0.000000,0.000000,events/second
1585418206,14,0.172641,0.000000,0.000000,0.000000,events/second
1585418209,14,0.166569,0.000000,0.000000,0.000000,events/second
1585418212,14,0.160913,0.000000,0.000000,0.000000,events/second
1585418215,14,0.155539,0.000000,0.000000,0.000000,events/second
1585418218,14,0.150517,0.000000,0.000000,0.000000,events/second
1585418221,14,0.145826,0.000000,0.000000,0.000000,events/second
1585418224,14,0.141438,0.000000,0.000000,0.000000,events/second
1585418227,14,0.137256,0.000000,0.000000,0.000000,events/second
1585418230,14,0.133353,0.000000,0.000000,0.000000,events/second
1585418233,14,0.129507,0.000000,0.000000,0.000000,events/second
1585418236,14,0.126030,0.000000,0.000000,0.000000,events/second
1585418239,14,0.122415,0.000000,0.000000,0.000000,events/second
1585418242,14,0.119668,0.000000,0.000000,0.000000,events/second
1585418245,14,0.116600,0.000000,0.000000,0.000000,events/second
1585418248,14,0.113815,0.000000,0.000000,0.000000,events/second
1585418251,14,0.111107,0.000000,0.000000,0.000000,events/second
1585418254,14,0.108519,0.000000,0.000000,0.000000,events/second
1585418257,14,0.106058,0.000000,0.000000,0.000000,events/second
1585418260,14,0.103692,0.000000,0.000000,0.000000,events/second
1585418263,14,0.101449,0.000000,0.000000,0.000000,events/second
1585418266,14,0.099290,0.000000,0.000000,0.000000,events/second
1585418269,14,0.097221,0.000000,0.000000,0.000000,events/second
1585418272,14,0.095232,0.000000,0.000000,0.000000,events/second
1585418275,14,0.093333,0.000000,0.000000,0.000000,events/second
1585418278,14,0.091495,0.000000,0.000000,0.000000,events/second
1585418281,14,0.089760,0.000000,0.000000,0.000000,events/second
1585418284,14,0.087960,0.000000,0.000000,0.000000,events/second
1585418287,14,0.086417,0.000000,0.000000,0.000000,events/second
1585418290,14,0.084849,0.000000,0.000000,0.000000,events/second
1585418293,14,0.083333,0.000000,0.000000,0.000000,events/second
1585418296,14,0.081864,0.000000,0.000000,0.000000,events/second
1585418299,14,0.080458,0.000000,0.000000,0.000000,events/second
1585418302,14,0.079095,0.000000,0.000000,0.000000,events/second
1585418305,14,0.077777,0.000000,0.000000,0.000000,events/second
1585418308,14,0.076503,0.000000,0.000000,0.000000,events/second
1585418311,14,0.075269,0.000000,0.000000,0.000000,events/second
1585418314,14,0.074064,0.000000,0.000000,0.000000,events/second
1585418317,14,0.072915,0.000000,0.000000,0.000000,events/second
1585418320,14,0.071793,0.000000,0.000000,0.000000,events/second
1585418323,14,0.070717,0.000000,0.000000,0.000000,events/second
1585418326,14,0.069651,0.000000,0.000000,0.000000,events/second
1585418329,14,0.068626,0.000000,0.000000,0.000000,events/second
1585418332,14,0.067633,0.000000,0.000000,0.000000,events/second
1585418335,14,0.066667,0.000000,0.000000,0.000000,events/second
1585418338,14,0.065727,0.000000,0.000000,0.000000,events/second
1585418341,14,0.064810,0.000000,0.000000,0.000000,events/second
1585418344,14,0.063934,0.000000,0.000000,0.000000,events/second
1585418347,14,0.063063,0.000000,0.000000,0.000000,events/second
1585418350,14,0.062221,0.000000,0.000000,0.000000,events/second
1585418353,14,0.061403,0.000000,0.000000,0.000000,events/second
1585418356,14,0.060605,0.000000,0.000000,0.000000,events/second
1585418359,14,0.059828,0.000000,0.000000,0.000000,events/second
1585418362,14,0.059071,0.000000,0.000000,0.000000,events/second
1585418365,14,0.058333,0.000000,0.000000,0.000000,events/second
1585418368,14,0.057613,0.000000,0.000000,0.000000,events/second
1585418371,14,0.056910,0.000000,0.000000,0.000000,events/second
1585418374,14,0.056214,0.000000,0.000000,0.000000,events/second
1585418377,14,0.055548,0.000000,0.000000,0.000000,events/second
1585418380,14,0.054902,0.000000,0.000000,0.000000,events/second
1585418383,15,0.058145,0.000000,0.000000,0.000000,events/second
1585418386,15,0.057471,0.000000,0.000000,0.000000,events/second
1585418389,15,0.056815,0.000000,0.000000,0.000000,events/second
1585418392,15,0.056179,0.000000,0.000000,0.000000,events/second
1585418395,15,0.055555,0.000000,0.000000,0.000000,events/second
1585418398,15,0.054942,0.000000,0.000000,0.000000,events/second
1585418401,15,0.054343,0.000000,0.000000,0.000000,events/second
1585418404,15,0.053767,0.000000,0.000000,0.000000,events/second
1585418407,15,0.053191,0.000000,0.000000,0.000000,events/second
1585418410,15,0.052630,0.000000,0.000000,0.000000,events/second
1585418413,15,0.052083,0.000000,0.000000,0.000000,events/second
1585418416,15,0.051546,0.000000,0.000000,0.000000,events/second
1585418419,15,0.051019,0.000000,0.000000,0.000000,events/second
1585418422,15,0.050505,0.000000,0.000000,0.000000,events/second
1585418425,15,0.050000,0.000000,0.000000,0.000000,events/second
1585418428,15,0.049505,0.000000,0.000000,0.000000,events/second
1585418431,15,0.049019,0.000000,0.000000,0.000000,events/second
1585418434,15,0.048543,0.000000,0.000000,0.000000,events/second
1585418437,15,0.048077,0.000000,0.000000,0.000000,events/second
1585418440,15,0.047619,0.000000,0.000000,0.000000,events/second
1585418443,15,0.047174,0.000000,0.000000,0.000000,events/second
1585418446,15,0.046729,0.000000,0.000000,0.000000,events/second
1585418449,15,0.046296,0.000000,0.000000,0.000000,events/second
1585418452,15,0.045871,0.000000,0.000000,0.000000,events/second
1585418455,15,0.045454,0.000000,0.000000,0.000000,events/second
1585418458,15,0.045045,0.000000,0.000000,0.000000,events/second
1585418461,15,0.044643,0.000000,0.000000,0.000000,events/second
1585418464,15,0.044249,0.000000,0.000000,0.000000,events/second
1585418467,15,0.043857,0.000000,0.000000,0.000000,events/second
1585418470,15,0.043478,0.000000,0.000000,0.000000,events/second
1585418473,15,0.043103,0.000000,0.000000,0.000000,events/second
1585418476,15,0.042735,0.000000,0.000000,0.000000,events/second
1585418479,15,0.042373,0.000000,0.000000,0.000000,events/second
1585418482,15,0.042017,0.000000,0.000000,0.000000,events/second
1585418485,15,0.041666,0.000000,0.000000,0.000000,events/second
1585418488,15,0.041322,0.000000,0.000000,0.000000,events/second
1585418491,15,0.040984,0.000000,0.000000,0.000000,events/second
1585418494,15,0.040650,0.000000,0.000000,0.000000,events/second
1585418497,15,0.040323,0.000000,0.000000,0.000000,events/second
1585418500,15,0.040000,0.000000,0.000000,0.000000,events/second
1585418503,15,0.039684,0.000000,0.000000,0.000000,events/second
1585418506,15,0.039370,0.000000,0.000000,0.000000,events/second
1585418509,15,0.039064,0.000000,0.000000,0.000000,events/second
1585418512,15,0.038722,0.000000,0.000000,0.000000,events/second
1585418515,15,0.038461,0.000000,0.000000,0.000000,events/second
1585418518,15,0.038168,0.000000,0.000000,0.000000,events/second
1585418521,15,0.037879,0.000000,0.000000,0.000000,events/second
1585418524,15,0.037596,0.000000,0.000000,0.000000,events/second
1585418527,15,0.037313,0.000000,0.000000,0.000000,events/second
1585418530,15,0.037037,0.000000,0.000000,0.000000,events/second
1585418533,15,0.036765,0.000000,0.000000,0.000000,events/second
1585418536,15,0.036496,0.000000,0.000000,0.000000,events/second
1585418539,15,0.036234,0.000000,0.000000,0.000000,events/second
1585418542,15,0.035971,0.000000,0.000000,0.000000,events/second
1585418545,15,0.035714,0.000000,0.000000,0.000000,events/second
1585418548,15,0.035461,0.000000,0.000000,0.000000,events/second
1585418551,15,0.035211,0.000000,0.000000,0.000000,events/second
1585418554,15,0.034965,0.000000,0.000000,0.000000,events/second
1585418557,15,0.034722,0.000000,0.000000,0.000000,events/second
1585418560,15,0.034483,0.000000,0.000000,0.000000,events/second
1585418563,15,0.034249,0.000000,0.000000,0.000000,events/second
1585418566,15,0.034013,0.000000,0.000000,0.000000,events/second
1585418569,15,0.033784,0.000000,0.000000,0.000000,events/second
1585418572,15,0.033557,0.000000,0.000000,0.000000,events/second
1585418575,15,0.033335,0.000000,0.000000,0.000000,events/second
1585418578,15,0.033113,0.000000,0.000000,0.000000,events/second
1585418581,15,0.032895,0.000000,0.000000,0.000000,events/second
1585418584,15,0.032676,0.000000,0.000000,0.000000,events/second
1585418587,15,0.032463,0.000000,0.000000,0.000000,events/second
1585418590,15,0.032259,0.000000,0.000000,0.000000,events/second
1585418593,15,0.032051,0.000000,0.000000,0.000000,events/second
1585418596,15,0.031847,0.000000,0.000000,0.000000,events/second
1585418599,15,0.031645,0.000000,0.000000,0.000000,events/second
1585418602,15,0.031446,0.000000,0.000000,0.000000,events/second
1585418605,15,0.031251,0.000000,0.000000,0.000000,events/second
1585418608,15,0.031056,0.000000,0.000000,0.000000,events/second
1585418611,15,0.030865,0.000000,0.000000,0.000000,events/second
1585418614,15,0.030676,0.000000,0.000000,0.000000,events/second
1585418617,15,0.030488,0.000000,0.000000,0.000000,events/second
1585418620,15,0.030303,0.000000,0.000000,0.000000,events/second
1585418623,15,0.030120,0.000000,0.000000,0.000000,events/second
1585418626,15,0.029942,0.000000,0.000000,0.000000,events/second
1585418629,15,0.029763,0.000000,0.000000,0.000000,events/second
1585418632,15,0.029585,0.000000,0.000000,0.000000,events/second
1585418635,15,0.029411,0.000000,0.000000,0.000000,events/second
1585418638,15,0.029240,0.000000,0.000000,0.000000,events/second
1585418641,15,0.029071,0.000000,0.000000,0.000000,events/second
1585418644,16,0.030827,0.000000,0.000000,0.000000,events/second
