t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1585418128,258,79.594685,0.000000,0.000000,0.000000,events/second
1585418131,258,42.166082,0.000000,0.000000,0.000000,events/second
1585418134,258,28.668071,0.000000,0.000000,0.000000,events/second
1585418137,258,21.460662,0.000000,0.000000,0.000000,events/second
1585418140,258,17.220133,0.000000,0.000000,0.000000,events/second
1585418143,258,14.327563,0.000000,0.000000,0.000000,events/second
1585418146,293,13.960190,0.000000,0.000000,0.000000,events/second
1585418149,293,12.150367,0.000000,0.000000,0.000000,events/second
1585418152,293,10.849288,0.000000,0.000000,0.000000,events/second
1585418155,293,9.765557,0.000000,0.000000,0.000000,events/second
1585418158,293,8.880221,0.000000,0.000000,0.000000,events/second
1585418161,293,8.141115,0.000000,0.000000,0.000000,events/second
1585418164,293,7.516648,0.000000,0.000000,0.000000,events/second
1585418167,293,6.974143,0.000000,0.000000,0.000000,events/second
1585418170,293,6.509286,0.000000,0.000000,0.000000,events/second
1585418173,293,6.100286,0.000000,0.000000,0.000000,events/second
1585418176,293,5.744233,0.000000,0.000000,0.000000,events/second
1585418179,293,5.425552,0.000000,0.000000,0.000000,events/second
1585418182,293,5.139775,0.000000,0.000000,0.000000,events/second
1585418185,293,4.882773,0.000000,0.000000,0.000000,events/second
1585418188,293,4.650273,0.000000,0.000000,0.000000,events/second
1585418191,293,4.439033,0.000000,0.000000,0.000000,events/second
1585418194,293,4.245813,0.000000,0.000000,0.000000,events/second
1585418197,293,4.069396,0.000000,0.000000,0.000000,events/second
1585418200,293,3.907483,0.000000,0.000000,0.000000,events/second
1585418203,293,3.751802,0.000000,0.000000,0.000000,events/second
1585418206,293,3.613030,0.000000,0.000000,0.000000,events/second
1585418209,293,3.486008,0.000000,0.000000,0.000000,events/second
1585418212,293,3.367651,0.000000,0.000000,0.000000,events/second
1585418215,293,3.255169,0.000000,0.000000,0.000000,events/second
1585418218,293,3.150062,0.000000,0.000000,0.000000,events/second
1585418221,293,3.051907,0.000000,0.000000,0.000000,events/second
1585418224,293,2.960068,0.000000,0.000000,0.000000,events/second
1585418227,293,2.872551,0.000000,0.000000,0.000000,events/second
1585418230,293,2.790849,0.000000,0.000000,0.000000,events/second
1585418233,293,2.710306,0.000000,0.000000,0.000000,events/second
1585418236,293,2.637605,0.000000,0.000000,0.000000,events/second
1585418239,293,2.561946,0.000000,0.000000,0.000000,events/second
1585418242,293,2.504461,0.000000,0.000000,0.000000,events/second
1585418245,293,2.440251,0.000000,0.000000,0.000000,events/second
1585418248,293,2.381960,0.000000,0.000000,0.000000,events/second
1585418251,293,2.325290,0.000000,0.000000,0.000000,events/second
1585418254,293,2.271142,0.000000,0.000000,0.000000,events/second
1585418257,293,2.219628,0.000000,0.000000,0.000000,events/second
1585418260,293,2.170114,0.000000,0.000000,0.000000,events/second
1585418263,293,2.123163,0.000000,0.000000,0.000000,events/second
1585418266,293,2.077986,0.000000,0.000000,0.000000,events/second
1585418269,293,2.034677,0.000000,0.000000,0.000000,events/second
1585418272,293,1.993050,0.000000,0.000000,0.000000,events/second
1585418275,293,1.953317,0.000000,0.000000,0.000000,events/second
1585418278,293,1.914841,0.000000,0.000000,0.000000,events/second
1585418281,293,1.878528,0.000000,0.000000,0.000000,events/second
1585418284,293,1.840866,0.000000,0.000000,0.000000,events/second
1585418287,293,1.808575,0.000000,0.000000,0.000000,events/second
1585418290,293,1.775769,0.000000,0.000000,0.000000,events/second
1585418293,293,1.744030,0.000000,0.000000,0.000000,events/second
1585418296,293,1.713289,0.000000,0.000000,0.000000,events/second
1585418299,293,1.683805,0.000000,0.000000,0.000000,events/second
1585418302,293,1.655334,0.000000,0.000000,0.000000,events/second
1585418305,293,1.627749,0.000000,0.000000,0.000000,events/second
1585418308,293,1.601086,0.000000,0.000000,0.000000,events/second
1585418311,293,1.575263,0.000000,0.000000,0.000000,events/second
1585418314,293,1.550038,0.000000,0.000000,0.000000,events/second
1585418317,293,1.525991,0.000000,0.000000,0.000000,events/second
1585418320,293,1.502521,0.000000,0.000000,0.000000,events/second
1585418323,293,1.480005,0.000000,0.000000,0.000000,events/second
1585418326,293,1.457696,0.000000,0.000000,0.000000,events/second
1585418329,293,1.436231,0.000000,0.000000,0.000000,events/second
1585418332,293,1.415453,0.000000,0.000000,0.000000,events/second
1585418335,293,1.395233,0.000000,0.000000,0.000000,events/second
1585418338,293,1.375570,0.000000,0.000000,0.000000,events/second
1585418341,293,1.356374,0.000000,0.000000,0.000000,events/second
1585418344,293,1.338047,0.000000,0.000000,0.000000,events/second
1585418347,293,1.319804,0.000000,0.000000,0.000000,events/second
1585418350,293,1.302182,0.000000,0.000000,0.000000,events/second
1585418353,293,1.285082,0.000000,0.000000,0.000000,events/second
1585418356,293,1.268381,0.000000,0.000000,0.000000,events/second
1585418359,293,1.252110,0.000000,0.000000,0.000000,events/second
