t,value
1585418128,536870912
1585418131,536870912
1585418134,536870912
1585418137,536870912
1585418140,536870912
1585418143,536870912
1585418146,536870912
1585418149,536870912
1585418152,536870912
1585418155,536870912
1585418158,536870912
1585418161,536870912
1585418164,536870912
1585418167,536870912
1585418170,536870912
1585418173,536870912
1585418176,536870912
1585418179,536870912
1585418182,536870912
1585418185,536870912
1585418188,536870912
1585418191,536870912
1585418194,536870912
1585418197,536870912
1585418200,536870912
1585418203,536870912
1585418206,536870912
1585418209,536870912
1585418212,536870912
1585418215,536870912
1585418218,536870912
1585418221,536870912
1585418224,536870912
1585418227,536870912
1585418230,536870912
1585418233,536870912
1585418236,536870912
1585418239,536870912
1585418242,536870912
1585418245,536870912
1585418248,536870912
1585418251,536870912
1585418254,536870912
1585418257,536870912
1585418260,536870912
1585418263,536870912
1585418266,536870912
1585418269,536870912
1585418272,536870912
1585418275,536870912
1585418278,536870912
1585418281,536870912
1585418284,536870912
1585418287,536870912
1585418290,536870912
1585418293,536870912
1585418296,536870912
1585418299,536870912
1585418302,536870912
1585418305,536870912
1585418308,536870912
1585418311,536870912
1585418314,536870912
1585418317,536870912
1585418320,536870912
1585418323,536870912
1585418326,536870912
1585418329,536870912
1585418332,536870912
1585418335,536870912
1585418338,536870912
1585418341,536870912
1585418344,536870912
1585418347,536870912
1585418350,536870912
1585418353,536870912
1585418356,536870912
1585418359,536870912
1585418362,536870912
1585418365,536870912
1585418368,536870912
1585418371,536870912
1585418374,536870912
1585418377,536870912
1585418380,536870912
1585418383,536870912
1585418386,536870912
1585418389,536870912
1585418392,536870912
1585418395,536870912
1585418398,536870912
1585418401,536870912
1585418404,536870912
1585418407,536870912
1585418410,536870912
1585418413,536870912
1585418416,536870912
1585418419,536870912
1585418422,536870912
1585418425,536870912
1585418428,536870912
1585418431,536870912
1585418434,536870912
1585418437,536870912
1585418440,536870912
1585418443,536870912
1585418446,536870912
1585418449,536870912
1585418452,536870912
1585418455,536870912
1585418458,536870912
1585418461,536870912
1585418464,536870912
1585418467,536870912
1585418470,536870912
1585418473,536870912
1585418476,536870912
1585418479,536870912
1585418482,536870912
1585418485,536870912
1585418488,536870912
1585418491,536870912
1585418494,536870912
1585418497,536870912
1585418500,536870912
1585418503,536870912
1585418506,536870912
1585418509,536870912
1585418512,536870912
1585418515,536870912
1585418518,536870912
1585418521,536870912
1585418524,536870912
1585418527,536870912
1585418530,536870912
1585418533,536870912
1585418536,536870912
1585418539,536870912
1585418542,536870912
1585418545,536870912
1585418548,536870912
1585418551,536870912
1585418554,536870912
1585418557,536870912
1585418560,536870912
1585418563,536870912
1585418566,536870912
1585418569,536870912
1585418572,536870912
1585418575,536870912
1585418578,536870912
1585418581,536870912
1585418584,536870912
1585418587,536870912
1585418590,536870912
1585418593,536870912
1585418596,536870912
1585418599,536870912
1585418602,536870912
1585418605,536870912
1585418608,536870912
1585418611,536870912
1585418614,536870912
1585418617,536870912
1585418620,536870912
1585418623,536870912
1585418626,536870912
1585418629,536870912
1585418632,536870912
1585418635,536870912
1585418638,536870912
1585418641,536870912
1585418644,536870912
1585418647,536870912
1585418650,536870912
1585418653,536870912
1585418656,536870912
1585418659,536870912
1585418662,536870912
1585418665,536870912
1585418668,536870912
1585418671,536870912
1585418674,536870912
1585418677,536870912
1585418680,536870912
1585418683,536870912
1585418686,536870912
1585418689,536870912
1585418692,536870912
1585418695,536870912
1585418698,536870912
1585418701,536870912
1585418704,536870912
1585418707,536870912
1585418710,536870912
1585418713,536870912
1585418716,536870912
1585418719,536870912
1585418722,536870912
1585418725,536870912
1585418728,536870912
1585418731,536870912
1585418734,536870912
1585418737,536870912
1585418740,536870912
1585418743,536870912
1585418746,536870912
1585418749,536870912
1585418752,536870912
1585418755,536870912
1585418758,536870912
1585418761,536870912
1585418764,536870912
1585418767,536870912
1585418770,536870912
1585418773,536870912
1585418776,536870912
1585418779,536870912
1585418782,536870912
1585418785,536870912
1585418788,536870912
1585418791,536870912
1585418794,536870912
1585418797,536870912
1585418800,536870912
1585418803,536870912
1585418806,536870912
1585418809,536870912
1585418812,536870912
1585418815,536870912
1585418818,536870912
1585418821,536870912
1585418824,536870912
1585418827,536870912
1585418830,536870912
1585418833,536870912
1585418836,536870912
1585418839,536870912
1585418842,536870912
1585418845,536870912
1585418848,536870912
1585418851,536870912
1585418854,536870912
1585418857,536870912
1585418860,536870912
1585418863,536870912
1585418866,536870912
1585418869,536870912
1585418872,536870912
1585418875,536870912
1585418878,536870912
1585418881,536870912
1585418884,536870912
1585418887,536870912
1585418890,536870912
1585418893,536870912
1585418896,536870912
1585418899,536870912
1585418902,536870912
1585418905,536870912
1585418908,536870912
1585418911,536870912
1585418914,536870912
1585418917,536870912
1585418920,536870912
1585418923,536870912
1585418926,536870912
1585418929,536870912
1585418932,536870912
1585418935,536870912
1585418938,536870912
1585418941,536870912
1585418944,536870912
1585418947,536870912
1585418950,536870912
1585418953,536870912
1585418956,536870912
1585418959,536870912
1585418962,536870912
1585418965,536870912
1585418968,536870912
1585418971,536870912
1585418974,536870912
1585418977,536870912
1585418980,536870912
1585418983,536870912
1585418986,536870912
1585418989,536870912
1585418992,536870912
1585418995,536870912
1585418998,536870912
1585419001,536870912
1585419004,536870912
1585419007,536870912
1585419010,536870912
1585419013,536870912
1585419016,536870912
1585419019,536870912
1585419022,536870912
1585419025,536870912
1585419028,536870912
1585419031,536870912
1585419034,536870912
1585419037,536870912
1585419040,536870912
1585419043,536870912
1585419046,536870912
1585419049,536870912
1585419052,536870912
1585419055,536870912
1585419058,536870912
1585419061,536870912
1585419064,536870912
1585419067,536870912
1585419070,536870912
1585419073,536870912
1585419076,536870912
1585419079,536870912
1585419082,536870912
1585419085,536870912
1585419088,536870912
1585419091,536870912
1585419094,536870912
1585419097,536870912
1585419100,536870912
1585419103,536870912
1585419106,536870912
1585419109,536870912
1585419112,536870912
1585419115,536870912
1585419118,536870912
1585419121,536870912
1585419124,536870912
1585419127,536870912
1585419130,536870912
1585419133,536870912
1585419136,536870912
1585419139,536870912
1585419142,536870912
1585419145,536870912
1585419148,536870912
1585419151,536870912
1585419154,536870912
1585419157,536870912
1585419160,536870912
1585419163,536870912
1585419166,536870912
1585419169,536870912
1585419172,536870912
1585419175,536870912
1585419178,536870912
1585419181,536870912
1585419184,536870912
1585419187,536870912
1585419190,536870912
1585419193,536870912
1585419196,536870912
1585419199,536870912
1585419202,536870912
1585419205,536870912
1585419208,536870912
1585419211,536870912
1585419214,536870912
1585419217,536870912
1585419220,536870912
1585419223,536870912
1585419226,536870912
1585419229,536870912
1585419232,536870912
1585419235,536870912
1585419238,536870912
1585419241,536870912
1585419244,536870912
1585419247,536870912
1585419250,536870912
1585419253,536870912
1585419256,536870912
1585419259,536870912
1585419262,536870912
1585419265,536870912
1585419268,536870912
1585419271,536870912
1585419274,536870912
1585419277,536870912
1585419280,536870912
1585419283,536870912
1585419286,536870912
1585419289,536870912
1585419292,536870912
1585419295,536870912
1585419298,536870912
1585419301,536870912
1585419304,536870912
1585419307,536870912
1585419310,536870912
1585419313,536870912
1585419316,536870912
1585419319,536870912
1585419322,536870912
1585419325,536870912
1585419328,536870912
1585419331,536870912
1585419334,536870912
1585419337,536870912
1585419340,536870912
1585419343,536870912
1585419346,536870912
1585419349,536870912
1585419352,536870912
1585419355,536870912
1585419358,536870912
1585419361,536870912
1585419364,536870912
1585419367,536870912
1585419370,536870912
1585419373,536870912
1585419376,536870912
1585419379,536870912
1585419382,536870912
1585419385,536870912
1585419388,536870912
1585419391,536870912
1585419394,536870912
1585419397,536870912
1585419400,536870912
1585419403,536870912
1585419406,536870912
1585419409,536870912
1585419412,536870912
1585419415,536870912
1585419418,536870912
1585419421,536870912
1585419424,536870912
1585419427,536870912
1585419430,536870912
1585419433,536870912
1585419436,536870912
1585419439,536870912
1585419442,536870912
1585419445,536870912
1585419448,536870912
1585419451,536870912
1585419454,536870912
1585419457,536870912
1585419460,536870912
1585419463,536870912
1585419466,536870912
1585419469,536870912
1585419472,536870912
1585419475,536870912
1585419478,536870912
1585419481,536870912
1585419484,536870912
1585419487,536870912
1585419490,536870912
1585419493,536870912
1585419496,536870912
1585419499,536870912
1585419502,536870912
1585419505,536870912
1585419508,536870912
1585419511,536870912
1585419514,536870912
1585419517,536870912
1585419520,536870912
1585419523,536870912
1585419526,536870912
1585419529,536870912
1585419532,536870912
1585419535,536870912
1585419538,536870912
1585419541,536870912
1585419544,536870912
1585419547,536870912
1585419550,536870912
1585419553,536870912
1585419556,536870912
1585419559,536870912
1585419562,536870912
1585419565,536870912
1585419568,536870912
1585419571,536870912
1585419574,536870912
1585419577,536870912
1585419580,536870912
1585419583,536870912
1585419586,536870912
1585419589,536870912
1585419592,536870912
1585419595,536870912
1585419598,536870912
1585419601,536870912
1585419604,536870912
1585419607,536870912
1585419610,536870912
1585419613,536870912
1585419616,536870912
1585419619,536870912
1585419622,536870912
1585419625,536870912
1585419628,536870912
1585419631,536870912
1585419634,536870912
1585419637,536870912
1585419640,536870912
1585419643,536870912
1585419646,536870912
1585419649,536870912
1585419652,536870912
1585419655,536870912
1585419658,536870912
1585419661,536870912
1585419664,536870912
1585419667,536870912
1585419670,536870912
1585419673,536870912
1585419676,536870912
1585419679,536870912
1585419682,536870912
1585419685,536870912
1585419688,536870912
1585419691,536870912
1585419694,536870912
1585419697,536870912
1585419700,536870912
1585419703,536870912
1585419706,536870912
1585419709,536870912
1585419712,536870912
1585419715,536870912
1585419718,536870912
1585419721,536870912
1585419724,536870912
1585419727,536870912
1585419730,536870912
1585419733,536870912
1585419736,536870912
1585419739,536870912
1585419742,536870912
1585419745,536870912
1585419748,536870912
1585419751,536870912
1585419754,536870912
1585419757,536870912
1585419760,536870912
1585419763,536870912
1585419766,536870912
1585419769,536870912
1585419772,536870912
1585419775,536870912
1585419778,536870912
1585419781,536870912
1585419784,536870912
1585419787,536870912
1585419790,536870912
1585419793,536870912
1585419796,536870912
1585419799,536870912
1585419802,536870912
1585419805,536870912
1585419808,536870912
1585419811,536870912
1585419814,536870912
1585419817,536870912
1585419820,536870912
1585419823,536870912
1585419826,536870912
1585419829,536870912
1585419832,536870912
1585419835,536870912
1585419838,536870912
1585419841,536870912
1585419844,536870912
1585419847,536870912
1585419850,536870912
1585419853,536870912
1585419856,536870912
1585419859,536870912
1585419862,536870912
1585419865,536870912
1585419868,536870912
1585419871,536870912
1585419874,536870912
1585419877,536870912
1585419880,536870912
1585419883,536870912
1585419886,536870912
1585419889,536870912
1585419892,536870912
1585419895,536870912
1585419898,536870912
1585419901,536870912
1585419904,536870912
1585419907,536870912
1585419910,536870912
1585419913,536870912
1585419916,536870912
1585419919,536870912
1585419922,536870912
1585419925,536870912
1585419928,536870912
1585419931,536870912
1585419934,536870912
1585419937,536870912
1585419940,536870912
1585419943,536870912
1585419946,536870912
1585419949,536870912
1585419952,536870912
1585419955,536870912
1585419958,536870912
1585419961,536870912
1585419964,536870912
1585419967,536870912
1585419970,536870912
1585419973,536870912
1585419976,536870912
1585419979,536870912
1585419982,536870912
1585419985,536870912
1585419988,536870912
1585419991,536870912
1585419994,536870912
1585419997,536870912
1585420000,536870912
1585420003,536870912
1585420006,536870912
1585420009,536870912
1585420012,536870912
1585420015,536870912
1585420018,536870912
1585420021,536870912
1585420024,536870912
1585420027,536870912
1585420030,536870912
1585420033,536870912
1585420036,536870912
1585420039,536870912
1585420042,536870912
1585420045,536870912
