t,value
1585418128,1073741824
1585418131,1073741824
1585418134,1073741824
1585418137,1073741824
1585418140,1073741824
1585418143,1073741824
1585418146,1073741824
1585418149,1073741824
1585418152,1073741824
1585418155,1073741824
1585418158,1073741824
1585418161,1073741824
1585418164,1073741824
1585418167,1073741824
1585418170,1073741824
1585418173,1073741824
1585418176,1073741824
1585418179,1073741824
1585418182,1073741824
1585418185,1073741824
1585418188,1073741824
1585418191,1073741824
1585418194,1073741824
1585418197,1073741824
1585418200,1073741824
1585418203,1073741824
1585418206,1073741824
1585418209,1073741824
1585418212,1073741824
1585418215,1073741824
1585418218,1073741824
1585418221,1073741824
1585418224,1073741824
1585418227,1073741824
1585418230,1073741824
1585418233,1073741824
1585418236,1073741824
1585418239,1073741824
1585418242,1073741824
1585418245,1073741824
1585418248,1073741824
1585418251,1073741824
1585418254,1073741824
1585418257,1073741824
1585418260,1073741824
1585418263,1073741824
1585418266,1073741824
1585418269,1073741824
1585418272,1073741824
1585418275,1073741824
1585418278,1073741824
1585418281,1073741824
1585418284,1073741824
1585418287,1073741824
1585418290,1073741824
1585418293,1073741824
1585418296,1073741824
1585418299,1073741824
1585418302,1073741824
1585418305,1073741824
1585418308,1073741824
1585418311,1073741824
1585418314,1073741824
1585418317,1073741824
1585418320,1073741824
1585418323,1073741824
1585418326,1073741824
1585418329,1073741824
1585418332,1073741824
1585418335,1073741824
1585418338,1073741824
1585418341,1073741824
1585418344,1073741824
1585418347,1073741824
1585418350,1073741824
1585418353,1073741824
1585418356,1073741824
1585418359,1073741824
1585418362,1073741824
1585418365,1073741824
1585418368,1073741824
1585418371,1073741824
1585418374,1073741824
1585418377,1073741824
1585418380,1073741824
1585418383,1073741824
1585418386,1073741824
1585418389,1073741824
1585418392,1073741824
1585418395,1073741824
1585418398,1073741824
1585418401,1073741824
1585418404,1073741824
1585418407,1073741824
1585418410,1073741824
1585418413,1073741824
1585418416,1073741824
1585418419,1073741824
1585418422,1073741824
1585418425,1073741824
1585418428,1073741824
1585418431,1073741824
1585418434,1073741824
1585418437,1073741824
1585418440,1073741824
1585418443,1073741824
1585418446,1073741824
1585418449,1073741824
1585418452,1073741824
