t,value
1585418128,224917504
1585418131,276297728
1585418134,278394880
1585418137,279443456
1585418140,280492032
1585418143,296220672
1585418146,101711872
1585418149,115343360
1585418152,116391936
1585418155,117440512
1585418158,118489088
1585418161,119537664
1585418164,139460608
1585418167,140509184
1585418170,140509184
1585418173,141557760
1585418176,145752064
1585418179,154140672
1585418182,154140672
1585418185,165675008
1585418188,166723584
1585418191,167772160
1585418194,169869312
1585418197,169869312
1585418200,171966464
1585418203,205520896
1585418206,205520896
1585418209,206569472
1585418212,206569472
1585418215,207618048
1585418218,207618048
1585418221,208666624
1585418224,227540992
1585418227,227540992
1585418230,228589568
1585418233,228589568
1585418236,229638144
1585418239,236978176
1585418242,238026752
1585418245,247463936
1585418248,247463936
1585418251,248512512
1585418254,248512512
1585418257,249561088
1585418260,250609664
1585418263,260046848
1585418266,260046848
1585418269,261095424
1585418272,261095424
1585418275,262144000
1585418278,262144000
1585418281,263192576
1585418284,281018368
1585418287,281018368
1585418290,282066944
1585418293,283115520
1585418296,283115520
1585418299,291504128
1585418302,291504128
1585418305,301989888
1585418308,301989888
1585418311,303038464
1585418314,303038464
1585418317,304087040
1585418320,305135616
1585418323,314572800
1585418326,314572800
1585418329,315621376
1585418332,315621376
1585418335,316669952
1585418338,317718528
1585418341,317718528
1585418344,335544320
1585418347,336592896
1585418350,352321536
1585418353,352321536
1585418356,353370112
1585418359,360710144
1585418362,361758720
1585418365,371195904
1585418368,371195904
1585418371,372244480
1585418374,373293056
1585418377,373293056
1585418380,374341632
1585418383,94371840
1585418386,98566144
1585418389,106954752
1585418392,111149056
1585418395,112197632
1585418398,117440512
1585418401,119537664
1585418404,143654912
1585418407,144703488
1585418410,144703488
1585418413,145752064
1585418416,145752064
1585418419,154140672
1585418422,154140672
1585418425,163577856
1585418428,164626432
1585418431,165675008
1585418434,165675008
1585418437,166723584
1585418440,166723584
1585418443,176160768
1585418446,177209344
1585418449,178257920
1585418452,179306496
1585418455,179306496
1585418458,180355072
1585418461,180355072
1585418464,198180864
1585418467,199229440
1585418470,199229440
1585418473,200278016
1585418476,201326592
1585418479,208666624
1585418482,208666624
1585418485,218103808
1585418488,219152384
1585418491,219152384
1585418494,220200960
1585418497,220200960
1585418500,221249536
1585418503,229638144
1585418506,230686720
1585418509,231735296
1585418512,231735296
1585418515,232783872
1585418518,232783872
1585418521,233832448
1585418524,251658240
1585418527,252706816
1585418530,252706816
1585418533,253755392
1585418536,253755392
1585418539,262144000
1585418542,263192576
1585418545,272629760
1585418548,272629760
1585418551,272629760
1585418554,273678336
1585418557,274726912
1585418560,283115520
1585418563,296747008
1585418566,300941312
1585418569,306184192
1585418572,307232768
1585418575,315621376
1585418578,328204288
1585418581,333447168
1585418584,354418688
1585418587,354418688
1585418590,355467264
1585418593,356515840
1585418596,356515840
1585418599,364904448
1585418602,364904448
1585418605,374341632
1585418608,375390208
1585418611,376438784
1585418614,376438784
1585418617,377487360
1585418620,377487360
1585418623,386924544
1585418626,387973120
1585418629,389021696
1585418632,389021696
1585418635,390070272
1585418638,390070272
1585418641,391118848
1585418644,105381888
1585418647,105381888
1585418650,106430464
1585418653,106430464
1585418656,107479040
1585418659,115867648
1585418662,115867648
1585418665,126353408
1585418668,126353408
1585418671,128450560
1585418674,128450560
1585418677,129499136
1585418680,129499136
1585418683,138936320
1585418686,139984896
1585418689,139984896
1585418692,141033472
1585418695,141033472
1585418698,142082048
1585418701,142082048
1585418704,159907840
1585418707,160956416
1585418710,160956416
1585418713,162004992
1585418716,162004992
1585418719,170393600
1585418722,170393600
1585418725,189267968
1585418728,189267968
1585418731,190316544
1585418734,191365120
1585418737,191365120
1585418740,192413696
1585418743,200802304
1585418746,202899456
1585418749,202899456
1585418752,203948032
1585418755,204996608
1585418758,204996608
1585418761,204996608
1585418764,222822400
1585418767,228065280
1585418770,229113856
1585418773,231211008
1585418776,231211008
1585418779,240648192
1585418782,241696768
1585418785,250085376
1585418788,253231104
1585418791,254279680
1585418794,257425408
1585418797,259522560
1585418800,259522560
1585418803,268959744
1585418806,270008320
1585418809,271056896
1585418812,271056896
1585418815,272105472
1585418818,274202624
1585418821,275251200
1585418824,292028416
1585418827,293076992
1585418830,294125568
1585418833,296222720
1585418836,297271296
1585418839,304611328
1585418842,305659904
1585418845,316145664
1585418848,317194240
1585418851,318242816
1585418854,321388544
1585418857,321388544
1585418860,325582848
1585418863,335020032
1585418866,336068608
1585418869,339214336
1585418872,341311488
1585418875,341311488
1585418878,341311488
1585418881,342360064
1585418884,360185856
1585418887,360185856
1585418890,362283008
1585418893,364380160
1585418896,368574464
1585418899,376963072
1585418902,376963072
1585418905,386400256
1585418908,387448832
1585418911,388497408
1585418914,390594560
1585418917,392691712
1585418920,396886016
1585418923,102236160
1585418926,104333312
1585418929,104333312
1585418932,104333312
1585418935,105381888
1585418938,106430464
1585418941,106430464
1585418944,124256256
1585418947,124256256
1585418950,125304832
1585418953,126353408
1585418956,126353408
1585418959,134742016
1585418962,135790592
1585418965,145227776
1585418968,145227776
1585418971,146276352
1585418974,147324928
1585418977,148373504
1585418980,148373504
1585418983,157810688
1585418986,158859264
1585418989,158859264
1585418992,159907840
1585418995,159907840
1585418998,160956416
1585419001,160956416
1585419004,178782208
1585419007,179830784
1585419010,179830784
1585419013,180879360
1585419016,180879360
1585419019,189267968
1585419022,190316544
1585419025,199753728
1585419028,199753728
1585419031,200802304
1585419034,201850880
1585419037,201850880
1585419040,201850880
1585419043,211288064
1585419046,212336640
1585419049,214433792
1585419052,215482368
1585419055,216530944
1585419058,217579520
1585419061,217579520
1585419064,235405312
1585419067,236453888
1585419070,236453888
1585419073,237502464
1585419076,237502464
1585419079,245891072
1585419082,246939648
1585419085,256376832
1585419088,257425408
1585419091,257425408
1585419094,260571136
1585419097,260571136
1585419100,261619712
1585419103,270008320
1585419106,275251200
1585419109,276299776
1585419112,279445504
1585419115,279445504
1585419118,280494080
1585419121,281542656
1585419124,298319872
1585419127,299368448
1585419130,299368448
1585419133,300417024
