t,value
1585418128,2097280
1585418131,2105695
1585418134,2105695
1585418137,2105695
1585418140,2105695
1585418143,2105695
1585418146,2105695
1585418149,2105695
1585418152,2105695
1585418155,2105695
1585418158,2105695
1585418161,2105695
1585418164,2105695
1585418167,2105695
1585418170,2105695
1585418173,2105695
1585418176,2105695
1585418179,2105695
1585418182,2105695
1585418185,2105567
1585418188,2105567
1585418191,2105567
1585418194,2105567
1585418197,2105567
1585418200,2105567
1585418203,2105567
1585418206,2105567
1585418209,2105567
1585418212,2105567
1585418215,2105567
1585418218,2105567
1585418221,2105567
1585418224,2105567
1585418227,2105567
1585418230,2105567
1585418233,2105567
1585418236,2105567
1585418239,2105567
1585418242,2105567
1585418245,2105567
1585418248,2105567
1585418251,2105567
1585418254,2105567
1585418257,2105567
1585418260,2105567
1585418263,2105567
1585418266,2105567
1585418269,2105567
1585418272,2105567
1585418275,2105567
1585418278,2105567
1585418281,2105567
1585418284,2105567
1585418287,2105567
1585418290,2105567
1585418293,2105567
1585418296,2105567
1585418299,2105567
1585418302,2105567
1585418305,2105567
1585418308,2105567
1585418311,2105567
1585418314,2105567
1585418317,2105567
1585418320,2105567
1585418323,2105567
1585418326,2105567
1585418329,2105567
1585418332,2105567
1585418335,2105567
1585418338,2105567
1585418341,2105567
1585418344,2105567
1585418347,2105567
1585418350,2105567
1585418353,2105567
1585418356,2105567
1585418359,2105567
1585418362,2105567
1585418365,2105567
1585418368,2105567
1585418371,2105567
1585418374,2105567
1585418377,2105567
1585418380,2105567
1585418383,2105567
1585418386,2105567
1585418389,2105567
1585418392,2105567
1585418395,2105567
1585418398,2105567
1585418401,2105567
1585418404,2105567
1585418407,2105567
1585418410,2105567
1585418413,2105567
1585418416,2105567
1585418419,2105567
1585418422,2105567
1585418425,2105567
1585418428,2105567
1585418431,2105567
1585418434,2105567
1585418437,2105567
1585418440,2105567
1585418443,2105567
1585418446,2105567
1585418449,2105567
1585418452,2105567
1585418455,2105567
1585418458,2105567
1585418461,2105567
1585418464,2105567
1585418467,2105567
1585418470,2105567
1585418473,2105567
1585418476,2105567
1585418479,2105567
1585418482,2105567
1585418485,2105567
1585418488,2105567
1585418491,2105567
1585418494,2105567
1585418497,2105567
1585418500,2105567
1585418503,2105567
1585418506,2105567
1585418509,2105567
1585418512,2105567
1585418515,2105567
1585418518,2105567
1585418521,2105567
1585418524,2105567
1585418527,2105567
1585418530,2105567
1585418533,2105567
1585418536,2105567
1585418539,2105567
1585418542,2105567
1585418545,2105567
1585418548,2105567
1585418551,2105567
1585418554,2105567
1585418557,2105567
1585418560,2105567
1585418563,2105567
1585418566,2105567
1585418569,2105567
1585418572,2105567
1585418575,2105567
1585418578,2105567
1585418581,2105567
1585418584,2105567
1585418587,2105567
1585418590,2105567
1585418593,2105567
1585418596,2105567
1585418599,2105567
1585418602,2105567
1585418605,2105567
1585418608,2105567
1585418611,2105567
1585418614,2105567
1585418617,2105567
1585418620,2105567
1585418623,2105567
1585418626,2105567
1585418629,2105567
1585418632,2105567
1585418635,2105567
1585418638,2105567
1585418641,2105567
1585418644,2105567
1585418647,2105567
1585418650,2105567
1585418653,2105567
1585418656,2105567
1585418659,2105567
1585418662,2105567
1585418665,2105567
1585418668,2105567
1585418671,2105567
1585418674,2105567
1585418677,2105567
1585418680,2105567
1585418683,2105567
1585418686,2105567
1585418689,2105567
1585418692,2105567
1585418695,2105567
1585418698,2105567
1585418701,2105567
1585418704,2105567
1585418707,2105567
1585418710,2105567
1585418713,2105567
1585418716,2105567
1585418719,2105567
1585418722,2105567
1585418725,2105567
1585418728,2105567
1585418731,2105567
1585418734,2105567
1585418737,2105567
1585418740,2105567
1585418743,2105567
1585418746,2105567
1585418749,2105567
1585418752,2105567
1585418755,2105567
1585418758,2105567
1585418761,2105567
1585418764,2105567
1585418767,2105567
1585418770,2105567
1585418773,2105567
1585418776,2105567
1585418779,2105567
1585418782,2105567
1585418785,2105567
1585418788,2105567
1585418791,2105567
1585418794,2105567
1585418797,2105567
1585418800,2105567
1585418803,2105567
1585418806,2105567
1585418809,2105567
1585418812,2105567
1585418815,2105567
1585418818,2105567
1585418821,2105567
1585418824,2105567
1585418827,2105567
1585418830,2105567
1585418833,2105567
1585418836,2105567
1585418839,2105567
1585418842,2105567
1585418845,2105567
1585418848,2105567
1585418851,2105567
1585418854,2105567
1585418857,2105567
1585418860,2105567
1585418863,2105567
1585418866,2105567
1585418869,2105567
1585418872,2105567
1585418875,2105567
1585418878,2105567
1585418881,2105567
1585418884,2105567
1585418887,2105567
1585418890,2105567
1585418893,2105567
1585418896,2105567
1585418899,2105567
1585418902,2105567
1585418905,2105567
1585418908,2105567
1585418911,2105567
1585418914,2105567
1585418917,2105567
1585418920,2105567
1585418923,2105567
1585418926,2105567
1585418929,2105567
1585418932,2105567
1585418935,2105567
1585418938,2105567
1585418941,2105567
1585418944,2105567
1585418947,2105567
1585418950,2105567
1585418953,2105567
1585418956,2105567
1585418959,2105567
1585418962,2105567
1585418965,2105567
1585418968,2105567
1585418971,2105567
1585418974,2105567
1585418977,2105567
1585418980,2105567
1585418983,2105567
1585418986,2105567
1585418989,2105567
1585418992,2105567
1585418995,2105567
1585418998,2105567
1585419001,2105567
1585419004,2105567
1585419007,2105567
1585419010,2105567
