t,value
1585418128,5
1585418131,7
1585418134,7
1585418137,7
1585418140,7
1585418143,7
1585418146,7
1585418149,7
1585418152,7
1585418155,7
1585418158,7
1585418161,7
1585418164,7
1585418167,7
1585418170,7
1585418173,7
1585418176,7
1585418179,7
1585418182,7
1585418185,5
1585418188,5
1585418191,5
1585418194,5
1585418197,5
1585418200,5
1585418203,5
1585418206,5
1585418209,5
1585418212,5
1585418215,5
1585418218,5
1585418221,5
1585418224,5
1585418227,5
1585418230,5
1585418233,5
1585418236,5
1585418239,5
1585418242,5
1585418245,5
1585418248,5
1585418251,5
1585418254,5
1585418257,5
1585418260,5
1585418263,5
1585418266,5
1585418269,5
1585418272,5
1585418275,5
1585418278,5
1585418281,5
1585418284,5
1585418287,5
1585418290,5
1585418293,5
1585418296,5
1585418299,5
1585418302,5
1585418305,5
1585418308,5
1585418311,5
1585418314,5
1585418317,5
1585418320,5
1585418323,5
1585418326,5
1585418329,5
1585418332,5
1585418335,5
1585418338,5
1585418341,5
1585418344,5
1585418347,5
1585418350,5
1585418353,5
1585418356,5
1585418359,5
1585418362,5
1585418365,5
1585418368,5
1585418371,5
1585418374,5
1585418377,5
1585418380,5
1585418383,5
1585418386,5
1585418389,5
1585418392,5
1585418395,5
1585418398,5
1585418401,5
1585418404,5
1585418407,5
1585418410,5
1585418413,5
1585418416,5
1585418419,5
1585418422,5
1585418425,5
1585418428,5
1585418431,5
1585418434,5
1585418437,5
1585418440,5
1585418443,5
1585418446,5
1585418449,5
1585418452,5
1585418455,5
1585418458,5
1585418461,5
1585418464,5
1585418467,5
1585418470,5
1585418473,5
1585418476,5
1585418479,5
1585418482,5
1585418485,5
1585418488,5
1585418491,5
1585418494,5
1585418497,5
1585418500,5
1585418503,5
1585418506,5
1585418509,5
1585418512,5
1585418515,5
1585418518,5
1585418521,5
1585418524,5
1585418527,5
1585418530,5
1585418533,5
1585418536,5
1585418539,5
1585418542,5
1585418545,5
1585418548,5
1585418551,5
1585418554,5
1585418557,5
1585418560,5
1585418563,5
1585418566,5
1585418569,5
1585418572,5
1585418575,5
1585418578,5
1585418581,5
1585418584,5
1585418587,5
1585418590,5
1585418593,5
1585418596,5
1585418599,5
1585418602,5
1585418605,5
1585418608,5
1585418611,5
1585418614,5
1585418617,5
1585418620,5
1585418623,5
1585418626,5
1585418629,5
1585418632,5
1585418635,5
1585418638,5
1585418641,5
1585418644,5
1585418647,5
1585418650,5
1585418653,5
1585418656,5
1585418659,5
1585418662,5
1585418665,5
1585418668,5
1585418671,5
1585418674,5
1585418677,5
1585418680,5
1585418683,5
1585418686,5
1585418689,5
1585418692,5
1585418695,5
1585418698,5
1585418701,5
1585418704,5
1585418707,5
1585418710,5
1585418713,5
1585418716,5
1585418719,5
1585418722,5
1585418725,5
1585418728,5
1585418731,5
1585418734,5
1585418737,5
1585418740,5
1585418743,5
1585418746,5
1585418749,5
1585418752,5
1585418755,5
1585418758,5
1585418761,5
1585418764,5
1585418767,5
1585418770,5
1585418773,5
1585418776,5
1585418779,5
1585418782,5
1585418785,5
1585418788,5
1585418791,5
1585418794,5
1585418797,5
1585418800,5
1585418803,5
1585418806,5
1585418809,5
1585418812,5
1585418815,5
1585418818,5
1585418821,5
1585418824,5
1585418827,5
1585418830,5
1585418833,5
1585418836,5
1585418839,5
1585418842,5
1585418845,5
1585418848,5
1585418851,5
1585418854,5
1585418857,5
1585418860,5
1585418863,5
1585418866,5
1585418869,5
1585418872,5
1585418875,5
1585418878,5
1585418881,5
1585418884,5
1585418887,5
1585418890,5
1585418893,5
1585418896,5
1585418899,5
1585418902,5
1585418905,5
1585418908,5
1585418911,5
1585418914,5
1585418917,5
1585418920,5
1585418923,5
1585418926,5
1585418929,5
1585418932,5
1585418935,5
1585418938,5
1585418941,5
1585418944,5
1585418947,5
1585418950,5
1585418953,5
1585418956,5
1585418959,5
1585418962,5
1585418965,5
1585418968,5
1585418971,5
1585418974,5
1585418977,5
1585418980,5
1585418983,5
1585418986,5
1585418989,5
1585418992,5
1585418995,5
1585418998,5
1585419001,5
1585419004,5
1585419007,5
1585419010,5
1585419013,5
1585419016,5
1585419019,5
1585419022,5
1585419025,5
1585419028,5
1585419031,5
1585419034,5
1585419037,5
1585419040,5
1585419043,5
1585419046,5
1585419049,5
1585419052,5
1585419055,5
1585419058,5
1585419061,5
1585419064,5
1585419067,5
1585419070,5
1585419073,5
1585419076,5
1585419079,5
1585419082,5
1585419085,5
1585419088,5
1585419091,5
1585419094,5
1585419097,5
1585419100,5
1585419103,5
1585419106,5
1585419109,5
1585419112,5
1585419115,5
1585419118,5
1585419121,5
1585419124,5
1585419127,5
1585419130,5
1585419133,5
1585419136,5
1585419139,5
1585419142,5
1585419145,5
1585419148,5
1585419151,5
1585419154,5
1585419157,5
1585419160,5
1585419163,5
1585419166,5
1585419169,5
1585419172,5
1585419175,5
1585419178,5
1585419181,5
1585419184,5
1585419187,5
1585419190,5
1585419193,5
1585419196,5
1585419199,5
1585419202,5
1585419205,5
1585419208,6
1585419211,6
1585419214,6
1585419217,6
1585419220,6
1585419223,6
1585419226,6
1585419229,6
1585419232,6
1585419235,6
1585419238,6
1585419241,6
1585419244,6
1585419247,6
1585419250,6
1585419253,6
1585419256,6
1585419259,6
1585419262,6
1585419265,6
1585419268,6
1585419271,6
1585419274,6
1585419277,6
1585419280,6
1585419283,6
1585419286,6
