t,value
1585418128,2097281
1585418131,2105696
1585418134,2105696
1585418137,2105696
1585418140,2105696
1585418143,2105696
1585418146,2105696
1585418149,2105696
1585418152,2105696
1585418155,2105696
1585418158,2105696
1585418161,2105696
1585418164,2105696
1585418167,2105696
1585418170,2105696
1585418173,2105696
1585418176,2105696
1585418179,2105696
1585418182,2105696
1585418185,2105568
1585418188,2105568
1585418191,2105568
1585418194,2105568
1585418197,2105568
1585418200,2105568
1585418203,2105568
1585418206,2105568
1585418209,2105568
1585418212,2105568
1585418215,2105568
1585418218,2105568
1585418221,2105568
1585418224,2105568
1585418227,2105568
1585418230,2105568
1585418233,2105568
1585418236,2105568
1585418239,2105568
1585418242,2105568
1585418245,2105568
1585418248,2105568
1585418251,2105568
1585418254,2105568
1585418257,2105568
1585418260,2105568
1585418263,2105568
1585418266,2105568
1585418269,2105568
1585418272,2105568
1585418275,2105568
1585418278,2105568
1585418281,2105568
1585418284,2105568
1585418287,2105568
1585418290,2105568
1585418293,2105568
1585418296,2105568
1585418299,2105568
1585418302,2105568
1585418305,2105568
1585418308,2105568
1585418311,2105568
1585418314,2105568
1585418317,2105568
1585418320,2105568
1585418323,2105568
1585418326,2105568
1585418329,2105568
1585418332,2105568
1585418335,2105568
1585418338,2105568
1585418341,2105568
1585418344,2105568
1585418347,2105568
1585418350,2105568
1585418353,2105568
1585418356,2105568
1585418359,2105568
1585418362,2105568
1585418365,2105568
1585418368,2105568
1585418371,2105568
1585418374,2105568
1585418377,2105568
1585418380,2105568
1585418383,2105568
1585418386,2105568
1585418389,2105568
1585418392,2105568
1585418395,2105568
1585418398,2105568
1585418401,2105568
1585418404,2105568
1585418407,2105568
1585418410,2105568
1585418413,2105568
1585418416,2105568
1585418419,2105568
1585418422,2105568
1585418425,2105568
1585418428,2105568
1585418431,2105568
1585418434,2105568
1585418437,2105568
1585418440,2105568
1585418443,2105568
1585418446,2105568
1585418449,2105568
1585418452,2105568
1585418455,2105568
1585418458,2105568
1585418461,2105568
1585418464,2105568
1585418467,2105568
1585418470,2105568
1585418473,2105568
1585418476,2105568
1585418479,2105568
1585418482,2105568
1585418485,2105568
1585418488,2105568
1585418491,2105568
1585418494,2105568
1585418497,2105568
1585418500,2105568
1585418503,2105568
1585418506,2105568
1585418509,2105568
1585418512,2105568
1585418515,2105568
1585418518,2105568
1585418521,2105568
1585418524,2105568
1585418527,2105568
1585418530,2105568
1585418533,2105568
1585418536,2105568
1585418539,2105568
1585418542,2105568
1585418545,2105568
1585418548,2105568
1585418551,2105568
1585418554,2105568
1585418557,2105568
1585418560,2105568
1585418563,2105568
1585418566,2105568
1585418569,2105568
1585418572,2105568
1585418575,2105568
1585418578,2105568
1585418581,2105568
1585418584,2105568
1585418587,2105568
1585418590,2105568
1585418593,2105568
1585418596,2105568
1585418599,2105568
1585418602,2105568
1585418605,2105568
1585418608,2105568
1585418611,2105568
1585418614,2105568
1585418617,2105568
1585418620,2105568
1585418623,2105568
1585418626,2105568
1585418629,2105568
1585418632,2105568
1585418635,2105568
1585418638,2105568
1585418641,2105568
1585418644,2105568
1585418647,2105568
1585418650,2105568
1585418653,2105568
