t,value
1585418128,1661952
1585418131,1668480
1585418134,1668480
1585418137,1668480
1585418140,1668480
1585418143,1669760
1585418146,1677952
1585418149,1680512
1585418152,1680512
1585418155,1680512
1585418158,1680512
1585418161,1680512
1585418164,1680512
1585418167,1680512
1585418170,1680512
1585418173,1680512
1585418176,1680512
1585418179,1680512
1585418182,1680512
1585418185,1680512
1585418188,1680512
1585418191,1680512
1585418194,1680512
1585418197,1680512
1585418200,1680512
1585418203,1680512
1585418206,1680512
1585418209,1680512
1585418212,1680512
1585418215,1680512
1585418218,1680512
1585418221,1680512
1585418224,1680512
1585418227,1680512
1585418230,1680512
1585418233,1680512
1585418236,1680512
1585418239,1680512
1585418242,1680512
1585418245,1680512
1585418248,1680512
1585418251,1680512
1585418254,1680512
1585418257,1680512
1585418260,1680512
1585418263,1680512
1585418266,1680512
1585418269,1680512
1585418272,1680512
1585418275,1680512
1585418278,1680512
1585418281,1680512
1585418284,1680512
1585418287,1680512
1585418290,1680512
1585418293,1680512
1585418296,1680512
1585418299,1680512
1585418302,1680512
1585418305,1680512
1585418308,1680512
1585418311,1680512
1585418314,1680512
1585418317,1680512
1585418320,1680512
1585418323,1680512
1585418326,1680512
1585418329,1680512
1585418332,1680512
1585418335,1680512
1585418338,1680512
1585418341,1680512
1585418344,1680512
1585418347,1680512
1585418350,1684352
1585418353,1684352
1585418356,1684352
1585418359,1684352
1585418362,1684352
1585418365,1684352
1585418368,1684352
1585418371,1684352
1585418374,1684352
1585418377,1684352
1585418380,1684352
1585418383,1684352
1585418386,1684352
1585418389,1684352
1585418392,1684352
1585418395,1684352
1585418398,1685632
1585418401,1685632
1585418404,1685632
1585418407,1685632
1585418410,1685632
1585418413,1685632
1585418416,1685632
1585418419,1685632
1585418422,1685632
1585418425,1685632
1585418428,1685632
1585418431,1685632
1585418434,1685632
1585418437,1685632
1585418440,1685632
1585418443,1685632
1585418446,1685632
1585418449,1685632
1585418452,1685632
1585418455,1685632
1585418458,1685632
1585418461,1685632
1585418464,1685632
1585418467,1685632
1585418470,1685632
1585418473,1685632
1585418476,1685632
1585418479,1685632
1585418482,1685632
1585418485,1685632
1585418488,1685632
1585418491,1685632
1585418494,1685632
1585418497,1685632
1585418500,1685632
1585418503,1685632
1585418506,1685632
1585418509,1685632
1585418512,1685632
1585418515,1685632
1585418518,1685632
1585418521,1685632
1585418524,1685632
1585418527,1685632
1585418530,1685632
1585418533,1685632
1585418536,1685632
1585418539,1685632
1585418542,1685632
1585418545,1685632
1585418548,1685632
1585418551,1685632
1585418554,1685632
1585418557,1685632
1585418560,1685632
1585418563,1685632
1585418566,1685632
1585418569,1685632
1585418572,1685632
1585418575,1685632
1585418578,1685632
1585418581,1685632
1585418584,1685632
1585418587,1685632
1585418590,1685632
1585418593,1685632
1585418596,1685632
1585418599,1685632
1585418602,1685632
1585418605,1685632
1585418608,1685632
1585418611,1685632
1585418614,1685632
1585418617,1685632
1585418620,1685632
1585418623,1685632
1585418626,1685632
1585418629,1685632
1585418632,1685632
1585418635,1685632
1585418638,1685632
1585418641,1685632
1585418644,1685632
1585418647,1685632
1585418650,1685632
1585418653,1685632
1585418656,1685632
1585418659,1685632
1585418662,1685632
1585418665,1685632
1585418668,1685632
1585418671,1685632
1585418674,1685632
1585418677,1685632
1585418680,1685632
1585418683,1685632
1585418686,1685632
1585418689,1685632
1585418692,1685632
1585418695,1685632
1585418698,1685632
1585418701,1685632
1585418704,1685632
1585418707,1685632
1585418710,1685632
1585418713,1685632
1585418716,1685632
1585418719,1685632
1585418722,1685632
1585418725,1685632
1585418728,1685632
1585418731,1689984
1585418734,1689984
1585418737,1689984
1585418740,1689984
1585418743,1689984
1585418746,1689984
1585418749,1689984
1585418752,1689984
1585418755,1689984
1585418758,1689984
1585418761,1689984
1585418764,1689984
1585418767,1689984
1585418770,1689984
1585418773,1689984
1585418776,1689984
1585418779,1689984
1585418782,1689984
1585418785,1689984
1585418788,1689984
1585418791,1689984
1585418794,1689984
1585418797,1689984
1585418800,1689984
1585418803,1689984
1585418806,1689984
1585418809,1689984
1585418812,1689984
1585418815,1689984
1585418818,1689984
1585418821,1689984
1585418824,1689984
1585418827,1689984
1585418830,1689984
1585418833,1689984
1585418836,1689984
1585418839,1689984
1585418842,1689984
1585418845,1689984
1585418848,1689984
1585418851,1689984
1585418854,1689984
1585418857,1689984
1585418860,1689984
1585418863,1689984
1585418866,1689984
1585418869,1689984
1585418872,1689984
1585418875,1689984
1585418878,1689984
1585418881,1689984
1585418884,1689984
1585418887,1689984
1585418890,1689984
1585418893,1689984
1585418896,1689984
1585418899,1689984
1585418902,1689984
1585418905,1689984
1585418908,1689984
1585418911,1689984
1585418914,1689984
1585418917,1689984
1585418920,1689984
1585418923,1689984
1585418926,1689984
1585418929,1689984
1585418932,1689984
1585418935,1689984
1585418938,1689984
1585418941,1689984
1585418944,1689984
1585418947,1689984
1585418950,1689984
1585418953,1689984
1585418956,1689984
1585418959,1689984
1585418962,1689984
1585418965,1689984
1585418968,1689984
1585418971,1689984
1585418974,1689984
1585418977,1689984
1585418980,1689984
1585418983,1689984
1585418986,1689984
1585418989,1689984
1585418992,1689984
1585418995,1689984
1585418998,1689984
1585419001,1689984
1585419004,1689984
1585419007,1689984
1585419010,1689984
1585419013,1689984
1585419016,1689984
1585419019,1689984
1585419022,1689984
1585419025,1689984
1585419028,1689984
1585419031,1689984
1585419034,1689984
1585419037,1689984
1585419040,1689984
1585419043,1689984
1585419046,1689984
1585419049,1689984
1585419052,1689984
1585419055,1689984
1585419058,1689984
1585419061,1689984
1585419064,1689984
1585419067,1689984
1585419070,1689984
1585419073,1689984
1585419076,1689984
1585419079,1689984
1585419082,1689984
1585419085,1689984
1585419088,1689984
1585419091,1689984
1585419094,1689984
1585419097,1689984
1585419100,1689984
1585419103,1689984
1585419106,1689984
1585419109,1689984
1585419112,1689984
1585419115,1689984
1585419118,1689984
1585419121,1689984
1585419124,1689984
1585419127,1689984
1585419130,1689984
1585419133,1689984
1585419136,1689984
1585419139,1689984
1585419142,1689984
1585419145,1689984
1585419148,1689984
1585419151,1689984
1585419154,1689984
1585419157,1689984
1585419160,1689984
1585419163,1689984
1585419166,1689984
1585419169,1689984
1585419172,1689984
1585419175,1689984
1585419178,1689984
1585419181,1689984
1585419184,1689984
1585419187,1689984
1585419190,1689984
1585419193,1689984
1585419196,1689984
1585419199,1689984
1585419202,1689984
1585419205,1689984
1585419208,1709952
1585419211,1712640
1585419214,1713920
1585419217,1713920
1585419220,1713920
1585419223,1713920
1585419226,1713920
1585419229,1713920
1585419232,1713920
1585419235,1713920
1585419238,1713920
1585419241,1713920
1585419244,1713920
1585419247,1713920
1585419250,1713920
1585419253,1713920
1585419256,1713920
1585419259,1713920
1585419262,1713920
1585419265,1713920
1585419268,1713920
1585419271,1713920
1585419274,1713920
1585419277,1713920
1585419280,1713920
1585419283,1713920
1585419286,1713920
1585419289,1713920
1585419292,1713920
1585419295,1713920
1585419298,1713920
1585419301,1713920
1585419304,1713920
1585419307,1713920
1585419310,1713920
1585419313,1713920
1585419316,1713920
1585419319,1713920
1585419322,1713920
1585419325,1713920
1585419328,1713920
1585419331,1713920
1585419334,1713920
1585419337,1713920
1585419340,1713920
1585419343,1713920
1585419346,1713920
1585419349,1713920
1585419352,1717888
1585419355,1717888
1585419358,1717888
1585419361,1717888
1585419364,1717888
1585419367,1717888
1585419370,1717888
1585419373,1718528
1585419376,1718528
1585419379,1718528
1585419382,1718528
1585419385,1718528
1585419388,1718528
1585419391,1718528
1585419394,1718528
1585419397,1718528
1585419400,1718528
1585419403,1718528
1585419406,1718528
1585419409,1718528
1585419412,1718528
1585419415,1718528
1585419418,1718528
1585419421,1718528
1585419424,1718528
1585419427,1718528
1585419430,1718528
1585419433,1718528
1585419436,1718528
1585419439,1718528
1585419442,1719936
1585419445,1719936
1585419448,1719936
1585419451,1719936
1585419454,1719936
1585419457,1719936
1585419460,1719936
1585419463,1719936
1585419466,1719936
1585419469,1719936
1585419472,1719936
1585419475,1719936
1585419478,1719936
1585419481,1719936
1585419484,1719936
1585419487,1719936
1585419490,1719936
1585419493,1719936
1585419496,1719936
1585419499,1719936
1585419502,1719936
1585419505,1719936
1585419508,1719936
1585419511,1719936
1585419514,1719936
1585419517,1719936
1585419520,1719936
1585419523,1719936
1585419526,1719936
1585419529,1719936
1585419532,1719936
1585419535,1719936
1585419538,1719936
1585419541,1719936
1585419544,1719936
1585419547,1719936
1585419550,1719936
1585419553,1719936
1585419556,1719936
1585419559,1719936
1585419562,1719936
1585419565,1719936
1585419568,1719936
1585419571,1719936
1585419574,1719936
1585419577,1719936
1585419580,1719936
1585419583,1719936
1585419586,1719936
1585419589,1719936
1585419592,1719936
1585419595,1719936
1585419598,1727232
1585419601,1727232
1585419604,1727232
1585419607,1727232
1585419610,1727232
1585419613,1727232
1585419616,1727232
1585419619,1727232
1585419622,1727232
1585419625,1727232
1585419628,1727232
1585419631,1727232
1585419634,1727232
1585419637,1727232
1585419640,1727232
1585419643,1727232
1585419646,1727232
1585419649,1727232
1585419652,1727232
1585419655,1727232
1585419658,1727232
1585419661,1727232
1585419664,1727232
1585419667,1727232
1585419670,1727232
1585419673,1727232
1585419676,1727232
1585419679,1727232
1585419682,1727232
1585419685,1727232
1585419688,1727232
1585419691,1727232
1585419694,1727232
1585419697,1727232
1585419700,1727232
1585419703,1727232
1585419706,1727232
1585419709,1727232
1585419712,1727232
1585419715,1727232
1585419718,1727232
1585419721,1727232
1585419724,1727232
1585419727,1727232
1585419730,1727232
1585419733,1727232
1585419736,1727232
1585419739,1727232
1585419742,1727232
1585419745,1727232
1585419748,1727232
1585419751,1727232
1585419754,1727232
