t,value
1585418128,5015808
1585418131,5436288
1585418134,5556992
1585418137,5564032
1585418140,5582080
1585418143,5695104
1585418146,6424320
1585418149,6622080
1585418152,6634240
1585418155,6637824
1585418158,6640128
1585418161,6643328
1585418164,6804224
1585418167,6806144
1585418170,6807040
1585418173,6823424
1585418176,6829696
1585418179,6844032
1585418182,6865536
1585418185,6919552
1585418188,6951552
1585418191,6965760
1585418194,6974592
1585418197,7005696
1585418200,7028352
1585418203,7257984
1585418206,7272704
1585418209,7277952
1585418212,7282304
1585418215,7282304
1585418218,7290240
1585418221,7294080
1585418224,7383168
1585418227,7383168
1585418230,7383168
1585418233,7383808
1585418236,7384576
1585418239,7388160
1585418242,7401216
1585418245,7443072
1585418248,7450496
1585418251,7453440
1585418254,7460224
1585418257,7467520
1585418260,7470976
1585418263,7496576
1585418266,7514368
1585418269,7514368
1585418272,7514368
1585418275,7538176
1585418278,7541376
1585418281,7541376
1585418284,7594240
1585418287,7594240
1585418290,7597952
1585418293,7597952
1585418296,7598592
1585418299,7624832
1585418302,7625856
1585418305,7672064
1585418308,7672832
1585418311,7672832
1585418314,7672832
1585418317,7676416
1585418320,7681664
1585418323,7705728
1585418326,7721472
1585418329,7722368
1585418332,7725056
1585418335,7725056
1585418338,7725056
1585418341,7725696
1585418344,7776384
1585418347,7780480
1585418350,7869696
1585418353,7877888
1585418356,7878784
1585418359,7885184
1585418362,7885184
1585418365,7912832
1585418368,7916288
1585418371,7919616
1585418374,7919616
1585418377,7919616
1585418380,7919616
1585418383,7937792
1585418386,7970816
1585418389,8109952
1585418392,8157184
1585418395,8174464
1585418398,8222208
1585418401,8224896
1585418404,8287744
1585418407,8288640
1585418410,8288640
1585418413,8293504
1585418416,8295168
1585418419,8295168
1585418422,8296832
1585418425,8326272
1585418428,8326272
1585418431,8326272
1585418434,8326272
1585418437,8326272
1585418440,8326272
1585418443,8386304
1585418446,8397696
1585418449,8397696
1585418452,8397696
1585418455,8399488
1585418458,8409856
1585418461,8409856
1585418464,8431104
1585418467,8431104
1585418470,8431104
1585418473,8431104
1585418476,8431104
1585418479,8431104
1585418482,8431104
1585418485,8484736
1585418488,8484736
1585418491,8484736
1585418494,8486016
1585418497,8486016
1585418500,8486016
1585418503,8531840
1585418506,8535552
1585418509,8535552
1585418512,8563072
1585418515,8576000
1585418518,8576000
1585418521,8576000
1585418524,8608512
1585418527,8608512
1585418530,8608512
1585418533,8608512
1585418536,8614272
1585418539,8614912
1585418542,8614912
1585418545,8642944
1585418548,8642944
1585418551,8642944
1585418554,8642944
1585418557,8642944
1585418560,8700288
1585418563,8756480
1585418566,8786304
1585418569,8802048
1585418572,8802048
1585418575,8849152
1585418578,8994560
1585418581,9012352
1585418584,9064832
1585418587,9064832
1585418590,9064832
1585418593,9075584
1585418596,9075584
1585418599,9075584
1585418602,9075584
1585418605,9088256
1585418608,9088256
1585418611,9088256
1585418614,9088256
1585418617,9088256
1585418620,9093376
1585418623,9106176
1585418626,9115392
1585418629,9115392
1585418632,9120256
1585418635,9121408
1585418638,9141504
1585418641,9141504
1585418644,9158912
1585418647,9158912
1585418650,9158912
1585418653,9158912
1585418656,9158912
1585418659,9168640
1585418662,9168640
1585418665,9178112
1585418668,9178112
1585418671,9178112
1585418674,9178112
1585418677,9178112
1585418680,9178112
1585418683,9197824
1585418686,9237760
1585418689,9237760
1585418692,9237760
1585418695,9237760
1585418698,9237760
1585418701,9237760
1585418704,9275136
1585418707,9276160
1585418710,9276160
1585418713,9277824
1585418716,9277824
1585418719,9277824
1585418722,9277824
1585418725,9322368
1585418728,9322368
1585418731,9324416
1585418734,9324416
1585418737,9330560
1585418740,9330560
1585418743,9336448
1585418746,9340416
1585418749,9340416
1585418752,9340416
1585418755,9340416
1585418758,9340416
1585418761,9340416
1585418764,9352320
1585418767,9403264
1585418770,9407488
1585418773,9428352
1585418776,9431296
1585418779,9438464
1585418782,9438464
1585418785,9439360
1585418788,9446784
1585418791,9449984
1585418794,9463936
1585418797,9473280
1585418800,9474176
1585418803,9492224
1585418806,9493248
1585418809,9493248
1585418812,9493248
1585418815,9497088
1585418818,9509376
1585418821,9513984
1585418824,9532416
1585418827,9532416
1585418830,9540736
1585418833,9546880
1585418836,9546880
1585418839,9546880
1585418842,9546880
1585418845,9567104
1585418848,9567872
1585418851,9567872
1585418854,9576320
1585418857,9577344
1585418860,9622016
1585418863,9626880
1585418866,9638528
1585418869,9647488
1585418872,9647488
1585418875,9647488
1585418878,9647488
1585418881,9647488
1585418884,9658240
1585418887,9659520
1585418890,9663104
1585418893,9668352
1585418896,9678080
1585418899,9678080
1585418902,9678080
1585418905,9696000
1585418908,9696000
1585418911,9698304
1585418914,9709184
1585418917,9720192
1585418920,9730816
1585418923,9745152
1585418926,9772416
1585418929,9772416
1585418932,9772416
1585418935,9777152
1585418938,9777152
1585418941,9777152
1585418944,9788544
1585418947,9788544
1585418950,9788544
1585418953,9788544
1585418956,9788544
1585418959,9788544
1585418962,9788544
1585418965,9830912
1585418968,9830912
1585418971,9834880
1585418974,9834880
1585418977,9834880
1585418980,9834880
1585418983,9837568
1585418986,9843968
1585418989,9844992
1585418992,9844992
1585418995,9844992
1585418998,9844992
1585419001,9845888
1585419004,9855488
1585419007,9855488
1585419010,9855488
1585419013,9855488
1585419016,9855488
1585419019,9855488
1585419022,9855488
1585419025,9857152
1585419028,9857152
1585419031,9857152
1585419034,9857152
1585419037,9857152
1585419040,9857152
1585419043,9859840
1585419046,9862784
1585419049,9876736
1585419052,9893888
1585419055,9905792
1585419058,9905792
1585419061,9905792
1585419064,9907584
1585419067,9907584
1585419070,9907584
1585419073,9907584
1585419076,9907584
1585419079,9907584
1585419082,9908608
1585419085,9910016
1585419088,9910016
1585419091,9910016
1585419094,9912704
1585419097,9930496
1585419100,9935872
1585419103,9189376
1585419106,9204352
1585419109,9204352
