t,value
1585418128,15344000
1585418131,16693888
1585418134,17072128
1585418137,17145984
1585418140,17187328
1585418143,17593344
1585418146,21126400
1585418149,21630848
1585418152,21638272
1585418155,21691136
1585418158,21694336
1585418161,21707264
1585418164,22035072
1585418167,22038272
1585418170,22052992
1585418173,22066560
1585418176,22176768
1585418179,22313728
1585418182,22397184
1585418185,22524032
1585418188,22594432
1585418191,22629248
1585418194,22673792
1585418197,22737664
1585418200,22774912
1585418203,23962752
1585418206,24025344
1585418209,24029056
1585418212,24081152
1585418215,24081152
1585418218,24091648
1585418221,24099328
1585418224,24291584
1585418227,24293888
1585418230,24296448
1585418233,24299520
1585418236,24299520
1585418239,24321408
1585418242,24334848
1585418245,24486528
1585418248,24490880
1585418251,24494848
1585418254,24494848
1585418257,24513536
1585418260,24514688
1585418263,24641024
1585418266,24715776
1585418269,24717056
1585418272,24717056
1585418275,24717056
1585418278,24717056
1585418281,24717056
1585418284,24842624
1585418287,24847488
1585418290,24849536
1585418293,24849536
1585418296,24854912
1585418299,24906368
1585418302,24906368
1585418305,25052672
1585418308,25053696
1585418311,25053696
1585418314,25069696
1585418317,25080320
1585418320,25104384
1585418323,25195904
1585418326,25269888
1585418329,25279872
1585418332,25279872
1585418335,25279872
1585418338,25279872
1585418341,25282304
1585418344,25400320
1585418347,25400320
1585418350,25829760
1585418353,25831552
1585418356,25831552
1585418359,25850624
1585418362,25850624
1585418365,25988864
1585418368,25991808
1585418371,25993600
1585418374,25993600
1585418377,25995520
1585418380,25997696
1585418383,26066176
1585418386,26176384
1585418389,26635392
1585418392,26830848
1585418395,26903424
1585418398,27121024
1585418401,27198336
1585418404,27378688
1585418407,27378688
1585418410,27380224
1585418413,27381376
1585418416,27381376
1585418419,27397632
1585418422,27399168
1585418425,27522816
1585418428,27522816
1585418431,27524352
1585418434,27542912
1585418437,27542912
1585418440,27545600
1585418443,27581056
1585418446,27671680
1585418449,27671680
1585418452,27671680
1585418455,27671680
1585418458,27673600
1585418461,27673600
1585418464,27741952
1585418467,27751936
1585418470,27751936
1585418473,27751936
1585418476,27751936
1585418479,27763840
1585418482,27763840
1585418485,27838848
1585418488,27838848
1585418491,27838848
1585418494,27841664
1585418497,27844096
1585418500,27844096
1585418503,27850496
1585418506,27902208
1585418509,27948288
1585418512,27957760
1585418515,27957760
1585418518,27957760
1585418521,27957760
1585418524,28064000
1585418527,28064000
1585418530,28064000
1585418533,28064000
1585418536,28064000
1585418539,28064896
1585418542,28064896
1585418545,28194176
1585418548,28194176
1585418551,28194176
1585418554,28194176
1585418557,28194176
1585418560,28481664
1585418563,28640640
1585418566,28929920
1585418569,29033344
1585418572,29033344
1585418575,29321472
1585418578,29769600
1585418581,29841280
1585418584,30018432
1585418587,30018432
1585418590,30018432
1585418593,30018432
1585418596,30018432
1585418599,30018432
1585418602,30018432
1585418605,30065408
1585418608,30065408
1585418611,30065408
1585418614,30065408
1585418617,30065408
1585418620,30065408
1585418623,30081920
1585418626,30107904
1585418629,30107904
1585418632,30107904
1585418635,30107904
1585418638,30107904
1585418641,30107904
1585418644,30184832
1585418647,30184832
1585418650,30185856
1585418653,30187264
1585418656,30187264
1585418659,30187264
1585418662,30187264
1585418665,30226176
1585418668,30226176
1585418671,30228224
1585418674,30228224
1585418677,30228224
1585418680,30228224
1585418683,30275968
1585418686,30296832
1585418689,30296832
1585418692,30296832
1585418695,30301696
1585418698,30301696
1585418701,30322432
1585418704,30368768
1585418707,30368768
1585418710,30373760
1585418713,30373760
1585418716,30373760
1585418719,30375040
1585418722,30375040
1585418725,30962048
1585418728,30962048
