t,value
1585418128,21171624
1585418131,22314352
1585418134,22318312
1585418137,22318312
1585418140,22318312
1585418143,22503040
1585418146,22815096
1585418149,23175776
1585418152,23175776
1585418155,23175776
1585418158,23175776
1585418161,23175776
1585418164,23180160
1585418167,23180160
1585418170,23180160
1585418173,23180160
1585418176,23254432
1585418179,23286328
1585418182,23286832
1585418185,23287424
1585418188,23287424
1585418191,23287424
1585418194,23287424
1585418197,23287424
1585418200,23287424
1585418203,23298024
1585418206,23298576
1585418209,23298576
1585418212,23298576
1585418215,23298576
1585418218,23298576
1585418221,23298576
1585418224,23298576
1585418227,23298576
1585418230,23298576
1585418233,23298576
1585418236,23298576
1585418239,23298576
1585418242,23298576
1585418245,23298576
1585418248,23298576
1585418251,23298576
1585418254,23298576
1585418257,23298576
1585418260,23298576
1585418263,23298576
1585418266,23298576
1585418269,23298576
1585418272,23298576
1585418275,23298576
1585418278,23298576
1585418281,23298576
1585418284,23298576
1585418287,23298576
1585418290,23298576
1585418293,23298576
1585418296,23298576
1585418299,23298576
1585418302,23298576
1585418305,23298576
1585418308,23298576
1585418311,23298576
1585418314,23298576
1585418317,23298576
1585418320,23298576
1585418323,23298576
1585418326,23298576
1585418329,23298576
1585418332,23298576
1585418335,23298576
1585418338,23298576
1585418341,23298576
1585418344,23298576
1585418347,23298576
1585418350,23820696
1585418353,23820696
1585418356,23820696
1585418359,23820696
1585418362,23820696
1585418365,23820696
1585418368,23820696
1585418371,23820696
1585418374,23820696
1585418377,23820696
1585418380,23820696
1585418383,23820696
1585418386,23821248
1585418389,23824560
1585418392,23824560
1585418395,23824560
1585418398,23827176
1585418401,23827728
1585418404,23881656
1585418407,23881656
1585418410,23881656
1585418413,23881656
1585418416,23881656
1585418419,23882160
1585418422,23882160
1585418425,23882160
1585418428,23882160
1585418431,23882160
1585418434,23882160
1585418437,23882160
1585418440,23882160
1585418443,23882160
1585418446,23882160
1585418449,23882160
1585418452,23882160
1585418455,23882160
1585418458,23882160
1585418461,23882160
1585418464,23882160
1585418467,23882160
1585418470,23882160
1585418473,23882160
1585418476,23882160
1585418479,23882160
1585418482,23882160
1585418485,23882160
1585418488,23882160
1585418491,23882160
1585418494,23882160
1585418497,23882160
1585418500,23882160
1585418503,23882160
1585418506,23882160
1585418509,23882160
1585418512,23882160
1585418515,23882160
1585418518,23882160
1585418521,23882160
1585418524,23882160
1585418527,23882160
1585418530,23882160
1585418533,23882160
1585418536,23882160
1585418539,23882712
1585418542,23882712
1585418545,23882712
1585418548,23882712
1585418551,23882712
1585418554,23882712
1585418557,23882712
1585418560,23883720
1585418563,23883720
1585418566,23884304
1585418569,23884304
1585418572,23884304
1585418575,23884304
1585418578,23885408
1585418581,23885408
1585418584,23885408
1585418587,23885408
1585418590,23885408
1585418593,23885408
1585418596,23885408
1585418599,23885408
1585418602,23885408
1585418605,23885408
1585418608,23885408
1585418611,23885408
1585418614,23885408
1585418617,23885408
1585418620,23885408
1585418623,23885408
1585418626,23885408
1585418629,23885408
1585418632,23885408
1585418635,23885408
1585418638,23885408
1585418641,23885408
1585418644,23885408
1585418647,23885408
1585418650,23885408
1585418653,23885408
1585418656,23885408
1585418659,23885408
1585418662,23885408
1585418665,23885408
1585418668,23885408
1585418671,23885408
1585418674,23885408
1585418677,23885408
1585418680,23885408
1585418683,23885408
1585418686,23885408
1585418689,23885408
1585418692,23885408
1585418695,23885408
1585418698,23885408
1585418701,23885408
1585418704,23885408
1585418707,23885408
1585418710,23885408
1585418713,23885408
1585418716,23885408
1585418719,23885408
1585418722,23885408
1585418725,23887424
1585418728,23887424
1585418731,23890672
1585418734,23890672
1585418737,23890672
1585418740,23890672
1585418743,23890672
1585418746,23890672
1585418749,23890672
1585418752,23890672
1585418755,23890672
1585418758,23890672
1585418761,23890672
1585418764,23890672
1585418767,23931048
1585418770,23931048
1585418773,23931048
1585418776,23931048
1585418779,23931048
1585418782,23931048
1585418785,23931048
1585418788,23931048
1585418791,23931048
1585418794,23931048
1585418797,23931048
1585418800,23931048
1585418803,23931048
1585418806,23931048
1585418809,23931048
1585418812,23931048
1585418815,23931048
1585418818,23931048
1585418821,23931048
1585418824,23931048
1585418827,23931048
1585418830,23931048
1585418833,23931048
1585418836,23931048
1585418839,23931048
1585418842,23931048
1585418845,23931048
1585418848,23931048
1585418851,23931048
1585418854,23931048
1585418857,23931048
1585418860,23931048
1585418863,23931048
1585418866,23931048
1585418869,23931048
1585418872,23931048
1585418875,23931048
1585418878,23931048
1585418881,23931048
1585418884,23931048
1585418887,23931048
1585418890,23931048
1585418893,23931048
1585418896,23931048
1585418899,23931048
1585418902,23931048
1585418905,23931048
1585418908,23931048
1585418911,23931048
1585418914,23944744
1585418917,23944744
1585418920,23944744
1585418923,23944744
1585418926,23944744
1585418929,23944744
1585418932,23944744
1585418935,23944744
1585418938,23944744
1585418941,23944744
1585418944,23944744
1585418947,23944744
1585418950,23944744
1585418953,23944744
1585418956,23944744
1585418959,23944744
1585418962,23944744
1585418965,23944744
1585418968,23944744
1585418971,23944744
1585418974,23944744
1585418977,23944744
1585418980,23944744
1585418983,23944744
1585418986,23944744
1585418989,23944744
1585418992,23944744
1585418995,23944744
1585418998,23944744
1585419001,23944744
1585419004,23944744
1585419007,23944744
1585419010,23944744
1585419013,23944744
1585419016,23944744
1585419019,23944744
1585419022,23944744
1585419025,23944744
1585419028,23944744
1585419031,23944744
1585419034,23944744
1585419037,23944744
1585419040,23944744
1585419043,23944744
1585419046,23944744
1585419049,23944744
1585419052,23944744
1585419055,23944744
1585419058,23944744
1585419061,23944744
1585419064,23944744
1585419067,23944744
1585419070,23944744
1585419073,23944744
1585419076,23944744
1585419079,23944744
1585419082,23944744
1585419085,23944744
1585419088,23944744
1585419091,23944744
1585419094,23944744
1585419097,23944744
1585419100,23944744
1585419103,23944744
1585419106,23944744
1585419109,23944744
1585419112,23944744
1585419115,23944744
1585419118,23944744
1585419121,23944744
1585419124,23944744
1585419127,23944744
1585419130,23944744
1585419133,23944744
1585419136,23944744
1585419139,23944744
1585419142,23944744
1585419145,23944744
1585419148,23944744
1585419151,23944744
1585419154,23944744
1585419157,23944744
1585419160,23944744
1585419163,23944744
1585419166,23944744
1585419169,23944744
1585419172,23944744
1585419175,23944744
1585419178,23986536
1585419181,23986536
1585419184,23986536
1585419187,23988672
1585419190,23988672
1585419193,23988672
1585419196,23988672
1585419199,23988672
1585419202,23988672
1585419205,23988672
1585419208,24447712
1585419211,24559976
1585419214,24616488
1585419217,24617008
1585419220,24617008
1585419223,24626432
1585419226,24626432
1585419229,24626432
1585419232,24626432
1585419235,24626432
1585419238,24626432
1585419241,24626432
1585419244,24626432
1585419247,24626432
1585419250,24626432
1585419253,24626432
1585419256,24626432
1585419259,24626432
1585419262,24626432
1585419265,24626432
1585419268,24626432
1585419271,24626432
1585419274,24626432
1585419277,24626432
1585419280,24626432
1585419283,24626432
1585419286,24626432
1585419289,24626432
1585419292,24626432
1585419295,24626432
1585419298,24626432
1585419301,24626432
1585419304,24626432
1585419307,24626432
1585419310,24626432
1585419313,24626432
1585419316,24626432
1585419319,24626432
1585419322,24626432
1585419325,24626432
1585419328,24626432
1585419331,24626432
1585419334,24626432
1585419337,24626432
1585419340,24626432
1585419343,24626432
1585419346,24626432
1585419349,24688320
1585419352,24769360
1585419355,24769360
1585419358,24769360
1585419361,24769360
1585419364,24771152
1585419367,24771152
1585419370,24771152
1585419373,24920392
1585419376,24920392
1585419379,24920392
1585419382,24920392
1585419385,24920392
1585419388,24920392
1585419391,24920392
1585419394,24920392
1585419397,24920944
1585419400,24921928
1585419403,24921928
1585419406,24921928
1585419409,24921928
1585419412,24921928
1585419415,24921928
1585419418,24921928
1585419421,24921928
1585419424,24921928
1585419427,24921928
1585419430,24921928
1585419433,24921928
1585419436,24921928
1585419439,24921928
1585419442,25008616
1585419445,25008616
1585419448,25008616
1585419451,25008616
1585419454,25008616
1585419457,25009168
1585419460,25009168
1585419463,25009168
1585419466,25009168
1585419469,25009168
1585419472,25012544
1585419475,25012544
1585419478,25012544
1585419481,25012544
1585419484,25012544
1585419487,25012544
1585419490,25012544
1585419493,25012544
1585419496,25012544
1585419499,25012544
1585419502,25012544
1585419505,25012544
1585419508,25012544
1585419511,25012544
1585419514,25012544
1585419517,25042472
1585419520,25042472
1585419523,25047440
1585419526,25047440
1585419529,25047440
1585419532,25047440
1585419535,25047440
1585419538,25047440
1585419541,25047440
1585419544,25047440
1585419547,25047440
1585419550,25047440
1585419553,25047440
1585419556,25047440
1585419559,25047440
1585419562,25047440
1585419565,25047440
1585419568,25047440
1585419571,25047440
1585419574,25047440
1585419577,25047440
1585419580,25047944
1585419583,25047944
1585419586,25047944
1585419589,25047944
1585419592,25056216
1585419595,25060088
1585419598,25192032
1585419601,25199608
1585419604,25199608
1585419607,25199608
1585419610,25199608
1585419613,25199608
1585419616,25203744
1585419619,25203744
1585419622,25203744
1585419625,25203744
1585419628,25203744
1585419631,25203744
1585419634,25203744
1585419637,25203744
1585419640,25203744
1585419643,25203744
1585419646,25203744
1585419649,25203744
1585419652,25203744
1585419655,25203744
1585419658,25203744
1585419661,25203744
1585419664,25203744
1585419667,25203744
1585419670,25203744
1585419673,25203744
1585419676,25203744
1585419679,25203744
1585419682,25203744
1585419685,25203744
1585419688,25203744
1585419691,25203744
1585419694,25203744
1585419697,25203744
1585419700,25203744
1585419703,25203744
1585419706,25203744
1585419709,25203744
1585419712,25203744
1585419715,25203744
1585419718,25203744
1585419721,25203744
1585419724,25237896
1585419727,25251688
1585419730,25251688
1585419733,25251688
1585419736,25251688
1585419739,25251688
1585419742,25251688
1585419745,25252240
1585419748,25252240
1585419751,25252240
1585419754,25252792
1585419757,25252792
1585419760,25252792
1585419763,25252792
1585419766,25252792
1585419769,25252792
1585419772,25252792
1585419775,25252792
1585419778,25252792
1585419781,25252792
1585419784,25252792
1585419787,25252792
1585419790,25252792
1585419793,25252792
1585419796,25252792
1585419799,25252792
1585419802,25252792
1585419805,25252792
1585419808,25252792
1585419811,25252792
1585419814,25252792
1585419817,25252792
1585419820,25252792
1585419823,25252792
1585419826,25252792
1585419829,25252792
1585419832,25252792
1585419835,25252792
1585419838,25252792
1585419841,25252792
1585419844,25252792
1585419847,25252792
1585419850,25252792
1585419853,25252792
1585419856,25252792
1585419859,25252792
1585419862,25252792
1585419865,25252792
1585419868,25252792
1585419871,25252792
1585419874,25252792
1585419877,25252792
1585419880,25252792
1585419883,25252792
1585419886,25252792
1585419889,25252792
1585419892,25252792
1585419895,25252792
1585419898,25252792
1585419901,25252792
1585419904,25252792
1585419907,25252792
1585419910,25252792
1585419913,25254392
1585419916,25254392
1585419919,25254392
1585419922,25254392
1585419925,25254392
1585419928,25254392
1585419931,25254392
1585419934,25254392
1585419937,25254392
1585419940,25254392
1585419943,25254392
1585419946,25254392
1585419949,25254392
1585419952,25254392
1585419955,25254392
1585419958,25254392
1585419961,25254392
1585419964,25254392
1585419967,25254392
1585419970,25254392
1585419973,25254392
1585419976,25254392
1585419979,25254392
1585419982,25254392
1585419985,25254392
1585419988,25254392
1585419991,25254392
1585419994,25254392
1585419997,25256304
1585420000,25264048
1585420003,25265960
1585420006,25265960
1585420009,25265960
1585420012,25265960
1585420015,25265960
1585420018,25265960
1585420021,25265960
1585420024,25265960
1585420027,25265960
1585420030,25265960
1585420033,25265960
1585420036,25265960
1585420039,25270336
1585420042,25270336
1585420045,25270336
1585420048,25270336
1585420051,25270336
1585420054,25270336
1585420057,25270336
1585420060,25270336
1585420063,25270336
1585420066,25270336
1585420069,25270336
1585420072,25270336
1585420075,25270336
1585420078,25275856
1585420081,25279208
1585420084,25279208
1585420087,25279208
1585420090,25279208
1585420093,25279208
1585420096,25279208
