t,value
1585418128,143654912
1585418131,193986560
1585418134,196083712
1585418137,197132288
1585418140,198180864
1585418143,213909504
1585418146,10485760
1585418149,25165824
1585418152,25165824
1585418155,26214400
1585418158,27262976
1585418161,28311552
1585418164,48234496
1585418167,49283072
1585418170,49283072
1585418173,50331648
1585418176,54525952
1585418179,62914560
1585418182,62914560
1585418185,74448896
1585418188,75497472
1585418191,76546048
1585418194,78643200
1585418197,79691776
1585418200,80740352
1585418203,114294784
1585418206,114294784
1585418209,115343360
1585418212,115343360
1585418215,116391936
1585418218,116391936
1585418221,117440512
1585418224,136314880
1585418227,136314880
1585418230,137363456
1585418233,137363456
1585418236,138412032
1585418239,145752064
1585418242,146800640
1585418245,156237824
1585418248,156237824
1585418251,157286400
1585418254,157286400
1585418257,158334976
1585418260,159383552
1585418263,168820736
1585418266,168820736
1585418269,169869312
1585418272,169869312
1585418275,170917888
1585418278,170917888
1585418281,171966464
1585418284,189792256
1585418287,189792256
1585418290,190840832
1585418293,191889408
1585418296,191889408
1585418299,200278016
1585418302,200278016
1585418305,210763776
1585418308,210763776
1585418311,211812352
1585418314,211812352
1585418317,212860928
1585418320,213909504
1585418323,223346688
1585418326,223346688
1585418329,224395264
1585418332,224395264
1585418335,225443840
1585418338,226492416
1585418341,226492416
1585418344,244318208
1585418347,245366784
1585418350,261095424
1585418353,261095424
1585418356,262144000
1585418359,269484032
1585418362,270532608
1585418365,279969792
1585418368,279969792
1585418371,281018368
1585418374,282066944
1585418377,282066944
1585418380,283115520
1585418383,2097152
1585418386,6291456
1585418389,14680064
1585418392,18874368
1585418395,19922944
1585418398,25165824
1585418401,27262976
1585418404,51380224
1585418407,52428800
1585418410,52428800
1585418413,53477376
1585418416,53477376
1585418419,61865984
1585418422,61865984
1585418425,71303168
1585418428,72351744
1585418431,73400320
1585418434,73400320
1585418437,74448896
1585418440,74448896
1585418443,83886080
1585418446,84934656
1585418449,85983232
1585418452,87031808
1585418455,87031808
1585418458,88080384
1585418461,88080384
1585418464,105906176
1585418467,106954752
1585418470,106954752
1585418473,108003328
1585418476,109051904
1585418479,116391936
1585418482,116391936
1585418485,125829120
1585418488,126877696
1585418491,126877696
1585418494,127926272
1585418497,127926272
1585418500,128974848
1585418503,137363456
1585418506,138412032
1585418509,139460608
1585418512,139460608
1585418515,140509184
1585418518,140509184
1585418521,141557760
1585418524,159383552
1585418527,160432128
1585418530,160432128
1585418533,161480704
1585418536,161480704
1585418539,169869312
1585418542,170917888
1585418545,180355072
1585418548,180355072
1585418551,180355072
1585418554,181403648
1585418557,182452224
1585418560,190840832
1585418563,204472320
1585418566,208666624
1585418569,213909504
1585418572,214958080
1585418575,223346688
1585418578,235929600
1585418581,241172480
1585418584,262144000
1585418587,262144000
1585418590,263192576
1585418593,264241152
1585418596,264241152
1585418599,272629760
1585418602,272629760
1585418605,282066944
1585418608,283115520
1585418611,284164096
1585418614,284164096
1585418617,285212672
1585418620,285212672
1585418623,294649856
1585418626,295698432
1585418629,296747008
1585418632,296747008
1585418635,297795584
1585418638,297795584
1585418641,298844160
1585418644,12582912
1585418647,12582912
1585418650,13631488
1585418653,13631488
1585418656,14680064
1585418659,23068672
1585418662,23068672
1585418665,33554432
1585418668,33554432
1585418671,35651584
1585418674,35651584
1585418677,36700160
1585418680,36700160
1585418683,46137344
1585418686,47185920
1585418689,47185920
1585418692,48234496
1585418695,48234496
1585418698,49283072
1585418701,49283072
1585418704,67108864
1585418707,68157440
1585418710,68157440
1585418713,69206016
1585418716,69206016
1585418719,77594624
1585418722,77594624
1585418725,96468992
1585418728,96468992
1585418731,97517568
1585418734,98566144
1585418737,98566144
1585418740,99614720
1585418743,108003328
1585418746,110100480
1585418749,110100480
1585418752,111149056
1585418755,112197632
1585418758,112197632
1585418761,112197632
1585418764,130023424
1585418767,135266304
1585418770,136314880
1585418773,138412032
1585418776,138412032
1585418779,147849216
1585418782,148897792
1585418785,157286400
1585418788,160432128
1585418791,161480704
1585418794,164626432
1585418797,166723584
1585418800,166723584
1585418803,176160768
1585418806,177209344
1585418809,178257920
1585418812,178257920
1585418815,179306496
1585418818,181403648
1585418821,182452224
1585418824,199229440
1585418827,200278016
1585418830,201326592
1585418833,203423744
1585418836,204472320
1585418839,212860928
1585418842,212860928
1585418845,223346688
1585418848,224395264
1585418851,225443840
1585418854,228589568
1585418857,228589568
1585418860,232783872
1585418863,242221056
1585418866,243269632
1585418869,246415360
1585418872,248512512
1585418875,248512512
1585418878,248512512
1585418881,249561088
1585418884,267386880
1585418887,267386880
1585418890,269484032
1585418893,271581184
1585418896,275775488
1585418899,284164096
1585418902,284164096
1585418905,293601280
1585418908,294649856
1585418911,295698432
1585418914,297795584
1585418917,299892736
1585418920,304087040
1585418923,9437184
1585418926,11534336
1585418929,11534336
1585418932,11534336
1585418935,12582912
1585418938,13631488
1585418941,13631488
1585418944,31457280
1585418947,31457280
1585418950,32505856
1585418953,33554432
1585418956,33554432
1585418959,41943040
1585418962,42991616
1585418965,52428800
1585418968,52428800
1585418971,53477376
1585418974,54525952
1585418977,55574528
1585418980,55574528
1585418983,65011712
1585418986,66060288
1585418989,66060288
1585418992,67108864
1585418995,67108864
1585418998,68157440
1585419001,68157440
1585419004,85983232
1585419007,87031808
1585419010,87031808
1585419013,88080384
1585419016,88080384
1585419019,96468992
1585419022,97517568
1585419025,106954752
1585419028,106954752
1585419031,108003328
1585419034,109051904
1585419037,109051904
1585419040,110100480
1585419043,118489088
1585419046,119537664
1585419049,121634816
1585419052,122683392
