t,value
1585418128,60291072
1585418131,60291072
1585418134,60291072
1585418137,60291072
1585418140,60291072
1585418143,60291072
1585418146,75497472
1585418149,75497472
1585418152,75497472
1585418155,75497472
1585418158,75497472
1585418161,75497472
1585418164,75497472
1585418167,75497472
1585418170,75497472
1585418173,75497472
1585418176,75497472
1585418179,75497472
1585418182,75497472
1585418185,75497472
1585418188,75497472
1585418191,75497472
1585418194,75497472
1585418197,75497472
1585418200,75497472
1585418203,75497472
1585418206,75497472
1585418209,75497472
1585418212,75497472
1585418215,75497472
1585418218,75497472
1585418221,75497472
1585418224,75497472
1585418227,75497472
1585418230,75497472
1585418233,75497472
1585418236,75497472
1585418239,75497472
1585418242,75497472
1585418245,75497472
1585418248,75497472
1585418251,75497472
1585418254,75497472
1585418257,75497472
1585418260,75497472
1585418263,75497472
1585418266,75497472
1585418269,75497472
1585418272,75497472
1585418275,75497472
1585418278,75497472
1585418281,75497472
1585418284,75497472
1585418287,75497472
1585418290,75497472
1585418293,75497472
1585418296,75497472
1585418299,75497472
1585418302,75497472
1585418305,75497472
1585418308,75497472
1585418311,75497472
1585418314,75497472
1585418317,75497472
1585418320,75497472
1585418323,75497472
1585418326,75497472
1585418329,75497472
1585418332,75497472
1585418335,75497472
1585418338,75497472
1585418341,75497472
1585418344,75497472
1585418347,75497472
1585418350,75497472
1585418353,75497472
1585418356,75497472
1585418359,75497472
1585418362,75497472
1585418365,75497472
1585418368,75497472
1585418371,75497472
1585418374,75497472
1585418377,75497472
1585418380,75497472
1585418383,75497472
1585418386,75497472
1585418389,75497472
1585418392,75497472
1585418395,75497472
1585418398,75497472
1585418401,75497472
1585418404,75497472
1585418407,75497472
1585418410,75497472
1585418413,75497472
1585418416,75497472
1585418419,75497472
1585418422,75497472
1585418425,75497472
1585418428,75497472
1585418431,75497472
1585418434,75497472
1585418437,75497472
1585418440,75497472
1585418443,75497472
1585418446,75497472
1585418449,75497472
1585418452,75497472
1585418455,75497472
1585418458,75497472
1585418461,75497472
1585418464,75497472
1585418467,75497472
1585418470,75497472
1585418473,75497472
1585418476,75497472
1585418479,75497472
1585418482,75497472
1585418485,75497472
1585418488,75497472
1585418491,75497472
1585418494,75497472
1585418497,75497472
1585418500,75497472
1585418503,75497472
1585418506,75497472
1585418509,75497472
1585418512,75497472
1585418515,75497472
1585418518,75497472
1585418521,75497472
1585418524,75497472
1585418527,75497472
1585418530,75497472
1585418533,75497472
1585418536,75497472
1585418539,75497472
1585418542,75497472
1585418545,75497472
1585418548,75497472
1585418551,75497472
1585418554,75497472
1585418557,75497472
1585418560,75497472
1585418563,75497472
1585418566,75497472
1585418569,75497472
1585418572,75497472
1585418575,75497472
1585418578,75497472
1585418581,75497472
1585418584,75497472
1585418587,75497472
1585418590,75497472
1585418593,75497472
1585418596,75497472
1585418599,75497472
1585418602,75497472
1585418605,75497472
1585418608,75497472
1585418611,75497472
1585418614,75497472
