t,value
1585418128,22020096
1585418131,22020096
1585418134,22020096
1585418137,22020096
1585418140,22020096
1585418143,22020096
1585418146,15728640
1585418149,15728640
1585418152,15728640
1585418155,15728640
1585418158,15728640
1585418161,15728640
1585418164,15728640
1585418167,15728640
1585418170,15728640
1585418173,15728640
1585418176,15728640
1585418179,15728640
1585418182,15728640
1585418185,15728640
1585418188,15728640
1585418191,15728640
1585418194,15728640
1585418197,15728640
1585418200,15728640
1585418203,15728640
1585418206,15728640
1585418209,15728640
1585418212,15728640
1585418215,15728640
1585418218,15728640
1585418221,15728640
1585418224,15728640
1585418227,15728640
1585418230,15728640
1585418233,15728640
1585418236,15728640
1585418239,15728640
1585418242,15728640
1585418245,15728640
1585418248,15728640
1585418251,15728640
1585418254,15728640
1585418257,15728640
1585418260,15728640
1585418263,15728640
1585418266,15728640
1585418269,15728640
1585418272,15728640
1585418275,15728640
1585418278,15728640
1585418281,15728640
1585418284,15728640
1585418287,15728640
1585418290,15728640
1585418293,15728640
1585418296,15728640
1585418299,15728640
1585418302,15728640
1585418305,15728640
1585418308,15728640
1585418311,15728640
1585418314,15728640
1585418317,15728640
1585418320,15728640
1585418323,15728640
1585418326,15728640
1585418329,15728640
1585418332,15728640
1585418335,15728640
1585418338,15728640
1585418341,15728640
1585418344,15728640
1585418347,15728640
1585418350,15728640
1585418353,15728640
1585418356,15728640
1585418359,15728640
1585418362,15728640
1585418365,15728640
1585418368,15728640
1585418371,15728640
1585418374,15728640
1585418377,15728640
1585418380,15728640
1585418383,16777216
1585418386,16777216
1585418389,16777216
1585418392,16777216
1585418395,16777216
1585418398,16777216
1585418401,16777216
1585418404,16777216
1585418407,16777216
1585418410,16777216
1585418413,16777216
1585418416,16777216
1585418419,16777216
1585418422,16777216
1585418425,16777216
1585418428,16777216
1585418431,16777216
1585418434,16777216
1585418437,16777216
1585418440,16777216
1585418443,16777216
1585418446,16777216
1585418449,16777216
1585418452,16777216
1585418455,16777216
1585418458,16777216
1585418461,16777216
1585418464,16777216
1585418467,16777216
1585418470,16777216
1585418473,16777216
1585418476,16777216
1585418479,16777216
1585418482,16777216
1585418485,16777216
1585418488,16777216
1585418491,16777216
1585418494,16777216
1585418497,16777216
1585418500,16777216
1585418503,16777216
1585418506,16777216
1585418509,16777216
1585418512,16777216
1585418515,16777216
1585418518,16777216
1585418521,16777216
1585418524,16777216
1585418527,16777216
1585418530,16777216
1585418533,16777216
1585418536,16777216
1585418539,16777216
1585418542,16777216
1585418545,16777216
1585418548,16777216
1585418551,16777216
1585418554,16777216
1585418557,16777216
1585418560,16777216
1585418563,16777216
1585418566,16777216
1585418569,16777216
1585418572,16777216
1585418575,16777216
1585418578,16777216
1585418581,16777216
1585418584,16777216
1585418587,16777216
1585418590,16777216
1585418593,16777216
1585418596,16777216
1585418599,16777216
1585418602,16777216
1585418605,16777216
1585418608,16777216
1585418611,16777216
1585418614,16777216
1585418617,16777216
1585418620,16777216
1585418623,16777216
1585418626,16777216
1585418629,16777216
1585418632,16777216
1585418635,16777216
1585418638,16777216
1585418641,16777216
1585418644,16777216
1585418647,16777216
1585418650,16777216
1585418653,16777216
1585418656,16777216
1585418659,16777216
1585418662,16777216
1585418665,16777216
1585418668,16777216
1585418671,16777216
1585418674,16777216
1585418677,16777216
1585418680,16777216
1585418683,16777216
1585418686,16777216
1585418689,16777216
1585418692,16777216
1585418695,16777216
1585418698,16777216
1585418701,16777216
1585418704,16777216
1585418707,16777216
1585418710,16777216
1585418713,16777216
1585418716,16777216
1585418719,16777216
1585418722,16777216
1585418725,16777216
1585418728,16777216
1585418731,16777216
1585418734,16777216
1585418737,16777216
1585418740,16777216
1585418743,16777216
1585418746,16777216
1585418749,16777216
1585418752,16777216
1585418755,16777216
1585418758,16777216
1585418761,16777216
1585418764,16777216
1585418767,16777216
1585418770,16777216
1585418773,16777216
1585418776,16777216
1585418779,16777216
1585418782,16777216
1585418785,16777216
1585418788,16777216
1585418791,16777216
1585418794,16777216
1585418797,16777216
1585418800,16777216
1585418803,16777216
1585418806,16777216
1585418809,16777216
1585418812,16777216
1585418815,16777216
1585418818,16777216
1585418821,16777216
1585418824,16777216
1585418827,16777216
1585418830,16777216
1585418833,16777216
1585418836,16777216
1585418839,16777216
1585418842,16777216
1585418845,16777216
1585418848,16777216
1585418851,16777216
1585418854,16777216
1585418857,16777216
1585418860,16777216
1585418863,16777216
1585418866,16777216
1585418869,16777216
1585418872,16777216
1585418875,16777216
1585418878,16777216
1585418881,16777216
1585418884,16777216
1585418887,16777216
1585418890,16777216
1585418893,16777216
1585418896,16777216
1585418899,16777216
1585418902,16777216
1585418905,16777216
1585418908,16777216
1585418911,16777216
1585418914,16777216
1585418917,16777216
1585418920,16777216
1585418923,16777216
1585418926,16777216
1585418929,16777216
1585418932,16777216
1585418935,16777216
1585418938,16777216
1585418941,16777216
1585418944,16777216
1585418947,16777216
1585418950,16777216
1585418953,16777216
1585418956,16777216
1585418959,16777216
1585418962,16777216
1585418965,16777216
1585418968,16777216
1585418971,16777216
1585418974,16777216
1585418977,16777216
1585418980,16777216
1585418983,16777216
1585418986,16777216
1585418989,16777216
1585418992,16777216
1585418995,16777216
1585418998,16777216
1585419001,16777216
1585419004,16777216
1585419007,16777216
1585419010,16777216
1585419013,16777216
1585419016,16777216
1585419019,16777216
1585419022,16777216
1585419025,16777216
1585419028,16777216
1585419031,16777216
1585419034,16777216
1585419037,16777216
1585419040,16777216
1585419043,16777216
1585419046,16777216
1585419049,16777216
1585419052,16777216
1585419055,16777216
1585419058,16777216
1585419061,16777216
1585419064,16777216
1585419067,16777216
1585419070,16777216
1585419073,16777216
1585419076,16777216
1585419079,16777216
1585419082,16777216
1585419085,16777216
1585419088,16777216
1585419091,16777216
1585419094,16777216
1585419097,16777216
1585419100,16777216
1585419103,16777216
1585419106,16777216
1585419109,16777216
1585419112,16777216
