t,value
1585418128,147108832
1585418131,153550592
1585418134,153665864
1585418137,153678360
1585418140,153688808
1585418143,155446992
1585418146,157712216
1585418149,159178800
1585418152,159179256
1585418155,159191864
1585418158,159195272
1585418161,159197480
1585418164,159303080
1585418167,159303760
1585418170,159308600
1585418173,159310848
1585418176,159853616
1585418179,160009848
1585418182,160044160
1585418185,160109576
1585418188,160136184
1585418191,160143728
1585418194,160162368
1585418197,160182440
1585418200,160194504
1585418203,160558312
1585418206,160584848
1585418209,160587064
1585418212,160603528
1585418215,160603528
1585418218,160605368
1585418221,160606088
1585418224,160663496
1585418227,160663960
1585418230,160664896
1585418233,160664896
1585418236,160664896
1585418239,160669208
1585418242,160669816
1585418245,160706344
1585418248,160707608
1585418251,160708224
1585418254,160708544
1585418257,160713976
1585418260,160714416
1585418263,160748928
1585418266,160769408
1585418269,160769848
1585418272,160769848
1585418275,160769848
1585418278,160769848
1585418281,160769848
1585418284,160795112
1585418287,160796488
1585418290,160796488
1585418293,160796488
1585418296,160797880
1585418299,160808240
1585418302,160808240
1585418305,160851592
1585418308,160851592
1585418311,160851592
1585418314,160855312
1585418317,160859584
1585418320,160869792
1585418323,160891072
1585418326,160925264
1585418329,160926072
1585418332,160926072
1585418335,160926072
1585418338,160926072
1585418341,160926072
1585418344,160970760
1585418347,160970760
1585418350,163124672
1585418353,163125328
1585418356,163125328
1585418359,163132280
1585418362,163132280
1585418365,163161568
1585418368,163162376
1585418371,163162376
1585418374,163162376
1585418377,163163888
1585418380,163164328
1585418383,163176992
1585418386,163206528
1585418389,163381808
1585418392,163437288
1585418395,163454888
1585418398,163553504
1585418401,163582976
1585418404,163825048
1585418407,163825048
1585418410,163825584
1585418413,163826464
1585418416,163826464
1585418419,163831064
1585418422,163831440
1585418425,163864512
1585418428,163864512
1585418431,163864928
1585418434,163874968
1585418437,163874968
1585418440,163875432
1585418443,163884496
1585418446,163917952
1585418449,163917952
1585418452,163917952
1585418455,163917952
1585418458,163918560
1585418461,163918560
1585418464,163942208
1585418467,163944536
1585418470,163944536
1585418473,163944536
1585418476,163944536
1585418479,163947824
1585418482,163947824
1585418485,163971888
1585418488,163971888
1585418491,163971888
1585418494,163972888
1585418497,163973816
1585418500,163973816
1585418503,163975496
1585418506,163994256
1585418509,164016856
1585418512,164020792
1585418515,164020792
1585418518,164020792
1585418521,164020792
1585418524,164061064
1585418527,164061064
1585418530,164061064
1585418533,164061064
1585418536,164061064
1585418539,164065504
1585418542,164065504
1585418545,164097472
1585418548,164097472
1585418551,164097472
1585418554,164097472
1585418557,164097472
1585418560,164156688
1585418563,164206424
1585418566,164287280
1585418569,164308016
1585418572,164308016
1585418575,164396232
1585418578,164570240
1585418581,164595312
1585418584,164646688
1585418587,164646688
1585418590,164646688
1585418593,164646688
1585418596,164646688
1585418599,164646688
1585418602,164646688
1585418605,164661584
1585418608,164661584
1585418611,164661584
1585418614,164661584
1585418617,164661584
1585418620,164661584
1585418623,164667032
1585418626,164675208
1585418629,164675208
1585418632,164675208
1585418635,164675208
1585418638,164675208
1585418641,164675208
1585418644,164683032
1585418647,164683032
1585418650,164683032
1585418653,164683032
1585418656,164683032
1585418659,164683032
1585418662,164683032
1585418665,164693736
1585418668,164693736
1585418671,164694472
1585418674,164694472
1585418677,164694472
1585418680,164694472
1585418683,164709432
1585418686,164715192
1585418689,164715192
1585418692,164715192
1585418695,164716160
1585418698,164716160
1585418701,164720104
1585418704,164732592
1585418707,164732592
1585418710,164738176
1585418713,164738176
1585418716,164738176
1585418719,164738632
1585418722,164738632
1585418725,164874784
1585418728,164875744
1585418731,164904832
1585418734,164905928
1585418737,164905928
1585418740,164906328
1585418743,164912288
1585418746,164918648
1585418749,164918648
1585418752,164918648
1585418755,164919608
1585418758,164919608
1585418761,164919608
1585418764,164939120
1585418767,165072312
1585418770,165081816
1585418773,165085984
1585418776,165090384
1585418779,165099448
1585418782,165099448
1585418785,165104240
1585418788,165115304
